BP	CORRELATION	PVALUE
A	0.089618	0.172774558545914
C	-0.146394	0.0254410745027953
G	-0.140854	0.0316178953347082
T	0.075548	0.250710707989096
AA	0.089809	0.171855075574638
AC	0.033384	0.612161748477428
AG	-0.055155	0.40201956310457
AT	0.095452	0.146366172896265
CC	-0.145863	0.0259839638894408
CG	-0.095452	0.146366172896266
CT	0.055155	0.40201956310457
GG	-0.140747	0.0317487080813927
GT	-0.033384	0.612161748477426
