AR_10nmR_F	AR_10nmR_R	AR_1nmR_F	AR_1nmR_R	AR_R1881_F	AR_R1881_R	AR_ethl_F	AR_ethl_R
0.179847649357	0.362422934467	0.0867893926405	0.521117263984	0.101213852487	0.11413871918	0.223198102217	0.232316788589
0.155057800124	0.709318077027	0.130638549771	0.728544906558	0.101245204547	0.116914472552	0.215747517248	0.262253261791
0.179814618747	0.3912076878	0.0708459447128	0.404896595568	0.103766243828	0.114280427719	0.201400324658	0.27288807867
0.373994518832	0.280558985179	0.109248262551	0.506336764648	0.106238396263	0.114653835469	0.249871834569	0.23288921763
0.417824532457	0.260608756269	0.283118731596	0.0898567595917	0.108046763628	0.120240722124	0.228070620411	0.298724794989
0.384763029468	0.329554056596	0.0585161408361	0.523933379029	0.105302513358	0.116944155068	0.227025641217	0.253851808966
0.517660739129	0.219097604886	0.253190329054	0.140115355371	0.109617796376	0.117143522351	0.251688883632	0.269359663492
0.272483838959	0.326306025392	0.124952268631	0.268326636292	0.102974752205	0.117759211547	0.215447269514	0.261077344575
0.392766690901	0.613834719873	0.189644030957	0.466439283476	0.107344381734	0.120835133786	0.245961603689	0.259471132865
0.286735085365	0.320424226708	0.224701945601	0.133323145983	0.105399252017	0.116499471385	0.229519083947	0.239378241532
0.204058601298	0.506445864294	0.112320418569	0.264336531918	0.107404026758	0.113800900167	0.238890796286	0.239307288996
0.162911425598	0.393989606212	0.0849462200673	0.0845469998681	0.108826109424	0.120897627885	0.250227586992	0.245823019046
0.254599179876	0.262361007037	0.297022211769	0.404219087554	0.104121894151	0.112490011841	0.235068885335	0.250779867926
0.459241494593	0.234337967372	0.17007112607	0.170009504467	0.11118259251	0.11673622099	0.266186697337	0.240400549647
0.18800362889	0.322538624411	0.111185456447	0.435617726314	0.101482737218	0.113172289105	0.208761172844	0.256708383777
0.510103977945	0.20244333868	0.0787108066318	0.281736806039	0.112064435827	0.102970462344	0.258518755632	0.198428171072
0.194213190955	0.51522459051	0.0650600309617	0.393486689611	0.108289746279	0.138160107889	0.245995246368	0.279759975921
0.256576430765	0.269664152317	0.11817133985	0.101000224719	0.113761901428	0.107400327049	0.20769059788	0.218173126072
0.200616734469	0.580011454054	0.12157738378	0.637745259757	0.104071612596	0.16777325708	0.221510419925	0.371860217695
0.173536850737	0.523290516047	0.0708255228759	0.549974114577	0.10158707447	0.136169359346	0.204776680983	0.274214656559
0.274359188708	0.192225193562	0.227334975743	0.146906559298	0.106294459468	0.114297710875	0.227493339117	0.262329946164
0.183247488305	0.461053347527	0.0703735235063	0.236254302552	0.0680159240587	0.167856889076	0.14167848495	0.36173950658
0.231721552333	0.265403831601	0.115797348241	0.322180424165	0.0962091936738	0.087210304509	0.218773370148	0.195394493917
0.54262617805	0.143114153974	0.315508017397	0.107772869465	0.166160794436	0.0864277800255	0.362211800844	0.196264601376
0.0823496223341	0.21205445301	0.0324578399147	0.164489064825	0.0421110391437	0.0845029851208	0.0837811657592	0.196167760719
0.500333210691	0.766665524137	0.10934645675	0.262711843397	0.194165107954	0.210829358224	0.454360026075	0.407867089382
0.146990111835	0.104508168578	0.0775266338364	0.0415359188513	0.0814373912474	0.0442470955615	0.14991963241	0.0899787758954
0.205718093734	0.696317950505	0.166003746769	0.25452787122	0.0848425144139	0.170811184374	0.174108367956	0.389523421576
0.231083231617	0.14045480984	0.0731534828467	0.167019038145	0.0832568275218	0.10382714669	0.215148998541	0.207373800034
0.369676690093	0.17214907799	0.185224558554	0.250189681822	0.167096371792	0.0697772606577	0.319187878947	0.164088617571
0.305391797666	0.189591736913	0.0836174580064	0.250891742395	0.1125712495	0.115372695206	0.268026346818	0.250158402947
0.456549557399	0.221409999089	0.0886682015892	0.162651454906	0.131342092054	0.102023808356	0.293290542078	0.211767986341
0.335359282984	0.29835088846	0.125863139543	0.214131230539	0.163100331545	0.102354014076	0.387513134527	0.203672477299
0.256081820739	0.256860351518	0.0601429110004	0.0557358158375	0.100798758621	0.111044924153	0.202593105223	0.260454124827
0.297077691288	0.186575166678	0.0973898260522	0.143725371653	0.127253952721	0.107913069353	0.312918428601	0.198642409629
0.224609645107	0.554188072003	0.0790560237362	0.149430077284	0.101745368451	0.118619562829	0.235218789683	0.284735838945
0.325876096255	0.355315113481	0.255968739858	0.159798913792	0.107468382907	0.109595487702	0.224194851665	0.235806118605
0.214904218392	0.475562179487	0.0618427830954	0.118198445598	0.111670201079	0.11211739319	0.246291158326	0.251503346034
0.144717863725	0.332810404416	0.0494885556655	0.1691894533	0.104903532089	0.10565507438	0.216720283727	0.250023985265
0.303267897762	0.249519730587	0.119224909127	0.0292003439158	0.111364786279	0.109468219292	0.267309223625	0.208317724869
0.231893867817	0.174546481672	0.0305726933614	0.11175259701	0.111937433753	0.106944303505	0.243806356785	0.223340346049
0.267602883931	0.240281909398	0.206984702669	0.0602666488884	0.109329477125	0.109939404634	0.250034808459	0.219444235368
0.350395596801	0.288810299443	0.180031035312	0.0923148146339	0.111131448575	0.108452804918	0.247443194774	0.238298662233
0.393803282041	0.226553464788	0.108901841502	0.162209648428	0.112123735083	0.112196859906	0.268542255017	0.225912178318
0.295998380997	0.294768599553	0.0611784193576	0.178444115741	0.108845975385	0.105012959849	0.281833407612	0.201254538448
0.314269346793	0.566581096895	0.0590212499198	0.126647692605	0.112771312849	0.110433748706	0.243001415686	0.251554025763
0.39351287314	0.178843796032	0.055549115019	0.0593307537468	0.113025573446	0.103424326941	0.270354963109	0.210961063032
0.252070063565	0.608136351937	0.0780766516755	0.0332252687957	0.110611446045	0.108011179137	0.251729448762	0.212248573718
0.297776538433	0.243563508961	0.13956219143	0.230265772565	0.112789094486	0.106621463411	0.247282630378	0.223691078971
0.41450756998	0.418187798844	0.0903791930493	0.0614695460712	0.113160460495	0.107549722157	0.250256814315	0.213176678252
