FACTOR	SPEARMAN	PVALUE
BRCA1	0.5051172298885	8.34655788435067e-08
CEBPB	0.759201308235867	5.53654963554317e-20
CTCF	0.399279927992799	4.48413710995147e-05
E2F4	0.405816148837734	2.80358230748265e-05
E2F6	0.491471059779247	2.07775925786658e-07
ELK1	0.444067735618366	3.69352397853284e-06
FOS	0.408168041310092	2.49243303858588e-05
GABP	0.117061110852845	0.246095048666513
JUN	0.438921644082865	4.92238289417473e-06
JUND	0.476267626762676	7.63448542076184e-07
MAFK	0.523008422260288	2.3729137563868e-08
MAX	0.575299063190748	3.83538205453461e-10
MYC	0.565414771037713	8.84225397246069e-10
NFYA	0.706340872145163	2.22587522949082e-16
NFYB	0.739438817200772	1.55744217412405e-18
NRF1	0.11350237176312	0.26084692511969
P300	0.431357384561407	7.44512053521546e-06
RAD21	0.390413383825714	5.9288871675307e-05
REST	0.577003279626857	3.31161254424905e-10
STAT1	0.662458145000792	6.07449876605975e-14
TBP	0.749375129323779	3.02440592507686e-19
USF2	0.322187118408957	0.00107930507864854
ZNF143	0.679642236860539	7.58169166306193e-15
