BRCA1_F	BRCA1_R	CEBPB_F	CEBPB_R	CTCF_F	CTCF_R	E2F4_F	E2F4_R	E2F6_F	E2F6_R	ELK1_F	ELK1_R	FOS_F	FOS_R	GABP_F	GABP_R	JUN_F	JUN_R	JUND_F	JUND_R	MAFK_F	MAFK_R	MAX_F	MAX_R	MYC_F	MYC_R	NFYA_F	NFYA_R	NFYB_F	NFYB_R	NRF1_F	NRF1_R	P300_F	P300_R	RAD21_F	RAD21_R	REST_F	REST_R	STAT1_F	STAT1_R	TBP_F	TBP_R	USF2_F	USF2_R	ZNF143_F	ZNF143_R
-0.0561381941423	-0.0453257829716	-0.00669906395671	-0.00977758109206	0.000338160357363	-0.0399238014437	-0.077831183243	-0.097709380051	-0.0846508832118	-0.0926359970142	-0.0935975675461	-0.0791144460176	-0.023268421921	-0.0334172460151	-0.0882612687015	-0.0738092243057	-0.0274320645866	-0.0251474579317	-0.0181615406895	-0.0252955204861	-0.0149725332432	-0.00901557323173	-0.0407819454371	-0.0509619155232	-0.0567663004814	-0.0658262474871	-0.0764149321232	-0.0548481129584	-0.0491399117618	-0.0525572474995	-0.0646383496639	-0.0643779708546	-0.0237328657355	-0.0245473692854	0.00461023885015	-0.0428835488107	-0.0110148857365	-0.0157531243699	-0.0165113687658	-0.0201627909425	-0.035445595794	-0.0454226714757	-0.0278532019388	-0.0459095994823	-0.0855836920851	-0.0263147196314
-0.0546754399881	-0.0763048663567	-0.00795870680007	-0.0103809843517	-0.0311609347425	-0.043131828431	-0.0820200075067	-0.069085165771	-0.0837852324703	-0.0590589984351	-0.109939408191	-0.0641977634477	-0.0259448104348	-0.0352304822616	-0.0712569542422	-0.0797185381037	-0.0283217902047	-0.0307842117223	-0.0197825666364	-0.0267134827202	-0.0177297990311	-0.0123545422479	-0.0409792994462	-0.0460222463533	-0.0593842072876	-0.0445398040068	-0.0829999039026	-0.0499374997734	-0.0684635585014	-0.0573834827913	-0.0558288770236	-0.0640661752963	-0.0299039324414	-0.0384682539597	-0.0330742061617	-0.0465467238482	-0.0149846156107	-0.00623983168676	-0.0240439690822	-0.0137614357241	-0.0447230091872	-0.0612138481042	-0.0303779084304	-0.0372859737573	-0.0484385775738	-0.048603164442
-0.149024579252	-0.0818949539721	-0.00941434455908	-0.00963829058355	-0.0339637939504	-0.0401840244939	-0.0882749652699	-0.0783886926939	-0.0679054173363	-0.0634973697094	-0.164720966386	-0.0617625163236	-0.0279669122281	-0.0413254119369	-0.0653983957353	-0.0720667024086	-0.0328161718364	-0.0205769000819	-0.0205502966369	-0.0270769133352	-0.0134635344323	-0.00795669780234	-0.0219040083448	-0.0445543303003	-0.0641428663965	-0.0726640785155	-0.0882856722144	-0.0585427252311	-0.066450991824	-0.0620654671884	-0.0386704447273	-0.0498044371497	-0.0305961459635	-0.0221846732091	-0.0387656591653	-0.0449783358208	-0.0267348237402	-0.00802902813307	-0.0339664279477	-0.0150704589455	-0.0487560324212	-0.049188337178	-0.0324659724042	-0.0387428056335	-0.0159378841342	-0.0496339140056
-0.0350501766323	-0.106631772591	-0.0134399674897	-0.0076055722199	-0.0181045292219	-0.0429911644272	-0.0886500708649	-0.0732851625601	-0.0960724307021	-0.0584197783638	-0.140740981529	-0.0576481074712	-0.0466879733436	-0.0367166531939	-0.0725737093473	-0.0698911862665	-0.011953797879	-0.0262787120999	-0.0312616214056	-0.0289401045719	-0.0147380328889	-0.00796220521537	-0.045703221542	-0.0462418851524	-0.060976449198	-0.0665499500838	-0.104780279166	-0.0754130942012	-0.0723554976342	-0.0505794765566	-0.0761063385927	-0.0356565949013	-0.0304393361181	-0.0480026433632	-0.0200936148992	-0.0486013418387	-0.0145775629948	-0.00812915825188	-0.023310625878	-0.0152913483814	-0.0309077897929	-0.0502348300404	-0.0259195023377	-0.0428522305591	0.000243204838373	-0.0457996635629
0.00581938156445	-0.0951347975059	-0.00861847049453	-0.00948473794025	-0.0236906764076	-0.0351410279575	-0.0873839922447	-0.0742313098609	-0.0802527393792	-0.0567672671789	-0.0390001814757	-0.0740255142407	-0.0611588574761	-0.033169604457	-0.0776729718048	-0.0595191325595	-0.00811351595991	-0.0242281161126	-0.0406226932531	-0.024921863709	-0.0114018087262	-0.0117235982438	-0.0423575121804	-0.0486330907976	-0.0671051514722	-0.0655074318063	-0.0836715775985	-0.0786532572789	-0.0657858626006	-0.0358085078464	-0.133779731967	-0.0257303949112	-0.0134223669906	-0.0424947639195	-0.0252924128672	-0.0387821541519	-0.00584409434687	-0.0115986739595	-0.0115347334985	-0.0186670755264	-0.0463035437077	-0.0394483461792	-0.0196416393418	-0.0351148805756	-0.0118938888464	-0.0559640259558
-0.0870038843457	-0.0774664856364	-0.00447681535525	-0.00951877088859	-0.0301600048846	-0.0247991841281	-0.0869288873559	-0.082226374367	-0.0671321219799	-0.0642455528082	-0.0257105805026	-0.0706140131534	-0.0274648177727	-0.0374065419507	-0.14317414208	-0.0623253557649	-0.0399233231849	-0.0147521076816	-0.0175685205596	-0.0278936657773	-0.0049513089676	-0.00831683749818	-0.0733069179676	-0.0487834966757	-0.1060367458	-0.0539708520574	-0.108129855042	-0.0818744229873	-0.00329551214774	-0.056511445083	-0.139191234604	-0.0512521994702	-0.0415860026162	-0.0276357885388	-0.0334209441975	-0.027451677134	-0.011125386574	-0.0120930197223	-0.012410405532	-0.0167082738471	-0.0767941803405	-0.0405795037841	-0.0234686529497	-0.0359100405288	0.0143951503537	-0.0577369532087
-0.0720235939677	-0.099775526867	-0.0041904037021	-0.00797287126204	-0.0447379987633	-0.0132463331407	-0.0496525187222	-0.0597414298999	-0.0403521172356	-0.0606643730538	-0.0164483143891	-0.0565283949069	-0.0121413240302	-0.037418373312	-0.211122976397	-0.0492233932906	-0.0270807043287	-0.01312492499	-0.0110938455732	-0.0254100018616	-0.00487305053619	-0.00946235861958	-0.0684386608911	-0.0379545653593	-0.0991271093912	-0.051771456387	-0.134140047917	-0.0842175051291	-0.000755452264763	-0.0587450238166	-0.138503044225	-0.0671546608599	-0.0300946216049	-0.026374044117	-0.0498859497002	-0.0137064488756	-0.0162351998345	-0.0144898609044	-0.0115562211433	-0.0180427828207	-0.0790505285863	-0.0263727467591	-0.0492320625636	-0.0365301532846	-0.0424030346608	-0.064305957973
-0.104554181133	-0.100719230726	-0.00607647193464	-0.0077261804576	-0.0477565830616	0.00414803426345	-0.0416688142895	-0.0750641721155	-0.0311895455147	-0.0641256181159	-0.0132492122212	-0.0790372513058	-0.0181417570198	-0.038625901547	-0.101826043955	-0.0514721868168	-0.00765515593142	-0.0123217742109	-0.0118696666464	-0.0244436831244	-0.00874098786916	-0.00298309410657	-0.0671452339211	-0.0462437709005	-0.0983276044517	-0.0597284371811	-0.091837538527	-0.0720957127252	-0.0108133273908	-0.0545360896627	-0.0128209638707	-0.0431260414185	-0.0280716420942	-0.0314758353045	-0.0532726584627	0.00475644421172	-2.14697731043e-05	-0.0112073254768	0.00300290448755	-0.0234342082499	-0.086933662893	-0.0270775217698	-0.0745768829696	-0.0353712360951	-0.0697163286596	-0.0881686976232
-0.0646997131526	-0.0807602091699	-0.0134786040021	-0.00661426757893	-0.0147682955316	0.000270163665363	-0.0608592881501	-0.0697407031471	-0.0258765125254	-0.0694045722879	-0.117769423067	-0.0744954419583	-0.0161763285471	-0.0240169093366	0.0142781601764	-0.0598382639817	-0.010082626484	-0.0158973492078	-0.012091052929	-0.0185436862674	-0.000701362627981	-0.0041787146189	-0.052953521479	-0.0468766910325	-0.0888790134655	-0.0610592698228	-0.0584817598184	-0.04467782462	-0.0644517148418	-0.0534270177622	0.100231950296	-0.00706864338216	-0.0310831655893	-0.0288272776348	-0.016730452895	0.00412045574415	0.00675487730146	-0.0173423170865	-0.00475572073538	-0.0175024736389	-0.0189278556579	-0.0432821346031	-0.0700211690447	-0.0362062560155	-0.0259081688313	-0.085781518288
-0.0707413679916	-0.0735866499679	-0.0128468302588	-0.00607728155452	-0.00177726286124	-0.020694534735	-0.0457053435401	-0.0650447363294	-0.0332483829274	-0.0411201621885	-0.202809338451	-0.0458500228313	0.00490706964703	-0.00701957235768	-0.00890154664231	-0.0614603485079	-0.021847618235	-0.00382914140149	0.00283477290051	-0.00765961517838	-0.00835195835114	-0.00802767167639	-0.0353769167042	-0.0386131839481	-0.0479352647821	-0.0601524463241	-0.0120618221938	-0.0564707465466	-0.0569443812841	-0.0676164387159	-0.0168865014295	0.0436194770374	-0.0426147725016	-0.0480251783403	-0.000985864628831	-0.0214192568131	0.0213266925688	-0.0177271300061	-0.02301824918	-0.0174343369541	-0.0420546207136	-0.0606330445358	-0.0208277370808	-0.0269132658201	-0.00601748366663	-0.0401286109579
