FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE	DNASE2TF	FLR	PIQ	WELLINGTON
ATF3	0.587766539956261	0.984417785261	0.676745234147	0.823504818594	0.99318933304	0.994279135985	0.993885219319	0.990374668455	0.990385242139	0.983413147734	0.989018306989	0.99203076898	0.989060362661	0.990648664075	0.990510357174
BACH1	0.595062996449516	0.820402985442	0.510686529662	0.646285282028	0.848677787973	0.859413995005	0.855433719244	0.8359635765	0.835930638631	0.817925628108	0.83370667721	0.842608151545	0.834787339175	0.902973346345	0.836043991063
BRCA1	0.482916248812613	0.998299103211	0.576266714711	0.526369204901	0.999786812395	0.999758187205	0.999815837937	0.999596044519	0.999571422852	0.996517935783	0.999152253984	0.999775802706	0.998971895268	0.99978601169	0.999686724317
CEBPB	0.647424338487731	0.792196853326	0.50236678683	0.635231299018	0.817934722064	0.827879971571	0.824180731677	0.806266888461	0.806265411399	0.802181876407	0.797607391265	0.812367873358	0.80528047498	0.80747830187	0.806340166601
CTCF	0.437563756375638	0.906876000978	0.598157917407	0.82872253679	0.938362832407	0.942119460366	0.940711273613	0.923436141482	0.922989242959	0.929576020215	0.938240443501	0.930543973152	0.923545953768	0.923151988759	0.923804630074
EGR1	0.271667611780688	0.939749553627	0.483153350518	0.719318737545	0.96611120276	0.974260259025	0.972286009383	0.954170215017	0.952972471831	0.935216676609	0.941042207541	0.96092865686	0.95268462488	0.955550565001	0.954775205812
FOSL1	0.63917755506838	0.990947584492	0.539650154797	0.651422336193	0.999166298839	0.999135020967	0.999122608934	0.996708389682	0.996663528405	0.982147340495	0.994241897975	0.998430801413	0.995713478514	0.996933608385	0.996803541092
GABP	0.385942909955403	0.976407171135	0.623741877508	0.743307350436	0.994880631776	0.996193170752	0.99601887994	0.988486970006	0.987615438026	0.973267997809	0.984442970861	0.991957940751	0.986129712095	0.989062050282	0.988779432979
JUN	0.673359416303113	0.985152190176	0.639091946727	0.668420520673	0.993894707865	0.99534459387	0.994872691267	0.991097122586	0.991067958923	0.980047684463	0.98907804542	0.992712771126	0.988181166642	0.991369255937	0.991224282769
JUND	0.623249283090621	0.935296279524	0.48091538854	0.703095949861	0.957527252379	0.963864131703	0.961641999636	0.9485255568	0.948503048533	0.943243447603	0.941939208222	0.953422203965	0.944934027567	0.94886077899	0.948668359434
MAFK	0.705908828833056	0.702263695409	0.499823506989	0.765486323372	0.733281712753	0.746483541356	0.741443689923	0.718666591933	0.718662943549	0.766694637954	0.710359827601	0.726180780408	0.717231994218	0.719968876838	0.718741483636
MAX	0.465860778843763	0.94978288901	0.494282370294	0.515865292511	0.967550440187	0.969666524004	0.968678786378	0.960719565775	0.960698862397	0.937275880078	0.952336388333	0.964467053212	0.957460208165	0.961072036288	0.960866353316
MYC	0.526850490800918	0.981801395923	0.575635561496	0.545925023503	0.991462306121	0.992218725508	0.991896228256	0.98834322738	0.988280552372	0.976986293095	0.983357702321	0.990153758922	0.985272430015	0.988688978634	0.988486219148
NRF1	0.182766276627663	0.906385428962	0.731058180996	0.832383019318	0.914002756554	0.940759946199	0.940841430774	0.929762971063	0.928110979591	0.909126303899	0.908768421737	0.930097473562	0.919349275815	0.923526710149	0.92965650391
POU5F1	0.741730200005796	0.965569782177	0.649930846421	0.807264239311	0.979469013068	0.982458246156	0.981469031139	0.974824156126	0.974814903398	0.9717715593	0.9724005629	0.97748198678	0.8	0.975238665048	0.97499734744
RAD21	0.427098709870987	0.879929325798	0.593760192368	0.828130984968	0.913530030912	0.917728370357	0.916155964557	0.897143901242	0.896743852479	0.910407529242	0.915629372628	0.904845153658	0.898347989143	0.896949141838	0.897574436425
REST	0.630490940569716	0.781858086489	0.548646449237	0.85632358845	0.815502444574	0.823007594847	0.819631666821	0.799564453076	0.799612951202	0.881289027932	0.778317761765	0.807551871118	0.8	0.866690722589	0.79962966542
RFX5	0.542870944807892	0.891267470444	0.551628285993	0.807718723169	0.91547285805	0.920671131818	0.9184589473	0.904688201491	0.904682689512	0.924416558425	0.888244755704	0.910178616278	0.901912546635	0.904971576791	0.904797390495
RXRA	0.636988899452415	0.969130162152	0.523759819956	0.517521313548	0.985532583347	0.987808893797	0.986951740883	0.980124593157	0.979926733922	0.956497733399	0.969332235766	0.983188040595	0.977679357221	0.980244189546	0.9800382064
SIX5	0.602787895527777	0.966815064959	0.62478745898	0.801933118816	0.981219193603	0.984196298401	0.983115057253	0.975788520458	0.975662368296	0.960647192413	0.966629003424	0.978758401944	0.973525831368	0.806678563283	0.975871680858
SP1	0.131617161716172	0.956771442383	0.432454685957	0.674140064431	0.978944209229	0.983283368535	0.982126823175	0.969853632036	0.969268816854	0.953285180521	0.957259887315	0.974481987478	0.967433770503	0.970486049068	0.970198781799
SP2	0.130400996129227	0.972318683006	0.508572940956	0.696599212132	0.990041218608	0.992797452783	0.992373713039	0.982666988992	0.983531328936	0.967474142924	0.959873916283	0.987544605512	0.975770062858	0.98452057245	0.98399121904
SP4	0.102898907286025	0.95591725356	0.619968254404	0.64848878756	0.97301764965	0.979157792419	0.978823666386	0.966280558098	0.967859245509	0.940582279842	0.937334152098	0.975578696572	0.965023736428	0.901926504051	0.971208275149
SRF	0.559997840125715	0.850546734473	0.555200486504	0.805434398721	0.877049387781	0.886521466592	0.882948774371	0.865247104184	0.865246712262	0.940089691383	0.859208271089	0.87144884217	0.863154837799	0.865602050557	0.865337221666
TCF12	0.627312140966792	0.940821406729	0.428356173541	0.511096517724	0.964792647146	0.970667925228	0.968560346121	0.954237645947	0.95401984006	0.934105138021	0.929895955046	0.959300767325	0.950847492351	0.954472357315	0.954299801399
USF1	0.638321747142829	0.857095459237	0.539862097879	0.786472768435	0.884718718487	0.892443498462	0.889296189332	0.872068770496	0.872080138519	0.880641038641	0.871087983211	0.87865195121	0.870914268954	0.872437895674	0.872160203293
USF2	0.611240957821407	0.964000663406	0.605780148106	0.76903313064	0.9788312528	0.981522143189	0.980468206513	0.973092677138	0.973075588181	0.970702611742	0.971481212497	0.976250640219	0.970715226982	0.973359796605	0.973214976577
YY1	0.432303824213149	0.941329595676	0.534804203022	0.81545242867	0.956291362963	0.95975355077	0.958394537107	0.950264165079	0.950251199594	0.961208937721	0.94885957913	0.95353695222	0.948373216777	0.950589646246	0.950368471338
ZNF143	0.564337512811755	0.96245351644	0.52995315229	0.701642435161	0.977068328328	0.980010828898	0.978940251236	0.971683612474	0.971593561354	0.949006929911	0.963285846247	0.97463011144	0.970123977376	0.812060209257	0.971775291962
