BRCA1_F	BRCA1_R	CEBPB_F	CEBPB_R	CTCF_F	CTCF_R	E2F4_F	E2F4_R	E2F6_F	E2F6_R	ELK1_F	ELK1_R	FOS_F	FOS_R	GABP_F	GABP_R	JUN_F	JUN_R	JUND_F	JUND_R	MAFK_F	MAFK_R	MAX_F	MAX_R	MYC_F	MYC_R	NFYA_F	NFYA_R	NFYB_F	NFYB_R	NRF1_F	NRF1_R	P300_F	P300_R	RAD21_F	RAD21_R	REST_F	REST_R	STAT1_F	STAT1_R	TBP_F	TBP_R	USF2_F	USF2_R	ZNF143_F	ZNF143_R
-0.0833156291962	-0.0272469297475	-0.0039472650972	-0.00708913846415	0.00273635703266	-0.0407796526419	-0.0706758380911	-0.0944880070185	-0.0790972263524	-0.0860776091159	-0.0854600142459	-0.0820757939921	-0.0177663367961	-0.0277037766195	-0.0838565562579	-0.0600553286271	-0.0205849831048	-0.0191934119368	-0.0142347781905	-0.0223992085221	-0.0117010862156	-0.00764588087436	-0.0346522078446	-0.0436763051089	-0.0521698418189	-0.0542582575483	-0.0501572323113	-0.030320273455	-0.0410804165925	-0.0405334175274	-0.0481997182456	-0.0503229466277	-0.0229034870963	-0.0235342330878	0.00726726486532	-0.0446508755429	-0.00918460031702	-0.0148403168396	-0.0122953472848	-0.0188388597565	-0.0248573310548	-0.0197495731332	-0.0205648259462	-0.0406340923785	-0.0783674282519	-0.00589470735218
-0.0726684858182	-0.0712543044831	-0.00474779131137	-0.00837663121941	-0.0320219009517	-0.0480454474693	-0.0751385523476	-0.0662005657976	-0.0734793692641	-0.0595989020847	-0.103654412189	-0.0635481016486	-0.0207468256816	-0.028093175873	-0.0632423552664	-0.0698191922038	-0.023033294805	-0.0245461806101	-0.0165472124321	-0.0234681406835	-0.0152667373372	-0.0110901491567	-0.0310852934116	-0.0388569214503	-0.0477510174483	-0.0321502402513	-0.0572829873425	-0.0248357323953	-0.0633920488143	-0.0405092359867	-0.0425174130608	-0.0493844189688	-0.037880343337	-0.0385334198434	-0.0341235582605	-0.0527782882291	-0.0130715654899	-0.00377663273198	-0.0210584102228	-0.0124276797173	-0.0367559328835	-0.0288775691615	-0.0234002420954	-0.0312900033411	-0.0387980780461	-0.023846834491
-0.138144506368	-0.0475779264416	-0.00667312490374	-0.00626707852579	-0.0341121423591	-0.0449284062797	-0.084418994904	-0.0683709114101	-0.0591184819017	-0.0558702016816	-0.154108375875	-0.0620014096366	-0.0224956098163	-0.0355106384115	-0.0541187844606	-0.0573017487923	-0.0271236611886	-0.0160044236565	-0.0172272544648	-0.0243974297034	-0.0113138541476	-0.00680459799237	-0.0150848825319	-0.0398513097257	-0.0508980555145	-0.0652733366752	-0.0652854251621	-0.0381599699082	-0.0597999485221	-0.0442344195489	-0.0237855101577	-0.0373885974641	-0.0332910171208	-0.0230693458062	-0.0388273594823	-0.0507657731168	-0.0252666179	-0.0067888110505	-0.0313033640112	-0.0132988858062	-0.037729104155	-0.0154250338158	-0.0245907251457	-0.0346923033088	0.00177839409868	-0.0217409160639
0.00730668093134	-0.0892853153399	-0.0108190012898	-0.00473351607425	-0.0166604631518	-0.0550644807439	-0.0855466360027	-0.0709151823515	-0.0958748706075	-0.054126206646	-0.13694136187	-0.049523145046	-0.0399160658853	-0.0283548420963	-0.0632009356023	-0.063899001373	-0.00553842868138	-0.0228939482873	-0.0273121396953	-0.0252437122823	-0.0123468732978	-0.00706468392339	-0.0379193319095	-0.0404444098143	-0.0486844817774	-0.0572927343828	-0.0731356196658	-0.0573844565579	-0.0654425598601	-0.0309287304793	-0.0601120803164	-0.0238367380354	-0.0337248264598	-0.04357179949	-0.0188542778975	-0.0636796135606	-0.0132285733381	-0.006109556831	-0.0229898777796	-0.0117519655042	-0.00727080560378	-0.0117389933953	-0.0172208587472	-0.0382385761242	0.0232966474494	-0.0238031119129
0.0148950568262	-0.0817208632598	-0.00551087863767	-0.00523303100831	-0.0287586822319	-0.050227463664	-0.0821069742609	-0.0622021453421	-0.0783705489206	-0.0528405522295	-0.0351475237548	-0.062875797203	-0.0537908586695	-0.0230167380294	-0.0625413516533	-0.0560970067955	-0.00205837285109	-0.0183595583836	-0.0367782690018	-0.0200740360704	-0.00989636958425	-0.0101806152431	-0.0347059884464	-0.0436403840332	-0.0540496332845	-0.0616732469904	-0.0641349832135	-0.0588579064161	-0.0549475362327	-0.016679217879	-0.117558362302	-0.010408859841	-0.0185619737498	-0.042834378635	-0.0321219993185	-0.0565098166351	-0.0040986940435	-0.00963183928864	-0.0107861810317	-0.0133746991953	-0.025513955323	-0.00360444633579	-0.0126119243869	-0.0325525306169	0.0178399944429	-0.0350659733864
-0.0534324951967	-0.0521259630281	-0.0009789981345	-0.00476291459657	-0.037157734507	-0.0366083523535	-0.0845256350613	-0.077955043994	-0.0665449777207	-0.0641360112343	-0.0241128106671	-0.0629247483147	-0.0203755210079	-0.0296734976227	-0.131205778179	-0.0582659244573	-0.0340291430706	-0.00693776667003	-0.0136978257646	-0.0232595037644	-0.00316774548024	-0.00579716251366	-0.0684522194516	-0.0411384497607	-0.0953452943377	-0.0498026262343	-0.0924831634406	-0.0615401096551	0.00789158680115	-0.0408244527122	-0.119814991885	-0.0309304357319	-0.0407664981458	-0.0228182684671	-0.0416489621911	-0.0417059304751	-0.00890404238521	-0.012558622469	-0.00895428217675	-0.0110326331605	-0.0479199799918	-0.00343851480256	-0.0175853862755	-0.0314751657328	0.0442166443871	-0.0336470386802
-0.0533468051805	-0.0575269311271	-0.000496916635237	-0.00316704808839	-0.0546848832645	-0.0205263012245	-0.0429634102409	-0.0574203213672	-0.0344525135105	-0.0600349615604	-0.0125299686697	-0.0521946590161	-0.00415070749197	-0.0285495251395	-0.201565408808	-0.0413885209979	-0.0213774307782	-0.00851786026256	-0.00668254729848	-0.0198939867914	-0.00260522631294	-0.00610345077646	-0.0606647145113	-0.0297891211326	-0.0895535916107	-0.0462806807936	-0.118246138496	-0.0658569458464	0.0133227147514	-0.0438695967721	-0.121766103612	-0.0451798341512	-0.0303833101502	-0.0257815175182	-0.062349587757	-0.0218540845721	-0.0141432449918	-0.0136992462083	-0.00906307117032	-0.014805831864	-0.0483069643702	0.0162023585025	-0.0455056887535	-0.0281588589425	-0.019299088942	-0.0385674949754
-0.078853227935	-0.102140335796	-0.00245761799216	-0.0036295671107	-0.0597560395411	-0.00227308134155	-0.0332993524351	-0.0707987271957	-0.0280169878475	-0.0582426711268	-0.00256816037811	-0.0796089446722	-0.010233630142	-0.0308224773113	-0.0941074497359	-0.0420973788829	-0.00199109012398	-0.00617142985559	-0.00761865924177	-0.0187576352945	-0.00626980214147	-0.000554163974402	-0.0653915351435	-0.0369192929291	-0.094917976031	-0.0560644267923	-0.0746898463709	-0.0542706104791	0.00484508825694	-0.0367160006323	0.00383945250921	-0.0298500612391	-0.0268927803189	-0.0299855272685	-0.067632212913	-0.00219557707911	0.00258773826092	-0.0111139944755	0.00747718360034	-0.0200708923471	-0.0542053327836	0.00816076144967	-0.0714206310864	-0.0277135167863	-0.0420577016968	-0.0809731113183
-0.0495929987201	-0.0511491614132	-0.00893931552168	-0.00237433525064	-0.0337622555301	-0.00353487648781	-0.0497733780219	-0.0633935499387	-0.0209645730439	-0.0657659279694	-0.110839432961	-0.0715032072985	-0.00837675335182	-0.0168079778739	0.0202458865863	-0.0513768174125	-0.00107696726954	-0.00942708343266	-0.00787315421794	-0.0133913325674	0.00162418021385	-0.0014172331584	-0.0449645061885	-0.0397760949815	-0.0857396371702	-0.0570452261961	-0.0458377808234	-0.0208550718395	-0.0449462444615	-0.0410995013286	0.120956341093	0.00288877495134	-0.0230128228235	-0.0285408280308	-0.0398506574467	-0.000193356295447	0.00890720670579	-0.0173438596698	6.88544149913e-05	-0.0141630332445	0.0190556617016	-0.0122998556909	-0.0676959223511	-0.0286061726526	-0.00288097620943	-0.0719475517503
-0.0667147139271	-0.0394793969806	-0.00771153781835	-0.00251233012829	-0.0163337096428	-0.0248991190771	-0.0415596442422	-0.0599175077182	-0.0298419536592	-0.0349313878243	-0.197818665141	-0.0463501327476	0.0150149869289	0.00298568116039	-0.000902668181284	-0.0516215234807	-0.0148246098428	0.000474212777153	0.00878989752344	-0.00206527601449	-0.00621601585986	-0.00683164949111	-0.0314045954475	-0.0305059937964	-0.0425789333956	-0.052856006951	0.00453803635604	-0.0420985113125	-0.0471443857326	-0.0481280437503	0.0106129349198	0.0531489802548	-0.0409040489198	-0.0498862549296	-0.018363789919	-0.0264559820006	0.0245541386204	-0.0189700289005	-0.0180744941641	-0.0149046480742	-0.00445692809585	-0.0257657173338	-0.0130586598933	-0.0197295653732	0.0365110771042	-0.0272186096045
