FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Centipede_99_H1hesc_protection_mean	Centipede_99_H1hesc_protection_median	Centipede_99_H1hesc_protection_std	Centipede_99_GM12878_protection_mean	Centipede_99_GM12878_protection_median	Centipede_99_GM12878_protection_std	Centipede_99_protection_ks_stat	Centipede_99_protection_ks_pvalue	Centipede_99_H1hesc_tc_mean	Centipede_99_H1hesc_tc_median	Centipede_99_H1hesc_tc_std	Centipede_99_GM12878_tc_mean	Centipede_99_GM12878_tc_median	Centipede_99_GM12878_tc_std	Centipede_99_tc_ks_stat	Centipede_99_tc_ks_pvalue	Centipede_99_H1hesc_fos_mean	Centipede_99_H1hesc_fos_median	Centipede_99_H1hesc_fos_std	Centipede_99_GM12878_fos_mean	Centipede_99_GM12878_fos_median	Centipede_99_GM12878_fos_std	Centipede_99_fos_ks_stat	Centipede_99_fos_ks_pvalue	Centipede_99_H1hesc_flr_mean	Centipede_99_H1hesc_flr_median	Centipede_99_H1hesc_flr_std	Centipede_99_GM12878_flr_mean	Centipede_99_GM12878_flr_median	Centipede_99_GM12878_flr_std	Centipede_99_flr_ks_stat	Centipede_99_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0106582628905	0.00861369836082	0.00876281453344	0.00908017015341	0.00740704332653	0.00829305905876	-0.0346269385394	-176.092533203	0.528474575011	0.542559238269	0.0877812337079	0.365259553736	0.386541617793	0.0559375501915	-0.208013669968	-67.3146852895	0.415630369693	0.415057224606	0.0384519839186	0.378208684042	0.379232236528	0.0316510300349	-0.473534405008	-169.527672806	0.318575371062	0.316939280626	0.0215990650847	0.287180102895	0.287317546276	0.0159439604746	-0.715363822917	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0743275221461	0.0506929053246	0.0478577030442	0.0667697765609	0.0444172941985	0.044696384015	-0.15345711861	-300.0	0.474183899038	0.475136558643	0.0522458972536	0.335883256799	0.342962344985	0.0398816885181	-0.187921727395	-171.257654134	0.605270218756	0.602885309133	0.0422860656032	0.561715804103	0.558595720593	0.0363636010578	-0.464298627192	-258.487002286	0.335767640145	0.33409143932	0.0309968621862	0.307812971322	0.30671453095	0.0222811667596	-0.597931925894	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.011758244631	0.00863657609798	0.0100679840313	0.00964273599757	0.00690212983459	0.00868660906729	-0.250788097195	-300.0	0.513337207128	0.520992683149	0.0846145056866	0.362955736927	0.383097795986	0.0471735773032	-0.216257668712	-162.401666272	0.501965509508	0.501714344104	0.0350724485606	0.468340294664	0.46865388861	0.0253368661742	-0.486925266384	-300.0	0.332791487899	0.331539741843	0.0225902726518	0.310330816813	0.309737616997	0.0193869963755	-0.599639362448	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0188971495669	0.0158596682962	0.00829890522158	0.02023731989	0.0170601165931	0.00899852003004	0.0289505039602	-300.0	0.595946466258	0.600585241612	0.0377036612563	0.434479146815	0.440651839052	0.035895781442	-0.235706064779	-300.0	0.495630654176	0.495946174056	0.0354438272914	0.46934689969	0.469261144879	0.0285290912267	-0.338046284347	-300.0	0.343739354519	0.343879618459	0.0210562350021	0.323740427213	0.323709834012	0.0165743880898	-0.562576016684	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.0397589834628	0.0318702558214	0.0238753874627	0.0323849108396	0.0241563041818	0.0202510130643	-0.155116952996	-300.0	0.498703171389	0.499683764845	0.08349397415	0.354967890092	0.379481648877	0.0398881763432	-0.165869226924	-93.899450173	0.532786547773	0.53431129714	0.0434516753997	0.513206123136	0.513809269368	0.0336648253669	-0.217449082008	-49.7963397088	0.314295208548	0.31276348925	0.0254237907289	0.297365958169	0.297585949057	0.0202723485103	-0.543672002102	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0150654843671	0.0124476528982	0.00949671222845	0.0125864722947	0.00996453080508	0.00816105870496	-0.0406561902097	-300.0	0.508732532684	0.516337525009	0.0524991239274	0.382127055203	0.393745171881	0.0354615106777	-0.155714646035	-300.0	0.396316600959	0.395499742508	0.0289009521415	0.38042849783	0.380238369245	0.0244963322413	-0.259202982575	-300.0	0.395280074899	0.396202312282	0.0167303869869	0.378070067753	0.378740151552	0.0131247438907	-0.61115341235	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.00812822749805	0.00641613525963	0.00786837240777	0.00996941480981	0.00788004021286	0.00878796642962	0.0195397111764	-278.100897685	0.429550723177	0.432915057745	0.0702945954712	0.318888527691	0.334780265883	0.0348642285366	-0.0661483288416	-88.8431397059	0.469859664561	0.469744976653	0.0378363111783	0.449368509641	0.451322534087	0.0305725111542	-0.252917395145	-85.2907195494	0.321306996063	0.32077052742	0.0168565868487	0.307575550429	0.307627962892	0.0150343391061	-0.583460242525	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0280603806184	0.0254122518109	0.00948730772747	0.0294355435578	0.026207775675	0.0100168643426	0.0375731744603	-300.0	0.58507624642	0.58951887471	0.050395455493	0.428639497987	0.437570657503	0.0355066349453	-0.184368611837	-300.0	0.434814634349	0.433597940903	0.0412988018578	0.421194741852	0.419607800216	0.0331164945305	-0.126278674062	-180.519269524	0.308516059951	0.308407934232	0.0279659130706	0.29577256273	0.295680379679	0.021113610295	-0.374752421122	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0148191276535	0.0121444920785	0.00875678708286	0.0129805557065	0.0104892176698	0.00760265436594	-0.120238012574	-300.0	0.499326644279	0.505180422897	0.067366746176	0.364847466822	0.379578388697	0.0331169273119	-0.155821277066	-225.274731593	0.554986988684	0.554978867415	0.0282208824346	0.536281141868	0.536370285015	0.0206136245091	-0.318408087789	-212.933134893	0.336711404864	0.335885560041	0.0224705706521	0.323375037175	0.323177892479	0.0215148421397	-0.435683754962	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0175689826187	0.0145085580289	0.0100730493796	0.0154746993185	0.0127892198642	0.00929389430626	-0.0523786297333	-300.0	0.457225504002	0.465434212143	0.0670737651836	0.344314403728	0.358431774371	0.0431701276521	-0.0436980563987	-175.381106573	0.475026292822	0.476007917846	0.043503104206	0.46235252588	0.463029043985	0.0377937857321	-0.0887116506682	-44.8608370934	0.3342646808	0.334108660345	0.0226947159223	0.322881315415	0.32262656996	0.01763437957	-0.377939791239	-300.0
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0104945063728	0.00834220931665	0.00824588698433	0.0116448295528	0.00933695558135	0.00908989312939	0.0325870647907	-300.0	0.60506294928	0.611865063649	0.0682079252318	0.437004227796	0.454645192194	0.0387554970296	-0.160340273181	-212.483226163	0.40576421967	0.405962594866	0.0362859223143	0.395503500909	0.39432987689	0.0251719244876	-0.155959062397	-64.715086531	0.313573997282	0.313527954153	0.0269328125886	0.305165523788	0.303939816883	0.0176166476114	-0.325327146619	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0339235809477	0.0264566176074	0.022237328045	0.026736438161	0.0216567553935	0.0175787356565	-0.0458580228784	-259.28083756	0.306918092069	0.317066538364	0.0441552672514	0.409051067471	0.415535936948	0.0663327256439	0.0526618735519	-42.4169247977	0.329027191472	0.327726565886	0.0562993276159	0.326546228394	0.320600342002	0.0321641821514	-0.0529319498069	-5.55858125625	0.288200111558	0.287416390029	0.0216965777997	0.279959842332	0.279134913324	0.0198224979434	-0.327377835804	-300.0
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0671100625751	0.0535875736054	0.0386535085469	0.0546117750286	0.0427597627388	0.0301156548535	-0.155934790009	-300.0	0.544640803881	0.550382301424	0.0826202479602	0.393648364284	0.415514508973	0.0341353207192	-0.156414603031	-101.508685726	0.431120354978	0.430975015818	0.0333777790854	0.420362796114	0.419601316091	0.0245649158725	-0.163927670822	-40.5824736352	0.32063698829	0.319253633531	0.0245222953481	0.311156100711	0.310127727045	0.017156383738	-0.400857037659	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.00827295039596	0.00714897939045	0.00525721953292	0.00890921222297	0.00760205338434	0.00615682532537	0.128239152801	-300.0	0.594870153784	0.598524114838	0.0454246307765	0.44298858113	0.450365058507	0.0341626018145	-0.117169313334	-300.0	0.470034784591	0.468628428544	0.0399182509497	0.464651225206	0.462292227068	0.0294384263773	-0.0179021870768	-65.8531545895	0.309088841678	0.308570711241	0.0336648894869	0.303400400898	0.302843361413	0.0235957910121	-0.109945122489	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0137749089587	0.0113706148882	0.0100727727275	0.0116843215079	0.00915863919782	0.00857584808347	-0.0997776770231	-300.0	0.359756926042	0.373806845899	0.0375638424581	0.470540109118	0.477276443888	0.0656806564624	0.00776253285489	-154.405063394	0.394433951102	0.394730687201	0.0324568039205	0.385854508381	0.3869725487	0.0254062619248	-0.0699566277617	-32.1857418472	0.341856033182	0.341432424446	0.0165791190351	0.335915815238	0.33591339008	0.0157786906093	-0.279190060037	-300.0
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.00999424656243	0.00758342258923	0.00785795646616	0.0126275202607	0.00972657556835	0.00940697944188	0.0431675597072	-300.0	0.494901049846	0.501237637577	0.0664013124334	0.378618460677	0.394795078495	0.0376388544441	-0.0435232873659	-190.466311575	0.455651435238	0.455754406231	0.0268452812954	0.448107260817	0.448528521051	0.0220312713848	-0.119481439656	-69.7499853782	0.366599223613	0.367695332175	0.0153959826882	0.3612694272	0.361770747703	0.0109597348076	-0.326764695913	-300.0
GABPA	-0.7648685556	8.661842	7.8969734444	0.0414476818336	0.036512516596	0.0159943300761	0.036462381156	0.0317499882765	0.013633743728	-0.0296984078652	-300.0	0.495457009214	0.498154618232	0.0397449672851	0.371407291994	0.376793385567	0.0349693326186	-0.0666422246606	-300.0	0.478308268115	0.472528222265	0.0513942814376	0.467338675791	0.464696988891	0.0371958954637	-0.024858191705	-38.8623982498	0.306573326478	0.306565074515	0.036091788062	0.302209913625	0.301751170773	0.0251201882796	-0.0681607267261	-290.732028578
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.00867491674704	0.00772262454461	0.00427220472905	0.00939362138113	0.00833188487792	0.00493924486516	0.0995865084975	-300.0	0.589329197906	0.592602801819	0.0412405188264	0.439388085015	0.44523806629	0.0310988085179	-0.109522422226	-300.0	0.468705086514	0.464859496269	0.0341006940008	0.471029155058	0.465903044441	0.0468121159107	0.0417583438673	-31.2510797395	0.341988205922	0.341693423803	0.0317422537095	0.337265201125	0.33687242364	0.0239901250535	-0.079854655474	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0168118261625	0.0114519540885	0.0168472415321	0.02163143406	0.0150750310659	0.0193889702097	0.0712492809063	-299.999987623	0.322097292446	0.341428877976	0.0348944850875	0.42185536319	0.425056643796	0.0743370966961	0.0767773531737	-58.2209278884	0.530915491255	0.530977129174	0.0441769477231	0.522582791015	0.52402982257	0.0340263128162	-0.0552749685454	-12.3642964987	0.32797218278	0.327718627157	0.0177403797928	0.321667785791	0.322427197209	0.0174031904986	-0.308052338747	-300.0
REST	-0.6212560778	8.5147308333	7.8934747556	0.045672618551	0.0405580096639	0.0194849307155	0.0499931541157	0.0437147100478	0.0206320541181	0.108595782466	-300.0	0.354450078223	0.36583940811	0.0375068472481	0.461159891143	0.467078165474	0.0546626443044	0.0124650691049	-300.0	0.647197687742	0.646061284282	0.0344541219604	0.651144648795	0.651012261925	0.0433760605312	0.00701538787331	-15.1817099482	0.331738388612	0.331957592125	0.0255114032108	0.32775189782	0.327684920025	0.0185490643733	-0.0892829688422	-300.0
ERG	-0.5708799333	3.9203937778	3.3495138444	0.00670451501774	0.00544955072491	0.00526968225129	0.00550320599922	0.00425392121884	0.00451466616123	-0.0387234406396	-300.0	0.581246493735	0.58533282669	0.0403379572572	0.441630467539	0.447150036661	0.0331912436874	-0.0973544443956	-300.0	0.507944701926	0.506746932879	0.0278578717726	0.508449539059	0.507465004911	0.0377215554789	0.0400187958358	-15.5131429838	0.309016564219	0.308825013021	0.0235428773301	0.305258843121	0.305183578923	0.0168168510822	-0.118756585749	-300.0
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.0189695642897	0.0130709488272	0.0175022346297	0.0133417905587	0.00690913116862	0.0137497653079	-0.159164243619	-300.0	0.319217298941	0.340572455143	0.0368257478631	0.410532685165	0.409607258306	0.0729774043282	0.119988793089	-27.9113233413	0.425539172544	0.423939046411	0.0651659441779	0.417655931915	0.41767284566	0.0444764114891	-0.0676334422658	-8.64638153882	0.291972857723	0.292108503735	0.0142000771375	0.287270182795	0.287922389096	0.0118790494879	-0.21371592166	-247.053072025
TP53	-0.5304638611	9.9692148611	9.438751	0.0343984328639	0.0281419977663	0.0183691235578	0.0287365325115	0.0234171936144	0.016183706802	-0.0333532789933	-300.0	0.346112475485	0.356728406426	0.0410900446402	0.456114808623	0.462887730163	0.0523177271845	0.0255267927628	-92.9409719185	0.54680468058	0.546709120625	0.0393055489575	0.55025484789	0.551349842069	0.0520839671383	0.00131972896313	-5.34224836457	0.282871024193	0.282270488446	0.0304175930257	0.27980230223	0.279130621026	0.0172438314387	-0.0727564360959	-125.468655147
