FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Protection_H1hesc_protection_mean	Protection_H1hesc_protection_median	Protection_H1hesc_protection_std	Protection_GM12878_protection_mean	Protection_GM12878_protection_median	Protection_GM12878_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_H1hesc_tc_mean	Protection_H1hesc_tc_median	Protection_H1hesc_tc_std	Protection_GM12878_tc_mean	Protection_GM12878_tc_median	Protection_GM12878_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_H1hesc_fos_mean	Protection_H1hesc_fos_median	Protection_H1hesc_fos_std	Protection_GM12878_fos_mean	Protection_GM12878_fos_median	Protection_GM12878_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_H1hesc_flr_mean	Protection_H1hesc_flr_median	Protection_H1hesc_flr_std	Protection_GM12878_flr_mean	Protection_GM12878_flr_median	Protection_GM12878_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.00845153338086	0.00770602200123	0.00684569042815	0.0107147304737	0.00866506573022	0.00876782275509	0.0656641142385	-300.0	0.511498570071	0.514982688311	0.0279029084124	0.407702860242	0.412631613255	0.0191890348471	-0.0206643061769	-300.0	0.321206129416	0.317960196896	0.0507442163235	0.30419291203	0.297043309838	0.0427581581626	-0.116139835823	-29.7072157303	0.340307167452	0.341923285849	0.0267824257218	0.337882515695	0.33757986335	0.0197818888595	-0.0966929829196	-114.317442962
GABPA	-0.7648685556	8.661842	7.8969734444	0.0381203619531	0.0344463117322	0.0144234343675	0.0390560238545	0.0346285161597	0.0147350851244	0.142469124239	-143.486670204	0.350080669503	0.358259574871	0.037683611218	0.463099205412	0.468031245989	0.0401080467639	0.064587681994	-300.0	0.44982633105	0.440361256346	0.0448819180108	0.455144957047	0.444726064537	0.0687799195851	0.0373311577323	-24.1982472359	0.306601681393	0.305974400653	0.0445163511502	0.30235604853	0.301507336091	0.0331967111977	-0.0522654107397	-67.1527681657
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.00738315540865	0.00655314915069	0.00432385477572	0.00788205588634	0.00698399750893	0.0047467637231	0.119316589801	-300.0	0.612796510864	0.618188437185	0.032088355534	0.464467277243	0.472795008753	0.0285577453674	-0.0171896890505	-300.0	0.544327628769	0.537226773713	0.0306318109752	0.550230970643	0.54051501116	0.049106344951	0.0242757199909	-141.939599002	0.319318397944	0.317246235627	0.0584862574475	0.316001633992	0.313025491591	0.0474144689923	-0.0192839730876	-95.3343176339
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0131452853922	0.010389413928	0.0133120631113	0.0155654587707	0.0109913468048	0.0139987188174	0.00519104239586	-300.0	0.38133193901	0.385938152759	0.0227008346325	0.481519145481	0.485759966698	0.0320997448864	0.00757894795546	-300.0	0.4247871466	0.422823995376	0.053427760552	0.403797444496	0.399694244669	0.0420797444632	-0.139610460663	-21.598830902	0.328185311834	0.327886196027	0.0214131808873	0.321812571856	0.322075695992	0.0190595518036	-0.255900869449	-228.855160452
REST	-0.6212560778	8.5147308333	7.8934747556	0.0420293753082	0.0379854316257	0.0152106963355	0.0434179194156	0.0406627677659	0.0161808289207	0.156893859719	-161.746303043	0.359632249365	0.366641261764	0.0323080924746	0.459147392512	0.461082491524	0.033715018755	0.0676554096575	-300.0	0.412547767475	0.406773645814	0.0702161513839	0.410514409036	0.396727039218	0.0453769347685	-0.000416428289557	-39.9090756221	0.295003809226	0.295186775261	0.0349581638806	0.292412248163	0.291714101141	0.0264743304557	-0.0456878973067	-49.0514896479
ERG	-0.5708799333	3.9203937778	3.3495138444	0.00459979060346	0.0035523840906	0.00503902186995	0.00490829362364	0.00387737962263	0.00524075502445	0.148603878009	-300.0	0.386166474226	0.392228287435	0.0312774300852	0.506904192583	0.508351085209	0.0315141740603	0.0377520348575	-300.0	0.397103185207	0.394899175719	0.0480607919014	0.387924613208	0.381019945067	0.0367353557854	-0.056974882218	-142.619875082	0.295429542497	0.294889019889	0.0335659902552	0.291612813042	0.291054523912	0.0269938372836	-0.049056933572	-98.0750659929
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.0165032015457	0.0134103213136	0.00960708360074	0.014255337355	0.0116258905013	0.00912957876558	-0.0742203069377	-300.0	0.359334193826	0.36327265578	0.023607993509	0.450436383503	0.455469349349	0.0315391003967	0.0402054748035	-300.0	0.39312977959	0.392005389202	0.0586217358346	0.375281457596	0.370756719803	0.0503958581858	-0.0768266425351	-9.20457543452	0.248303126379	0.248411452631	0.0137725134952	0.245465618288	0.24548665751	0.0129608690472	-0.100255010117	-59.5460061962
TP53	-0.5304638611	9.9692148611	9.438751	0.0326615306695	0.0295052935805	0.018259239538	0.0279885329116	0.0252990133871	0.0162422564029	-0.0135137812184	-300.0	0.374405480819	0.380616541782	0.0295289662476	0.486783400457	0.491597589358	0.034762557112	0.0514803585299	-300.0	0.343189157601	0.338200942643	0.0723781941679	0.341904147572	0.328433661004	0.04292256737	-0.00550915152543	-11.1636821579	0.296401856223	0.296242326707	0.0291994629086	0.293489639046	0.292850809779	0.0183555189759	-0.0817088951419	-51.8586484069
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0233640276988	0.021011562716	0.00968316213034	0.0237599365725	0.0212226747215	0.00992439631453	0.190250334136	-273.132872306	0.446419000903	0.455468128122	0.0322160477239	0.592247879369	0.597779574886	0.0360415953835	0.00417133697624	-300.0	0.459211668576	0.441223284506	0.0672401681057	0.438129619896	0.431079172027	0.0414741868568	-0.0333132923968	-249.354844059	0.326366156143	0.321655245694	0.0630615231282	0.323648578779	0.318096980841	0.0484011343795	-0.00325581629682	-56.0260521336
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0514404556033	0.0462785986563	0.0227180236414	0.0551451108709	0.0506434737965	0.0241784025908	0.135971902529	-153.141061142	0.595774094199	0.598224766345	0.0300258020443	0.451583169495	0.458706405841	0.0264136226554	-0.0108020661049	-300.0	0.355757777184	0.348429119762	0.0500880139796	0.36752353035	0.350084960687	0.0796412126133	0.0200189294301	-22.2385533956	0.311086106948	0.310203727809	0.0357680062374	0.30835301279	0.307216328551	0.0274489278758	-0.0330200257295	-35.8036181992
