FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Cuellar_80_H1hesc_protection_mean	Cuellar_80_H1hesc_protection_median	Cuellar_80_H1hesc_protection_std	Cuellar_80_GM12878_protection_mean	Cuellar_80_GM12878_protection_median	Cuellar_80_GM12878_protection_std	Cuellar_80_protection_ks_stat	Cuellar_80_protection_ks_pvalue	Cuellar_80_H1hesc_tc_mean	Cuellar_80_H1hesc_tc_median	Cuellar_80_H1hesc_tc_std	Cuellar_80_GM12878_tc_mean	Cuellar_80_GM12878_tc_median	Cuellar_80_GM12878_tc_std	Cuellar_80_tc_ks_stat	Cuellar_80_tc_ks_pvalue	Cuellar_80_H1hesc_fos_mean	Cuellar_80_H1hesc_fos_median	Cuellar_80_H1hesc_fos_std	Cuellar_80_GM12878_fos_mean	Cuellar_80_GM12878_fos_median	Cuellar_80_GM12878_fos_std	Cuellar_80_fos_ks_stat	Cuellar_80_fos_ks_pvalue	Cuellar_80_H1hesc_flr_mean	Cuellar_80_H1hesc_flr_median	Cuellar_80_H1hesc_flr_std	Cuellar_80_GM12878_flr_mean	Cuellar_80_GM12878_flr_median	Cuellar_80_GM12878_flr_std	Cuellar_80_flr_ks_stat	Cuellar_80_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.053769393206	0.0468177935074	0.0195019427892	0.0635024282714	0.0519587503051	0.0306160232933	0.0607240791121	-79.597010552	0.553510427987	0.558448072996	0.0323553988355	0.394572410254	0.396997355626	0.0249108564791	-0.146888975306	-300.0	0.539958349664	0.535844057532	0.0321622982855	0.493393352035	0.489780469341	0.0267990103388	-0.57455517701	-300.0	0.319287116387	0.316766958151	0.0260440621399	0.287157411135	0.287318076892	0.0200897522363	-0.664447389259	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0892650608737	0.0662618688398	0.0566263123618	0.0679628673632	0.0529505815393	0.0393882353853	-0.0347559046424	-184.645544829	0.495907669007	0.501080998972	0.0393107895123	0.352243527258	0.361435117478	0.0361288445019	-0.100837988827	-300.0	0.515899544345	0.509774207334	0.0469537766459	0.48137592703	0.473886344951	0.0356807939609	-0.392469389872	-284.156429599	0.336573857265	0.33439793536	0.0347893485765	0.308250535111	0.306958313553	0.0274348479842	-0.512934631046	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0922247542385	0.0728052236274	0.049783326509	0.0731203719815	0.0596410055586	0.0388624055598	-0.100523849339	-300.0	0.57223746602	0.576543552278	0.0331940945635	0.415648695928	0.418670392635	0.0225209535233	-0.147483643684	-300.0	0.647520428928	0.644238996129	0.0265750885446	0.606819380555	0.605223878604	0.022534100584	-0.595974592408	-300.0	0.33345352667	0.331470993405	0.0270391254799	0.310547554288	0.309892191242	0.0261452494727	-0.518064863341	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0698392049647	0.0557998983288	0.0359462078608	0.0883983838721	0.0688165510287	0.0498510278244	0.00729689823476	-300.0	0.558432944951	0.562821873081	0.0293902591784	0.408110766585	0.413453544017	0.0265885848815	-0.142454077277	-300.0	0.491553160586	0.487884145576	0.035097258245	0.464828805092	0.460827264846	0.0278093090419	-0.366118752466	-300.0	0.343636824864	0.343879618459	0.0239865332512	0.323757000212	0.323622777722	0.0207422327876	-0.470876882225	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.0467993165584	0.0352596323737	0.0292512366313	0.039533233278	0.0314796124915	0.021091898858	-0.0589797378662	-246.515387224	0.541246233094	0.546361762624	0.0341202163643	0.407581588616	0.413493490221	0.0230930944705	-0.103593505825	-300.0	0.41621414295	0.410849445364	0.0410811934798	0.400849154733	0.396649559564	0.0372101493818	-0.155693970531	-55.3186336733	0.314896845959	0.312909813967	0.0324576281484	0.297443450753	0.297401714562	0.0213168700866	-0.460666183824	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.038337314245	0.0299413065812	0.0202598100035	0.0359086199442	0.0285515160113	0.0200961722732	-0.0779028214361	-300.0	0.614330819932	0.6171001173	0.0217924497423	0.467253796262	0.471227190573	0.0167918187001	-0.105063178361	-300.0	0.551138490634	0.548348545214	0.0260076760948	0.528981979534	0.527322849287	0.0221297379696	-0.38291023592	-300.0	0.395615743323	0.396202312282	0.0177576636786	0.378191740442	0.378995637031	0.0157432215468	-0.592675996702	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.0845505989298	0.0705954561486	0.0507194332315	0.0714140304716	0.0595612834887	0.0466150450943	-0.0654421107112	-300.0	0.498142088523	0.50162974171	0.0285264427916	0.388356497654	0.39387936932	0.0208661635158	-0.0893605006597	-300.0	0.366984206556	0.362721113015	0.0425001905185	0.354278096511	0.352521564146	0.0320620121288	-0.117440566811	-35.4776342291	0.321512165528	0.32077052742	0.0211456384687	0.30760269313	0.307627962892	0.0171252608923	-0.555469995314	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0958486755538	0.0874981750477	0.022879911098	0.110443703528	0.0988365541946	0.035476338058	0.0422699560635	-300.0	0.594817601725	0.59848715863	0.0298692715788	0.443641501991	0.450160145333	0.0266793875039	-0.0954245803278	-300.0	0.454221084714	0.450188765116	0.0355963035868	0.436695418226	0.432435537266	0.0274033150754	-0.251225644489	-300.0	0.308537774601	0.308407934232	0.03202713879	0.295738092312	0.295434764901	0.02489830293	-0.292796420899	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0778091936388	0.0654814604165	0.0320617091946	0.0643917447694	0.0573020444557	0.0216043152331	-0.0973007683108	-300.0	0.533699416671	0.538217018111	0.0321969310972	0.403223552697	0.406576726188	0.0232320258601	-0.0828479745331	-300.0	0.538596660335	0.535010433424	0.0409658119036	0.519799664832	0.51563364173	0.0322838174596	-0.221220999639	-246.742451629	0.337002229335	0.335885560041	0.027926441383	0.323528417329	0.323177892479	0.026665587914	-0.347781920195	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0690722618056	0.0585759759684	0.0330656817474	0.0539693783735	0.0459925803865	0.0216146267714	-0.0717421677265	-300.0	0.53185303815	0.536311854269	0.0310919132809	0.400891361652	0.405542833272	0.0259591630992	-0.0670050578136	-300.0	0.489042112851	0.485599917539	0.0361289741871	0.473568681081	0.470194309032	0.028331520869	-0.210565812534	-299.996299654	0.334439337251	0.334108660345	0.0265866822931	0.322994427628	0.32262656996	0.0226833775085	-0.295186638776	-300.0
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0343028881124	0.0258305605489	0.0332288700323	0.0438790635115	0.030492851728	0.042604721695	0.115920089012	-172.549640111	0.549006318542	0.554404223458	0.0374001619976	0.409613802239	0.4149253478	0.0231468494844	-0.067336064739	-300.0	0.511657621243	0.508442100207	0.0349636510638	0.496936555283	0.494512644896	0.0293238178934	-0.162950343081	-137.859908812	0.313509367376	0.313527954153	0.0319634311914	0.305696638718	0.304103741447	0.0215983733288	-0.230196060286	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0509766355785	0.0382618538114	0.0429621023757	0.0393828458362	0.0285535675283	0.0329752893375	-0.0316533587753	-165.788911276	0.471721521707	0.478473418174	0.0347675938855	0.370006790039	0.376202488826	0.027532831954	-0.0215699781369	-300.0	0.404220207301	0.396996653963	0.0487158379884	0.393900279307	0.388457164699	0.0405819065077	-0.0720157920158	-11.6574465755	0.288690782309	0.287416390029	0.0277789411657	0.280119910226	0.279134913324	0.0277468112696	-0.234020746016	-111.6494695
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0476027360388	0.0429010591301	0.0210445313563	0.0549388374881	0.0485237712842	0.0271272958518	0.0445826672942	-226.818898422	0.584273222427	0.588634291771	0.0302690633477	0.445495904921	0.450054660876	0.0207738969584	-0.0702097263683	-300.0	0.406963381908	0.400437054998	0.0514516677762	0.397512341415	0.39295451258	0.0413938782131	-0.0495620184442	-24.1682645267	0.321555745812	0.319325176032	0.0284588738525	0.311483079105	0.310130409028	0.0231773420976	-0.350818815864	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.0583455662374	0.0499018819837	0.0287918732161	0.0738932457459	0.0649084853514	0.033525955609	0.0202206129518	-300.0	0.562234066782	0.568589138771	0.0342874607744	0.432377995127	0.440677335436	0.0297832762564	-0.0106521771572	-300.0	0.512536547857	0.507083858966	0.0381689224464	0.505712107268	0.499517491525	0.0284876550045	-0.0892394007057	-300.0	0.309428795271	0.308802334824	0.0376033867662	0.303535859341	0.302869013703	0.0281735267872	-0.0507487814762	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0447049869148	0.0342286079367	0.0325238805493	0.0317753309425	0.0238890412051	0.0253482802622	-0.00708587621651	-300.0	0.552548264947	0.557241566909	0.0302152628984	0.429398955863	0.431495301158	0.0255307354656	-0.0215644741741	-300.0	0.447933883962	0.442596007057	0.0489731278831	0.443050376307	0.439371708294	0.0375470897657	-0.00868539715574	-30.0192725587	0.341988997185	0.341432424446	0.0192845936157	0.33590340291	0.33591339008	0.0191346412049	-0.248315892383	-300.0
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0365964641053	0.0272809176629	0.0240700365659	0.045588610271	0.0342607217695	0.0284497723631	0.0750637148461	-300.0	0.513392715373	0.516266499951	0.0265797014455	0.409548623811	0.414358392054	0.0183493572639	-0.023218361793	-300.0	0.650395746903	0.646921546546	0.0300645827934	0.639639584871	0.637659398062	0.0296325697949	-0.119627365289	-52.1081714017	0.366288934088	0.367695332175	0.0174503269326	0.361231718837	0.361774362154	0.0129948613641	-0.30347237673	-300.0
