FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	TC_H1hesc_protection_mean	TC_H1hesc_protection_median	TC_H1hesc_protection_std	TC_GM12878_protection_mean	TC_GM12878_protection_median	TC_GM12878_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_H1hesc_tc_mean	TC_H1hesc_tc_median	TC_H1hesc_tc_std	TC_GM12878_tc_mean	TC_GM12878_tc_median	TC_GM12878_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_H1hesc_fos_mean	TC_H1hesc_fos_median	TC_H1hesc_fos_std	TC_GM12878_fos_mean	TC_GM12878_fos_median	TC_GM12878_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_H1hesc_flr_mean	TC_H1hesc_flr_median	TC_H1hesc_flr_std	TC_GM12878_flr_mean	TC_GM12878_flr_median	TC_GM12878_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0107747134384	0.00869152064748	0.00878040000517	0.00916375132911	0.00740704332653	0.00812777953686	-0.0293335622696	-178.506120173	0.551659779383	0.559930656241	0.0361886919935	0.394533704964	0.400259396579	0.029923996278	-0.195178399229	-300.0	0.47811199076	0.473891625616	0.0347989272164	0.444616263609	0.4394685774	0.030711376352	-0.411507159267	-269.120502489	0.318114788291	0.317003042973	0.0312155084167	0.287179779557	0.286719028609	0.0242456374528	-0.596057024801	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0756585261164	0.0513283719441	0.0485341792989	0.0677427316019	0.0447953137236	0.0452493604185	-0.16242870015	-300.0	0.485511237816	0.491709240469	0.0436191480438	0.349818947723	0.357651687382	0.036956515739	-0.145593149283	-300.0	0.41004960139	0.402656070792	0.056673674432	0.399407340972	0.385173172508	0.0404709550738	-0.0914976657979	-57.9468714575	0.33680554465	0.335087720425	0.042118351452	0.309063106714	0.307916916754	0.0288908657533	-0.503110617448	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0147981457765	0.0116735839267	0.0100320244227	0.0128997104377	0.0100180626893	0.00846311537238	-0.212256367433	-300.0	0.567824355069	0.575210913265	0.0391908259875	0.41516939212	0.420956463908	0.0282913934826	-0.194434834215	-300.0	0.474623183781	0.471500413545	0.0328313438292	0.453629708982	0.449510419424	0.0294897126319	-0.224651213065	-204.534946835	0.333315259581	0.332123747182	0.0312911691255	0.31059134321	0.309754137954	0.0309127187645	-0.480421629661	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0164757725874	0.0134140133064	0.00840509705377	0.0180751263093	0.0148294950381	0.00918673492287	0.0120711944901	-300.0	0.557882155978	0.56313741269	0.0305600154931	0.410284113267	0.414271024	0.0286482921837	-0.192113329137	-300.0	0.473018732229	0.468132413808	0.0477603597291	0.462565792269	0.451875073616	0.032867722231	-0.115244268284	-299.999999981	0.32904634936	0.329203940756	0.0276656742701	0.310418196563	0.310157978758	0.0221479747644	-0.445277189983	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.0404655916242	0.0322147991276	0.0245090901301	0.0328767021225	0.0250740470814	0.020315296864	-0.147506321449	-300.0	0.519530860258	0.528232983674	0.0429578432794	0.387978759346	0.395322226427	0.029198310187	-0.138976628254	-300.0	0.341625867179	0.336425719589	0.0313431285225	0.345190945664	0.341759193027	0.041158132822	0.0628183076315	-7.66621637724	0.312809695208	0.312319260983	0.0410970188045	0.300341338678	0.298504132044	0.0317620047232	-0.29303534961	-145.941421474
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0152158885963	0.0126072381917	0.00953627806453	0.0127668079065	0.00998645014254	0.00813168735251	-0.0297529482407	-300.0	0.592467784702	0.599953393198	0.0361977163947	0.441753670068	0.447562953052	0.0278365279787	-0.148544402148	-300.0	0.423703544161	0.420323509582	0.0352073256182	0.414919652205	0.410701936761	0.0318197850668	-0.0202310080273	-81.1887198802	0.389032379104	0.391500046858	0.0513091529452	0.370726925351	0.370689251717	0.0360151263935	-0.286645858752	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.00834112396422	0.0064644429173	0.0078162999603	0.0101917821609	0.00806535382557	0.00887047678396	0.0270748173388	-266.800010595	0.487014349881	0.496495170608	0.0403996265532	0.373482637758	0.380050190321	0.0294696296556	-0.109766133182	-300.0	0.414968942342	0.409050772283	0.0419859175244	0.418860982524	0.414352530336	0.0500564086379	0.0923614071133	-3.67475237879	0.322558811273	0.32147600851	0.0349266140258	0.309035567264	0.308651986232	0.03242276378	-0.259522313011	-118.727519644
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0281975458169	0.0255850863449	0.00958427831992	0.0297099549348	0.0265394519541	0.0101851893592	0.0362628196779	-300.0	0.579030852292	0.583811684231	0.0353076401898	0.430602361668	0.436308997607	0.0285747647133	-0.141366080163	-300.0	0.478983920523	0.475258840232	0.038687923581	0.471649329488	0.463140765715	0.0250611873794	-0.118801218641	-300.0	0.308622163601	0.308274693806	0.0420479967229	0.296083231971	0.294969506045	0.0264192362867	-0.305390774253	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0150389862714	0.0123253138097	0.00880961513848	0.0131870184214	0.0107995236926	0.00755121888558	-0.105092560336	-300.0	0.518860946459	0.525312137658	0.0385352458017	0.390675152913	0.396577867645	0.0274209194684	-0.124704411343	-300.0	0.508497667748	0.505211945707	0.0394008939541	0.501602627664	0.494791804309	0.0287366783531	-0.041204588119	-80.4813428705	0.335890202664	0.335429832051	0.0349944816041	0.323890437316	0.323172077078	0.0312514248999	-0.26634913913	-290.668161502
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0177906370392	0.0148258839665	0.0101841752699	0.0155870387517	0.0129885463742	0.00931917421413	-0.0472788823336	-300.0	0.510158335441	0.516046198418	0.0361854071422	0.390312220534	0.395865422957	0.0298105114275	-0.0985491641897	-300.0	0.447708282374	0.438801690024	0.0339447290918	0.447709085983	0.443095390957	0.0481019053897	0.0772320115087	-16.7035496715	0.334665959381	0.33428261966	0.0321479026907	0.323442008009	0.322840788311	0.0264672632539	-0.260937880489	-299.999997525
