FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	TC_H1hesc_protection_mean	TC_H1hesc_protection_median	TC_H1hesc_protection_std	TC_GM12878_protection_mean	TC_GM12878_protection_median	TC_GM12878_protection_std	TC_protection_ks_stat	TC_protection_ks_pvalue	TC_H1hesc_tc_mean	TC_H1hesc_tc_median	TC_H1hesc_tc_std	TC_GM12878_tc_mean	TC_GM12878_tc_median	TC_GM12878_tc_std	TC_tc_ks_stat	TC_tc_ks_pvalue	TC_H1hesc_fos_mean	TC_H1hesc_fos_median	TC_H1hesc_fos_std	TC_GM12878_fos_mean	TC_GM12878_fos_median	TC_GM12878_fos_std	TC_fos_ks_stat	TC_fos_ks_pvalue	TC_H1hesc_flr_mean	TC_H1hesc_flr_median	TC_H1hesc_flr_std	TC_GM12878_flr_mean	TC_GM12878_flr_median	TC_GM12878_flr_std	TC_flr_ks_stat	TC_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0106825553079	0.00855577684879	0.00821255388262	0.0118563551176	0.00956478911113	0.00914849452405	0.0453898017297	-300.0	0.550476977575	0.55655352311	0.0414679165278	0.416991879539	0.424363674047	0.0276283057108	-0.112344299671	-300.0	0.3905563529	0.384277149456	0.0310078087515	0.39333514519	0.386321121032	0.0451537270498	0.105907332003	-5.45396992254	0.299054874455	0.298850756961	0.0348935069038	0.291909574247	0.290312155674	0.0253948280182	-0.193733789475	-137.69902077
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0345147822084	0.0269223575751	0.0225095278699	0.0273086192626	0.0216567553935	0.0175831205461	-0.0517016789451	-293.699936112	0.469047316203	0.478146977255	0.0420960473559	0.366661979799	0.375416634671	0.0349109780171	-0.0294087025938	-300.0	0.43455488245	0.423519224383	0.0474948307898	0.436544580883	0.427645181858	0.0587052609916	0.0994592506388	-1.28644442231	0.288775007424	0.287937152606	0.0333913765848	0.279039206459	0.278259086866	0.031763278023	-0.161625749641	-38.4448690646
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0693209112307	0.0550401639819	0.0392598094334	0.0570933672635	0.0462911644842	0.0308055272395	-0.146041979859	-300.0	0.568115271702	0.575292914396	0.0418180481771	0.42857028533	0.436166023556	0.0261539134654	-0.115122074763	-300.0	0.610895930633	0.603355960285	0.0327345543952	0.615083180759	0.610486692136	0.0454799289775	0.0421297470331	-11.6416540065	0.32047253586	0.319294980057	0.0421407664891	0.311341234893	0.309467438953	0.0286575195818	-0.213367410428	-97.7095127295
E2F3	-0.9704539	7.6233014444	6.6528475444	0.00832898741259	0.00721845276211	0.00524058712016	0.00903437928259	0.00774859899176	0.00613896299378	0.109933236631	-300.0	0.57670432718	0.580714147288	0.0367539472872	0.437459972131	0.443288932149	0.0298614785352	-0.0701665955679	-300.0	0.491684033598	0.486893962418	0.0295704818838	0.499597283495	0.488823505614	0.0463539798699	0.0889772709357	-37.5114735464	0.363809768363	0.363265654862	0.0428705932943	0.358080536161	0.356623917779	0.026385233237	-0.114862806743	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0139458014523	0.0114854266316	0.0101171347062	0.0117782700235	0.00938339107998	0.00841235428951	-0.0993562031577	-300.0	0.500231275233	0.506934769617	0.0367143577517	0.389797080141	0.394873260588	0.0292138423504	-0.0300839823328	-300.0	0.511893913511	0.509106113761	0.0260276105672	0.513748319648	0.509941142138	0.0338147400081	0.146911083923	-0.486375312375	0.342308155336	0.341797552009	0.0270578347671	0.335886181446	0.33576731453	0.0234164125058	-0.123611354609	-97.422103953
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0101894334417	0.00758342258923	0.00783615697997	0.0127866197686	0.00994414370606	0.00945522638452	0.0554886492972	-300.0	0.495024236599	0.504492263282	0.0468817408934	0.38441628965	0.39180310245	0.0321367436544	-0.0194419137941	-300.0	0.409140197691	0.405461250751	0.0317683804521	0.40944008759	0.40550871233	0.0341231765216	0.147948158685	-0.236848444017	0.361502574919	0.361439011579	0.0289092630304	0.361783410605	0.364780504641	0.0409958533041	0.000460035353199	-13.8718797287
GABPA	-0.7648685556	8.661842	7.8969734444	0.0418165116807	0.037002936013	0.0161161690787	0.0367967747417	0.032135225748	0.0136674282856	-0.0264518841602	-300.0	0.377787668841	0.381721199061	0.0346475011546	0.493803334959	0.498685414654	0.0395231864306	0.0201022198729	-300.0	0.475658626641	0.469411982467	0.037743577963	0.495933445314	0.481677731426	0.0599946988335	0.00952807493089	-74.734971251	0.30650625194	0.306022864846	0.0433768358619	0.302376457982	0.301550616946	0.0318424794393	-0.0470981165946	-83.5751281218
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.0087192188529	0.00777333120609	0.00427188855199	0.00948068896705	0.00838189619172	0.00494037070155	0.0951903340244	-300.0	0.587896089227	0.592133133816	0.0360541934269	0.444193889723	0.449784238711	0.0302215664458	-0.0609974594797	-300.0	0.536728668674	0.531773644656	0.026666954268	0.547313326594	0.535236144971	0.0431636950524	0.0489489663486	-194.558965694	0.342163903023	0.341420792964	0.0435113718922	0.337808678706	0.336680755909	0.0300244563641	-0.064333607668	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0173576523901	0.0114519540885	0.0168641317369	0.0222604336361	0.0158922854973	0.0197484175513	0.0754183029593	-299.999999999	0.356028345898	0.362586336077	0.0288316933379	0.447091453211	0.455302415742	0.0413257185365	0.0413303928179	-300.0	0.39256887602	0.389532054884	0.0356879054069	0.399224314506	0.392963369627	0.0443828082523	0.0975882895197	-2.68408946976	0.328998172977	0.327977582235	0.0345231519324	0.320622451688	0.320396533717	0.0325937356215	-0.152040499939	-52.7109161747
REST	-0.6212560778	8.5147308333	7.8934747556	0.0458869327946	0.0407960702704	0.0196247056728	0.0504622135786	0.044419985585	0.0209618897186	0.107147659674	-300.0	0.358419679288	0.364870745889	0.0318165200991	0.456791402296	0.46214846376	0.0386187830423	0.0415851024039	-300.0	0.485025610353	0.48039635796	0.0315101303755	0.495313667672	0.483795528408	0.0488216206437	0.0829950079992	-23.6130448855	0.331684326306	0.331526692282	0.0358637194862	0.327910989471	0.327488020523	0.0233053891341	-0.0529511988893	-83.3141646007
ERG	-0.5708799333	3.9203937778	3.3495138444	0.00680149711468	0.0055950281453	0.00526754234992	0.00555714794208	0.00430976028018	0.00446897432878	-0.0376097152171	-300.0	0.508730532946	0.514456533054	0.0342796631688	0.394779149195	0.399407161911	0.0300602915131	-0.0215729800716	-300.0	0.487669658277	0.48374615324	0.0269141145045	0.494549179991	0.488048599125	0.0360391114167	0.0807050077434	-42.7438718315	0.309096887551	0.308731577603	0.0325238816528	0.30557145805	0.304864390029	0.0240986285889	-0.0471278812784	-159.829193486
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.0193217699841	0.0132256346121	0.017787482623	0.0136066517616	0.0074345828918	0.0138196652275	-0.152010994966	-300.0	0.358427134968	0.363830943178	0.0282065928918	0.448109538626	0.455835480386	0.034941715553	0.0299506365482	-300.0	0.505376876813	0.502753756876	0.0361569118165	0.515036784528	0.509733578746	0.0401490289104	0.0500991934693	-6.09289913837	0.291031167598	0.291291953715	0.023832775229	0.288688282339	0.288530905802	0.0218748168333	-0.0183806347053	-9.12694063369
TP53	-0.5304638611	9.9692148611	9.438751	0.0347368465054	0.0286080562212	0.0186092160585	0.0288905399116	0.0235926972068	0.0161672256965	-0.0283358172411	-300.0	0.387289857998	0.392604497784	0.0313857665648	0.495248264842	0.502645163333	0.0367569940625	0.00495192606695	-300.0	0.360287262583	0.355953770312	0.0296373521227	0.370938932343	0.360476180287	0.0448840676084	0.0655517603393	-9.74868079866	0.296443366787	0.296023197595	0.0398315100488	0.293863009859	0.292413154047	0.0253764193099	-0.0443639291465	-27.0240866473
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0257227451196	0.0229688107723	0.0106504344718	0.0276561509489	0.0244439381546	0.0120102827796	0.0754381362397	-300.0	0.567904805507	0.573017704698	0.0407133206321	0.426201336222	0.431649584891	0.0340543634895	-0.0330259549038	-300.0	0.553923111933	0.538365212364	0.0503898717484	0.536082193911	0.529321355513	0.0307832089436	-0.0021422203038	-299.999999948	0.316319523328	0.313980051754	0.0536087193024	0.314958077543	0.310809579078	0.0346932701295	-0.0383683952644	-223.711936199
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0584904760914	0.0490241568827	0.0279928468213	0.0652807084551	0.0549858302938	0.0312342453784	0.096720907596	-300.0	0.581716047672	0.587029928804	0.033822692484	0.446073475163	0.451068884744	0.0280344850733	-0.0549881305215	-300.0	0.380772493986	0.375997151626	0.0291845330794	0.392719941383	0.380477370311	0.0475241193081	0.0516162630029	-32.6427156893	0.307444906703	0.306926163442	0.0345718314411	0.303847309808	0.303247507708	0.0247607297202	-0.0491019682588	-69.9045922771
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.0129228280309	0.00930185811593	0.0113454711067	0.0100248512418	0.00636274843926	0.00901929116252	-0.160493837414	-300.0	0.499694598488	0.507650824108	0.0411812992856	0.3907796074	0.398411934593	0.0299232708523	-0.0168895274758	-300.0	0.415696952445	0.412401916076	0.0325447489982	0.42249233514	0.415128432275	0.0418963979526	0.0947688090855	-4.45011020016	0.304284691003	0.303994273619	0.0283677046319	0.301844822864	0.300743772344	0.0219837120349	-0.0322076108295	-17.5860724894
MAFB	-0.3975071222	5.0393535	4.6418463778	0.0113200580841	0.00917226642293	0.00823160642358	0.0133462253438	0.0109877171789	0.00958839131024	0.0563240603447	-300.0	0.547801886457	0.553496309276	0.0398902336164	0.423044698793	0.429671835168	0.0292809484581	-0.0331038425167	-300.0	0.395481763016	0.382596146354	0.0494621749427	0.378174603594	0.373725735635	0.0304762250877	-0.00185918676392	-45.0960570208	0.324280551084	0.324118675757	0.0405815172679	0.321212431901	0.321098076057	0.0257806051217	-0.0453319210386	-46.1762532596
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.0237071087102	0.0207367042188	0.0117024440537	0.0253095172362	0.0217379690421	0.0132520491781	0.163003254493	-245.091767049	0.561887583773	0.565561987084	0.0386933288051	0.426399476282	0.432709845493	0.0300598982071	-0.0415413689775	-300.0	0.557907551018	0.543543399394	0.0599811504573	0.534554930211	0.528764187226	0.0338532563648	-0.0276907326755	-114.350069536	0.344359098023	0.344365949871	0.0464895077637	0.343103285393	0.341825379519	0.023644094332	-0.0409526612925	-85.3284650037
GFI1B	-0.3699532556	5.525732	5.1557787444	0.015106060596	0.0125888625681	0.008616230604	0.0125263599445	0.00976013754603	0.00691608263066	-0.148235354628	-300.0	0.37467770103	0.381942505331	0.0331775613433	0.476726984648	0.485826684015	0.0425455758254	0.0339033635593	-300.0	0.465065065873	0.461226603467	0.0299232496504	0.474959740366	0.468021773875	0.0393967605247	0.0459001741845	-23.5319729467	0.349175200575	0.348550842457	0.0373811982719	0.342940338789	0.343632221238	0.0237719302081	-0.0899559645776	-75.3538474693
INSM1	-0.3575675111	6.7003285	6.3427609889	0.02042954358	0.017480274891	0.0117199626471	0.022781305062	0.0193670693658	0.0132927794311	0.116472420002	-300.0	0.618451681262	0.623038556998	0.0369773629398	0.471831863322	0.478024642043	0.0268557774675	-0.0563613039214	-300.0	0.43273574381	0.426993952395	0.0329800762813	0.444061647286	0.431363719873	0.0516801390845	0.0787321124561	-32.9892924352	0.297562607435	0.296753638423	0.0365396117537	0.296070466671	0.294838800024	0.0255212175051	-0.0147402987317	-49.9692740344
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.0600380280422	0.0530534206759	0.0181952099036	0.065906557455	0.0580321032168	0.0206681786556	0.0509985951253	-300.0	0.545200061187	0.550244229031	0.0320132010777	0.424229958658	0.428308921167	0.0281373138428	-0.0390906384011	-300.0	0.460403255128	0.456029256307	0.0310735865487	0.470587879	0.46254364554	0.0439492439829	0.0545998650085	-38.0626341813	0.319187131088	0.318955969375	0.0272138382172	0.316586830768	0.316207928683	0.0218538618182	-0.0215931560421	-68.8636695304
MECOM	-0.3505778778	2.913285	2.5627071222	0.00878736870818	0.0066679812221	0.00823247077869	0.0116646330767	0.00885620002639	0.00976170220481	0.00800543061644	-300.0	0.32690583567	0.332971834301	0.0306117380672	0.403798135551	0.411573923114	0.0418666049263	0.126850056872	-300.0	0.48721804733	0.483992537495	0.0293644926148	0.496781384804	0.491418240231	0.0391368682547	0.0312087246401	-12.7817174741	0.299961943956	0.299377854533	0.0406532223154	0.296852141732	0.295652593151	0.031950330305	-0.025848302764	-13.9279719683
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.0121644337562	0.00974973150239	0.008565781136	0.015592888162	0.0123162043525	0.0108784029209	0.00667913901324	-300.0	0.312619131846	0.318477803635	0.0324041631359	0.389254441419	0.397620846679	0.0412918464918	0.157538188161	-300.0	0.467094624724	0.465001946345	0.0238967633453	0.473937558856	0.469680190261	0.0300895561739	0.0611008353575	-16.2772663188	0.314170596389	0.313558795753	0.0362044775126	0.311409034298	0.310773264118	0.0294248694035	-0.0211136563216	-28.1937892773
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.033963524769	0.0232410577547	0.0318282949408	0.0423333256701	0.0298618926209	0.0380344087511	0.0150784741903	-97.5402486972	0.295509137123	0.301384296111	0.0373085291447	0.372823648545	0.377912108232	0.0464507923562	0.256282183846	-187.21786597	0.334520249511	0.317456625117	0.0769893111789	0.305721243157	0.299867742681	0.0440926665142	-0.0260737276433	-11.1674692544	0.308740483234	0.308423088703	0.0513626925588	0.308475360418	0.306939610198	0.0283293052105	-0.043521820343	-8.0053423444
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.0602508414657	0.0533590679544	0.0184379291027	0.0659169322504	0.0582219269996	0.0208140576088	0.0641468114244	-300.0	0.544656893093	0.549824812175	0.0339620331996	0.423344861399	0.427750962006	0.028455500234	-0.0355477223061	-300.0	0.459650901753	0.454867133918	0.0314789297211	0.470308622898	0.462008343597	0.0442196047282	0.044886348804	-52.681742901	0.30677825246	0.306659921021	0.0306797175625	0.304361271302	0.303699839315	0.0210098862094	-0.0227321051395	-79.1784019714
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.0120264792328	0.00946696106064	0.00882584523942	0.00859728809027	0.00684652147054	0.00737166979503	-0.0940778518435	-300.0	0.550056728826	0.557551840877	0.0358084481541	0.431549701962	0.436686430559	0.0268139472042	-0.0362187683913	-300.0	0.396029363615	0.390631389447	0.034331548793	0.386427613944	0.382144352665	0.0298358351221	-0.00695751388518	-36.8511383421	0.270566450427	0.270129296985	0.0306519042006	0.266761776819	0.26698923547	0.0261217726055	-0.0196262910831	-22.6677977733
CTCF	-0.2180552611	8.924475	8.7064197389	0.00687161348359	0.00579162876958	0.00460380598833	0.00788617457797	0.00682322539996	0.00541401386431	0.11693910337	-300.0	0.570921112396	0.576195334633	0.0348838851184	0.438103107863	0.4429576817	0.0276897979915	-0.0444466954608	-300.0	0.485886231993	0.481641853875	0.0282157914364	0.493036650813	0.486062082874	0.0377873520064	0.0833403469543	-61.6695689192	0.328766562066	0.328363319055	0.0400983518906	0.32589420443	0.325341462833	0.0280559571323	-0.0258885664296	-207.704561302
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.0413656584851	0.0344862569446	0.023482742666	0.0343074560794	0.0281568238859	0.0194823155796	-0.066241075378	-300.0	0.55333906604	0.559649605258	0.0390736769044	0.427404892481	0.434443971743	0.0283205017896	-0.030335073615	-300.0	0.419416707293	0.414640645208	0.0313396230939	0.432493786718	0.423175775073	0.0464296366306	0.0183710730077	-31.1141396551	0.308250385336	0.30823353666	0.041272285802	0.308128877173	0.30601773377	0.0249517534676	-0.015287665994	-20.4173726246
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.0176503057842	0.0143410013828	0.00976017493619	0.0140517559161	0.0113755850583	0.00764725502757	-0.00350712384064	-300.0	0.578771016679	0.584921276638	0.0290403562036	0.448246642098	0.452041212363	0.026138142494	-0.0462060267967	-300.0	0.383786208293	0.377428333633	0.0423331131772	0.366680383336	0.362220350776	0.034501875558	-0.0532280980552	-76.3521569024	0.261793427444	0.261429303424	0.0265406741596	0.262285951689	0.261805003671	0.0275123053839	0.0617574611733	-3.63565163877
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.0149209692007	0.0121384055423	0.00999413689746	0.0117746019727	0.00956435582216	0.00832058287653	-0.0315636676995	-300.0	0.520910378582	0.527648293604	0.0373517437076	0.402761076915	0.408365109162	0.0290459559857	-0.0185423541216	-300.0	0.42566411031	0.418660817766	0.0453236396871	0.410190587772	0.406298453152	0.0348919720169	-0.0327938871013	-64.0177051512	0.288554656645	0.288057700453	0.0257297189786	0.29020879754	0.290181350042	0.0351100187488	0.00804789560187	-18.3335984212
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.018335380401	0.0150482784894	0.0102982070526	0.0150415117063	0.0123095900931	0.0082158558574	-0.060657895249	-300.0	0.336689803661	0.344908467737	0.0330286198495	0.410552530749	0.418677774802	0.0419869618824	0.176603373165	-300.0	0.328732490049	0.322409868454	0.0436987470484	0.315177212359	0.311067781844	0.033331252192	-0.0128708947724	-16.9811233424	0.296286439445	0.297015691943	0.0263848709465	0.298495861174	0.297363998671	0.0413549780299	0.0360329480072	-2.39457860291
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.0147934502815	0.0122148976851	0.00734427686051	0.0173592326495	0.0144283229399	0.00870458805769	0.0215969894736	-300.0	0.596321776817	0.602820334091	0.0308036217776	0.46111890824	0.465046344903	0.0268802815962	-0.0429187050997	-300.0	0.565251381744	0.561397504019	0.0244108365674	0.571190334954	0.566043116416	0.0306388843066	0.0540688235964	-36.7372102001	0.299792847374	0.299538933009	0.0293210706713	0.30101304197	0.301184705769	0.0298323232272	0.0211380649411	-20.8106443181
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.073356944064	0.0478432023378	0.04349339907	0.0600229997139	0.0406820059895	0.0358498226703	-0.257903725725	-300.0	0.554605295004	0.559983058195	0.0418932734236	0.427332629932	0.433151637661	0.0252580849393	-0.043268356665	-300.0	0.360102772988	0.355914558375	0.0299337161593	0.372307829304	0.364067221709	0.0437098043198	0.0108362733098	-8.73900739887	0.338279965624	0.337398760453	0.0286473637987	0.33510453683	0.334570379265	0.0249236111062	-0.00844610777411	-5.23731514004
USF1	-0.1057473167	7.4895785833	7.3838312667	0.0159500298566	0.0131988766379	0.00942485639835	0.0135205992757	0.0108570971563	0.00777758864244	-0.0842217174437	-300.0	0.33879577049	0.347372372326	0.0382443332084	0.428230174959	0.437085958966	0.0462423841222	0.180669534958	-300.0	0.43811277531	0.430592296718	0.0380430975233	0.457834671226	0.44175252	0.0580945150395	0.0141526708685	-36.6239678693	0.337717790802	0.33577219381	0.0518845272797	0.335717257446	0.333982726662	0.0300782935094	-0.0106454544723	-29.3336423576
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.00772112531597	0.00662159967333	0.00491952110109	0.00857698128708	0.00736453401549	0.00581156425557	0.142079928129	-300.0	0.574833333433	0.579145481891	0.0367620108307	0.440693290219	0.446597562954	0.0291496072399	-0.0359989738391	-300.0	0.487702690996	0.483343037848	0.0278531265912	0.498210436162	0.489502740678	0.0416344701929	0.0564710083466	-66.1958839451	0.33508486336	0.3344385518	0.0416797983736	0.333840792513	0.33259014697	0.026178866247	-0.0118228069593	-86.0722227057
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.0107171048062	0.00932525804779	0.0076866322696	0.0129647744048	0.0107861862668	0.00968397552998	0.00705969973144	-300.0	0.29692635183	0.303001617767	0.0344850476687	0.359953315724	0.369509857149	0.0432820517038	0.288667893679	-300.0	0.475457636292	0.470764521145	0.0355183421265	0.463395717129	0.461302573833	0.0291688794349	-0.0165078517252	-21.5248088424	0.283565261871	0.282749153672	0.0303573822922	0.283982441315	0.284289192483	0.0401357341476	0.0142357816194	-5.99999112674
ZNF143	-0.0648688222	6.154257	6.0893881778	0.0525879200675	0.0459202879405	0.0223305259754	0.0454723167816	0.0388096145746	0.0188412385238	-0.0805096267456	-300.0	0.59810100972	0.603299296071	0.0356669662366	0.463000667728	0.468293002224	0.0254946266434	-0.0466929512995	-300.0	0.456570143217	0.451881952912	0.0355511592204	0.469717767385	0.461187456002	0.0477438142397	0.0104708434066	-28.2801562819	0.338043112198	0.337819613377	0.0311350138894	0.336473421256	0.335754933424	0.0267439621155	-0.00279410896821	-13.8790328374
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.0185346852324	0.0151747787517	0.00990296001357	0.0142956271027	0.0117888314336	0.00733012717654	-0.0546271530897	-300.0	0.370976950112	0.375645209726	0.0283506586545	0.468461708165	0.476014579087	0.034880566946	0.0234451988291	-300.0	0.397517216382	0.391234303364	0.0407791779686	0.380004734656	0.376391793804	0.0336318596561	-0.0597628718911	-57.8837682927	0.288869372602	0.288095717972	0.0252564636369	0.284610437734	0.284671059164	0.0216908032817	-0.0415455168472	-38.3166102482
HNF4A	-0.0595492111	4.6226812222	4.5631320111	0.0244383826799	0.0210573079924	0.0104886108031	0.021880679511	0.0191169880086	0.00905012181035	-0.0110447975279	-300.0	0.550835394433	0.556195818424	0.036431400152	0.428574019517	0.433281631846	0.0265188772268	-0.0313302439208	-300.0	0.393184612387	0.389509130713	0.0286364206024	0.404998116961	0.397027997569	0.0416917651361	0.0234488606778	-48.6458186661	0.323059753519	0.322695506685	0.0382666389823	0.321243244227	0.320918292533	0.0245794273283	-0.0162828278958	-35.3154894334
