FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Wellington_H1hesc_protection_mean	Wellington_H1hesc_protection_median	Wellington_H1hesc_protection_std	Wellington_GM12878_protection_mean	Wellington_GM12878_protection_median	Wellington_GM12878_protection_std	Wellington_protection_ks_stat	Wellington_protection_ks_pvalue	Wellington_H1hesc_tc_mean	Wellington_H1hesc_tc_median	Wellington_H1hesc_tc_std	Wellington_GM12878_tc_mean	Wellington_GM12878_tc_median	Wellington_GM12878_tc_std	Wellington_tc_ks_stat	Wellington_tc_ks_pvalue	Wellington_H1hesc_fos_mean	Wellington_H1hesc_fos_median	Wellington_H1hesc_fos_std	Wellington_GM12878_fos_mean	Wellington_GM12878_fos_median	Wellington_GM12878_fos_std	Wellington_fos_ks_stat	Wellington_fos_ks_pvalue	Wellington_H1hesc_flr_mean	Wellington_H1hesc_flr_median	Wellington_H1hesc_flr_std	Wellington_GM12878_flr_mean	Wellington_GM12878_flr_median	Wellington_GM12878_flr_std	Wellington_flr_ks_stat	Wellington_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.221110178487	0.0375279232228	0.322188902483	0.0596745136048	0.0229914154132	0.0688892799798	-0.194110032362	-0.997062201207	0.503631249563	0.531129565955	0.12134513178	0.349529523683	0.389258841653	0.0710103100876	-0.281355932203	-23.7150340897	0.630220894596	0.63285546416	0.0346335162582	0.572938892951	0.575323149236	0.0234988211306	-0.545268078611	-300.0	0.318139719126	0.317002995548	0.0321155425704	0.287304367375	0.286734580306	0.0239682719703	-0.593092042677	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.109507016644	0.0108796243726	0.229114497703	0.0177762986838	0.0103232126345	0.0212654154705	-0.159252336449	-1.73804261146	0.469808888141	0.477401988261	0.0993263014804	0.317878924734	0.343773167768	0.0522974573681	-0.241505376344	-29.5995372582	0.586245181712	0.582266063677	0.0271611401241	0.540579085861	0.535355289223	0.0233048321573	-0.55354602167	-300.0	0.336778278815	0.335075769201	0.0393879032895	0.308349516854	0.307492563349	0.0281034502288	-0.532639597189	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.102772288541	0.0107751817935	0.21428979837	0.0168000434516	0.00449807627485	0.0187156417286	-0.116474953618	-2.17961293043	0.526007150584	0.546901153724	0.126516724363	0.36325796182	0.413136961109	0.07417265009	-0.316666666667	-45.0208688836	0.402233069436	0.402676031028	0.0340901880625	0.375521986874	0.376141702961	0.0201993589084	-0.365668202765	-300.0	0.318789349296	0.317552678151	0.0325851998014	0.2968278753	0.295871759703	0.0321462232057	-0.46217395039	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.069164605087	0.0110756375817	0.153979823647	0.0169465516629	0.00462447063004	0.017504317699	-0.143526765632	-5.58632636163	0.558508901892	0.573684136309	0.0572456230006	0.418776873945	0.426325455055	0.05452952468	-0.336956521739	-130.151183353	0.440903693601	0.439258582008	0.0268191693493	0.415819350598	0.413549825986	0.0214162791772	-0.354775394577	-300.0	0.329091453996	0.329197489748	0.0266436222434	0.310302389505	0.309931941125	0.0213417888694	-0.459320368198	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.129528943076	0.00943911677323	0.246463271716	0.0166417186344	0.00544390055317	0.0196886855789	-0.0769812571952	-1.45309161631	0.514797792869	0.522266121664	0.112263702276	0.364498355678	0.406172325721	0.0489694554309	-0.305074053737	-32.449980745	0.545351221178	0.548336040372	0.0332439714807	0.519275966136	0.523747520265	0.0201449125931	-0.379493621956	-300.0	0.312865772484	0.312341252128	0.0439966003796	0.300954449897	0.298956814161	0.0324882722568	-0.281385395567	-117.377869335
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0384311835531	0.00907734617612	0.120957745962	0.013952034222	0.00343588932135	0.0153954968774	-0.0799633868387	-8.53871554084	0.581521605313	0.593567396849	0.0994816865552	0.419434089549	0.45221036281	0.039619892917	-0.314986934719	-100.168409582	0.757300558822	0.758143687653	0.014041284687	0.724462079008	0.726164815563	0.00815621372286	-0.6574283987	-300.0	0.388409678037	0.391605643025	0.0462299770234	0.368680305397	0.369963023682	0.0332902146421	-0.326589688434	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.0995960673983	0.0115598328936	0.231667795687	0.0169276528705	0.0051070781827	0.0180822393821	-0.0725932818026	-1.72515064552	0.293636929838	0.339236007997	0.0474633193112	0.38602650093	0.39145998701	0.120009196418	0.0430268697933	-10.0740978017	0.623821546851	0.625414002088	0.0259898794926	0.593717260101	0.598832644501	0.0159313803711	-0.493510981416	-300.0	0.323326062502	0.321659801552	0.0360277426022	0.3097063604	0.308636884008	0.0349446404987	-0.285996902811	-103.389914961
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0683708434773	0.00967493470993	0.163018167092	0.0158662349267	0.00604939897275	0.0181001225309	-0.0170505035499	-2.65255347131	0.534644007543	0.546404591266	0.077504484905	0.398269175095	0.414684744678	0.0529793302221	-0.239867026485	-151.6280493	0.460980511762	0.457930225145	0.0292995156946	0.444685233449	0.439393070547	0.0261033393571	-0.211087617776	-300.0	0.308537594948	0.308221091315	0.038730937393	0.295992847518	0.295134252698	0.0251860795119	-0.316866339242	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0160608691885	0.0086533084219	0.0179788151139	0.0769329473633	0.0100743281098	0.194984936719	0.00388815392434	-1.29306267617	0.533377378731	0.544992998974	0.120686462348	0.38098521363	0.422825449864	0.0441261478445	-0.261428119232	-65.0677315411	0.44185208016	0.440458254118	0.0327181211345	0.42615476379	0.423794253833	0.0232447955086	-0.233073079325	-300.0	0.335848795619	0.3353533893	0.0348520847761	0.323960274698	0.323221356015	0.029887095939	-0.261325374342	-281.261177565
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0846023055628	0.0103766965057	0.18154477499	0.0167080933242	0.00788873761092	0.0190660147566	-0.0585049168965	-3.28491808175	0.495351909027	0.508027607501	0.0954294122942	0.370974751557	0.397851348863	0.047817108888	-0.194343395274	-64.8910054137	0.431658254627	0.432880957722	0.0260225904076	0.417386658713	0.418004425407	0.0201210026986	-0.215602760405	-300.0	0.334626158393	0.334229238098	0.0316644060663	0.322972226635	0.322346695039	0.0261178200166	-0.277595631248	-300.0
