FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Wellington_H1hesc_protection_mean	Wellington_H1hesc_protection_median	Wellington_H1hesc_protection_std	Wellington_GM12878_protection_mean	Wellington_GM12878_protection_median	Wellington_GM12878_protection_std	Wellington_protection_ks_stat	Wellington_protection_ks_pvalue	Wellington_H1hesc_tc_mean	Wellington_H1hesc_tc_median	Wellington_H1hesc_tc_std	Wellington_GM12878_tc_mean	Wellington_GM12878_tc_median	Wellington_GM12878_tc_std	Wellington_tc_ks_stat	Wellington_tc_ks_pvalue	Wellington_H1hesc_fos_mean	Wellington_H1hesc_fos_median	Wellington_H1hesc_fos_std	Wellington_GM12878_fos_mean	Wellington_GM12878_fos_median	Wellington_GM12878_fos_std	Wellington_fos_ks_stat	Wellington_fos_ks_pvalue	Wellington_H1hesc_flr_mean	Wellington_H1hesc_flr_median	Wellington_H1hesc_flr_std	Wellington_GM12878_flr_mean	Wellington_GM12878_flr_median	Wellington_GM12878_flr_std	Wellington_flr_ks_stat	Wellington_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0936413288791	0.0103948737875	0.180450519807	0.0158750083685	0.0096145958698	0.0171087640981	-0.125871755392	-6.13335873041	0.542828654762	0.560739003144	0.124720476068	0.376312411794	0.428457085354	0.0512892807315	-0.23886329923	-54.5024363039	0.359303168884	0.359705614305	0.0250402797371	0.348566020934	0.348202548959	0.0158677172802	-0.219093191089	-300.0	0.313175892082	0.313167737277	0.0328867704059	0.30579833365	0.30441001304	0.0243204368161	-0.227387881468	-173.673941951
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.133112789404	0.00911631613494	0.259867236778	0.0135697697136	0.00799941158295	0.0152365276525	-0.152124423588	-2.14510244561	0.440425031677	0.455078628172	0.0921364885683	0.352578828397	0.385075926941	0.0717167685655	-0.0391703188695	-9.25415262342	0.384452459004	0.385993802763	0.0365779582986	0.372803166301	0.374006197237	0.0186804148607	-0.237158243579	-300.0	0.289631748168	0.287422749209	0.036603407485	0.278790862395	0.277527080855	0.0311666851878	-0.187426835593	-36.8789557079
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.124268821926	0.00887992628297	0.235647572476	0.0145586188208	0.00673360118958	0.0167301645726	-0.112248697696	-2.9058419536	0.571247135552	0.590060263465	0.14786178809	0.384844001065	0.443446748995	0.051886098794	-0.292999798447	-32.641475562	0.447290891054	0.448484459457	0.0250991960501	0.432791971711	0.434809379406	0.0142702829662	-0.296773911523	-300.0	0.319860607489	0.319058213977	0.0435247988201	0.311166260582	0.309226141108	0.0289913785169	-0.229422015684	-93.6699445681
E2F3	-0.9704539	7.6233014444	6.6528475444	0.0150272466306	0.00609835128567	0.0174247803453	0.0799528620335	0.00915976712598	0.186619499526	0.0770499169288	-1.73147562147	0.54509716849	0.555800879059	0.0797024900812	0.414464629968	0.433927635569	0.060629518823	-0.141274760162	-152.393756901	0.581615328941	0.577343348749	0.0284319664587	0.569301493982	0.564594979705	0.0269501116999	-0.0833126358274	-300.0	0.363731726917	0.363240969734	0.0404557020675	0.357772848853	0.356479306456	0.0252252754312	-0.12524454793	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0985966741988	0.00955926550103	0.214972957669	0.0152300684608	0.00504695184723	0.0166154631844	-0.0185168592451	-2.6797243035	0.547333904108	0.55810422306	0.0928159110693	0.421319293706	0.446150111343	0.0372412020291	-0.22140364594	-52.6776610689	0.463542432566	0.463646885646	0.0225783132706	0.453903660871	0.45615233354	0.0140828764942	-0.22076247943	-300.0	0.30103780239	0.300607900971	0.0273936623166	0.295573541873	0.295479910577	0.0245092790507	-0.103857618405	-70.7616157563
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0401900783656	0.0102794851421	0.134516694116	0.0153489540865	0.00346444168909	0.0162667068287	-0.0719403331117	-8.62199406367	0.480513779364	0.492648216067	0.132655205571	0.346244360087	0.397181127438	0.0387745642694	-0.155167923762	-40.6206766182	0.52847592443	0.529729286222	0.0208755094282	0.517151951314	0.519909910699	0.0119419224661	-0.307980049875	-300.0	0.361786388425	0.364831872671	0.0413004103808	0.36115901984	0.360696194127	0.0274381129508	-0.0321145929159	-20.8137553155
GABPA	-0.7648685556	8.661842	7.8969734444	0.239235087712	0.00970410184825	0.375160433599	0.0166809852917	0.00516953885744	0.0206403912882	-0.0999587140466	-0.784019219746	0.349514682658	0.354458551848	0.0527610115412	0.443040696684	0.451849384214	0.0532385220431	0.0804001152439	-54.4763385757	0.543742253705	0.534674555645	0.0280358475227	0.549642487752	0.537262620599	0.0447295310217	0.0410731867411	-289.313981649	0.306302786363	0.305749413767	0.0412264276554	0.302165654511	0.301078102063	0.0306740102797	-0.0541686146865	-101.40614373
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.014520736631	0.00431779307242	0.0169245626812	0.0583778277265	0.00867589040211	0.147752055478	0.0424931732552	-4.6865747028	0.594016930497	0.598993857933	0.0632222016971	0.453059498753	0.462631199225	0.0517775961143	-0.198928564087	-300.0	0.511579643577	0.502543395234	0.0304341788833	0.516699922388	0.509290487296	0.0345414933448	0.020469622905	-300.0	0.342028493329	0.34137033397	0.0417499138073	0.337585059609	0.336625829	0.0286416693383	-0.0692809121358	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.106611654739	0.0116623862765	0.217228682322	0.016567997083	0.00910698279362	0.0171083851358	-0.0663890646653	-2.99302337387	0.295680614559	0.348898161024	0.0477012193265	0.385214916622	0.403457384242	0.129881061582	0.0994627844087	-8.05531000871	0.573223571674	0.57439690312	0.026493002608	0.560843688416	0.565876392317	0.0158605900165	-0.252002803925	-300.0	0.329188877966	0.327998563425	0.0350099922391	0.32073237573	0.32057105671	0.0344798739797	-0.157822334857	-40.2011038925
REST	-0.6212560778	8.5147308333	7.8934747556	0.0812383812015	0.00967124554864	0.182121270025	0.0148487333142	0.00724878291551	0.0162294920336	-0.00155536117576	-3.42722523625	0.351233353977	0.364746311076	0.048312880057	0.433862574194	0.445794700282	0.0607705634873	0.0212988539987	-56.2942172287	0.486593681314	0.481731275497	0.0365139520512	0.483783785416	0.475723792799	0.028030555271	-0.0202584954981	-219.036153555	0.298615875687	0.298525671891	0.0363222267459	0.295351929678	0.294789501852	0.0236564038366	-0.0416271818635	-77.5877543103
ERG	-0.5708799333	3.9203937778	3.3495138444	0.014823917709	0.00958620855143	0.0167774786059	0.0801014563637	0.010256180267	0.171749156054	0.0339221662625	-3.58691550037	0.472471547268	0.484546119994	0.0680550801544	0.376957029519	0.389264016628	0.0496088265791	-0.045798471177	-121.653721608	0.449963143897	0.447037062	0.0272361271039	0.449435419482	0.443867515047	0.0164248410528	-0.060169198895	-300.0	0.309051476081	0.308703842842	0.0317269971701	0.305479936143	0.304969352953	0.0237966137197	-0.0464192418953	-163.393291546
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.160991122131	0.0622715028839	0.27093481207	0.0149268665772	0.0104736174116	0.014017452099	-0.30834939367	-4.80773736677	0.265802390736	0.289040476222	0.0497749262737	0.286028046516	0.298246734731	0.0779462351905	0.394778709056	-1.87028299722	0.327953671528	0.328920855479	0.0270304976984	0.32078588949	0.325071442339	0.0129962642419	-0.175343811395	-300.0	0.291742218195	0.291138039978	0.0325249385103	0.289184232551	0.288011030118	0.020728335076	-0.0472491909385	-10.7269217909
TP53	-0.5304638611	9.9692148611	9.438751	0.145285243262	0.0380446770105	0.244934129789	0.0160523601125	0.0105271740015	0.0178028069517	-0.148180057682	-3.574089659	0.465588049322	0.476233642913	0.0606989704488	0.383030136895	0.394228329855	0.054016282654	-0.0134899557669	-19.995358941	0.55074654421	0.551054927413	0.0294810099306	0.545317167821	0.544865690007	0.0181072724974	-0.0952894438138	-228.974763113	0.296278452714	0.295767724039	0.0365594417118	0.293097918822	0.292369936149	0.0242712590286	-0.0469452030306	-28.9496773419
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0160934179136	0.0045753573905	0.0177674032831	0.056291425691	0.0101249830641	0.144104283742	0.0249663866645	-5.11261332767	0.554712051339	0.556191223786	0.0692552327233	0.41953438033	0.427902110813	0.0500474030883	-0.125812672024	-286.367662249	0.46513086641	0.452321654932	0.0365994448128	0.466848210261	0.456776338711	0.0424640906802	0.0811329942647	-229.164153257	0.332376702121	0.330616215546	0.0472689693468	0.330118785372	0.326941772108	0.0318899073773	-0.0445289829072	-300.0
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0164403117589	0.00885574601422	0.0182357104846	0.0905337899555	0.0102331418796	0.210145873342	0.0446705494053	-1.62874272311	0.574966120925	0.588538337485	0.0768411119185	0.44641958835	0.460919129087	0.0590356184565	-0.1614747773	-63.2745124359	0.532593061223	0.529517712501	0.0271815308582	0.526040977171	0.523688181566	0.0236490549758	-0.0314116777531	-186.708157877	0.310698743695	0.310190628864	0.0332761485903	0.307219955443	0.306506482413	0.0233302168439	-0.0529569386923	-88.0815457547
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.141994644133	0.0513831316573	0.243527464203	0.0151512923493	0.0105468726207	0.015459098866	-0.174672451082	-4.37879083569	0.489037793287	0.510169601458	0.0963686922233	0.381221339913	0.413057743641	0.0607039218685	-0.0952740536042	-26.4762776573	0.481394465945	0.481896316937	0.0340804770734	0.4745096154	0.47660762007	0.0231793106589	-0.100329781837	-210.973904961	0.304351511053	0.304024170329	0.0287423818559	0.301746330977	0.300652061143	0.0220011672748	-0.0541300226543	-22.599554724
MAFB	-0.3975071222	5.0393535	4.6418463778	0.0166640660865	0.00626288723625	0.0184078000997	0.0720714829322	0.0106468952768	0.175218716554	0.0974982389785	-1.73538114012	0.542771667167	0.556316965022	0.119767302827	0.404787390943	0.444520722057	0.0565270653001	-0.0992623453034	-41.5943153647	0.331691421022	0.330305403657	0.0247642629939	0.339537267511	0.330430407901	0.039447873408	0.0921539600296	-58.4486058058	0.324241299857	0.32422790841	0.0356303236108	0.32083327674	0.32112429282	0.0252512132304	-0.0582626750697	-59.7896684207
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.106231774373	0.0109151727153	0.26211774264	0.0172606942647	0.00503621284045	0.0189389718145	-0.0298845255169	-1.33389890656	0.546377995808	0.553985816658	0.101433199008	0.400461363721	0.426826618422	0.0546249500497	-0.135100717178	-95.65184033	0.523124634942	0.517357418417	0.0328231228239	0.531147690386	0.526975865603	0.0348877471937	0.0517373530915	-200.785827238	0.344407060199	0.344308797855	0.0447570809559	0.343063348838	0.341516080891	0.0238481682592	-0.0410103989808	-100.112744276
GFI1B	-0.3699532556	5.525732	5.1557787444	0.0658801547953	0.0105004814477	0.178678831688	0.0163987897013	0.00253482613764	0.0181344436244	-0.12395460239	-7.82364051504	0.373984396877	0.414549070017	0.0575809556323	0.484151058541	0.500872495075	0.115083462896	0.0395750287771	-33.1184146783	0.339918559205	0.339832366125	0.0291392366613	0.339206399548	0.336761155296	0.0172267600951	-0.0418326693227	-300.0	0.34898170705	0.348517278575	0.0376486841801	0.342654692891	0.343300706102	0.0241863116226	-0.0995831384012	-78.8828375554
INSM1	-0.3575675111	6.7003285	6.3427609889	0.11680532349	0.0271144515051	0.202481816919	0.015848855855	0.0100788107282	0.0175775570427	-0.0837468882693	-5.33689548002	0.598549361199	0.607828529258	0.0961275877799	0.444709222098	0.476081071447	0.0484473665627	-0.209101665561	-116.812551003	0.343819166227	0.336972216214	0.0301391889894	0.344307235971	0.33998719338	0.0350583364207	0.0895972368575	-95.4917057605	0.297464135014	0.296707546265	0.0336042494374	0.295840195448	0.294917130783	0.0250692896666	-0.00665385498058	-55.3464153362
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.0945945611332	0.0204511773434	0.178282293529	0.0161986789794	0.0102860830224	0.0173000748604	-0.079101327687	-6.2359461826	0.543480578111	0.559504070139	0.0882531425347	0.416514653907	0.435552070921	0.0584221889362	-0.172047890708	-90.1779041225	0.466120207422	0.464583613863	0.0263489417678	0.462513070481	0.46049348401	0.0202366623668	-0.0163755458515	-300.0	0.319195778804	0.318948607467	0.0275973179109	0.316635059686	0.316105723317	0.0209490895744	-0.026979969853	-84.0253708969
MECOM	-0.3505778778	2.913285	2.5627071222	0.0153419711504	0.00507354007157	0.0157638428162	0.0776584250422	0.00957668912974	0.225644611085	0.0284548804325	-1.24755025304	0.304427379212	0.352657825952	0.0500774394902	0.41305800072	0.434096502288	0.114012650619	0.0271704685838	-16.548033963	0.366493911655	0.367673707331	0.0248160694472	0.362480160451	0.364448385691	0.0130244919784	-0.150413507926	-300.0	0.299367544547	0.299135939053	0.03832681379	0.29621370423	0.295129751314	0.0257774042421	-0.0480781866662	-17.6530285918
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.102836582759	0.0100262097219	0.215880618928	0.0157744802597	0.00945398887043	0.0172053073767	-0.0238294704454	-2.57125331449	0.489912401061	0.508338222082	0.0977862059706	0.372758276979	0.401725550264	0.043606440331	-0.0942696515481	-43.2382663315	0.497050514642	0.498277510842	0.0263913011451	0.491032191714	0.493938847998	0.0147973045564	-0.152118434773	-300.0	0.314158046392	0.313545878914	0.0375681814887	0.311647214268	0.310855593616	0.0272465799252	-0.0321520901443	-29.855339197
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.522850178604	0.517446701965	0.424485672911	0.0133740376824	0.00715978359146	0.0210137449407	-0.349589780834	-1.06547707981	0.242919669848	0.253606099507	0.0511792639116	0.301858516034	0.314643122395	0.0718875707439	0.353743552499	-2.21769853793	0.704169821575	0.700954408481	0.0274117523143	0.709073486933	0.705425940668	0.0340223270436	0.0527923211169	-48.4038647561	0.307914276762	0.307894815112	0.0492591731536	0.307293406574	0.30582024708	0.0270622038495	-0.0340099453819	-7.79370351742
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.0161151566522	0.00587528281201	0.0181026817622	0.0775665923522	0.00967321062681	0.169189109751	0.00441906594963	-4.38946904379	0.543594938663	0.559263939929	0.0941028534559	0.415871686904	0.437194796839	0.0574090071985	-0.16545530709	-107.695792984	0.42991996146	0.428217323216	0.0284245507149	0.426981384513	0.424591084778	0.0216090058701	-0.000972074938141	-300.0	0.306832736428	0.306672496563	0.0299087099812	0.304347405766	0.303765676938	0.020154932674	-0.025049233608	-90.5702591904
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.12138165083	0.0105498358735	0.230729433175	0.0149511915467	0.0093284061609	0.0168493158611	-0.0998532909072	-3.89231704813	0.516712564322	0.536428317005	0.0916521266264	0.41428996587	0.438321239672	0.0650350706628	-0.115807517559	-38.0679465443	0.35993162928	0.35927578757	0.029051367759	0.359435689693	0.356712423886	0.0163250281298	-0.0841151941621	-300.0	0.270471485753	0.270295919814	0.0312532896691	0.266658191774	0.26692675995	0.0265510751586	-0.0248081676795	-23.4271489202
CTCF	-0.2180552611	8.924475	8.7064197389	0.0154101001706	0.00816215152668	0.0160827014522	0.0604188122483	0.0101954051051	0.145521353785	0.0940238327796	-3.64666658044	0.562370269676	0.574769232508	0.0804061266554	0.438902809328	0.458648949257	0.053080371173	-0.168692619172	-236.955427286	0.542735707581	0.538745956054	0.0264525402245	0.538723159026	0.534998162933	0.0235072704595	-0.0113610543058	-300.0	0.328678340513	0.328322276208	0.0383971763615	0.325755569457	0.325213917669	0.0270504028337	-0.0273525955008	-233.140306463
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.0168690081836	0.00558112860338	0.0191001502865	0.0858911437535	0.0104776750082	0.187934307167	0.0471603780346	-2.70272882121	0.465126477987	0.483602431615	0.101975835708	0.354907679932	0.389792954013	0.0637152625069	-0.00330894201561	-27.3448928156	0.526166901619	0.526710964461	0.0191984850975	0.528364812941	0.530212112463	0.0262206987406	0.00637241749396	-192.610348452	0.308270175136	0.308204831105	0.0403872438158	0.307580223919	0.305812573045	0.024081129484	-0.0187391547307	-23.9675062724
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.0159623103145	0.00745700139861	0.0180350220149	0.0812786269039	0.0101606914449	0.177662997119	0.0123072258699	-3.23471634609	0.588929943418	0.600797294079	0.0636968554503	0.467799078387	0.48384120495	0.0620756668268	-0.209517013037	-54.9544957454	0.445028044334	0.444144148391	0.0360684774858	0.442032289668	0.4413682191	0.0207918516738	-0.0424615031027	-300.0	0.261877299782	0.261606804826	0.0265548236503	0.262363736377	0.261852815262	0.0275834481772	0.0496042524767	-6.14355107729
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.0143891230208	0.00872302742262	0.015660586953	0.0975961496322	0.0097548851468	0.212228570038	0.0545430392838	-1.94573874786	0.539305320408	0.557856947758	0.0909036757472	0.409351710682	0.43706391408	0.0633244991131	-0.160596368137	-53.9064737432	0.631518781662	0.628504809173	0.0312543515851	0.629762207254	0.626876271411	0.0161704143144	-0.0332854592035	-300.0	0.28817151475	0.287977561655	0.0263082663095	0.289939046435	0.29012731866	0.0349781742498	0.0042648667204	-18.9321440591
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.110506999116	0.0103542774687	0.237599953992	0.0141197121164	0.00868175259104	0.0144617575285	-0.0132384438326	-1.98535041793	0.323361071012	0.359652527898	0.0658574582157	0.391946236832	0.401139869585	0.100134797259	0.114907636224	-8.90512659806	0.563509813324	0.566003786944	0.0327226628258	0.558273583152	0.562888104948	0.0189486355168	-0.0957517302312	-300.0	0.296728637401	0.296802833493	0.0259117672961	0.29942972907	0.297605159766	0.0434921345397	0.0229471375394	-3.09286398286
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.0148437854414	0.00747957060536	0.0173840359234	0.0779998094377	0.00877606910448	0.174593705336	0.0585670454071	-3.29888824856	0.60124525146	0.616623985115	0.0848257857297	0.463110995758	0.486473562225	0.0585772052049	-0.181945277318	-92.7213369577	0.454156510615	0.452712326541	0.0347765748774	0.45177096684	0.450238282824	0.0202081989469	-0.00242995997713	-291.081216794	0.299821128092	0.299602637336	0.0285072387499	0.300953763902	0.301130053578	0.0293805792521	0.0163626136146	-24.7705446315
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.16818954441	0.0216953267038	0.28111412634	0.0362537680917	0.0216477250627	0.0413115859569	-0.0406079107624	-1.18137470594	0.594368857291	0.603932798107	0.141517501745	0.423338253396	0.480240032097	0.0285612947629	-0.254010544165	-17.4013520594	0.371629779047	0.372511223199	0.0329036448399	0.368824559493	0.370487873457	0.0184157803731	-0.0341096795507	-106.483120326	0.337775245644	0.337216559353	0.0226184220485	0.335044596826	0.334521130006	0.0208891296853	-0.00885297149889	-5.39096121017
USF1	-0.1057473167	7.4895785833	7.3838312667	0.0799333368035	0.0162242083665	0.178549863108	0.0158488135475	0.0104708189243	0.0184133306654	-0.0890459663224	-4.94270798122	0.287614954019	0.30310738216	0.0562683456459	0.368497955426	0.377049010849	0.0766703607316	0.295287016983	-14.0379761122	0.553466051251	0.547795796172	0.0231643065478	0.555181544925	0.550111142562	0.0356945579533	0.0221595313981	-262.256390019	0.337808249471	0.335982747656	0.0510462308141	0.335810601258	0.333920233576	0.0297757317671	-0.0150642077713	-31.9060032236
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.0153007340846	0.00729206883256	0.0169133442666	0.0797893733959	0.00971905366088	0.177330266211	0.0780712082293	-2.76338172898	0.552033795647	0.564589112421	0.0924321188707	0.424345804214	0.448633693213	0.0603730766906	-0.124318130488	-138.77299787	0.595186963938	0.590534597174	0.0268422414809	0.60027825414	0.5956051164	0.0280073071121	0.0624678332476	-237.762253117	0.335048833557	0.334439363574	0.0391398526812	0.333631840943	0.33256988736	0.0249620109103	-0.0119573816371	-105.700825084
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.138635832434	0.0779075978753	0.242073087044	0.0156744854764	0.0100675408748	0.0167436995344	-0.254123207265	-5.6520190872	0.283964201331	0.299942306597	0.0502624922922	0.326709232672	0.34599627631	0.0799962587028	0.286297204614	-6.1622084086	0.510647350549	0.512507818336	0.0237876382929	0.50504969515	0.5097591488	0.013378210935	-0.135634552188	-300.0	0.284179616292	0.283414399745	0.0303891562722	0.284393615503	0.284437055764	0.0429561289058	0.00144796873697	-6.41234587031
ZNF143	-0.0648688222	6.154257	6.0893881778	0.106240016262	0.0216769346378	0.209133335078	0.0173094506319	0.0112992900087	0.0181521788405	-0.0316472171556	-2.73249857037	0.567764812424	0.583957505133	0.106151474612	0.423813057854	0.464022484116	0.0678928072378	-0.151422479822	-34.311361565	0.410464459179	0.411548806457	0.0166489604526	0.41124824845	0.413556015346	0.0258955170406	0.00667592394787	-120.67118845	0.337872287114	0.33769768522	0.0301904753694	0.336338697323	0.335709497797	0.026563301378	-0.00778110716801	-15.7149142646
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.123738316352	0.0619316401404	0.22560096035	0.0157668962354	0.0112144008091	0.0153388723373	-0.200059458442	-5.01514284838	0.499967216077	0.518089904928	0.0822933728871	0.394604444816	0.416993729158	0.0477785435877	-0.126924715576	-28.9865609577	0.369018680151	0.367263950983	0.0293418339814	0.36564047803	0.36548458703	0.0150319377846	-0.0392098667722	-300.0	0.267926077747	0.266964623889	0.0262567817524	0.263574221628	0.263801566036	0.0222472869584	-0.035856430561	-31.6091438066
