FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FLR_80_H1hesc_protection_mean	FLR_80_H1hesc_protection_median	FLR_80_H1hesc_protection_std	FLR_80_GM12878_protection_mean	FLR_80_GM12878_protection_median	FLR_80_GM12878_protection_std	FLR_80_protection_ks_stat	FLR_80_protection_ks_pvalue	FLR_80_H1hesc_tc_mean	FLR_80_H1hesc_tc_median	FLR_80_H1hesc_tc_std	FLR_80_GM12878_tc_mean	FLR_80_GM12878_tc_median	FLR_80_GM12878_tc_std	FLR_80_tc_ks_stat	FLR_80_tc_ks_pvalue	FLR_80_H1hesc_fos_mean	FLR_80_H1hesc_fos_median	FLR_80_H1hesc_fos_std	FLR_80_GM12878_fos_mean	FLR_80_GM12878_fos_median	FLR_80_GM12878_fos_std	FLR_80_fos_ks_stat	FLR_80_fos_ks_pvalue	FLR_80_H1hesc_flr_mean	FLR_80_H1hesc_flr_median	FLR_80_H1hesc_flr_std	FLR_80_GM12878_flr_mean	FLR_80_GM12878_flr_median	FLR_80_GM12878_flr_std	FLR_80_flr_ks_stat	FLR_80_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0647023181261	0.0583521916897	0.0226840280496	0.0800264852227	0.0667490729295	0.0383022123569	0.0165518803921	-70.6578587941	0.532484579017	0.538516061549	0.0416062834066	0.382324829159	0.387671507699	0.0326833851619	-0.188834612701	-300.0	0.440410826274	0.442459421692	0.0262399765922	0.400560690052	0.401913361281	0.0174105717093	-0.636557873622	-300.0	0.269020352821	0.266918159515	0.0375975215208	0.23945827855	0.239376394633	0.0317929351623	-0.502637621586	-97.6350118604
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0947389232761	0.0703322185796	0.0611993312925	0.0714421163879	0.0559044112312	0.0397614162742	-0.0266051471749	-125.250002771	0.273369851562	0.280102534709	0.0400116376463	0.378586708367	0.384611372795	0.0502203860319	0.0291325201451	-300.0	0.480922335173	0.47586930968	0.0470896479342	0.449283495382	0.444659173277	0.0349213084822	-0.34032664848	-300.0	0.337270083313	0.335878561173	0.0446334378941	0.310011806622	0.307494594296	0.0356583145803	-0.476011025167	-237.932350084
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0923655561372	0.0723846701779	0.0496223600964	0.0708701558956	0.0598528741397	0.0357725938314	-0.0991068894054	-285.134942633	0.563050799009	0.569635360946	0.0433847267191	0.411720544308	0.417624926948	0.0354602895519	-0.191315136476	-300.0	0.584992685911	0.586218336689	0.0297328180428	0.545581111821	0.546816061005	0.0184905352778	-0.577758621129	-300.0	0.283746152895	0.281809068727	0.0395967439558	0.262473788595	0.262082457028	0.0291052799047	-0.385796896972	-117.642673302
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0787570559334	0.0637522144662	0.0390158032625	0.0998867409083	0.0779893755202	0.0563433287595	0.0201497402433	-300.0	0.529173348708	0.53416089262	0.035943938657	0.388583509947	0.392607683023	0.0303461223906	-0.184485274423	-300.0	0.469592989909	0.468528926862	0.0275187619149	0.442883261188	0.441937757512	0.0202456523811	-0.413281491801	-300.0	0.343394073953	0.343555506002	0.0280135746443	0.324490193446	0.323755940702	0.0275437796272	-0.464287593539	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.107834038124	0.0857204821436	0.0624779218267	0.083592558011	0.0676533985815	0.0447097778489	-0.0748438686192	-138.346162039	0.577884619286	0.583484826432	0.0433170396069	0.429116543097	0.435568776021	0.0322473078715	-0.155111245266	-300.0	0.472406050476	0.474426881195	0.033237744338	0.45205481185	0.452742961629	0.0220440464554	-0.348662439439	-300.0	0.310654741053	0.311850237345	0.0375259066388	0.300492329722	0.29976751983	0.0352091569982	-0.208192196852	-23.3259553327
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0370479872584	0.0281096899584	0.0193804943728	0.0326010362154	0.0250175696539	0.0189594646863	-0.148133958367	-300.0	0.569345214793	0.575019766722	0.0406049970607	0.428864668436	0.435005590662	0.0316709292981	-0.142156447232	-300.0	0.482876803114	0.484495249938	0.0145994831981	0.461938819327	0.463322909286	0.0110968397368	-0.595187998391	-300.0	0.381589904606	0.384250286521	0.0415088928152	0.369488290773	0.371314877262	0.0398308115622	-0.164093295774	-86.9584068964
SRY	-2.7415056944	4.77859	2.0370843056	0.103183841604	0.0874325445048	0.0593532516495	0.0802001678832	0.071975794999	0.0506810729378	-0.208557907176	-300.0	0.481552157518	0.487928155305	0.0474250636041	0.37057733571	0.377848459415	0.0333703076005	-0.109921503174	-300.0	0.482464396494	0.485114491642	0.0250799774774	0.460450397702	0.463142054442	0.0172245224029	-0.451584022125	-300.0	0.28190119326	0.280751646078	0.0502887874271	0.269257892185	0.269756698019	0.032168236735	-0.151092763196	-13.4815972247
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.096617231563	0.0886373151894	0.0220059642653	0.112460429517	0.100791538765	0.0358290895936	0.0427954988817	-300.0	0.599231516893	0.604036636991	0.0380727373687	0.441572173925	0.44747721724	0.027991430791	-0.146744002018	-300.0	0.64200589336	0.641660287443	0.0268059132024	0.6176219869	0.61658818439	0.0204874973904	-0.399815272857	-300.0	0.291963872175	0.291500496451	0.0470688393587	0.280117646574	0.278781843399	0.0314787001592	-0.283122563572	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0967069348515	0.0809544533322	0.0400148281189	0.0785827961408	0.0709729922724	0.0269946752036	-0.0901374022122	-300.0	0.577323246105	0.582281131955	0.0415686128675	0.432453167289	0.43880152807	0.0285520841167	-0.137548767984	-300.0	0.535569607321	0.5348819719	0.0220095771605	0.515117209217	0.514645608411	0.0143836675849	-0.454013775318	-300.0	0.292711356609	0.292391459864	0.0381845863742	0.283255917832	0.283311094135	0.0379794775606	-0.171172966416	-45.1294338812
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0865144736162	0.0734126694166	0.0419018758422	0.0650707000061	0.0566838106081	0.0242614764183	-0.0842081128492	-300.0	0.573301107641	0.578367523773	0.0364487913962	0.432425196321	0.437707808463	0.0280627431448	-0.124405993437	-300.0	0.580560847606	0.583860875529	0.0388371296621	0.560587522048	0.562138823037	0.0274115569018	-0.23276995296	-300.0	0.323072619786	0.322200333722	0.0364476063855	0.311335011266	0.310803609949	0.0345005966947	-0.252227196528	-92.0069033516
