FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FLR_95_H1hesc_protection_mean	FLR_95_H1hesc_protection_median	FLR_95_H1hesc_protection_std	FLR_95_GM12878_protection_mean	FLR_95_GM12878_protection_median	FLR_95_GM12878_protection_std	FLR_95_protection_ks_stat	FLR_95_protection_ks_pvalue	FLR_95_H1hesc_tc_mean	FLR_95_H1hesc_tc_median	FLR_95_H1hesc_tc_std	FLR_95_GM12878_tc_mean	FLR_95_GM12878_tc_median	FLR_95_GM12878_tc_std	FLR_95_tc_ks_stat	FLR_95_tc_ks_pvalue	FLR_95_H1hesc_fos_mean	FLR_95_H1hesc_fos_median	FLR_95_H1hesc_fos_std	FLR_95_GM12878_fos_mean	FLR_95_GM12878_fos_median	FLR_95_GM12878_fos_std	FLR_95_fos_ks_stat	FLR_95_fos_ks_pvalue	FLR_95_H1hesc_flr_mean	FLR_95_H1hesc_flr_median	FLR_95_H1hesc_flr_std	FLR_95_GM12878_flr_mean	FLR_95_GM12878_flr_median	FLR_95_GM12878_flr_std	FLR_95_flr_ks_stat	FLR_95_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.184712400179	0.0516653834343	0.305000349394	0.0804258383805	0.0171545174972	0.0861881354828	-0.209784946237	-1.36330641883	0.541743941117	0.55009920461	0.0464033890202	0.378252803261	0.385963546647	0.033099152386	-0.189736070381	-300.0	0.414486983535	0.414663805436	0.0247399359192	0.378018351676	0.37798044826	0.0213505088688	-0.62688255463	-300.0	0.317054533411	0.31626082112	0.0168237258235	0.287288078853	0.28736585786	0.0138374540674	-0.755464559647	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.104346995273	0.013855327108	0.224780390549	0.0214956666956	0.0098175379636	0.0228158698981	-0.119319727891	-1.36125478447	0.462944136187	0.467674034746	0.0428673667072	0.330444094735	0.334904954423	0.0372845133507	-0.125486659988	-300.0	0.599582444404	0.59758022156	0.0290788588055	0.553414141922	0.550025104105	0.0260551172966	-0.662099207954	-300.0	0.334914381736	0.334036539611	0.0229497999267	0.307111549318	0.306418108394	0.0155651288982	-0.726590270332	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0970082499664	0.0130737910509	0.20937883013	0.0212512630372	0.00403939313661	0.0236736641085	-0.191259509721	-3.81167586198	0.5611455136	0.568075421664	0.0436148720924	0.398392695442	0.404555879949	0.0342124386314	-0.188796680498	-300.0	0.500086072692	0.499771658035	0.0231286872043	0.466673808828	0.466312375302	0.0183286943052	-0.626130974841	-300.0	0.33200243256	0.33135175009	0.0164833911383	0.310012023458	0.309641972985	0.014493432797	-0.68627409236	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0672768434907	0.0145867981458	0.151968690554	0.0210887335045	0.00637845131813	0.0215790157395	-0.157760226563	-6.30035934463	0.515914386754	0.519028992731	0.0374328080759	0.373512107275	0.376415050865	0.0368739421039	-0.16637401334	-300.0	0.494164437275	0.494250438334	0.0234053256966	0.465978966939	0.46500384259	0.0201044667412	-0.534514548224	-300.0	0.329276526285	0.329449595218	0.0150584436388	0.310274034637	0.310259726423	0.0136603661717	-0.671911459308	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.120425934308	0.0141888420694	0.238427757114	0.0210732383795	0.0118403665211	0.022798642277	-0.041129141297	-1.16040607102	0.610176780839	0.616903942168	0.0376814842587	0.442591903252	0.449224564319	0.0277777349601	-0.158431451287	-300.0	0.533787430769	0.535653787836	0.0299762386191	0.511071772988	0.512045255023	0.0245132725622	-0.391915732584	-300.0	0.312264959791	0.312421510029	0.0185078169532	0.298919913711	0.298558236592	0.0132958777324	-0.579620535872	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0352917283105	0.0127004587764	0.115411243585	0.0182475583066	0.0034085699351	0.0191384411829	-0.165159405954	-15.620937156	0.587771988707	0.594499107643	0.0408476192177	0.428091020619	0.435168756929	0.0318625942801	-0.143445115453	-300.0	0.395778991578	0.396145772797	0.0206891721895	0.378870732716	0.379867042713	0.0178211633261	-0.39884159822	-300.0	0.394821424902	0.396202312282	0.017128287392	0.378363085948	0.379053371402	0.0150138662904	-0.574708773393	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.099839419612	0.0149586773506	0.231546815815	0.0214170860356	0.00548020083041	0.0217158528442	-0.117204075061	-2.37471754828	0.49535087248	0.503313334115	0.0425977988785	0.368458939124	0.375854241172	0.0312176756652	-0.116251293976	-300.0	0.470802471856	0.471978584809	0.0265590512316	0.449357857033	0.451652086869	0.0216770539552	-0.416597148999	-300.0	0.321306711805	0.32077052742	0.0159403709175	0.308099727464	0.307758970936	0.0124030601435	-0.60175402541	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0695258501237	0.0137900952954	0.162639684377	0.0204413479531	0.00811461316905	0.022071331291	-0.00177972073577	-2.29429664361	0.583500989435	0.586095149726	0.040394262803	0.424582827595	0.428586687235	0.0359277875507	-0.132551207555	-300.0	0.432651875344	0.43221908248	0.0264035303113	0.417087068042	0.415638674771	0.0231599596688	-0.291461535412	-300.0	0.308421885437	0.308330099112	0.0178141140445	0.295795466665	0.295780197315	0.0166982667952	-0.555800199885	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0702132280577	0.0140384410399	0.185566678013	0.0210862186391	0.00719753569978	0.0216862549964	-0.00288215352633	-1.5698658074	0.540369892189	0.54496350905	0.0395453483729	0.396608419649	0.402175901559	0.030902844446	-0.127075082326	-300.0	0.553410914972	0.55309253495	0.0181159476165	0.533091125791	0.53216720531	0.0150348177126	-0.504320200845	-300.0	0.335682363977	0.335885560041	0.0184399584983	0.323295334536	0.323177892479	0.0162363366382	-0.532556652647	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0843072670806	0.014742876375	0.179648023752	0.0213711285101	0.00926285541891	0.0224088773061	-0.0562253428179	-3.30210478275	0.550280105698	0.556007158902	0.0385718364623	0.410955194087	0.416607803372	0.0319640150829	-0.111814053825	-300.0	0.475256305563	0.476007917846	0.0280305933388	0.461113650577	0.460730797635	0.0255534343368	-0.221645007559	-300.0	0.334240820712	0.334108660345	0.0161227209666	0.322733742216	0.322571064308	0.0141185815752	-0.524691757125	-300.0
