FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	HINT_H1hesc_protection_mean	HINT_H1hesc_protection_median	HINT_H1hesc_protection_std	HINT_GM12878_protection_mean	HINT_GM12878_protection_median	HINT_GM12878_protection_std	HINT_protection_ks_stat	HINT_protection_ks_pvalue	HINT_H1hesc_tc_mean	HINT_H1hesc_tc_median	HINT_H1hesc_tc_std	HINT_GM12878_tc_mean	HINT_GM12878_tc_median	HINT_GM12878_tc_std	HINT_tc_ks_stat	HINT_tc_ks_pvalue	HINT_H1hesc_fos_mean	HINT_H1hesc_fos_median	HINT_H1hesc_fos_std	HINT_GM12878_fos_mean	HINT_GM12878_fos_median	HINT_GM12878_fos_std	HINT_fos_ks_stat	HINT_fos_ks_pvalue	HINT_H1hesc_flr_mean	HINT_H1hesc_flr_median	HINT_H1hesc_flr_std	HINT_GM12878_flr_mean	HINT_GM12878_flr_median	HINT_GM12878_flr_std	HINT_flr_ks_stat	HINT_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0970763559791	0.0793069435544	0.0574116735785	0.0869637456583	0.0729270963476	0.0510847027796	-0.041330068615	-300.0	0.547716263829	0.553937864862	0.0325146372378	0.42896632479	0.436507261117	0.0223593693357	-0.0971876610376	-300.0	0.46138067303	0.462208495269	0.0227583585668	0.446128431586	0.447006172558	0.0133772843929	-0.374311550646	-300.0	0.313524833206	0.313527954153	0.0139205504643	0.304050534295	0.303595342345	0.013205841431	-0.510501137592	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0844487758939	0.0711912957232	0.043790171283	0.0652581501375	0.0532327489343	0.0426041353149	-0.0966865543106	-133.745663721	0.467202088324	0.475839773444	0.0327698896534	0.373675148095	0.381704920668	0.0289123361673	-0.0394473648455	-300.0	0.332928767446	0.334127314458	0.0326359445411	0.324900283419	0.323908734873	0.0204429591058	-0.206364890062	-205.183579408	0.288100181349	0.287416390029	0.014751488482	0.278465062967	0.278484594743	0.012239164659	-0.496532244422	-300.0
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0827725024174	0.0684354485167	0.0433393034352	0.0659997106838	0.0514258621529	0.038116005271	-0.11742876798	-300.0	0.580317059189	0.585297641706	0.0287027424893	0.449884991064	0.455838832554	0.0201031918634	-0.0997976741108	-300.0	0.42742411457	0.428886379863	0.0199636371575	0.414285592979	0.415253282618	0.0126453706024	-0.372807715009	-300.0	0.319561353391	0.319253633531	0.0151969605937	0.309686504892	0.309507006307	0.0133381971979	-0.505654774583	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.102133121298	0.0921913816004	0.0377522553661	0.115880245354	0.106050497682	0.0389263040084	0.0873480256216	-300.0	0.562383701541	0.569684801521	0.0359352055814	0.447659202068	0.457984395225	0.0294653123312	-0.0411780676002	-300.0	0.561998915794	0.559952063207	0.0300759359124	0.552443858143	0.550007101969	0.0225781159284	-0.117159346977	-300.0	0.363438918699	0.363063245728	0.0189770744257	0.356907667652	0.356759196939	0.0183305433702	-0.32294183682	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0774397268271	0.0648174237043	0.039647231217	0.0890949188245	0.0709036199269	0.0441251000813	0.0153871948421	-300.0	0.547363428464	0.554093484365	0.0266307585243	0.437417113867	0.443706108801	0.0228543358071	-0.0493616104631	-300.0	0.392625786655	0.393864406771	0.0212979945405	0.384465431103	0.386086193611	0.0145113529586	-0.21684826991	-300.0	0.341793515573	0.341432424446	0.0134039594335	0.336006602324	0.335941005411	0.0108859509446	-0.321873758632	-300.0
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.115972286093	0.103853844967	0.0424553996699	0.139741229331	0.122518806346	0.0525258396041	0.0123083604376	-300.0	0.520484557894	0.525460171363	0.0283275041433	0.416560853389	0.422273847862	0.0208957352399	-0.0473165373363	-300.0	0.476749887862	0.47847599196	0.0144523308029	0.468019361492	0.469336164044	0.00942178515118	-0.34401410159	-300.0	0.342331584479	0.343524902726	0.0138472001795	0.337878046346	0.337993147297	0.0119996515855	-0.295827101174	-300.0
GABPA	-0.7648685556	8.661842	7.8969734444	0.0779061967032	0.0674087135932	0.0324360333578	0.090279239046	0.0773677352598	0.0364939797108	0.00318408146806	-300.0	0.369278833532	0.379536775961	0.0358694221689	0.466622102899	0.475588481306	0.0451945089124	0.117728274044	-300.0	0.503255980336	0.49883328102	0.0312835208816	0.509717234293	0.501767513644	0.0507402027955	0.0383797912576	-83.1266206086	0.306519317498	0.306451854424	0.0257096588341	0.302174929193	0.30204214678	0.0217490707973	-0.167545627149	-300.0
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.0979776480913	0.0893125475964	0.0344769272033	0.112864311775	0.104423377491	0.0354944807965	0.0404255023261	-300.0	0.599195805726	0.606915828897	0.0355182686446	0.472170050441	0.482807589669	0.0291632510435	-0.0430899018757	-300.0	0.554436639403	0.551506624164	0.0343166643549	0.552599925365	0.547016863464	0.0237738855205	-0.0171495907723	-300.0	0.341783482881	0.341533095703	0.0207649242477	0.337004261643	0.336882448659	0.0197619368507	-0.217644783357	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0627056979368	0.0492751022395	0.0414519539145	0.0776569606792	0.0605263474691	0.0496923658578	0.123363185571	-96.9044864656	0.502531324099	0.507565553099	0.0295165000461	0.404274563847	0.410782919249	0.021206445078	-0.0306388354208	-300.0	0.482277782651	0.484484943873	0.0253360367393	0.473518898783	0.476062263052	0.0165181908211	-0.191228660513	-300.0	0.328012558178	0.327718627157	0.0149578312162	0.322549899181	0.322939209619	0.0128436282508	-0.311345485956	-300.0
REST	-0.6212560778	8.5147308333	7.8934747556	0.165316200805	0.159962332188	0.0422972985841	0.139006015756	0.138313033789	0.0343991429869	-0.187490341502	-300.0	0.386187123214	0.394599575717	0.0279891135532	0.465191907818	0.473717531913	0.0329923550091	0.049523077219	-300.0	0.533481608317	0.533644704027	0.0329328961428	0.527785390687	0.526989829225	0.0235458061933	-0.0640716790507	-300.0	0.331789909434	0.331884423564	0.0152544988574	0.327806152866	0.32780450942	0.0151180851834	-0.174086883646	-300.0
ERG	-0.5708799333	3.9203937778	3.3495138444	0.073204876996	0.0626631596812	0.0353582346637	0.0871668699756	0.0765628768336	0.0391035170193	0.0751634289916	-300.0	0.504532536769	0.512356685778	0.0324806648509	0.405554514836	0.414207061448	0.025918932904	-0.00161783826013	-300.0	0.553857917398	0.553073051667	0.0296689296141	0.550440885801	0.548179682813	0.019365652193	-0.0712451912155	-300.0	0.308888913133	0.308825013021	0.0142696065615	0.305129184044	0.305109899289	0.0133991599489	-0.183003373001	-300.0
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.107094482338	0.0839933138431	0.0660842327127	0.0813774713556	0.0583036788053	0.0479298329105	-0.0740141741955	-252.001979053	0.368076676274	0.374580782011	0.0235308462747	0.449532028826	0.454981737799	0.0292002276091	0.0168974288842	-300.0	0.367569304927	0.37003187342	0.0341428302695	0.361715393687	0.365198649249	0.0219622989378	-0.0662275584784	-113.797804958	0.291798644756	0.292108503735	0.0118491609316	0.288691819482	0.288689911409	0.00937193259937	-0.211003724367	-300.0
TP53	-0.5304638611	9.9692148611	9.438751	0.127931611573	0.120117112433	0.0397500155052	0.114713655638	0.103035728881	0.0379435528347	-0.145412503967	-300.0	0.398027728521	0.406007326072	0.0259153367637	0.490129632629	0.497863088903	0.0318228315384	0.00479355699803	-300.0	0.54819302462	0.548744293227	0.0409985803545	0.542844663469	0.542581007977	0.0249126478689	-0.0466189868943	-105.665811288	0.296102845773	0.295984062327	0.0175297438096	0.292844859216	0.292625466635	0.0148090537279	-0.14138135605	-300.0
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0902661710033	0.0805035428407	0.0324410904903	0.105459369615	0.0951672851137	0.0352668058651	0.0422945322007	-300.0	0.595380948804	0.604399518303	0.0396961501597	0.468364854137	0.481271803517	0.0320155987199	-0.0264538763589	-300.0	0.469681529441	0.464432348133	0.029374416608	0.474698427352	0.465376127194	0.0455044041231	0.0605530048531	-205.26257419	0.331455375942	0.331023907039	0.0224674311637	0.327944818034	0.327603520765	0.0219102800492	-0.148112103716	-300.0
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0850861696406	0.07926831853	0.0243159152236	0.0768491822161	0.0699018454432	0.0239177126218	-0.100786671647	-300.0	0.599038165427	0.606207706042	0.030208259745	0.473658575394	0.481957264306	0.0240566695471	-0.0410995841986	-300.0	0.554102151954	0.551410912562	0.0429485969586	0.548936852687	0.545340356475	0.028376805239	-0.0306645891297	-218.541319104	0.310347679646	0.310168093819	0.0151290284732	0.306786890982	0.306700636066	0.0147308374445	-0.145218943634	-300.0
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.121155121744	0.102427577899	0.0360777806134	0.108083127068	0.0931435052064	0.0340295180335	-0.109471025001	-300.0	0.503203573791	0.510081062592	0.0305914769149	0.409616915795	0.416190934456	0.0251915435747	-0.00843935501151	-300.0	0.503070949132	0.5036584312	0.0346135367659	0.495287252976	0.497425831825	0.0224916221955	-0.111439143455	-196.175449012	0.303677682957	0.303412062974	0.0121320100718	0.300556650919	0.300283333443	0.0118725733295	-0.149513882282	-300.0
MAFB	-0.3975071222	5.0393535	4.6418463778	0.12978585994	0.111248092842	0.0467858039779	0.106620053632	0.0917821261268	0.0414828905441	-0.113087781634	-300.0	0.55152519232	0.558991228178	0.0335386488224	0.44195076615	0.450561803918	0.0249390076393	-0.0253589660173	-300.0	0.497443633325	0.496523514525	0.0236652867463	0.500995256919	0.498912980964	0.036552206493	0.0295845381403	-64.3010091412	0.31509703516	0.31530365945	0.0162997243287	0.312003605459	0.31225882194	0.0158309636939	-0.112613995741	-300.0
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.0863056921492	0.0778484895889	0.032129610699	0.102321825783	0.0922886898331	0.0357198481638	0.0259558546896	-300.0	0.569574180765	0.574805489173	0.039868049612	0.451532180496	0.461876062015	0.0299214610019	-0.0153421825132	-300.0	0.493729592243	0.490109807252	0.0269331965711	0.497145018341	0.494851609208	0.0370833399992	0.0217496558866	-149.851568794	0.344389159737	0.344423400236	0.0229064441046	0.341671802277	0.341278851906	0.0185989833117	-0.102842351604	-300.0
GFI1B	-0.3699532556	5.525732	5.1557787444	0.131621691271	0.111280888726	0.0616010767509	0.0955217146228	0.0745980361269	0.0460592107397	-0.185804392002	-300.0	0.525691574944	0.532588673971	0.0333161717153	0.420914832966	0.42925634255	0.0244906294952	-0.0132133288448	-300.0	0.555359876415	0.556386048864	0.0305426195876	0.551553184365	0.551357749536	0.0191434236888	-0.0567449369644	-221.353149852	0.348649548665	0.348572091775	0.0163733304519	0.344500003664	0.345008412534	0.0127674314535	-0.184399869904	-300.0
INSM1	-0.3575675111	6.7003285	6.3427609889	0.0786164467518	0.0687329759846	0.0320977681899	0.0908603792422	0.0785749310736	0.033786161221	0.0443133655017	-300.0	0.629010792549	0.636332357153	0.0294761009205	0.496239375751	0.504348007045	0.0239884536875	-0.0392143668607	-300.0	0.608814188568	0.608977680056	0.0295771248815	0.605515492889	0.603577318409	0.0218542959762	-0.0302665858406	-300.0	0.297016229936	0.296785713732	0.0162925630258	0.294696939777	0.294494993078	0.014352086488	-0.066365917129	-300.0
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.129465081626	0.112920039272	0.0423194679108	0.107734149768	0.0964246638385	0.0344711052683	-0.0602603909034	-300.0	0.557179859479	0.564336451434	0.0292374057787	0.446894704724	0.454420430442	0.0235453706459	-0.0279247319326	-300.0	0.433024627884	0.431898274693	0.0353063803584	0.429205068958	0.428095902043	0.0244740816114	-0.0133032497129	-299.998641821	0.318892122551	0.318712449802	0.0122986716901	0.316114065372	0.31598126595	0.0122965822127	-0.13021659509	-300.0
MECOM	-0.3505778778	2.913285	2.5627071222	0.114787375211	0.0944907803688	0.0491923917426	0.0934250774266	0.0767388723961	0.0438030944851	-0.0651092403939	-300.0	0.366749151195	0.373015849116	0.0227792091205	0.442466143179	0.447572866984	0.029860390956	0.0275158129663	-300.0	0.45064285365	0.453782353031	0.0313663454073	0.446563445175	0.44877799334	0.0214940655077	-0.0529130495622	-162.335651067	0.299030711119	0.298509464854	0.0153166017031	0.295773751181	0.295827468019	0.0149680160074	-0.165553408043	-300.0
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.0892658104494	0.0780630582174	0.0451118410588	0.0983830343814	0.0827552088811	0.0485845031781	0.151126785261	-213.336655527	0.498387130406	0.504157195255	0.0287105577564	0.403662537797	0.410296350086	0.0222448383648	-0.00848703908951	-300.0	0.6355383395	0.637740195418	0.0242031781722	0.628952029639	0.631294056041	0.0166940817409	-0.136975421305	-300.0	0.313774684279	0.313709879912	0.0139337359089	0.310990754123	0.310978306903	0.0139219512429	-0.131972664944	-300.0
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.153568515822	0.113398498187	0.0896317309323	0.124591615549	0.0931135674951	0.0666491061207	-0.0528175334737	-88.0891225557	0.313231477785	0.326047630969	0.036715213367	0.378305321163	0.386293269622	0.0496211943212	0.328117609814	-229.713302611	0.404348069643	0.400947156774	0.0365703325143	0.407222493046	0.40341327898	0.052171657492	0.0863381815627	-2.68969780058	0.30851697711	0.30873063139	0.0300830012046	0.306661453242	0.306500741114	0.0199933740591	-0.00342378643085	-26.4001172096
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.174724651703	0.151588053894	0.0570316956008	0.1454631312	0.129384877147	0.0466978040551	-0.0835823809503	-300.0	0.556844883522	0.56399993596	0.0297044405414	0.447128098695	0.454781711943	0.0236933387059	-0.0264440082146	-300.0	0.438153711211	0.437757400236	0.0307394621685	0.434264952575	0.434050374328	0.0215567430162	-0.0222811179175	-300.0	0.306611189055	0.306544680572	0.0127185836609	0.304009541151	0.303948792822	0.0120342674845	-0.107884402575	-300.0
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.114553771781	0.10168445844	0.0550823555792	0.0824946384137	0.0713742794026	0.042455162609	-0.0819936356354	-300.0	0.5471416249	0.55222237859	0.0286031214377	0.4368482489	0.443371079626	0.0209910428858	-0.0265292785414	-300.0	0.42275534801	0.42408625037	0.0219108751279	0.421420889334	0.421060476491	0.0147593784889	-0.014571742918	-132.293908675	0.270276908874	0.270333568769	0.0136502564022	0.267900644603	0.268176937072	0.0114905286009	-0.0731263009387	-300.0
CTCF	-0.2180552611	8.924475	8.7064197389	0.0837136644642	0.0741312873639	0.03785019853	0.0984248970579	0.0893077898353	0.0386908273184	0.0800378697241	-300.0	0.593058065504	0.600005986139	0.0277030866276	0.473588058853	0.480698977732	0.0229524530768	-0.031716550174	-300.0	0.535101766571	0.534085906681	0.0275690260034	0.530975493955	0.530370531253	0.0195555406455	-0.0305120626788	-300.0	0.32852314108	0.328358042424	0.0173301750229	0.325902913537	0.325979002859	0.0148329679114	-0.0789916809054	-300.0
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.163688190282	0.147355567072	0.0528786837601	0.140491198217	0.122814596286	0.0433324330739	-0.0492113441611	-300.0	0.56139089263	0.568823451082	0.0320702994642	0.449053127224	0.45768315469	0.0242085892078	-0.0176543593623	-300.0	0.513194822238	0.51266546593	0.0213958278882	0.514986339498	0.516073250831	0.0317239441808	0.0100603851745	-86.4693546961	0.308149678154	0.308193613957	0.0151878564252	0.306156883426	0.306100647397	0.0133336694389	-0.0741074270584	-300.0
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.0973318587372	0.084080885925	0.0446074776865	0.112732968251	0.0941968614593	0.0499508962692	0.0331643307005	-300.0	0.615565085686	0.620376714212	0.025739586378	0.480849490927	0.487140802079	0.0204451120372	-0.0336780998924	-300.0	0.519230506223	0.519233315774	0.0228825614718	0.522692627225	0.522153399589	0.0345682626672	0.00893010910577	-136.984034034	0.262839879004	0.263456231875	0.0125889113278	0.261903481434	0.261809613601	0.0119506657097	-0.0231055290743	-300.0
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.116811775185	0.107377045039	0.0468761817963	0.1426895009	0.128633934723	0.0521066350755	0.0615867680852	-300.0	0.558110827983	0.564345435764	0.0319864250284	0.44107583961	0.449372205538	0.0228500194611	-0.0186967553257	-300.0	0.549722144893	0.549837582314	0.0291602063049	0.549660936373	0.547418227744	0.0167258689564	-0.0293669491596	-211.916105779	0.290385646791	0.290538021046	0.0167575061741	0.28853147129	0.288643872147	0.0136712265089	-0.0339475974449	-300.0
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.175514247188	0.150935245192	0.062983503765	0.145631321835	0.127787922024	0.0525164626993	-0.0539106205709	-300.0	0.508815909536	0.514414683708	0.0280379292649	0.414419249039	0.420430754184	0.0220555901329	-0.00335649295726	-300.0	0.470113740572	0.471726146513	0.0189442356733	0.471928282644	0.474509217411	0.0285314378417	0.000683389562002	-52.967601413	0.29619823991	0.296167657224	0.015094363255	0.295625611286	0.295067935413	0.0118724546699	-0.0107550627226	-110.766973653
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.120823112012	0.104512116428	0.0396675616106	0.0995864343186	0.0893650917125	0.0325307092753	-0.127141094307	-300.0	0.548709381993	0.554789200473	0.0298861637018	0.437973942382	0.445404723294	0.0223958450418	-0.0173302597946	-300.0	0.619553092704	0.617789552052	0.0174511024722	0.620328246248	0.620826527815	0.0262293905817	0.0477522502831	-90.6119317836	0.301468617001	0.301837651001	0.0155330233954	0.299975587977	0.30003351974	0.0144467093558	-0.00408550572217	-300.0
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.0737262437284	0.0485118117788	0.0460804023399	0.0604171368927	0.0404582344147	0.0417062085278	-0.0680769513896	-183.996663134	0.594818106588	0.600150076901	0.0304465713842	0.47053375249	0.477562104453	0.0200279889128	-0.0302208710243	-300.0	0.381563729712	0.381738488885	0.0257851694218	0.378985878457	0.379665019887	0.0132209476326	-0.033902201547	-41.517760863	0.314879932962	0.314131680416	0.0142626547422	0.312700381742	0.3125272773	0.0106972741425	-0.0576910207074	-149.470222269
USF1	-0.1057473167	7.4895785833	7.3838312667	0.127534458471	0.107626433804	0.0517642605204	0.150783639325	0.125065162035	0.0605757204447	0.00650488504539	-300.0	0.360213340987	0.372752654312	0.0339895054569	0.433109392336	0.444683016738	0.0413592523842	0.166467076196	-300.0	0.533790511793	0.53152306598	0.025879337587	0.536689778344	0.531619256178	0.0415544866062	0.0149276324033	-78.5777402256	0.33639275913	0.336032305092	0.0224854622555	0.334580290992	0.3342691183	0.0168041704712	-0.0297839429284	-300.0
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.101692358789	0.0927611362887	0.038493952231	0.116055395498	0.10798507603	0.0393749250031	0.137079844801	-300.0	0.578617233785	0.586348174403	0.0333408947227	0.464620711958	0.473975964792	0.0273334950703	-0.0148921437537	-300.0	0.546905484942	0.544591305314	0.0234996225976	0.54957182896	0.547441496726	0.0319514192862	0.0366448821717	-214.60345864	0.33478797062	0.334599162759	0.0169655042647	0.332917957769	0.332879424682	0.0168350216474	-0.0277139762596	-300.0
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.108162301546	0.10068885859	0.041834715462	0.121728746098	0.115372062839	0.050875656972	0.0611955851953	-257.587574018	0.317570185352	0.325050560549	0.0268118337829	0.369415631044	0.376419576004	0.032456723131	0.196726191879	-300.0	0.53216924556	0.535529677925	0.0303624562553	0.528070221304	0.531861631323	0.0204820830429	-0.0545453373081	-222.845665844	0.28519412923	0.285653836366	0.0147720838219	0.283786473085	0.284032514287	0.0134635168515	-0.0499501660932	-237.380408493
ZNF143	-0.0648688222	6.154257	6.0893881778	0.146573483945	0.126940080604	0.0431028626727	0.138699053042	0.122234866671	0.04064646555	-0.0278745003217	-300.0	0.605100729299	0.610493273667	0.0267057814526	0.479840547036	0.485970365231	0.0207347584187	-0.0292267927213	-300.0	0.527060721902	0.528719206741	0.0211941483048	0.529462379442	0.531148007512	0.0315392819425	0.0271108955956	-57.165828567	0.338098583165	0.338214381954	0.0143316406799	0.336419429168	0.336395247317	0.0128811757056	-0.0234718475387	-226.093918207
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.113852640661	0.0960816176727	0.0498022831718	0.0929539720031	0.0808850360453	0.0424456707157	-0.00585089907229	-300.0	0.518861802052	0.523598570492	0.0304808118383	0.411604326356	0.418805680162	0.0220234712096	-0.012018379824	-300.0	0.487608748619	0.486645982421	0.0305626810033	0.483826238374	0.484599361479	0.0193236258381	-0.0155907157936	-153.410613629	0.287061673144	0.286496927393	0.010903857249	0.284893516978	0.285097475503	0.0107276240212	-0.0782484763113	-300.0
HNF4A	-0.0595492111	4.6226812222	4.5631320111	0.120572433526	0.108682373457	0.0273567242308	0.107216499564	0.0984374359225	0.0238948188944	-0.122719046257	-300.0	0.618369700977	0.624105864053	0.0253946218674	0.490497210541	0.496747682497	0.0198436794146	-0.0294588777894	-300.0	0.611488373635	0.614435202332	0.0236780677728	0.609954541468	0.611175702837	0.0164977705119	-0.00614887492558	-194.445695921	0.322809209045	0.322566176379	0.015286122513	0.321016443495	0.32102417226	0.0139705523501	-0.00722887738092	-300.0
NRF1	-0.0572260667	6.468081	6.4108549333	0.0874093799301	0.0697111751667	0.0414867272733	0.0681686092601	0.0539732972475	0.0395465012768	-0.120856341551	-300.0	0.397980145153	0.405022332823	0.0246882764564	0.491273637387	0.498147653402	0.030860964817	0.0141607341598	-300.0	0.414211365032	0.416033429063	0.0283229064078	0.412964444069	0.414536206144	0.0175587759829	-0.00873420920185	-128.12637266	0.342242252816	0.342273259869	0.0163406290683	0.340581172714	0.340647975962	0.012146473961	-0.0548112805882	-296.757793582
