FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	HINT_H1hesc_protection_mean	HINT_H1hesc_protection_median	HINT_H1hesc_protection_std	HINT_GM12878_protection_mean	HINT_GM12878_protection_median	HINT_GM12878_protection_std	HINT_protection_ks_stat	HINT_protection_ks_pvalue	HINT_H1hesc_tc_mean	HINT_H1hesc_tc_median	HINT_H1hesc_tc_std	HINT_GM12878_tc_mean	HINT_GM12878_tc_median	HINT_GM12878_tc_std	HINT_tc_ks_stat	HINT_tc_ks_pvalue	HINT_H1hesc_fos_mean	HINT_H1hesc_fos_median	HINT_H1hesc_fos_std	HINT_GM12878_fos_mean	HINT_GM12878_fos_median	HINT_GM12878_fos_std	HINT_fos_ks_stat	HINT_fos_ks_pvalue	HINT_H1hesc_flr_mean	HINT_H1hesc_flr_median	HINT_H1hesc_flr_std	HINT_GM12878_flr_mean	HINT_GM12878_flr_median	HINT_GM12878_flr_std	HINT_flr_ks_stat	HINT_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.11541787655	0.100062053987	0.0501216277388	0.110480339073	0.0902161547212	0.048634216004	-0.100133450509	-209.718073161	0.53989407066	0.546149693917	0.029023248379	0.398350894682	0.404954786261	0.0248237995042	-0.1751144094	-300.0	0.440721789508	0.442341180265	0.0232907509778	0.40067005939	0.402235837902	0.0152745558128	-0.679943235788	-300.0	0.317033037074	0.31626082112	0.014869505251	0.287391898115	0.287385896205	0.0135307372334	-0.763727745166	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.171533696914	0.154368358368	0.04805142309	0.174454468722	0.159407869018	0.0529994211531	0.025975849427	-90.5726899701	0.497617023665	0.508651718551	0.0389835982697	0.375093510144	0.386599883817	0.033266734316	-0.135154724475	-300.0	0.479201071289	0.475087144476	0.0432913516725	0.446997852292	0.442077281303	0.0303725374723	-0.404743284702	-300.0	0.334972663908	0.334115782975	0.0170026322869	0.306830066139	0.306399534102	0.0159130817414	-0.752897865672	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.152499006902	0.127753436348	0.0556281308799	0.137304476083	0.115938876905	0.0538028300051	-0.147687097417	-300.0	0.569424312491	0.574990552177	0.0300417410784	0.42734980174	0.433915166301	0.0226242719272	-0.176841924775	-300.0	0.560138046848	0.561319931006	0.0255404739929	0.522470199304	0.523961475899	0.0158260614656	-0.617842731092	-300.0	0.332055165324	0.33135175009	0.0137505651083	0.309800410608	0.3095894726	0.0124481431186	-0.715520495606	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.123374260768	0.108440489107	0.0418255450663	0.108012531967	0.0949731480125	0.0350753392634	-0.101181263914	-300.0	0.549080063465	0.556530043959	0.0295124233199	0.420445187111	0.428395303758	0.0250167984215	-0.170992247197	-300.0	0.469724606625	0.468639220866	0.0252108968247	0.442692008222	0.44131472496	0.0178379381381	-0.470949126725	-300.0	0.32936333816	0.329504821037	0.0128884752497	0.310275975979	0.310267401437	0.0119144943287	-0.70778196069	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.104795714373	0.0853152088238	0.0409509231236	0.0880322569827	0.0738431526916	0.03635226979	-0.199045301744	-300.0	0.537046076634	0.54312226289	0.0338061073323	0.412942805167	0.420926960159	0.0235418413487	-0.129737245292	-300.0	0.472674208842	0.474757492262	0.0287021755369	0.452019116368	0.453216872615	0.0190829381647	-0.393965893187	-300.0	0.31213273719	0.312421510029	0.0147746274361	0.298780570798	0.298558236592	0.0125472057317	-0.584226826202	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0816609681797	0.0681503059456	0.0366459074845	0.071248083569	0.0588822200961	0.0342218306906	-0.0343903656881	-300.0	0.612655153381	0.617400252009	0.0237782824229	0.466891561644	0.471981581345	0.0189062545912	-0.134382652476	-300.0	0.483220860671	0.484917468021	0.014120476361	0.462123797394	0.463525145388	0.0105347966622	-0.60655894305	-300.0	0.394897417093	0.396202312282	0.0167733221421	0.378141273489	0.378787837587	0.0143952826786	-0.592463947528	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.0791530406837	0.0694921258212	0.0425320411861	0.0908724590779	0.0762830638709	0.0490079607054	0.0773435592462	-84.1176266309	0.509340824085	0.51467989757	0.0284384961494	0.398477621298	0.40481640014	0.0218412324897	-0.117966048822	-300.0	0.482511044509	0.485282642245	0.0235581049075	0.460896252822	0.463625837925	0.0162332706386	-0.464358045852	-300.0	0.321291567523	0.32077052742	0.0153822816879	0.308009918494	0.30771803186	0.0120935382286	-0.602268946062	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.136297217467	0.119417228735	0.0430051211402	0.117180865282	0.105481722726	0.0368534742879	-0.155137798544	-300.0	0.598581488449	0.606108222732	0.0295001594959	0.461146822048	0.469083152049	0.0247417498047	-0.126408824413	-300.0	0.641929158085	0.641660287443	0.0243469401458	0.617396279146	0.616046684229	0.0183546293547	-0.453497711508	-300.0	0.308420799439	0.308325635021	0.0159941484904	0.295826324413	0.295808956367	0.0154006393078	-0.5831965912	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.151325128242	0.137054036676	0.0386981994207	0.1403162149	0.128771784383	0.0364133701201	-0.0346594730254	-300.0	0.531094149172	0.536825066366	0.0288919411363	0.417232283995	0.423885196519	0.0219982503105	-0.11288243905	-300.0	0.535620307869	0.5348819719	0.0196936627883	0.514911606522	0.514645608411	0.0125922940355	-0.507282539288	-300.0	0.335748897761	0.335885560041	0.0147355524761	0.323240883254	0.323177892479	0.013043086075	-0.580155430841	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.125808240529	0.105330049078	0.0482139678604	0.104896980207	0.0894476544699	0.0414760561733	-0.167359145369	-300.0	0.519948314419	0.527236058606	0.0293154137542	0.412753306506	0.419875341985	0.0244428883611	-0.0917770198369	-300.0	0.581361183921	0.583860875529	0.0349467141581	0.561140542413	0.56334383659	0.0238518583513	-0.280111348131	-300.0	0.334225066082	0.334108660345	0.0149700412287	0.322677854106	0.322580245636	0.0127433226622	-0.550255603261	-300.0
