FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Neph_H1hesc_protection_mean	Neph_H1hesc_protection_median	Neph_H1hesc_protection_std	Neph_GM12878_protection_mean	Neph_GM12878_protection_median	Neph_GM12878_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_H1hesc_tc_mean	Neph_H1hesc_tc_median	Neph_H1hesc_tc_std	Neph_GM12878_tc_mean	Neph_GM12878_tc_median	Neph_GM12878_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_H1hesc_fos_mean	Neph_H1hesc_fos_median	Neph_H1hesc_fos_std	Neph_GM12878_fos_mean	Neph_GM12878_fos_median	Neph_GM12878_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_H1hesc_flr_mean	Neph_H1hesc_flr_median	Neph_H1hesc_flr_std	Neph_GM12878_flr_mean	Neph_GM12878_flr_median	Neph_GM12878_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.113808027645	0.0998552073637	0.0469468162591	0.107525748416	0.0895335608647	0.0467264809057	-0.101032079811	-159.735697924	0.425650621773	0.432848353939	0.0391781632441	0.337980927096	0.348535758958	0.0369205662427	-0.441176470588	-9.39807029138	0.547870582541	0.549464807007	0.0245817477048	0.497618390283	0.499513460915	0.0169200207422	-0.644022472715	-300.0	0.212637952746	0.207129514034	0.0608259306326	0.200294993648	0.196038939787	0.0186244583832	-0.146448087432	-0.0917981798322
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.172354411311	0.155749044527	0.0466093410884	0.175453815088	0.161249542227	0.0524473078014	0.0185657764723	-73.4131631322	0.42172076309	0.429864160013	0.0309374741791	0.346092939044	0.343905927861	0.0153416674909	-0.426773455378	-17.0163662701	0.514884681652	0.511054465164	0.035888743291	0.474801094675	0.469834082334	0.0236363058041	-0.513237028133	-300.0	0.5878357713	0.585094428817	0.0620017016793	0.546248986803	0.545822231243	0.0181206668719	-0.601458112407	-10.9046327645
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.149981711552	0.127127430063	0.0533190397812	0.134684028826	0.115526466493	0.0502087274156	-0.143663126876	-300.0	0.354316918348	0.363042726735	0.0343954687602	0.305855140234	0.305472949347	0.013157724329	-0.336426788234	-21.6292007604	0.473383629155	0.474652983011	0.0261258804887	0.442294263214	0.443375735302	0.0184300690728	-0.474695296882	-300.0	0.207255203763	0.206207852407	0.0577846010194	0.192193707532	0.191886029429	0.00501954485729	-0.622563176895	-10.0315629357
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.127114604893	0.112311155478	0.0426765601597	0.110703757207	0.0980033247968	0.0347686627185	-0.0946578288448	-300.0	0.350206118841	0.358375596121	0.033100649715	0.305289656839	0.311769018646	0.0301810565141	-0.251062537948	-32.7624578101	0.478081300003	0.478379995823	0.0219197271765	0.449509114069	0.450381556857	0.02048619668	-0.438957250892	-300.0	0.295523487547	0.295975455937	0.0221834316106	0.283156993362	0.279832380107	0.0172957597861	-0.691908030199	-37.2374207147
AR	-2.9986960778	6.4303512778	3.4316552	0.103269854188	0.0846091519232	0.0399509758166	0.08687031455	0.0736789655817	0.0364999071268	-0.183590644365	-275.125695825	0.374818526887	0.383230231865	0.0350059287084	0.319621140456	0.325803318194	0.0309938670747	-0.294512778327	-15.9196179155	0.533505586004	0.53509370092	0.0271801212569	0.508602573103	0.510577224745	0.0170530201413	-0.443237845741	-300.0	0.402924403326	0.396886152598	0.0660785782875	0.382761815627	0.380965272433	0.0184024031374	-0.218656716418	-1.51121489957
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0834777939531	0.0702646866123	0.0369256910278	0.072368270039	0.0603887957917	0.0338635681399	-0.0423511674913	-300.0	0.491937868841	0.499126195774	0.0312282086641	0.395874033021	0.40126598378	0.0267698660752	-0.412196148634	-97.7319944857	0.569390194384	0.571631959657	0.0217763132237	0.54421028318	0.546126179805	0.0142702612509	-0.503050950813	-300.0	0.344043091294	0.346506885058	0.0618108749459	0.336920597787	0.3331658525	0.0279593023059	-0.402133683644	-66.6837992566
SRY	-2.7415056944	4.77859	2.0370843056	0.0765771336392	0.0657055432285	0.0404845862969	0.0891886730213	0.0750954233556	0.0476743029318	0.0646851759769	-74.4877455615	0.459081640812	0.468300019545	0.0377259884113	0.375880495625	0.385138117275	0.0202317987471	-0.380244105263	-20.4684631268	0.554901191528	0.556982254667	0.0216859546914	0.529324461561	0.532535868842	0.013248628867	-0.513803558731	-300.0	0.544124584235	0.554456086038	0.0962687353624	0.542058304902	0.538378617908	0.0352254443754	-0.0393162393162	-0.318465363242
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.135399204058	0.119006860252	0.042814400998	0.115863621866	0.105209561996	0.0357038967721	-0.142988001308	-300.0	0.370017589077	0.379292892561	0.033626897441	0.322313819375	0.331482978855	0.033193897868	-0.210116278971	-28.2963230985	0.591561435486	0.591588943686	0.0186669310656	0.567614922321	0.567641243566	0.0168242007502	-0.449528016396	-300.0	0.283783241973	0.28408865651	0.0226632974108	0.271335611183	0.271870134717	0.0049356793124	-0.641212821359	-32.5509630463
BCL6	-2.5050076889	5.507985	3.0029773111	0.174546452567	0.159024972664	0.0442559471936	0.161781150752	0.149368877327	0.0400706042157	-0.0293576026983	-300.0	0.342476590479	0.350011989462	0.0317332397897	0.301053457431	0.310628959225	0.0315251830356	-0.211630215277	-18.9798018424	0.579411062915	0.580532799379	0.0287889003205	0.558703923223	0.558569313297	0.021856434365	-0.323351492859	-300.0	0.540529112083	0.545556587276	0.0648743743516	0.53311576156	0.525147954968	0.0316963703917	-0.153983228512	-1.85264848752
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.123851858514	0.105280234207	0.0464301893221	0.102736003846	0.0891345904191	0.0397594768573	-0.171642828577	-300.0	0.356948057802	0.364562342815	0.0315865265528	0.318023281404	0.322107540582	0.0261582946183	-0.150662634472	-20.369759388	0.534667094762	0.537693712223	0.0240587871145	0.517341366886	0.519937284718	0.0209141832862	-0.250298905949	-300.0	0.243036842401	0.243291997886	0.0211319514368	0.234143339057	0.234078755794	0.00448817097793	-0.578209056861	-19.2375253977
