FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Neph_H1hesc_protection_mean	Neph_H1hesc_protection_median	Neph_H1hesc_protection_std	Neph_GM12878_protection_mean	Neph_GM12878_protection_median	Neph_GM12878_protection_std	Neph_protection_ks_stat	Neph_protection_ks_pvalue	Neph_H1hesc_tc_mean	Neph_H1hesc_tc_median	Neph_H1hesc_tc_std	Neph_GM12878_tc_mean	Neph_GM12878_tc_median	Neph_GM12878_tc_std	Neph_tc_ks_stat	Neph_tc_ks_pvalue	Neph_H1hesc_fos_mean	Neph_H1hesc_fos_median	Neph_H1hesc_fos_std	Neph_GM12878_fos_mean	Neph_GM12878_fos_median	Neph_GM12878_fos_std	Neph_fos_ks_stat	Neph_fos_ks_pvalue	Neph_H1hesc_flr_mean	Neph_H1hesc_flr_median	Neph_H1hesc_flr_std	Neph_GM12878_flr_mean	Neph_GM12878_flr_median	Neph_GM12878_flr_std	Neph_flr_ks_stat	Neph_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0968862370266	0.0802957412625	0.0565119675765	0.0860996701211	0.0731897257449	0.0497630447308	-0.0230079421392	-300.0	0.487230246666	0.494880622223	0.0292574012707	0.399409395983	0.405304804263	0.0177827998906	-0.375244866769	-40.7755870048	0.608912444565	0.610390934958	0.0180997656801	0.588782017721	0.59087117621	0.0141715451874	-0.432625338388	-300.0	0.179840299194	0.178923210537	0.036202530651	0.174716289363	0.174101287604	0.00654315337498	-0.166637826059	-3.31340020258
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.110520107459	0.093608158397	0.055062271443	0.0851949829447	0.0698463918948	0.0528252390502	-0.0890034449248	-98.4953657901	0.495483553431	0.500615797905	0.0318465601586	0.404240257271	0.405358916886	0.00901795752036	-0.415834830828	-14.1827918636	0.409597561604	0.410873015607	0.0309844259686	0.398700200016	0.398112749517	0.0134051018971	-0.329697829234	-300.0	0.578075682968	0.58149782178	0.080324400513	0.566690180708	0.560306915256	0.0193445706319	-0.239420884633	-1.83188017815
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0811737070592	0.0672604171331	0.042130742109	0.0645130173952	0.0501093935159	0.0382065721436	-0.127289305672	-300.0	0.315969032073	0.3213304885	0.0438509506178	0.274761520406	0.287808159487	0.0294843094069	-0.0830154565477	-10.2982510747	0.523021478086	0.524947012917	0.0214523370916	0.505920215577	0.508940455114	0.0135562719291	-0.37694192713	-300.0	0.571009412111	0.567782302306	0.0553149725147	0.550431026897	0.547758537502	0.0307135158133	-0.444444444444	-5.83149769968
E2F3	-0.9704539	7.6233014444	6.6528475444	0.104655039165	0.0950751383925	0.0383653568581	0.119015316607	0.108737550557	0.0385185147995	0.0888986405216	-300.0	0.359767254629	0.36739848809	0.0314831617887	0.32795771908	0.328461200732	0.01579094876	-0.0947768253789	-22.5995804232	0.59732471217	0.594859400381	0.0251198043408	0.585364155018	0.583114491627	0.0222213194237	-0.116647835796	-300.0	0.598421138388	0.596510004192	0.0426387961936	0.584843980822	0.586855293891	0.0162028985373	-0.205861651404	-7.37244833482
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0766936031459	0.0642270002603	0.0390313364653	0.0876044229383	0.0696692507116	0.0429609847516	0.0270558097301	-299.999943797	0.345718424599	0.354269821509	0.0354365458109	0.313321638133	0.319182200666	0.0245339771065	-0.116276844262	-16.2510327615	0.592456070157	0.594062657145	0.0212007633562	0.581541720517	0.584460018421	0.0182120403894	-0.22449685937	-300.0	0.540656801642	0.539960201273	0.0846699711494	0.527929323219	0.521545195569	0.037340833338	-0.0541379310345	-0.589569685557
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.114175826075	0.102984966476	0.0410966630931	0.138098799431	0.12211385987	0.0511916645125	0.00892826696456	-300.0	0.499988724346	0.506636908045	0.0755339644293	0.400074264355	0.415759530357	0.0294384659162	-0.335811437663	-68.5255817827	0.504337045869	0.506748122521	0.0241832825071	0.494551980743	0.497005804793	0.0148322738065	-0.263520341633	-300.0	0.29879326708	0.301141488978	0.0233012060295	0.298702066832	0.298587632246	0.0117160672525	-0.00957396505662	-1.19194928491
GABPA	-0.7648685556	8.661842	7.8969734444	0.077157289767	0.0673132338289	0.0308999599333	0.0902509469901	0.0778852976486	0.0359980837871	0.010703865706	-300.0	0.335721590433	0.34468085037	0.0325806139874	0.310120172787	0.307984008315	0.0184426938	-0.024826849442	-2.8762005534	0.571545539972	0.566369990096	0.0222059519846	0.574114510208	0.570752234642	0.0293230429306	0.0054000043842	-300.0	0.512639206675	0.517366512113	0.0770630337205	0.51202262991	0.506337121739	0.026744218189	-0.132142857143	-0.306884904061
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.100279218817	0.0917122081407	0.0342604892063	0.115946497123	0.10735291932	0.0360204710879	0.0433502904282	-300.0	0.358147300338	0.366659232114	0.0407575151539	0.316954399818	0.330331581548	0.0311133310364	-0.136056841677	-42.833409607	0.521805192858	0.519201997245	0.0238685929338	0.51401402848	0.511418295927	0.0221347705747	-0.0639659046472	-300.0	0.528776147088	0.528223012498	0.0360504499858	0.519357030506	0.519222861012	0.0114151512242	-0.220728922078	-9.47182567686
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0604269257587	0.0482095666312	0.0397662128922	0.07569200195	0.0591714543184	0.0482822399912	0.106517260625	-86.472482099	0.445588993143	0.452564186014	0.0318244710784	0.373596271222	0.376639034121	0.0188508507452	-0.284842807156	-20.1870013361	0.580308507261	0.581988931926	0.022478471005	0.569557606246	0.57299945687	0.0137119089133	-0.277198147653	-300.0	0.286437784951	0.288621016327	0.0435901460403	0.285968963276	0.286997374644	0.0108969239095	-0.0441823899371	-0.451894240937
REST	-0.6212560778	8.5147308333	7.8934747556	0.16985172387	0.165097282098	0.043181235965	0.142163834664	0.142465973118	0.0341933328181	-0.188115152531	-300.0	0.407010189481	0.414248517246	0.0304229226472	0.35518348436	0.3607803312	0.0248539509516	-0.195239548961	-26.6959964301	0.55082819109	0.552043558469	0.0292483544306	0.544902753463	0.545159238735	0.0255650477794	-0.00920275936952	-300.0	0.640613130902	0.638683833543	0.0435422635601	0.630425421028	0.63330088429	0.0191270490545	-0.150165125495	-2.80669983662
ERG	-0.5708799333	3.9203937778	3.3495138444	0.0749258587271	0.0649707650989	0.0354311506451	0.0892097426042	0.0786500956222	0.0387516531203	0.0794767790622	-300.0	0.408713347386	0.415250641719	0.0299110984622	0.351145444192	0.356352311986	0.0213142888608	-0.248531525437	-42.3704607405	0.523675086891	0.523346775117	0.026807307909	0.519775167405	0.517331888603	0.0214173756169	-0.00125278280695	-300.0	0.187280322491	0.18669067863	0.0187455941537	0.184419416251	0.184207974859	0.00779991112804	-0.0395637042696	-1.57712178098
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.113038298936	0.084474857179	0.0692510718378	0.0856894425968	0.0621355570709	0.0495931224486	-0.0675646040327	-182.319385382	0.313161682807	0.319391314252	0.0316362578377	0.286813086026	0.291415399142	0.0258086572689	-0.0378543441654	-5.67044142833	0.707676955561	0.708422025216	0.0182999167254	0.697849263439	0.700131249467	0.00910579487408	-0.346642228788	-300.0	0.563895057745	0.560919417038	0.0423574299287	0.55747830737	0.55825395254	0.0101118518351	-0.154530201342	-0.955887628515
TP53	-0.5304638611	9.9692148611	9.438751	0.149851733136	0.141772464721	0.0433139041624	0.133406001072	0.121897546214	0.0429259596066	-0.137458698843	-300.0	0.453883716506	0.459918420375	0.0333475467595	0.376818468889	0.386086795434	0.029655309887	-0.27057657047	-15.9694041741	0.523405041812	0.525368013863	0.0290414557563	0.51694275311	0.519467282009	0.0201019664652	-0.0671490539337	-300.0	0.309877062656	0.307872999254	0.057346548209	0.302950404397	0.30406281799	0.0183858406285	-0.0272972972973	-0.363883242192
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0910006232559	0.0815877592016	0.0319245223835	0.1065518878	0.0965729940838	0.0353204358073	0.054090085704	-300.0	0.356447551447	0.365322807784	0.0323448386503	0.326672526291	0.334901655112	0.028442410216	-0.00840527687882	-28.7580577681	0.542860094596	0.539303079092	0.0256025868255	0.536705267992	0.532727987658	0.0227691685793	-0.0297389497235	-300.0	0.217968012616	0.216852574682	0.026540676073	0.213666127021	0.214613221657	0.00703860693008	-0.154561928134	-5.58895359741
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0848800479262	0.0791924878681	0.0243419395047	0.0760403000484	0.0697229376121	0.0237344525142	-0.0943018036511	-300.0	0.332320228837	0.339212000687	0.0290549261968	0.309567724118	0.313106920805	0.0186949696175	-0.0171838897443	-12.5013023614	0.549284826642	0.548994829231	0.0266899425272	0.542133492012	0.542950872127	0.0239223336417	-0.015983341559	-300.0	0.702094365223	0.7018988584	0.0512720723384	0.695052029369	0.696046458779	0.0296692553758	-0.070927522722	-1.17135854863
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.23603367279	0.20027712989	0.0698297540632	0.210981001622	0.182914706662	0.0610837127685	-0.0953110683547	-300.0	0.314642397571	0.322583399709	0.0349556199151	0.292605922762	0.295734617723	0.0165428571753	-0.039552950741	-9.3116017167	0.519311004153	0.519838438386	0.0198771296003	0.512555239633	0.514133335808	0.0158600745884	-0.162434832749	-300.0	0.53101939807	0.532933768365	0.065421192525	0.528780426285	0.532350678501	0.0146362274088	-0.009375	-0.149553979343
MAFB	-0.3975071222	5.0393535	4.6418463778	0.128128946771	0.111248092842	0.045672539137	0.105114151216	0.0913417128537	0.0405894430807	-0.10572246893	-300.0	0.353503155615	0.360283964725	0.028455798853	0.318321503688	0.324482956283	0.018941231305	-0.101156041617	-24.6695704399	0.410090517777	0.408090366443	0.0206243584449	0.410677939599	0.41196882038	0.0275716809678	0.0463682108019	-171.697655467	0.669335767331	0.670123927954	0.0452057787402	0.663533989127	0.667162661438	0.0206606230683	-0.0519607843137	-1.07331803023
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.0868003224832	0.0784239258699	0.0320011873526	0.103572483843	0.0934634356663	0.0364004510788	0.0341159626741	-300.0	0.353521089325	0.362715764077	0.0326689846509	0.326844126784	0.326387606261	0.0142286243572	-0.0953682627247	-7.02082942724	0.535770711618	0.532572682644	0.027281975197	0.541778469407	0.539397758775	0.0273782287501	0.0440065347297	-300.0	0.430306402324	0.428927525701	0.0398696215007	0.422542864328	0.426523800165	0.0162318427828	-0.144252873563	-0.584245604017
GFI1B	-0.3699532556	5.525732	5.1557787444	0.130348496468	0.111280888726	0.0593585396137	0.0945723564352	0.0744605535686	0.0456573814354	-0.18045785985	-300.0	0.301904437337	0.305349230961	0.0293482306312	0.32803867134	0.335845825273	0.0319587877796	0.0542013431305	-14.9898443625	0.530463016886	0.531177216567	0.0168258780751	0.525791570105	0.526376740267	0.0101961181207	-0.172738417604	-300.0	0.390131423496	0.384813042078	0.0673459466787	0.37676609145	0.378626014833	0.0294812277546	-0.018016194332	-0.344966471402
INSM1	-0.3575675111	6.7003285	6.3427609889	0.07797210835	0.068504289558	0.031343756888	0.0905338657519	0.07858752321	0.0336626206631	0.0535117194471	-300.0	0.317178915718	0.319277195254	0.0183053672529	0.339855760264	0.348110661762	0.0313853697243	0.00225278449037	-15.1685798841	0.466807926235	0.468021527748	0.0180772100578	0.471102405433	0.471689440629	0.0202920782625	0.0119210540942	-300.0	0.147467859912	0.145563084648	0.0228339395596	0.143975341202	0.143494033379	0.00470552867125	-0.0690246424263	-1.43781179744
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.133183760741	0.117028350622	0.043060297643	0.110443931175	0.0995780116313	0.0344070126967	-0.0544289734284	-300.0	0.342299971483	0.349866296245	0.0313755787321	0.312783150761	0.318604308294	0.0222804304798	-0.0595426782702	-21.4925517469	0.635311076901	0.635553382071	0.0200037829676	0.62925423632	0.629958058036	0.0175448293186	-0.0493448410963	-300.0	0.158363050371	0.157498423803	0.0185330469445	0.156262827132	0.156108333765	0.0048560902276	-0.0558308285235	-1.87505793938
MECOM	-0.3505778778	2.913285	2.5627071222	0.145276295632	0.120067426346	0.0612406481165	0.118060786651	0.0973979760694	0.0542531263938	-0.0658024089893	-300.0	0.270361772125	0.27717624721	0.0313107321074	0.280423202047	0.286876642823	0.0359406410794	0.311705650258	-2.0091241955	0.522251621149	0.523485945334	0.0240837850069	0.517074156616	0.518893801501	0.0139354015214	-0.165341751802	-300.0	0.592814960401	0.594627869216	0.0698981995868	0.590524965937	0.591880084399	0.0151030435134	-0.0586038961039	-0.324440161585
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.0969345897917	0.0856805813327	0.047055116469	0.107349150668	0.0910237824804	0.0520055282395	0.154043186561	-158.118432169	0.451082454691	0.458770567264	0.0372885363309	0.383919513548	0.392342168596	0.0315260492737	-0.276311341979	-23.7221730772	0.503177874173	0.505137295991	0.0263107037797	0.497870609457	0.500374331326	0.0158009707683	-0.123133354823	-300.0	0.62832333944	0.628725578074	0.0490191735442	0.626709754503	0.628422493633	0.0111654713458	-0.0133885438233	-0.346331394868
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.152896161578	0.113468346354	0.0898042065681	0.125195263317	0.0942761659542	0.0677334132414	-0.0228687703273	-59.8366359915	0.283569032452	0.28832183584	0.0332065794707	0.274754621274	0.276255556454	0.00470735131759	-0.0562564475008	-1.17973985602	0.498559339643	0.494723207472	0.0331902513267	0.499486462912	0.495799645682	0.046375873348	0.12252127142	-6.78448695979	0.69041990841	0.718294516255	0.188812628373	0.609126620002	0.673771408996	0.0568094148992	-0.273423423423	-0.243990810074
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.173331291947	0.151588053894	0.0560825904086	0.143725968978	0.128846385414	0.0448915570963	-0.0767889644515	-300.0	0.45111852788	0.458253069631	0.028762795514	0.386139190301	0.390501917051	0.0198058373845	-0.255591839112	-40.4021758014	0.611506099043	0.61217060379	0.0191957228665	0.6059451806	0.606986608529	0.0169242295259	-0.0389826857878	-300.0	0.292961474627	0.292727795636	0.0141347411443	0.291134537585	0.289723835704	0.00699423393613	-0.161475646353	-4.96846542895
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.126302278499	0.11352837629	0.0603039225802	0.0911785429648	0.0787716861023	0.0475744585464	-0.0890279145329	-300.0	0.48352717963	0.491540920661	0.0338613175464	0.401076202805	0.40759543584	0.0336236559528	-0.284176764699	-24.0036700754	0.414496026491	0.415513799592	0.0204624052123	0.411606546105	0.412549188501	0.0126182349359	-0.0904850519935	-300.0	0.464393986973	0.460982589245	0.093035008887	0.437273373801	0.457267688967	0.0462968451769	-0.101234388615	-0.898860458278
CTCF	-0.2180552611	8.924475	8.7064197389	0.0852531872266	0.0763149940899	0.0383234174297	0.100537803594	0.0915469985735	0.0383754678393	0.0785660245132	-300.0	0.422838878841	0.429955772854	0.0512010175113	0.360389249154	0.370232939912	0.0291298829679	-0.215477957247	-61.2536619181	0.519357941034	0.518856195015	0.0183258797218	0.522973634471	0.522490909698	0.0193895454943	0.0162555020182	-300.0	0.265709290759	0.264697593741	0.0193321442497	0.262484175513	0.262337532378	0.00519144792864	-0.0452680694603	-6.2089386227
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.185801108839	0.166783937615	0.0588475675564	0.159451299784	0.140032891527	0.0485074483405	-0.0434364060648	-300.0	0.398126249613	0.407074086694	0.0318907336509	0.353254276502	0.355634935644	0.0218126393483	-0.111756835585	-24.9288690718	0.575686626583	0.576640707004	0.0219532830622	0.571786237297	0.572832977208	0.0174238169919	-0.0304761863404	-300.0	0.23322663024	0.23269063445	0.0166084922565	0.232255513476	0.232432012354	0.00524961193645	-0.0330517153098	-0.519531105861
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.0954981902057	0.0826679700942	0.0435675168572	0.111648818172	0.0936056677682	0.0491419520427	0.03455397367	-300.0	0.349147534208	0.357751555786	0.0346269513293	0.31394238786	0.325004173371	0.0322743475433	-0.0250125632493	-19.5746675981	0.520991559778	0.522441503135	0.0262814074081	0.520729755885	0.519176210376	0.0142380234892	-0.0628375846515	-300.0	0.44000252639	0.436744971703	0.0831977375515	0.436404706379	0.432892785509	0.0619034574374	-0.00134099616858	-0.411043603292
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.115523017671	0.106338582321	0.0453736605452	0.14161049371	0.128592626459	0.0505711322035	0.0610632317789	-300.0	0.343398972581	0.349393678385	0.0490625262481	0.304414694771	0.317299981909	0.0308002954702	-0.0893741215824	-17.4724017949	0.549269097365	0.547378888835	0.0161542438913	0.549575162691	0.549530970484	0.0251756540993	0.0243569692722	-300.0	0.137297274015	0.138795059138	0.0175974023656	0.137111716011	0.136743268674	0.00707227905801	-0.0133892423366	-0.288693290749
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.17250500776	0.149739718498	0.0598961658059	0.143877847223	0.127517439593	0.0481225852401	-0.042627637809	-221.083292249	0.274786121185	0.276623400206	0.0155246469543	0.277359674973	0.282117518296	0.0289299536324	0.350860302673	-1.42798881834	0.389929050655	0.391367879386	0.0263883949899	0.386754703609	0.389213515964	0.0162085572654	-0.0953500557386	-300.0	0.67652813318	0.682537106445	0.0758620958657	0.670074277026	0.67547338394	0.0269033828293	-0.149275362319	-1.3886026228
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.119625800907	0.104512116428	0.038227517253	0.0983060220378	0.0891221574826	0.0315224237151	-0.126749352834	-300.0	0.367908415709	0.375949215982	0.0309074925666	0.334820292908	0.337059993563	0.016401878726	-0.0781323441373	-26.91072437	0.569226320306	0.569368425027	0.0183706831573	0.570159565747	0.572497084735	0.026344246301	0.0234137793689	-300.0	0.147410806416	0.146014589105	0.0406016173546	0.145979015032	0.14505792745	0.00668663078581	-0.0135374987176	-0.911252864193
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.0756288964458	0.0499558695928	0.0473480371005	0.0612555693935	0.0416511485031	0.0417273548837	-0.0622412989375	-133.127607948	0.279350512993	0.284582672093	0.0132977511429	0.283237748074	0.288802000525	0.028102421943	0.185119890618	-2.04992414852	0.554814377592	0.55511722628	0.0197299970284	0.550726086222	0.552102025056	0.0100798458008	-0.149053224596	-300.0	0.668773878577	0.68244784364	0.144708493527	0.663374452892	0.655321876137	0.0536881321274	-0.175870646766	-0.731147451637
USF1	-0.1057473167	7.4895785833	7.3838312667	0.126840307059	0.108228261387	0.0501477360312	0.150027921722	0.125719085333	0.0597193822273	0.0202036265745	-300.0	0.40646769917	0.413000929274	0.0292883764138	0.358514798739	0.361556152377	0.0170172617302	-0.160460788246	-22.1072731153	0.428843783479	0.427835915957	0.0322537787144	0.428459610635	0.425519116592	0.0198161812332	-0.00589716476996	-300.0	0.535480438434	0.535138300038	0.0572063969596	0.53284134653	0.531582266743	0.017166481984	-0.0341053722066	-0.547955662069
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.103810373655	0.0951826632597	0.0388870936793	0.118753976148	0.110562195026	0.0390156917595	0.131784887769	-300.0	0.325608242308	0.330501551615	0.0323796028779	0.356596062192	0.365076816323	0.0346393835394	0.0248333014128	-20.3684831401	0.588766004708	0.586750840368	0.0198635717614	0.592708819153	0.59027989197	0.0230636780199	0.0676339276594	-300.0	0.208012788758	0.207168549788	0.0172283926551	0.205724103697	0.206115708394	0.00577661381849	-0.00789473684211	-1.28204105205
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.106267923401	0.100273646802	0.0392568970231	0.119434807595	0.114494119657	0.0478449278899	0.0618758905704	-195.196528664	0.453547272041	0.458876434529	0.0309611626531	0.388287731468	0.387230561606	0.014414877302	-0.263501383397	-15.6463555447	0.497484885202	0.4996836271	0.0257959588142	0.493241588852	0.496070771226	0.0135844430398	-0.129614897521	-300.0	0.647101176045	0.64956928484	0.0390326818511	0.6503342195	0.651451762696	0.090046977238	0.010120585702	-0.153125807589
ZNF143	-0.0648688222	6.154257	6.0893881778	0.144948332126	0.127029506515	0.0409646321325	0.137178452967	0.12090940129	0.0397803478	-0.0213744765732	-300.0	0.481206972262	0.487358215613	0.0319571623502	0.406745717563	0.411287241228	0.0180262974212	-0.289440454848	-22.4584290066	0.63671047604	0.638710443399	0.0246122237641	0.632778042449	0.635017657509	0.0196274755268	-0.0067631667188	-233.528640291	0.500323567169	0.500900622463	0.0340874314091	0.505521120678	0.501864605545	0.0612806801327	0.00430555555556	-0.168508339192
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.112413142469	0.0956564777715	0.0485178164018	0.0914515002969	0.0789863262789	0.0425057357398	-0.007956209115	-300.0	0.346937578596	0.35329623573	0.0427446529774	0.298736260516	0.309807966176	0.0311206080324	-0.115478425468	-11.2710220648	0.613765033111	0.614797328524	0.0212817483886	0.61312514093	0.611818685502	0.00921938367759	-0.107207034248	-300.0	0.622675090879	0.621588846331	0.140828133587	0.584667693766	0.616911954253	0.083120970813	-0.13489133281	-1.01030411951
HNF4A	-0.0595492111	4.6226812222	4.5631320111	0.119684318684	0.108534573311	0.0266153412606	0.106189356212	0.0981651674298	0.0234602118635	-0.123960809432	-300.0	0.340538748815	0.349881625903	0.0375457084719	0.294109021552	0.307741482694	0.0344139787557	-0.05398305335	-17.5687838442	0.552546451008	0.554550491953	0.0164790087491	0.554786454611	0.55721421393	0.0192893562389	0.0391450174991	-300.0	0.446942229154	0.442118362304	0.0773554438338	0.464450793371	0.444333058951	0.0843331764408	0.0606523955148	-0.0268447605633
