FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	PWM_H1hesc_protection_mean	PWM_H1hesc_protection_median	PWM_H1hesc_protection_std	PWM_GM12878_protection_mean	PWM_GM12878_protection_median	PWM_GM12878_protection_std	PWM_protection_ks_stat	PWM_protection_ks_pvalue	PWM_H1hesc_tc_mean	PWM_H1hesc_tc_median	PWM_H1hesc_tc_std	PWM_GM12878_tc_mean	PWM_GM12878_tc_median	PWM_GM12878_tc_std	PWM_tc_ks_stat	PWM_tc_ks_pvalue	PWM_H1hesc_fos_mean	PWM_H1hesc_fos_median	PWM_H1hesc_fos_std	PWM_GM12878_fos_mean	PWM_GM12878_fos_median	PWM_GM12878_fos_std	PWM_fos_ks_stat	PWM_fos_ks_pvalue	PWM_H1hesc_flr_mean	PWM_H1hesc_flr_median	PWM_H1hesc_flr_std	PWM_GM12878_flr_mean	PWM_GM12878_flr_median	PWM_GM12878_flr_std	PWM_flr_ks_stat	PWM_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.131003377116	0.116568730852	0.047281689585	0.132906008007	0.122294209231	0.0666859775868	0.0913391693053	-0.881980799231	0.545889839238	0.549237999338	0.0340071315625	0.381945852171	0.386123821552	0.0317026019251	-0.144137353434	-300.0	0.0828869839941	0.0693391115926	0.0510325355412	0.0489733446985	0.0371433730589	0.0410787783024	-0.118722164783	-300.0	0.349351257653	0.356041003814	0.0822507734909	0.300781138559	0.319181840996	0.053467980403	-0.43586963125	-32.8013517904
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.171893257993	0.154731239167	0.0484093903212	0.175746788114	0.163577859995	0.0558204019652	0.0171852818611	-8.29108367641	0.478962976389	0.482262474462	0.0383650034966	0.340524962978	0.35051111583	0.0377564000129	-0.111451551044	-300.0	0.0655735958854	0.0516613836321	0.0433713744188	0.0809471400484	0.0640134728701	0.0545446948511	0.199288311705	-175.612373696	0.366286046517	0.370751402159	0.0755846193646	0.312713569467	0.313633399245	0.0597148490774	-0.33987979547	-79.8084186234
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.16800479078	0.1437795453	0.074756504211	0.147180220615	0.130128204747	0.0600720060154	-0.0376823108791	-9.92139103652	0.563583891076	0.566717585316	0.0361096323205	0.403697323298	0.407658351559	0.0286317520931	-0.144489092997	-300.0	0.0895927414263	0.0764849860466	0.0506594491096	0.0592854075999	0.0483666207813	0.0424197720415	-0.0362617199347	-300.0	0.371702267087	0.371315586303	0.0867759334207	0.355577976528	0.349004541279	0.0651134521195	-0.30368355222	-35.331720991
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.160496982236	0.141749531325	0.0603650837086	0.136418807783	0.123188986006	0.0414423048802	-0.0454112684127	-39.5445711595	0.54682207467	0.548734859634	0.0304248542398	0.397835978859	0.40397040827	0.0282576718026	-0.135776226734	-300.0	0.0742888126575	0.0711801324238	0.0430353312246	0.0924816501856	0.0830975202379	0.0477592198373	0.169430809077	-284.652607016	0.337950141685	0.335704710986	0.0629649076788	0.322947131431	0.331832026879	0.0594434157013	-0.155542208475	-65.8089473289
AR	-2.9986960778	6.4303512778	3.4316552	0.112523087107	0.096273794961	0.0496599867618	0.0932718315673	0.0826618903756	0.0343052698776	-0.0535983790024	-9.14256823279	0.530787322531	0.535612004587	0.0395998376669	0.392104299481	0.398143861267	0.0291707864815	-0.0915029221016	-300.0	0.0821850057946	0.0638109900169	0.0576205031817	0.0412424230204	0.0281934640749	0.0418920334584	-0.136887130735	-300.0	0.327079804347	0.31583699446	0.0894299289171	0.301809529638	0.308738425206	0.0849472944716	-0.0930203248141	-5.99400117396
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.115709855207	0.0985609874577	0.0545812323868	0.095883163062	0.0813705038618	0.0455490035163	-0.0172976064498	-39.6753895566	0.609370612675	0.613932579507	0.0239389400939	0.464160872046	0.468591010313	0.0196290144576	-0.10435503284	-300.0	0.0374236937028	0.0274293782487	0.0339022337867	0.0563843396925	0.0453756538265	0.0408428257527	0.0515142961049	-300.0	0.404646948667	0.415453123998	0.0571876805579	0.404298013811	0.406318587205	0.0539238601406	-0.0558263903506	-80.0568964135
SRY	-2.7415056944	4.77859	2.0370843056	0.0795422369445	0.0657638100623	0.0517879541485	0.0917793269059	0.0762008038489	0.055356452573	0.0814590388365	-3.18296668178	0.493340258708	0.498432577578	0.0318771427039	0.383672195823	0.389468778445	0.0245214499148	-0.0788055225285	-300.0	0.0624369826109	0.0488140108769	0.0466769096316	0.0358351730433	0.0245721512554	0.0362288771396	-0.119021205647	-300.0	0.35167252182	0.355965061115	0.0884773542139	0.332576876104	0.341914012636	0.0642100857714	-0.169787065353	-12.5618582013
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.172598822683	0.153940162941	0.0582216346179	0.146178574911	0.133712122174	0.0495378500716	-0.0305110824081	-76.5789068428	0.585215568169	0.588239895547	0.0296970840503	0.434029432129	0.441528950758	0.0280968099056	-0.0918798590125	-300.0	0.0833122573504	0.075436734687	0.0566353657338	0.103218142442	0.085621227536	0.0667791068062	0.228885726873	-165.957406381	0.324064153344	0.330477594167	0.0704748719138	0.327150571241	0.336576773249	0.0787943724273	0.0134539884105	-19.5485983423
BCL6	-2.5050076889	5.507985	3.0029773111	0.187678380539	0.178365866696	0.0401078925803	0.206791947932	0.191449500691	0.0603539929664	0.0605804825609	-9.52981022591	0.52316999895	0.524701594231	0.0338052661664	0.391805966974	0.396460599694	0.0284305942922	-0.0693774967793	-300.0	0.0692578202301	0.0605542574977	0.0435482238917	0.0977287365469	0.0841217144286	0.0561351334219	0.0156907458658	-300.0	0.366114865012	0.371980291548	0.0875445152234	0.356041305288	0.35800641935	0.0696789409996	-0.140006411474	-21.0485698599
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.138554309001	0.121659662546	0.0566614047232	0.111451694417	0.0991291525018	0.0478893169434	-0.0367317741191	-26.1845676888	0.52140111509	0.522145768972	0.0313521664678	0.389308331325	0.395260426049	0.0313193023704	-0.0504827205601	-300.0	0.060355837942	0.0496185270459	0.0418738502774	0.0818008575014	0.0676262289241	0.0515946242413	0.0182950891662	-300.0	0.360209546659	0.368744127128	0.0711641892394	0.358285127465	0.360465823976	0.0574739280064	-0.0201291026457	-8.14992119168
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.101592678215	0.0866358205297	0.0571258856628	0.112198263175	0.0898556615462	0.0739301048562	0.156322929841	-2.58305413212	0.537172902922	0.540440310112	0.0399612991158	0.396168341375	0.403765665904	0.028562459756	-0.0547640596339	-300.0	0.0613532080355	0.0465645567872	0.0454993135632	0.0425813922637	0.0328507219688	0.0317181048681	-0.034862520737	-300.0	0.353245874448	0.350627567538	0.0744944067165	0.343019461809	0.344232610252	0.0649200539893	-0.022627591287	-6.05103895775
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.197534275924	0.168458506704	0.104904266234	0.139183222963	0.115725860225	0.0899349760664	-0.0720544159045	-6.34755429151	0.355100774737	0.359506381834	0.0339867095138	0.456071215457	0.462925163702	0.0403233941721	0.0508537920407	-300.0	0.0581658494218	0.0397100653676	0.0611118231967	0.0224084937514	0.0127651493827	0.0319953418361	-0.195022680489	-300.0	0.3020088874	0.311321363267	0.0728641329083	0.298522466045	0.296072261019	0.0701844669489	-0.15160311566	-5.63776179711
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.105212540309	0.0838620052564	0.0711566276441	0.0879365979734	0.0675017096842	0.0557928777075	-0.000936242363893	-7.90854410102	0.576567187245	0.581589375873	0.035442996509	0.435978555495	0.439959449304	0.0259484941541	-0.0671767026239	-300.0	0.0654560495676	0.0519778651607	0.0459762433135	0.0374352989011	0.0289225910928	0.0305310403972	-0.150059927951	-300.0	0.353593776708	0.355752819324	0.103080877429	0.352485443493	0.347259558149	0.0762307769942	-0.120961145194	-7.3542275478
