FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	HINTBC_H1hesc_protection_mean	HINTBC_H1hesc_protection_median	HINTBC_H1hesc_protection_std	HINTBC_GM12878_protection_mean	HINTBC_GM12878_protection_median	HINTBC_GM12878_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_H1hesc_tc_mean	HINTBC_H1hesc_tc_median	HINTBC_H1hesc_tc_std	HINTBC_GM12878_tc_mean	HINTBC_GM12878_tc_median	HINTBC_GM12878_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_H1hesc_fos_mean	HINTBC_H1hesc_fos_median	HINTBC_H1hesc_fos_std	HINTBC_GM12878_fos_mean	HINTBC_GM12878_fos_median	HINTBC_GM12878_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_H1hesc_flr_mean	HINTBC_H1hesc_flr_median	HINTBC_H1hesc_flr_std	HINTBC_GM12878_flr_mean	HINTBC_GM12878_flr_median	HINTBC_GM12878_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0398518366855	0.0310761535225	0.0387747791821	0.038052624512	0.0285014725819	0.0348468888677	-0.112267372882	-3.6330456205	0.554728467244	0.555819172812	0.0238001652721	0.504526189386	0.505290157102	0.0173575606515	-0.642115390186	-300.0	0.554728467244	0.555819172812	0.0238001652721	0.504526189386	0.505290157102	0.0173575606515	-0.642115390186	-300.0	0.316546233698	0.31626082112	0.0110663416323	0.287403847941	0.287462552951	0.00977054041907	-0.780786877178	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0864674652979	0.0713177495164	0.0693324405118	0.0754399626122	0.0576287611063	0.0686266197751	-0.159737888554	-13.5238512081	0.475708509167	0.472517119244	0.0265249568933	0.438356995088	0.433835538114	0.0222365180223	-0.538920271505	-300.0	0.475708509167	0.472517119244	0.0265249568933	0.438356995088	0.433835538114	0.0222365180223	-0.538920271505	-300.0	0.334833405405	0.33408260494	0.0185620552692	0.306601449989	0.306406059744	0.0163688334559	-0.753415653696	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.10290309742	0.0820849853035	0.0957029498468	0.101133349881	0.0750343166478	0.0869376473311	-0.102692415748	-4.67029290841	0.406613989688	0.407463456797	0.0239921686528	0.37886994173	0.380613661416	0.0155773070228	-0.471799738981	-300.0	0.406613989688	0.407463456797	0.0239921686528	0.37886994173	0.380613661416	0.0155773070228	-0.471799738981	-300.0	0.23719606663	0.236520558305	0.0127375639496	0.221214110214	0.221001654466	0.0109341147516	-0.617166786487	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0698436667659	0.0562737564903	0.055680707766	0.0617683430455	0.0474769988751	0.0553903765183	-0.148043453911	-51.9916963849	0.522371009359	0.521007071399	0.0183811735346	0.491010894462	0.490513771477	0.0159340975025	-0.557367746899	-300.0	0.522371009359	0.521007071399	0.0183811735346	0.491010894462	0.490513771477	0.0159340975025	-0.557367746899	-300.0	0.313376828641	0.313670965414	0.0156228165647	0.295585069016	0.295352045871	0.0121925762562	-0.709158635935	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.107310321147	0.0864057159227	0.0875645146928	0.103949679502	0.0819867347647	0.0863394860579	-0.0500081589323	-1.04032809045	0.526473486703	0.527842570389	0.0268795153072	0.502284365759	0.504229793588	0.0158337902731	-0.430320770257	-300.0	0.526473486703	0.527842570389	0.0268795153072	0.502284365759	0.504229793588	0.0158337902731	-0.430320770257	-300.0	0.280019453756	0.280109894125	0.0133560227432	0.267736677017	0.267680404061	0.01247801982	-0.559432452913	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0837114567517	0.0669392978257	0.0760348724335	0.0834357756377	0.0610412811643	0.0669924455583	-0.0695250159513	-10.7682374073	0.492859953401	0.494417716344	0.0183669676646	0.470739104381	0.472252373269	0.0120077544613	-0.505029111456	-300.0	0.492859953401	0.494417716344	0.0183669676646	0.470739104381	0.472252373269	0.0120077544613	-0.505029111456	-300.0	0.381449329035	0.383235534108	0.0159671389592	0.364815379733	0.365874235284	0.0151206704697	-0.596310846542	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.052807119949	0.0430538112697	0.0452055538648	0.0523716759527	0.0390789281995	0.0421156759309	-0.0524057408808	-1.95103647414	0.54880563471	0.550661822218	0.0234209872511	0.523302374376	0.52627158244	0.0141504779121	-0.491229243997	-300.0	0.54880563471	0.550661822218	0.0234209872511	0.523302374376	0.52627158244	0.0141504779121	-0.491229243997	-300.0	0.274486577528	0.27377495566	0.0206052570549	0.263005577767	0.262685170605	0.0128203162567	-0.546168500394	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0627823847702	0.0499395104111	0.0559130319896	0.0559454967743	0.0416914367737	0.0547762224589	-0.0874695071202	-46.7344830617	0.592229464427	0.591588943686	0.0164295626181	0.568691949076	0.567641243566	0.015634481134	-0.488624698449	-300.0	0.592229464427	0.591588943686	0.0164295626181	0.568691949076	0.567641243566	0.015634481134	-0.488624698449	-300.0	0.307576028938	0.307678706859	0.017448623967	0.295399760696	0.295197582702	0.0163441950648	-0.603362577657	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.109757997789	0.0881980037027	0.0915608730543	0.0983506943558	0.0743164779905	0.0907526400543	-0.092646517905	-21.1399153122	0.56220982687	0.562015405023	0.0226287625845	0.54103832892	0.54075249354	0.016563723101	-0.383232089276	-300.0	0.56220982687	0.562015405023	0.0226287625845	0.54103832892	0.54075249354	0.016563723101	-0.383232089276	-300.0	0.330651567751	0.330830665213	0.0113865616335	0.318416130506	0.318357740149	0.0112711580457	-0.60401837746	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.040907492562	0.0326243874546	0.0358956434459	0.0372805340301	0.0279651267762	0.0351072038819	-0.0720379242607	-18.4691644452	0.536433596736	0.538441547706	0.0219876592719	0.518717039365	0.519937284718	0.018891143051	-0.295327602677	-300.0	0.536433596736	0.538441547706	0.0219876592719	0.518717039365	0.519937284718	0.018891143051	-0.295327602677	-300.0	0.282592917481	0.282478296726	0.0156748698113	0.272606139412	0.272663256607	0.0109689059223	-0.511839861711	-300.0
