FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	HINTBC_H1hesc_protection_mean	HINTBC_H1hesc_protection_median	HINTBC_H1hesc_protection_std	HINTBC_GM12878_protection_mean	HINTBC_GM12878_protection_median	HINTBC_GM12878_protection_std	HINTBC_protection_ks_stat	HINTBC_protection_ks_pvalue	HINTBC_H1hesc_tc_mean	HINTBC_H1hesc_tc_median	HINTBC_H1hesc_tc_std	HINTBC_GM12878_tc_mean	HINTBC_GM12878_tc_median	HINTBC_GM12878_tc_std	HINTBC_tc_ks_stat	HINTBC_tc_ks_pvalue	HINTBC_H1hesc_fos_mean	HINTBC_H1hesc_fos_median	HINTBC_H1hesc_fos_std	HINTBC_GM12878_fos_mean	HINTBC_GM12878_fos_median	HINTBC_GM12878_fos_std	HINTBC_fos_ks_stat	HINTBC_fos_ks_pvalue	HINTBC_H1hesc_flr_mean	HINTBC_H1hesc_flr_median	HINTBC_H1hesc_flr_std	HINTBC_GM12878_flr_mean	HINTBC_GM12878_flr_median	HINTBC_GM12878_flr_std	HINTBC_flr_ks_stat	HINTBC_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.113134035711	0.0914705700791	0.089887834944	0.103386073055	0.0779777085111	0.0833502059253	-0.0918945433692	-20.5354355586	0.609467023314	0.610390934958	0.0184478665154	0.589331950642	0.59087117621	0.0143116820448	-0.431328579612	-300.0	0.609467023314	0.610390934958	0.0184478665154	0.589331950642	0.59087117621	0.0143116820448	-0.431328579612	-300.0	0.276817435381	0.276788553927	0.0125608230375	0.268695823741	0.26817542626	0.0120627829853	-0.484739150922	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.121274593212	0.096750401991	0.107807541737	0.121165397711	0.0892501138304	0.102368075607	-0.0268469715025	-1.02327108267	0.326678271333	0.327457806995	0.0268868825691	0.317035469849	0.317288122952	0.0135130599581	-0.288580459989	-300.0	0.326678271333	0.327457806995	0.0268868825691	0.317035469849	0.317288122952	0.0135130599581	-0.288580459989	-300.0	0.267331723779	0.26665860006	0.0180405800606	0.25860125293	0.258377124853	0.013434875122	-0.453119468156	-300.0
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0402601566516	0.0328402005269	0.0372025250501	0.0400168260944	0.0300636562002	0.0341546832386	-0.0310877525472	-3.06069020623	0.507586243103	0.508697235409	0.0168180977434	0.491204325814	0.493186161905	0.0105996533399	-0.435933759226	-300.0	0.507586243103	0.508697235409	0.0168180977434	0.491204325814	0.493186161905	0.0105996533399	-0.435933759226	-300.0	0.241247783613	0.240960888005	0.0129658158748	0.233967706812	0.233613566681	0.0123336096694	-0.398561050766	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.0706988929129	0.0572547794961	0.059847388314	0.0604682442651	0.0465780960641	0.0551535033617	-0.0456920946842	-92.4902712226	0.588439901955	0.585403993945	0.0234685830385	0.576700955052	0.573791362259	0.0222907409634	-0.165598341875	-300.0	0.588439901955	0.585403993945	0.0234685830385	0.576700955052	0.573791362259	0.0222907409634	-0.165598341875	-300.0	0.309280530423	0.308310678261	0.0222775717522	0.303273265618	0.302962424866	0.0213884415342	-0.230105017076	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0539181236771	0.0438044929698	0.04405804913	0.0496770582759	0.0375794161954	0.0426577227999	-0.0284734024114	-17.2710088839	0.502461594466	0.50343453502	0.0204488061361	0.493037022972	0.495296841289	0.0146678893345	-0.226635742222	-300.0	0.502461594466	0.50343453502	0.0204488061361	0.493037022972	0.495296841289	0.0146678893345	-0.226635742222	-300.0	0.2412046987	0.240769242643	0.0175199771895	0.236906874245	0.236913380173	0.0123170895019	-0.209636251704	-293.113691912
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0539351036292	0.0404530950947	0.042648860976	0.0546380406144	0.0436840272987	0.0469163692842	0.00539919917815	-4.51889228667	0.402339023952	0.404040349581	0.0187798656444	0.393744098817	0.395465936543	0.0116751467564	-0.266936815493	-300.0	0.402339023952	0.404040349581	0.0187798656444	0.393744098817	0.395465936543	0.0116751467564	-0.266936815493	-300.0	0.317729290599	0.319123147003	0.0145179581167	0.313924006835	0.313984331193	0.0119848477087	-0.263298390425	-300.0
GABPA	-0.7648685556	8.661842	7.8969734444	0.0406956129098	0.0330523804343	0.0340814703309	0.0332652272509	0.0250548707465	0.0322464027143	-0.0661678822947	-71.6209050776	0.576420915541	0.57244029303	0.0284110994378	0.572876938008	0.567633796841	0.0187239313802	-0.076974077814	-300.0	0.576420915541	0.57244029303	0.0284110994378	0.572876938008	0.567633796841	0.0187239313802	-0.076974077814	-300.0	0.306088162763	0.305783664716	0.0291065410754	0.301892894401	0.301372042946	0.0256782174957	-0.174385853222	-300.0
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.0659151409562	0.0539347408851	0.05381293561	0.0558339944083	0.0432218974868	0.0508309945636	-0.0450033572926	-221.003349538	0.499886094272	0.497079976273	0.0210825364363	0.493266884403	0.489447097661	0.0189131132183	-0.102905339943	-300.0	0.499886094272	0.497079976273	0.0210825364363	0.493266884403	0.489447097661	0.0189131132183	-0.102905339943	-300.0	0.342697433595	0.341693423803	0.0287320143777	0.337321898881	0.336936994519	0.0244518976614	-0.213926301543	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.115389283771	0.0930846965037	0.0918587998371	0.108444836642	0.0810935635442	0.0906503750361	-0.00111476745721	-4.37403883399	0.53988213874	0.541371604576	0.0260839278023	0.529320294249	0.532617834038	0.0150808311363	-0.240734766314	-300.0	0.53988213874	0.541371604576	0.0260839278023	0.529320294249	0.532617834038	0.0150808311363	-0.240734766314	-300.0	0.275587663657	0.275084898831	0.0206464273577	0.27075035384	0.271024178487	0.0142751555124	-0.26314354138	-300.0
REST	-0.6212560778	8.5147308333	7.8934747556	0.0656615567499	0.0527320823143	0.0564003530651	0.0575802652009	0.0436653496104	0.0557138793812	-0.0213025976495	-39.1369263897	0.555506093139	0.555531985378	0.0259100813906	0.549055674599	0.548604162834	0.0230603598333	-0.042815086398	-300.0	0.555506093139	0.555531985378	0.0259100813906	0.549055674599	0.548604162834	0.0230603598333	-0.042815086398	-300.0	0.290439614634	0.290606818909	0.0195339005062	0.287366486505	0.287016170104	0.0168734762802	-0.149068459871	-216.124299227
ERG	-0.5708799333	3.9203937778	3.3495138444	0.106215551469	0.0861677591489	0.0831852256171	0.0914886954207	0.070199777816	0.0809095111016	-0.0411061803269	-103.682080696	0.451576304227	0.450907602633	0.0215138884105	0.447439374774	0.445594403384	0.0150468217579	-0.0883675515202	-300.0	0.451576304227	0.450907602633	0.0215138884105	0.447439374774	0.445594403384	0.0150468217579	-0.0883675515202	-300.0	0.294642672919	0.294395975004	0.0166578362402	0.290858297865	0.290893972736	0.0153710823089	-0.175633842344	-300.0
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.0507658063008	0.0370317526854	0.0422210815074	0.0511064584793	0.0400007246777	0.0486281422266	0.0231807664506	-1.75505687299	0.521062526646	0.522040441391	0.028294182269	0.513091648315	0.51593091899	0.0146361445515	-0.218303691909	-300.0	0.521062526646	0.522040441391	0.028294182269	0.513091648315	0.51593091899	0.0146361445515	-0.218303691909	-300.0	0.238681787586	0.239190838852	0.0105444543681	0.23646089389	0.236391550383	0.0101659544321	-0.155981390909	-136.820463873
TP53	-0.5304638611	9.9692148611	9.438751	0.111221518572	0.0869179791954	0.0957880054204	0.0964463716957	0.0731766618156	0.0911109353334	-0.0219969500056	-12.2840281802	0.494461498473	0.495294244004	0.0259750095086	0.488577101945	0.489731289189	0.0190382211682	-0.0674919947347	-300.0	0.494461498473	0.495294244004	0.0259750095086	0.488577101945	0.489731289189	0.0190382211682	-0.0674919947347	-300.0	0.240990115413	0.241181770155	0.0192539404384	0.238536468859	0.238417660677	0.012136531258	-0.131717222126	-136.913021262
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0706401188854	0.0588459080844	0.0530865281812	0.0584472752149	0.0461993517332	0.0509738218483	-0.0606487877715	-206.749277768	0.520323427042	0.516719198058	0.0223651338414	0.515352238388	0.510681781994	0.0191444026912	-0.0786097786046	-300.0	0.520323427042	0.516719198058	0.0223651338414	0.515352238388	0.510681781994	0.0191444026912	-0.0786097786046	-300.0	0.320607644098	0.319469739252	0.0296863615315	0.317339420988	0.316084370133	0.0287421558352	-0.113377725145	-300.0
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0627063346906	0.0511309774921	0.0547921843391	0.0543992475953	0.0415609912216	0.0534033667353	-0.0207597701842	-27.3754925001	0.570101759528	0.569008214593	0.0230652043407	0.563577941996	0.562743927467	0.0203773739245	-0.0542366350215	-300.0	0.570101759528	0.569008214593	0.0230652043407	0.563577941996	0.562743927467	0.0203773739245	-0.0542366350215	-300.0	0.288989458511	0.288889129344	0.0171570399731	0.285892323415	0.285650339769	0.0137528795453	-0.16471635307	-289.823062381
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.0974772823927	0.0784098507778	0.0892273685946	0.0892827609783	0.0648233409622	0.0811018265799	-0.0170390105843	-9.62271142996	0.519438339644	0.519838438386	0.0208552372004	0.51317519917	0.514133335808	0.0142787675165	-0.164611687936	-300.0	0.519438339644	0.519838438386	0.0208552372004	0.51317519917	0.514133335808	0.0142787675165	-0.164611687936	-300.0	0.302978314951	0.302458307483	0.0119692816145	0.299654917245	0.299249683976	0.0113797583445	-0.187128365269	-142.806966972
MAFB	-0.3975071222	5.0393535	4.6418463778	0.106560621367	0.0864193777448	0.0857025148927	0.0909374422186	0.0691199417936	0.083474776103	-0.0368368626971	-28.0354607812	0.41028414741	0.408090366443	0.0185675944597	0.411603167621	0.41196882038	0.0240179123291	0.0168995416758	-300.0	0.41028414741	0.408090366443	0.0185675944597	0.411603167621	0.41196882038	0.0240179123291	0.0168995416758	-300.0	0.315714876856	0.315583240582	0.0205139873691	0.312339050315	0.312332808268	0.0179389492871	-0.17731810092	-269.201555237
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.0887448742212	0.0724841931416	0.0727433119084	0.0787331866219	0.0607878196536	0.069855840794	-0.00886558808695	-37.1248866314	0.416854130678	0.413911139114	0.0202242385193	0.42164114982	0.419548814186	0.0222146159806	0.00810632141655	-300.0	0.416854130678	0.413911139114	0.0202242385193	0.42164114982	0.419548814186	0.0222146159806	0.00810632141655	-300.0	0.344352518912	0.344485195976	0.0213708511009	0.341435192829	0.341278851906	0.0194281130069	-0.104381349369	-186.649808901
GFI1B	-0.3699532556	5.525732	5.1557787444	0.1041912491	0.0824672538474	0.0839477789461	0.0889693917003	0.0657207578304	0.0831088511876	-0.0429318416767	-34.667320873	0.453381021447	0.453837160831	0.0149340479496	0.449481148579	0.449735639782	0.00923436635754	-0.154441090826	-300.0	0.453381021447	0.453837160831	0.0149340479496	0.449481148579	0.449735639782	0.00923436635754	-0.154441090826	-300.0	0.318203530126	0.317931258795	0.0237097671733	0.314192367097	0.314626564239	0.0157808863707	-0.171178477067	-267.798330686
INSM1	-0.3575675111	6.7003285	6.3427609889	0.0436519347012	0.0354882891504	0.0367041265494	0.0376462363166	0.0287912231068	0.0349201869776	-0.0289577398666	-51.4771925104	0.472392678764	0.472416875324	0.0183181618677	0.468620639442	0.468227523139	0.0167564637913	-0.0142293239723	-300.0	0.472392678764	0.472416875324	0.0183181618677	0.468620639442	0.468227523139	0.0167564637913	-0.0142293239723	-300.0	0.297392232294	0.296908573477	0.0211696905887	0.294564855983	0.294400824787	0.0139314419373	-0.0994273665518	-182.403085185
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.0700352108889	0.0561920394922	0.0565293476857	0.059267002164	0.0453892160887	0.0547823866033	-0.0308969220415	-55.6124764211	0.628764910664	0.627807883287	0.0179010756373	0.622689146032	0.622280749552	0.014762870831	-0.109574958042	-300.0	0.628764910664	0.627807883287	0.0179010756373	0.622689146032	0.622280749552	0.014762870831	-0.109574958042	-300.0	0.287812423223	0.287473088408	0.0166187748836	0.285359813437	0.285002556301	0.0129993850785	-0.119391964893	-300.0
MECOM	-0.3505778778	2.913285	2.5627071222	0.0907032301748	0.0679006783366	0.0803561270575	0.0993653955155	0.078651315976	0.0830685635837	0.00260161140961	-6.07427521979	0.52303086637	0.524105141282	0.0227995889168	0.517964378345	0.519507565714	0.0142152572032	-0.14817435502	-300.0	0.52303086637	0.524105141282	0.0227995889168	0.517964378345	0.519507565714	0.0142152572032	-0.14817435502	-300.0	0.298848084899	0.298509464854	0.0112940904677	0.295608136095	0.295811165358	0.00982437970432	-0.200079011681	-235.481482741
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.111240797937	0.0887950697022	0.0887401743591	0.0993340889324	0.0761126185475	0.0879793272935	-0.0137572344444	-19.4695378657	0.496376041231	0.497791576113	0.0244529018928	0.49069592872	0.49345714446	0.0149071461907	-0.138400436961	-300.0	0.496376041231	0.497791576113	0.0244529018928	0.49069592872	0.49345714446	0.0149071461907	-0.138400436961	-300.0	0.300512773327	0.300408197581	0.0159938218605	0.297859862224	0.297792446606	0.0155970451481	-0.140028567525	-299.750633674
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.0979094119922	0.0800440512906	0.0816350060041	0.0885089921279	0.0659655998269	0.0791959261929	-0.00967920351535	-3.48661542991	0.416651605069	0.410895213051	0.0347018831574	0.417309744669	0.412919921589	0.0454442641373	0.111604190058	-15.2376589699	0.416651605069	0.410895213051	0.0347018831574	0.417309744669	0.412919921589	0.0454442641373	0.111604190058	-15.2376589699	0.293218766571	0.293411388498	0.0208862163242	0.290792793839	0.291053424277	0.0177908368843	-0.0648013144708	-50.8150144786
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.0671706039149	0.0537676812406	0.0555278317461	0.0579075057385	0.0440879861912	0.0542533329548	-0.018964460583	-55.0774885571	0.624305024663	0.623694290849	0.0176148878515	0.618561235194	0.618412710473	0.0147495975553	-0.0978340539374	-300.0	0.624305024663	0.623694290849	0.0176148878515	0.618561235194	0.618412710473	0.0147495975553	-0.0978340539374	-300.0	0.306772573041	0.306544680572	0.016309568998	0.304244206752	0.303932245386	0.012550575416	-0.12537315287	-300.0
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.0413810940172	0.0329210517538	0.0352900224518	0.0368428618905	0.0277833780033	0.0344649255437	-0.00795793466193	-16.3857052431	0.385966670063	0.386746409511	0.02138157935	0.383357745189	0.383987048219	0.0135509960311	-0.0895270977797	-300.0	0.385966670063	0.386746409511	0.02138157935	0.383357745189	0.383987048219	0.0135509960311	-0.0895270977797	-300.0	0.268752595235	0.268399670386	0.0155328050254	0.265854779622	0.266378269002	0.0113212587869	-0.114419519414	-165.563918674
CTCF	-0.2180552611	8.924475	8.7064197389	0.0400628607306	0.0322690165048	0.0346366167458	0.0341227187282	0.0258975851872	0.0323976447962	-0.0231210664422	-130.965128128	0.55134907555	0.550178152166	0.019245548201	0.547190011026	0.546350830827	0.0171062902251	-0.0311293679921	-300.0	0.55134907555	0.550178152166	0.019245548201	0.547190011026	0.546350830827	0.0171062902251	-0.0311293679921	-300.0	0.328633783382	0.328358042424	0.0168088921735	0.326010638391	0.32607381551	0.0166782188784	-0.110002903384	-300.0
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.0672094439324	0.0533651148828	0.0568474669836	0.0582629587625	0.0442061581078	0.0558545863071	-0.0117645291087	-16.6009482421	0.46870190723	0.469557035892	0.0235536518508	0.466509462746	0.46645641137	0.0177772850324	-0.025730741666	-300.0	0.46870190723	0.469557035892	0.0235536518508	0.466509462746	0.46645641137	0.0177772850324	-0.025730741666	-300.0	0.30257938501	0.302373706434	0.0169795229484	0.300057919862	0.300326604877	0.0121418651613	-0.105829534683	-130.317173786
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.113362048172	0.0899899343242	0.0914722200997	0.0932264760288	0.0717244726324	0.0836217265183	-0.0447788576898	-42.0841282234	0.557170197549	0.558263180317	0.0254964624942	0.55647173144	0.554773999788	0.0152978120786	-0.06807842674	-300.0	0.557170197549	0.558263180317	0.0254964624942	0.55647173144	0.554773999788	0.0152978120786	-0.06807842674	-300.0	0.257554193922	0.258038132007	0.0138354669822	0.256509561759	0.256425377203	0.0107837753014	-0.0465483840363	-228.947008955
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.0563735566359	0.0453049508492	0.0444705372537	0.0493955093239	0.0371795302367	0.0439641722552	-0.0237317629308	-31.0945745856	0.552819555656	0.552875026453	0.0240009116092	0.551635199167	0.549810485916	0.0141048660533	-0.0533287371451	-300.0	0.552819555656	0.552875026453	0.0240009116092	0.551635199167	0.549810485916	0.0141048660533	-0.0533287371451	-300.0	0.290216560102	0.290538021046	0.0174283932086	0.288272858578	0.288662488182	0.0126334697828	-0.0518731383345	-114.455732041
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.104058985317	0.0748759290115	0.0909713320509	0.110035187273	0.0900993249518	0.0999344313561	0.00471022424989	-5.18209368762	0.371886058602	0.373156842242	0.0211021692258	0.368805868473	0.371102725146	0.0123986516252	-0.106939377585	-300.0	0.371886058602	0.373156842242	0.0211021692258	0.368805868473	0.371102725146	0.0123986516252	-0.106939377585	-300.0	0.289826692572	0.289779203523	0.0191051127225	0.289339582251	0.288765563334	0.0100806442832	-0.0234324883738	-46.2316089794
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.106540175433	0.0852904043848	0.0884064736639	0.0887441333344	0.0664398053463	0.0857988974111	-0.0400815670887	-64.665217356	0.579056545378	0.578358998152	0.0170344675632	0.580151042701	0.581537060748	0.0237051829414	0.00337841668658	-300.0	0.579056545378	0.578358998152	0.0170344675632	0.580151042701	0.581537060748	0.0237051829414	0.00337841668658	-300.0	0.267952877773	0.268186412688	0.0175293775406	0.266418149979	0.266563143199	0.0158027376922	-0.0240670506953	-83.1293841703
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.116867594706	0.0963209267784	0.090789386058	0.101129591133	0.0776158153937	0.0849473168686	-0.0126621645354	-4.55971461951	0.555065464333	0.55511722628	0.0171080070457	0.550703174573	0.552102025056	0.0108506561617	-0.153692682201	-300.0	0.555065464333	0.55511722628	0.0171080070457	0.550703174573	0.552102025056	0.0108506561617	-0.153692682201	-300.0	0.293367402035	0.292722897563	0.0101651897929	0.291168142969	0.291082381301	0.0100357538759	-0.0668305736492	-57.6004177899
USF1	-0.1057473167	7.4895785833	7.3838312667	0.0637546999451	0.0505335147033	0.0556426748053	0.0519774449229	0.0396355190236	0.0514642830065	-0.0320069418283	-33.3837885389	0.475091336198	0.474264756108	0.0232579369548	0.474330490079	0.471696537206	0.0161841901171	-0.0273734231273	-300.0	0.475091336198	0.474264756108	0.0232579369548	0.474330490079	0.471696537206	0.0161841901171	-0.0273734231273	-300.0	0.322275333585	0.32136808616	0.0274851758117	0.31996585644	0.319626672217	0.0190232908005	-0.0336481891501	-122.527742866
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.0453562227133	0.0367948317429	0.0375037703769	0.0387332812781	0.0299525034142	0.0340744657507	-0.0118501627508	-76.8656993517	0.549441333044	0.546964698209	0.0207359050463	0.55316691107	0.549964016126	0.0226034221115	0.00943115050725	-300.0	0.549441333044	0.546964698209	0.0207359050463	0.55316691107	0.549964016126	0.0226034221115	0.00943115050725	-300.0	0.335114532734	0.334599162759	0.0200604588934	0.332911356095	0.332927901104	0.017925841966	-0.0228337546845	-131.885246705
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.118075177373	0.0881884577966	0.10175327585	0.128326177747	0.101433143718	0.103440741152	0.00884929734595	-6.36743948214	0.505090062832	0.506984940372	0.0258398959301	0.500431570836	0.503893204166	0.0148393624552	-0.123345603918	-300.0	0.505090062832	0.506984940372	0.0258398959301	0.500431570836	0.503893204166	0.0148393624552	-0.123345603918	-300.0	0.280700805	0.281169096624	0.0152418957815	0.279424539842	0.27961277056	0.0148534670911	-0.0416788445709	-130.054195251
ZNF143	-0.0648688222	6.154257	6.0893881778	0.0943604553237	0.0744598605665	0.0779696549544	0.0830630771335	0.0621396186704	0.0778329187091	-0.0187400559857	-17.8636275723	0.583879428522	0.5850706861	0.0199087298927	0.580948609272	0.582231024631	0.0144141227752	-0.0397164712422	-300.0	0.583879428522	0.5850706861	0.0199087298927	0.580948609272	0.582231024631	0.0144141227752	-0.0397164712422	-300.0	0.215853613456	0.21583829146	0.0121357075329	0.216742525198	0.217157219984	0.012645558851	0.00296350114222	-32.94253373
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.0439025724225	0.0349578785935	0.0348889250783	0.0377055325446	0.0287892637106	0.0344165192176	-0.0231531894165	-24.5326276719	0.665996428454	0.666783867333	0.0205479100852	0.665186776828	0.663553353762	0.00996595554762	-0.116792768855	-300.0	0.665996428454	0.666783867333	0.0205479100852	0.665186776828	0.663553353762	0.00996595554762	-0.116792768855	-300.0	0.261670299628	0.261051146634	0.0111355313387	0.25956361552	0.259786375074	0.00797570192449	-0.091580053168	-250.635204155
