FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FS_H1hesc_protection_mean	FS_H1hesc_protection_median	FS_H1hesc_protection_std	FS_GM12878_protection_mean	FS_GM12878_protection_median	FS_GM12878_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_H1hesc_tc_mean	FS_H1hesc_tc_median	FS_H1hesc_tc_std	FS_GM12878_tc_mean	FS_GM12878_tc_median	FS_GM12878_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_H1hesc_fos_mean	FS_H1hesc_fos_median	FS_H1hesc_fos_std	FS_GM12878_fos_mean	FS_GM12878_fos_median	FS_GM12878_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_H1hesc_flr_mean	FS_H1hesc_flr_median	FS_H1hesc_flr_std	FS_GM12878_flr_mean	FS_GM12878_flr_median	FS_GM12878_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.197450591674	0.183938091666	0.0580670871086	0.237389400997	0.218462072803	0.0707000556938	0.10967055914	-300.0	0.550851637041	0.556334005782	0.0241547839157	0.435506368051	0.439740605184	0.0197251261029	-0.0473288923132	-300.0	0.291885993274	0.278339507336	0.0937883878705	0.282076213896	0.272016078279	0.0609783946925	-0.0232413793103	-1.50640660321	0.346069371242	0.343115420208	0.0632616578682	0.333156192674	0.335210013221	0.0542017480929	-0.018967032967	-2.19648162802
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.291860516097	0.277565055499	0.0742398333575	0.330694921356	0.315882692758	0.0898204792977	0.18188118511	-300.0	0.463795643193	0.470966111684	0.0263454219942	0.374462976128	0.378915384488	0.0191956061397	-0.032729510374	-300.0	0.318563091104	0.309171609739	0.0461624023032	0.332855837036	0.309591920965	0.0883709156436	0.0159519168291	-0.666848934873	0.359406554582	0.362307912794	0.0471030856844	0.364555039456	0.362606129097	0.0733643490247	0.0268195507412	-0.818530645339
GABPA	-0.7648685556	8.661842	7.8969734444	0.313600282253	0.300923639285	0.040208238345	0.365534930308	0.352752993172	0.0503261596823	0.100411620173	-300.0	0.330041473897	0.346725224538	0.0419238207606	0.41617106625	0.430446489955	0.0502805700433	0.188337448856	-300.0	0.500045263888	0.482389042071	0.0676942146696	0.500285180401	0.4861145242	0.0896132273239	0.0233331166791	-1.83852453994	0.309843182411	0.30799044418	0.0792429576512	0.30382799955	0.301354207374	0.0663570157882	-0.0186694415105	-8.35336456709
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.39690014718	0.389020212713	0.0687155142213	0.444087258154	0.43699323708	0.0819949190806	0.288263246531	-300.0	0.410216314731	0.425533189486	0.0400336608025	0.501870974028	0.513703516092	0.0426070790499	0.100979726978	-300.0	0.392263012184	0.367473356064	0.065626568134	0.392509157191	0.373825761024	0.0824379172103	0.0587742653528	-3.64115709255	0.344874438224	0.34307824228	0.0754976607879	0.341417120987	0.338410221483	0.0572962161683	-0.00494967637349	-40.9434687248
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.186383250197	0.176592308641	0.0561747661725	0.223089551634	0.213287857165	0.067831935332	0.264420743095	-300.0	0.328414719571	0.333512249406	0.0207594116533	0.396641579901	0.405315176539	0.0282699244007	0.0260249890391	-300.0	0.193369426699	0.179206522376	0.0850451023292	0.175127000959	0.165376223908	0.057199192309	-0.134210526316	-1.4293713226	0.334880461529	0.326516256449	0.0887179946086	0.33047215034	0.326070585693	0.0817723475583	-0.00410050340016	-0.518264565476
REST	-0.6212560778	8.5147308333	7.8934747556	0.235647223156	0.224360011106	0.0892983425509	0.30079842404	0.284580807509	0.112041615403	0.278750529961	-300.0	0.355517398944	0.362547784883	0.0314750586846	0.418866578126	0.426327657042	0.0322590253901	0.107007863681	-300.0	0.458208405292	0.448253218037	0.0631154946724	0.454889016047	0.440010382943	0.0493257047213	-0.00534302541519	-2.44362392369	0.330631745343	0.327004149955	0.0514019358154	0.333008479308	0.331536737102	0.0779596127413	0.0161344891014	-2.17137787705
ERG	-0.5708799333	3.9203937778	3.3495138444	0.293470151677	0.276910142963	0.0671194568328	0.338864567949	0.324017155155	0.0827326210591	0.350018107474	-300.0	0.368398821806	0.379315009433	0.0303001453192	0.461265061392	0.47010010454	0.037875243375	0.0431914500151	-300.0	0.482146653457	0.474795248492	0.046197297548	0.486867289697	0.479633817008	0.0539612580395	0.0702622753137	-0.992050829121	0.308972622948	0.30673972931	0.0566500093821	0.311142009854	0.309688355563	0.0776777510928	0.022491262709	-3.22639653909
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.136067309842	0.109713502093	0.0680620729371	0.174944393719	0.138878889757	0.0822252396262	0.106219002265	-300.0	0.264169798216	0.269880918186	0.0201372695796	0.304062890298	0.314100316305	0.0295044990134	0.275282525514	-300.0	0.237685624627	0.224768016672	0.0589427692737	0.243087249038	0.227350952397	0.0755855122442	0.027731092437	-0.0500610877607	0.287043830885	0.289902552666	0.056871492881	0.284772580927	0.285214100451	0.0525900134447	-0.0411781609195	-0.549428870272
TP53	-0.5304638611	9.9692148611	9.438751	0.32923564407	0.350877577011	0.069034913649	0.264962214988	0.288470734384	0.0561074452735	-0.0572930758355	-300.0	0.324542470345	0.331198373958	0.0254890319188	0.386896082135	0.393621146728	0.0321500726282	0.0702097618489	-300.0	0.207038913149	0.199033378173	0.0662831347966	0.208670748398	0.200723628907	0.0693488184574	0.0780487804878	-0.00835682311176	0.29668636268	0.292309049676	0.0617406220035	0.299690789363	0.298982569269	0.0909187280469	0.00893217893218	-0.635493963458
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.356223876099	0.340896179928	0.0636006412905	0.401014459826	0.380473504759	0.076052980337	0.256490064263	-300.0	0.346419454663	0.366344519161	0.0488455213235	0.409338518096	0.424132079045	0.0524496723494	0.348691124754	-300.0	0.416943135411	0.388316706038	0.0726323572876	0.417610175335	0.402637321989	0.0952946401276	0.0557342286019	-3.17487522316	0.337363825264	0.331529749366	0.061503556475	0.337903046015	0.333610129683	0.0799753996807	0.0131937230025	-22.0632531312
HLTF	-0.5141725	8.3729281667	7.8587556667	0.388869223265	0.401118963944	0.0514323452231	0.440322308076	0.455315515533	0.0627593553584	0.0732536384193	-300.0	0.61117906379	0.616103956742	0.0259820922335	0.484145746896	0.490113255719	0.0232290310218	-0.0331839077744	-300.0	0.392636082198	0.368778374422	0.0861566950434	0.380441756027	0.358559062546	0.0694125568841	-0.00372024635188	-1.58624207185	0.309684451095	0.30842780468	0.0597168237776	0.313286146904	0.309848932628	0.0686116527873	0.0482773653823	-0.558918399085
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.288023060787	0.278190277112	0.0740553096551	0.240090103925	0.230993030352	0.0599851625198	-0.0429567571535	-300.0	0.506512138679	0.512597055984	0.0290371475134	0.408207856881	0.412957115316	0.0220942017163	-0.0204149002281	-300.0	0.269375972825	0.243188399858	0.105250763904	0.277876901817	0.24475625806	0.133428944387	0.0272534464475	-0.297538003855	0.300331672319	0.299353199255	0.053352100579	0.300926542628	0.300028985924	0.0677090079526	0.00358472322939	-0.379582009886
MAFB	-0.3975071222	5.0393535	4.6418463778	0.309931744211	0.321849637445	0.0660335517049	0.248213082972	0.26028851403	0.0524552341748	-0.00905899672721	-300.0	0.549467747579	0.554058286278	0.0294545331927	0.439711031207	0.446404306237	0.0238408648658	-0.0188073312942	-300.0	0.480094191296	0.462136004753	0.0858901950985	0.478994388742	0.45867668833	0.0615173950185	-0.00536540738349	-1.15167528839	0.326383931402	0.325453311422	0.0826116573263	0.321948308534	0.320169105575	0.0658355683624	-0.00796232218378	-2.48162501662
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.344284517235	0.331895117956	0.0427352507728	0.388786307965	0.37061210604	0.0505069878147	0.070120726985	-300.0	0.411963064314	0.423930770304	0.0347914826787	0.497029094224	0.503895111447	0.0396640581234	0.101023469278	-300.0	0.434802737725	0.413050239025	0.0709996539779	0.439933738108	0.417613066722	0.105439034213	0.0539942770907	-0.866567143457	0.34486500693	0.34410192463	0.0484178768734	0.347708439129	0.344109059462	0.0816389181361	0.000250404174015	-7.52203856946
GFI1B	-0.3699532556	5.525732	5.1557787444	0.188121829031	0.174851695194	0.0500452236602	0.234903631303	0.218110686848	0.0634162998057	0.0228797409628	-300.0	0.561890161771	0.569412644718	0.031195325091	0.441429504157	0.448624483129	0.0226610618241	-0.0185346016667	-300.0	0.352436647722	0.330489218777	0.0635848798957	0.359657168181	0.33532837255	0.0899911433702	0.0475189234651	-0.425316276475	0.351009250113	0.348669530033	0.0932579311397	0.345570580529	0.343435155001	0.054652643667	-0.0224815463316	-2.34718081714
INSM1	-0.3575675111	6.7003285	6.3427609889	0.244760481804	0.231987773887	0.0621724047832	0.300057663857	0.283111736437	0.0759192082656	0.215094906426	-300.0	0.338494499845	0.349892308855	0.0370449598104	0.391214020676	0.402188081569	0.0408758327679	0.213517807726	-300.0	0.525004477968	0.504587045308	0.0584952864966	0.529077238477	0.509155990735	0.0796410850876	0.0309759859	-1.55410911159	0.299788590347	0.297410687905	0.0657877230283	0.303490681514	0.299669396359	0.0689886923126	0.0231298337891	-2.43446208873
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.240591181591	0.224938763003	0.0514482439914	0.294962049862	0.277389600063	0.0645052322525	0.105819290566	-300.0	0.546173997566	0.550056191326	0.0277122899421	0.438498941546	0.444770575754	0.0231877640351	-0.0191835573554	-300.0	0.322138699927	0.310164289041	0.0488593680528	0.32688120483	0.316213072429	0.0642528923095	0.0718675265765	-0.37201456738	0.320300511207	0.317629384269	0.0549745356986	0.320942802343	0.320304681603	0.0734255729342	0.0367629209382	-0.968828188859
MECOM	-0.3505778778	2.913285	2.5627071222	0.23868283816	0.261579697895	0.064711104573	0.2906725947	0.30868937342	0.0787919927946	0.168073177963	-300.0	0.279829464832	0.283983201039	0.0192964803312	0.318932773184	0.328007489414	0.0295747120018	0.274778898156	-300.0	0.476199849256	0.458532919313	0.0921973145386	0.472252455536	0.456285990819	0.0472169754587	-0.00890688259109	-0.544999405045	0.305631165468	0.303618676892	0.0606513433312	0.309378040292	0.304869573435	0.0908821137821	0.026637958264	-0.109219628602
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.266810024037	0.254901222735	0.0569222097819	0.310422302178	0.300628910275	0.0699002474578	0.248742922615	-300.0	0.486645400291	0.494565928388	0.0274942046323	0.390123796263	0.395210269825	0.0204179005231	-0.0137053513549	-300.0	0.32261653767	0.310938183877	0.0639129487247	0.328965987026	0.312160032035	0.0965175153057	0.0524390243902	-0.305593655566	0.315451161621	0.308332215953	0.0650212082502	0.315981880818	0.312664403428	0.0917423397615	0.0189474673786	-0.719409644307
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.399788105313	0.401715511215	0.0319200412241	0.362887626622	0.364502332396	0.0259545112515	-0.11510461504	-300.0	0.324604893246	0.339269916908	0.0361655265869	0.380374312959	0.390752428951	0.0459743026456	0.306343901539	-300.0	0.370541696417	0.352748911216	0.106480752381	0.351933078006	0.339138863436	0.062837994034	-0.0958333333333	-0.735189758755	0.312647130326	0.309995342042	0.0939946667451	0.310891883571	0.309472699617	0.0572354310296	-0.0329647775819	-0.933444065649
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.223743820502	0.209232113126	0.0503218056501	0.274557116066	0.258154866192	0.0630901971282	0.133886124863	-300.0	0.545745695854	0.549682832845	0.0281328681588	0.438353678185	0.444809231123	0.0234936081631	-0.0171142286192	-300.0	0.290850163701	0.27832620291	0.0618324633192	0.297427847368	0.28243938025	0.0835829699729	0.0922053638209	-0.162057941151	0.306454371272	0.305351856833	0.0505374677463	0.307132020857	0.306072770302	0.067576576382	0.0403056028561	-0.945041233087
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.204351287701	0.208955146071	0.0581224187707	0.271357601761	0.280067873854	0.0724374852089	0.134515775688	-300.0	0.463183822063	0.471878605957	0.0286211406273	0.377058827565	0.382503917662	0.0195022124757	-0.0030369999176	-300.0	0.174792038581	0.163930254014	0.064123438071	0.177114925616	0.168775447261	0.0651047652345	0.0540020263425	-0.196104190784	0.268633361363	0.267248201016	0.0529382070952	0.269594921833	0.26876214347	0.0950644875579	0.00876151012891	-0.54541835043
CTCF	-0.2180552611	8.924475	8.7064197389	0.324856091451	0.317203570229	0.0828045704838	0.378827273703	0.369965831626	0.100801124043	0.399321223551	-300.0	0.577027685179	0.584182119306	0.0290852589888	0.461987501976	0.469324711643	0.0271657256504	-0.0142597807666	-300.0	0.425594509962	0.415092849071	0.0554034582803	0.432822340321	0.420504890004	0.065150966072	0.0539363742209	-2.33992657518	0.329890144413	0.326251840265	0.0671983892382	0.33293029505	0.329919092507	0.085290579662	0.0123010414317	-10.474853378
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.379237887721	0.366625723789	0.053543495445	0.341290338818	0.330718572425	0.0430087893284	-0.0152473348903	-300.0	0.395649147877	0.40269162583	0.0249605685771	0.483987193111	0.488409642412	0.0311576548108	0.0112914362393	-300.0	0.308373351046	0.28734953057	0.0676917788411	0.30905425512	0.293266390083	0.07592470071	0.00577235772358	-0.732402609522	0.309501314525	0.306551658741	0.0637388174423	0.319085066243	0.308736771251	0.104145855349	0.0165416474919	-0.693737910162
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.190881820192	0.165039439097	0.0549972224301	0.247465445695	0.219222119602	0.0691625522332	0.0677944654712	-300.0	0.29530245801	0.303073905008	0.0226822483703	0.349505541453	0.35997637086	0.0359835841962	0.181637260231	-300.0	0.222668553893	0.205312661254	0.0813752991421	0.227605642831	0.207570938698	0.0836346020484	0.0701818641071	-0.116962919051	0.266794145846	0.260563343818	0.0743195961213	0.269582656351	0.263145335389	0.0877874969977	0.0381342845869	-0.197904663488
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.292207919052	0.281725487617	0.0523707736574	0.337084893621	0.327165088234	0.0659631675978	0.338178458254	-300.0	0.372271714714	0.380933813861	0.0234018241315	0.467065270139	0.476149380927	0.0346243442129	0.0169867805895	-300.0	0.284036040666	0.271571310626	0.0683063524339	0.29058128375	0.274305957553	0.0867965508244	0.0346022533288	-0.578849275711	0.29210848769	0.290841306313	0.0625537230426	0.297242704157	0.292520080941	0.0933129149927	0.0381111290631	-0.308805779407
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.155412657602	0.13874346302	0.0446582638473	0.211690085322	0.199925862413	0.0558985359216	0.0221704927727	-300.0	0.315777735667	0.320360563529	0.0211993910432	0.371271435264	0.380346616191	0.028134503463	0.116564543723	-300.0	0.16705871668	0.152763805004	0.0780851166006	0.157781409124	0.148940461539	0.0664335787709	-0.0102941176471	-0.300495777906	0.290987592053	0.294646149824	0.0567031535853	0.301249091049	0.298914115662	0.108689195814	0.00255504316771	-0.283460452382
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.227593885569	0.208100493484	0.0766023620181	0.284695286565	0.264337468569	0.0939369443995	0.24557457367	-300.0	0.562558346567	0.569454779786	0.0280677255285	0.440945482352	0.447534205725	0.0182946972168	-0.0193368042601	-300.0	0.453719706129	0.446938016814	0.0496891682494	0.460016072439	0.447534191683	0.0603273507407	0.0495433789954	-0.789624942549	0.300689682016	0.30288543455	0.0730739121036	0.305092781268	0.302902824855	0.0746213337948	0.0390834620629	-0.560855252241
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.163007794348	0.141435806485	0.0716097706945	0.12683417355	0.107582008468	0.0581329637662	-0.113508396824	-300.0	0.313981300221	0.320761220742	0.0232445711874	0.369186706276	0.37423582086	0.0330417148193	0.170241190225	-300.0	0.312490240249	0.303233554632	0.0562277113845	0.340665426512	0.306681837659	0.122726345153	0.00714285714286	-0.0970052059388	0.347822034707	0.340586656637	0.0835660341605	0.338796587362	0.337524135173	0.0529750234518	-0.0108974048023	-0.214467185185
USF1	-0.1057473167	7.4895785833	7.3838312667	0.308503589766	0.310927460655	0.0394044138148	0.350278800605	0.350013600944	0.0487933093857	0.0313389807491	-300.0	0.368692697196	0.381122203853	0.0348538581256	0.447937508524	0.457244822516	0.041985754146	0.105761411622	-300.0	0.387932509749	0.368762833103	0.0627443827989	0.399868502012	0.369680068539	0.0907137472313	0.0504983057604	-0.401199356203	0.344264514161	0.341425047574	0.110975256375	0.342908501429	0.333919257736	0.0655156085869	-0.0358470929288	-5.70649523563
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.398410771193	0.376115877938	0.0602069999898	0.445279151755	0.414510216722	0.0724145628565	0.180699630215	-300.0	0.420359168685	0.431499368178	0.034371105728	0.507743275702	0.51634558989	0.0368620625047	0.0837824917691	-300.0	0.386229198945	0.367285424509	0.0550164566126	0.388203422758	0.37562392362	0.070881923282	0.0191767619863	-2.83284041375	0.338149294369	0.332952142198	0.0587942783392	0.338484780942	0.336214280308	0.0861846706628	0.00890240288817	-7.06013050621
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.266383342859	0.26729559791	0.0528585077574	0.309939084577	0.311894321293	0.0647236144883	0.279047367307	-300.0	0.486463401938	0.494380762742	0.0266253686185	0.392018686299	0.396747935569	0.0197092632175	-0.00537024262502	-300.0	0.463139007515	0.450782929656	0.11323005099	0.456717077964	0.450138036218	0.0729848153993	-0.0114973262032	-0.494106232642	0.286931370832	0.283170433436	0.0781674989179	0.290489044542	0.283309884267	0.102089641795	0.0332531633343	-0.0486847647139
ZNF143	-0.0648688222	6.154257	6.0893881778	0.264582076073	0.242161330046	0.0541697521942	0.312722307587	0.287412952993	0.0674765550782	0.0855080301481	-300.0	0.380809313587	0.38631355604	0.0222713812096	0.462147505815	0.465911289759	0.0277115008284	0.0187979254696	-300.0	0.339860846849	0.31626963839	0.104358749137	0.357812958759	0.321969890853	0.143029155644	0.0705239205239	-0.0388253207004	0.338833360506	0.334688461602	0.0705053993995	0.338966427453	0.336811569029	0.076028340367	0.0245426992334	-0.339039087293
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.167032167915	0.136575865788	0.0571949448242	0.226793812356	0.195139334503	0.0724045620073	0.0786686269456	-300.0	0.292334485112	0.299983937509	0.020339464365	0.348045574012	0.358166912844	0.0362745467462	0.166945899073	-300.0	0.191272875403	0.181690229178	0.0490949279595	0.196028957513	0.182168163807	0.0785209936757	0.0697218082464	-0.0274209226627	0.292640733107	0.291996037524	0.0772823898502	0.282997865336	0.285041674568	0.047602449082	-0.0089010989011	-0.927992058206
HNF4A	-0.0595492111	4.6226812222	4.5631320111	0.410679041797	0.420962285015	0.0532837756687	0.35681312113	0.366079966414	0.0429158104048	-0.0247699826128	-300.0	0.322081825348	0.328671060691	0.0266970060994	0.371483420324	0.375578037551	0.0310712712493	0.196115310105	-300.0	0.275068532648	0.260586217603	0.0723412197128	0.278620719022	0.261646652516	0.0780849895662	0.0962552474665	-0.0249229832572	0.325416934952	0.322650410925	0.0666160743637	0.327137744848	0.323018399228	0.0897195796298	0.0300949080672	-0.698983412693
NRF1	-0.0572260667	6.468081	6.4108549333	0.246554611666	0.260246660681	0.0694699046713	0.298116616211	0.305882821998	0.0855288558458	0.170218981483	-300.0	0.510150467687	0.518759360015	0.0286491964487	0.405209829641	0.410698800797	0.0186982089321	-0.00960921848562	-300.0	0.275002936143	0.248035980647	0.0699880191032	0.265063216423	0.246455038812	0.0695833857308	-0.00878136200717	-1.07333341745	0.3429029604	0.343792467539	0.056691174565	0.347810348066	0.345432703266	0.0776995508438	0.0361216235736	-0.247939183572
