FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FS_H1hesc_protection_mean	FS_H1hesc_protection_median	FS_H1hesc_protection_std	FS_GM12878_protection_mean	FS_GM12878_protection_median	FS_GM12878_protection_std	FS_protection_ks_stat	FS_protection_ks_pvalue	FS_H1hesc_tc_mean	FS_H1hesc_tc_median	FS_H1hesc_tc_std	FS_GM12878_tc_mean	FS_GM12878_tc_median	FS_GM12878_tc_std	FS_tc_ks_stat	FS_tc_ks_pvalue	FS_H1hesc_fos_mean	FS_H1hesc_fos_median	FS_H1hesc_fos_std	FS_GM12878_fos_mean	FS_GM12878_fos_median	FS_GM12878_fos_std	FS_fos_ks_stat	FS_fos_ks_pvalue	FS_H1hesc_flr_mean	FS_H1hesc_flr_median	FS_H1hesc_flr_std	FS_GM12878_flr_mean	FS_GM12878_flr_median	FS_GM12878_flr_std	FS_flr_ks_stat	FS_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.310282230551	0.316837148888	0.0566652453771	0.338266306052	0.343075174541	0.0647671713391	0.0871016981492	-300.0	0.560229843219	0.567539370615	0.0256091122424	0.407544249999	0.412768088289	0.0197796986273	-0.168664377027	-300.0	0.33700780304	0.318631448325	0.106973158253	0.334579418543	0.299858181174	0.0834397843459	-0.0762711864407	-1.2818930535	0.32106651349	0.315905119137	0.0888087474598	0.289102389963	0.283545672556	0.0578297183661	-0.272599469496	-9.0204048196
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.327504793939	0.336093753676	0.0360670541197	0.341974754697	0.351055482853	0.0407968574073	0.154153442049	-300.0	0.42710670862	0.436621677686	0.0387108616104	0.333025571505	0.344407420116	0.0359260085603	-0.0786133304148	-300.0	0.475659562006	0.454217325683	0.107628258416	0.452187572519	0.412480917458	0.0756872853371	-0.275698924731	-7.3508956962	0.342243351185	0.340697231835	0.0785210238638	0.311779882006	0.309128014138	0.0614464112339	-0.196488734098	-20.0048370823
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.256865745407	0.265683243416	0.0771225005591	0.208314418752	0.219908475518	0.0664325523806	-0.0727188940092	-300.0	0.565755504147	0.573476587983	0.0250955698139	0.419228939759	0.424180579351	0.0189877205523	-0.168709677419	-300.0	0.456086381048	0.436546786893	0.134176179116	0.435349273621	0.399853148174	0.105311443601	-0.129166666667	-3.9024824851	0.340113423947	0.333965303803	0.0815510948717	0.315974948092	0.311335865427	0.0813493481173	-0.136189324303	-8.44760986038
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.260060728974	0.243757851998	0.0526585083976	0.298961306329	0.280934748619	0.0626364711909	0.057507082153	-300.0	0.545189409802	0.549018605098	0.0266257164393	0.417992775469	0.424049890009	0.0236115635705	-0.16287737758	-300.0	0.425232926794	0.417176397503	0.0499499426194	0.398011681806	0.388699867805	0.0487454065428	-0.237187088274	-21.9758470371	0.344522928885	0.344362992464	0.0620824728332	0.326796316334	0.323640925082	0.0535526778467	-0.151994075439	-40.7586801053
AR	-2.9986960778	6.4303512778	3.4316552	0.273193128842	0.268039983779	0.0552151896673	0.235204286189	0.227243198875	0.045845091128	-0.120549286141	-300.0	0.512974630421	0.52163628351	0.026405381572	0.393132931647	0.398789187827	0.0201032406408	-0.124140318225	-300.0	0.549555150915	0.533036948436	0.0908049841017	0.533990047128	0.508537664676	0.0682150058044	-0.12868852459	-2.56174266453	0.311305167775	0.308136907638	0.0871728594399	0.309500758805	0.302521444634	0.0853987922779	-0.0176164569874	-0.873952559875
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.425709555793	0.415537010563	0.0592730318017	0.443479210184	0.430859634898	0.0700601600073	0.290474982534	-300.0	0.495707433199	0.503314137561	0.0259509013237	0.384590705916	0.389219429443	0.0196949689972	-0.116735022755	-300.0	0.280498036903	0.265241329391	0.0670355685587	0.271247127092	0.257789104117	0.0615338476687	-0.0509335649153	-4.10792233072	0.392616459344	0.395403911856	0.0639835116793	0.378933635965	0.379143421855	0.0553681960822	-0.123332641935	-61.9081179457
SRY	-2.7415056944	4.77859	2.0370843056	0.213068753506	0.200172502684	0.064897187364	0.247759680773	0.233034847003	0.0759627143562	0.285789758239	-300.0	0.469786650423	0.478046530272	0.0267104302782	0.368767674846	0.373404469037	0.0197570186527	-0.107985391508	-300.0	0.217113238729	0.199319228405	0.0992439685359	0.216471845125	0.194527696403	0.0912396211098	-0.0166666666667	-0.490378203763	0.330432458871	0.32302396109	0.0842445473498	0.310695442629	0.309327019435	0.0692577448465	-0.0643209876543	-2.55814067048
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.304191265736	0.315781732165	0.0525775942628	0.349445374266	0.364024665913	0.0624619314245	0.0504020593433	-300.0	0.31372031302	0.322491855645	0.0342716732	0.369632397862	0.378051544631	0.0360820398404	0.0760768126633	-300.0	0.53609256498	0.519447281962	0.0782178047767	0.514260914796	0.496439705346	0.0561162466726	-0.234075556129	-28.0916800571	0.312382863304	0.308839733118	0.0934145157083	0.301712550083	0.296623312802	0.0730738216962	-0.0212970765827	-10.2937849828
BCL6	-2.5050076889	5.507985	3.0029773111	0.179786638063	0.18985101518	0.0612464980014	0.228565804875	0.237062133307	0.0729750155443	0.119460087994	-300.0	0.431537941865	0.437269300248	0.0288706026607	0.348973308981	0.354669304369	0.0234062772893	-0.0718391000139	-300.0	0.406441165454	0.387064969403	0.0716177633135	0.414110281844	0.39689795856	0.115670331527	0.00950877656937	-1.2317109444	0.338712188158	0.335434848593	0.0837308062153	0.326079305122	0.321083423056	0.0749416841815	-0.0661570076996	-5.58624628257
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.2878436246	0.294024096388	0.0521143665049	0.329224670833	0.336373487373	0.0628892452195	0.163087256484	-300.0	0.310440204578	0.315918032465	0.0267062147953	0.366637966325	0.370973073802	0.0287471136902	0.0551963787615	-300.0	0.426529770692	0.413749625521	0.0821327706389	0.41850359138	0.399763303242	0.0601797354252	-0.0875373878365	-4.67050411315	0.335766465899	0.335608082607	0.072933341995	0.326449747737	0.324112296643	0.0623201659552	-0.0184396939014	-2.49253719243
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.226882939894	0.240391293875	0.0725028945999	0.259296825439	0.270918603271	0.0865432867688	0.208079780449	-300.0	0.309815140139	0.316275030262	0.0250461350235	0.372425682145	0.376880449847	0.0322796719609	0.0179981990248	-300.0	0.464277625697	0.438060493948	0.0968470559965	0.440462130064	0.434455398979	0.0463194851477	-0.017675655843	-1.55394270412	0.313228728418	0.312970762507	0.0797649473872	0.308813913163	0.303489466011	0.0638625839623	-0.0499429295115	-4.01185778826
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.27207858704	0.264610178277	0.0502580980643	0.229540647126	0.219333278204	0.0407901566103	-0.106533320408	-300.0	0.515857966229	0.525815194203	0.0289816760225	0.400783868967	0.407031300624	0.0232178691901	-0.0783145962987	-300.0	0.266467686662	0.203953376641	0.163622504889	0.249524354549	0.200988162189	0.156584898388	-0.0547619047619	-0.486112439004	0.297083924454	0.298643833234	0.0775646692289	0.285968490795	0.283851434196	0.0659458647019	-0.0443938875584	-1.1869856867
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.263327050671	0.262423810138	0.0688230402791	0.222377418893	0.220787705541	0.0571647627344	-0.0499858152861	-300.0	0.375316901168	0.382298457172	0.0315611008733	0.310299520519	0.31619817527	0.0218676209152	-0.00482582228034	-300.0	0.345979191482	0.302291802945	0.128580712733	0.313582493806	0.299336373553	0.0611787781295	-0.0044477028348	-0.536017497255	0.329059616478	0.32083398515	0.105997960101	0.322311741854	0.310599500958	0.0738468723737	-0.0445100105374	-1.58091279821
E2F3	-0.9704539	7.6233014444	6.6528475444	0.404169793826	0.3836832328	0.0572753932472	0.445243693446	0.416838955639	0.0680153722488	0.187156566145	-300.0	0.416078807849	0.427861464471	0.0351195423419	0.508426450071	0.516828745987	0.0381057983186	0.0391062712058	-300.0	0.344126502503	0.327606912527	0.0826702820628	0.332856972525	0.312544123355	0.066362678806	-0.0357054503835	-6.9044084806	0.365691325359	0.364718866918	0.0833300297909	0.362464686698	0.35723772459	0.0557130007778	-0.0146549187986	-15.3701024946
