FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Cuellar_85_H1hesc_protection_mean	Cuellar_85_H1hesc_protection_median	Cuellar_85_H1hesc_protection_std	Cuellar_85_GM12878_protection_mean	Cuellar_85_GM12878_protection_median	Cuellar_85_GM12878_protection_std	Cuellar_85_protection_ks_stat	Cuellar_85_protection_ks_pvalue	Cuellar_85_H1hesc_tc_mean	Cuellar_85_H1hesc_tc_median	Cuellar_85_H1hesc_tc_std	Cuellar_85_GM12878_tc_mean	Cuellar_85_GM12878_tc_median	Cuellar_85_GM12878_tc_std	Cuellar_85_tc_ks_stat	Cuellar_85_tc_ks_pvalue	Cuellar_85_H1hesc_fos_mean	Cuellar_85_H1hesc_fos_median	Cuellar_85_H1hesc_fos_std	Cuellar_85_GM12878_fos_mean	Cuellar_85_GM12878_fos_median	Cuellar_85_GM12878_fos_std	Cuellar_85_fos_ks_stat	Cuellar_85_fos_ks_pvalue	Cuellar_85_H1hesc_flr_mean	Cuellar_85_H1hesc_flr_median	Cuellar_85_H1hesc_flr_std	Cuellar_85_GM12878_flr_mean	Cuellar_85_GM12878_flr_median	Cuellar_85_GM12878_flr_std	Cuellar_85_flr_ks_stat	Cuellar_85_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.0541859683921	0.0468177935074	0.0198836533177	0.0635986732386	0.0527825237979	0.0302131628902	0.0564510290853	-94.0237903105	0.555689295383	0.562619287659	0.0357720648115	0.399406756836	0.408642912415	0.0279302029838	-0.165259045937	-300.0	0.473765909945	0.459104139716	0.0928216673359	0.407098965071	0.407826649418	0.0256142456926	-0.536021505376	-5.63328843892	0.317689923442	0.316319822848	0.0248996272947	0.287036725045	0.287028794871	0.0213662461592	-0.649740062437	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.088155523403	0.0653295657975	0.0556511981851	0.067741575841	0.0524427680374	0.039632031933	-0.0377431807219	-204.744349778	0.295033368977	0.306857740539	0.0425098798582	0.396010761857	0.407363170047	0.04966366723	0.032090604251	-300.0	0.607099954549	0.603443774979	0.0519852258373	0.565902305233	0.558333960243	0.0311410716479	-0.518820861678	-9.28579768021	0.28275075068	0.280570659573	0.0299847249849	0.257369851452	0.25673618398	0.0299116640299	-0.518578587759	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0920017112536	0.0727557467509	0.0494929179829	0.0739218675808	0.0596674891313	0.0404557114671	-0.0999620401625	-300.0	0.546042210644	0.553197577027	0.0362012113208	0.401400406797	0.410391661211	0.0280320884539	-0.159900561436	-300.0	0.447676365277	0.434867323832	0.0640194846473	0.423277525461	0.416924391871	0.0444566450426	-0.107128768667	-2.513549202	0.318284187414	0.31747299202	0.0248047790835	0.296459372481	0.295951551834	0.0203330918406	-0.54293995133	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.0701714813211	0.0558814771275	0.0362602635123	0.0883958492652	0.0687653482378	0.0497840737119	0.00849687531113	-300.0	0.527493084846	0.536221558913	0.03697920175	0.391658783573	0.398952634154	0.0332766305467	-0.147649722781	-300.0	0.407290393277	0.399080487946	0.0597904770846	0.390537577002	0.38603824295	0.0477481342745	-0.129255314471	-5.97209469635	0.30899166103	0.30911260634	0.0216215694143	0.291566842851	0.291260230453	0.0207422551743	-0.510460201043	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.0463274514618	0.0349755350672	0.0284590394207	0.0398682673514	0.0313970321859	0.0211774412557	-0.0681457016172	-299.986285989	0.498106897357	0.504279539363	0.0353873550821	0.378712917017	0.389211195782	0.024745485505	-0.110123444263	-300.0	0.352879948539	0.341545292232	0.0698547271685	0.354936140546	0.3430693037	0.0799662094896	0.0505756929638	-0.201773434357	0.305189291249	0.304948530736	0.0277849615935	0.291890648758	0.291092012186	0.0266187245633	-0.348949724518	-142.8156235
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0388979324398	0.0311878222591	0.0206548910184	0.036762267677	0.0288500471281	0.0206250589977	-0.0605587498328	-300.0	0.607922248286	0.615874813923	0.0326476451531	0.454771525543	0.462982063129	0.0251276158546	-0.122123412042	-300.0	0.481755371421	0.47803994502	0.0236464323283	0.457606159136	0.458208775274	0.0201647176374	-0.429737495103	-41.3496179788	0.384581199955	0.389065064111	0.0352738865533	0.369866231997	0.372824992669	0.0301459191623	-0.32615518393	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.0848750160628	0.0706297424313	0.0516486044345	0.0729329699883	0.0598472920529	0.0479336723052	-0.030469629427	-300.0	0.489278654868	0.496099647627	0.0319263988839	0.378451803508	0.386842560017	0.0253636456154	-0.0991161786081	-300.0	0.469181128417	0.464113871868	0.0300548998047	0.449756573001	0.446481728686	0.0184514379986	-0.364102564103	-6.87759093162	0.324103984672	0.321395125499	0.0431903584832	0.307782500187	0.307835567776	0.0218904043339	-0.353261658773	-129.789458381
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0939134350334	0.085550376937	0.0229710882573	0.107721622906	0.0963768406261	0.034546850953	0.04359618119	-300.0	0.583377737831	0.591775512797	0.0439193816691	0.434228190642	0.444262546489	0.0364773969532	-0.102602183635	-300.0	0.549254293278	0.544297419527	0.0451859315149	0.527115427624	0.525812084442	0.0315544162703	-0.214441602047	-8.09915729937	0.307813541188	0.307548358716	0.0289589303945	0.295316559973	0.294660912185	0.0243511647326	-0.37125061362	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0778507920464	0.0653108145826	0.0319368284079	0.0647942108494	0.0574149072332	0.0216390371437	-0.0954234881451	-300.0	0.557252255107	0.565189484521	0.03592098117	0.421532354897	0.430489031927	0.0281775751767	-0.104663289312	-300.0	0.290825284326	0.281534520169	0.0462056875168	0.294672705628	0.283324356122	0.0581325094816	0.0490126886403	-0.448497245798	0.335834579284	0.33543688396	0.0327805838308	0.323487253637	0.323215353142	0.026183912217	-0.343730728884	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0688397273601	0.0583399094345	0.0326648848648	0.0543254397573	0.046074069721	0.0218466889376	-0.0695965422352	-300.0	0.571116879747	0.579588673481	0.0354460533404	0.434969915872	0.444729430286	0.0284391516039	-0.0923136684869	-300.0	0.424024044097	0.420149727095	0.040885148456	0.413391663928	0.407650991786	0.0271610129134	-0.133537456624	-4.09244252785	0.334890015131	0.334502226013	0.0268771053672	0.322992056376	0.322383504668	0.0219402192225	-0.36121102229	-300.0
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0328427715775	0.0242402586267	0.0319327165068	0.0417448770758	0.0291989554065	0.040111950357	0.102117429382	-223.087036329	0.52972932408	0.537796856921	0.0411751630513	0.406710287142	0.418439718649	0.0273526009523	-0.0762400878749	-300.0	0.514331413368	0.507953745733	0.0461063992911	0.505229685767	0.499419951605	0.0352945349858	-0.0513104442406	-2.53654700242	0.302292525504	0.302533718918	0.0212797420653	0.295126839188	0.293937593979	0.021053422843	-0.284246981261	-256.751324798
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.0509221915929	0.0380202726538	0.0423938983058	0.0399934301534	0.028921617671	0.0328824423374	-0.0260175471999	-181.30096795	0.463557334042	0.471564508388	0.038853853568	0.360039874228	0.372165009213	0.0285277770753	-0.0448377278954	-300.0	0.791847850065	0.787929957477	0.0331564106402	0.77482521077	0.775122149283	0.0302556261663	-0.199215686275	-2.05251797491	0.286774440425	0.285832039086	0.0341348971408	0.277753790746	0.277354102306	0.021611153705	-0.19737162653	-31.6630412791
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.0480666419041	0.0429661223478	0.0213064821201	0.0548134499561	0.04825568415	0.0269049709383	0.0449852189839	-256.535262598	0.582291385845	0.588462527495	0.0355226019857	0.443927688591	0.452937016752	0.0227094969405	-0.0892780951796	-300.0	0.376180223094	0.371708826298	0.0386324046567	0.379374544986	0.375282814647	0.0483230760981	0.00836736155885	-0.56499325067	0.319455763388	0.318684107689	0.0257057008962	0.309991511985	0.309207264324	0.0217393202094	-0.285509433788	-125.487400648
