FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Boyle_H1hesc_protection_mean	Boyle_H1hesc_protection_median	Boyle_H1hesc_protection_std	Boyle_GM12878_protection_mean	Boyle_GM12878_protection_median	Boyle_GM12878_protection_std	Boyle_protection_ks_stat	Boyle_protection_ks_pvalue	Boyle_H1hesc_tc_mean	Boyle_H1hesc_tc_median	Boyle_H1hesc_tc_std	Boyle_GM12878_tc_mean	Boyle_GM12878_tc_median	Boyle_GM12878_tc_std	Boyle_tc_ks_stat	Boyle_tc_ks_pvalue	Boyle_H1hesc_fos_mean	Boyle_H1hesc_fos_median	Boyle_H1hesc_fos_std	Boyle_GM12878_fos_mean	Boyle_GM12878_fos_median	Boyle_GM12878_fos_std	Boyle_fos_ks_stat	Boyle_fos_ks_pvalue	Boyle_H1hesc_flr_mean	Boyle_H1hesc_flr_median	Boyle_H1hesc_flr_std	Boyle_GM12878_flr_mean	Boyle_GM12878_flr_median	Boyle_GM12878_flr_std	Boyle_flr_ks_stat	Boyle_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.108039345959	0.0408054636843	0.190423912794	0.0117325386371	0.00755034214466	0.0132085492091	-0.213996868192	-8.7736287271	0.527234214626	0.533874554353	0.0501070918478	0.392821093504	0.402434375177	0.0293552019522	-0.0995234061582	-300.0	0.381735738783	0.378431228601	0.0507241766794	0.389547298069	0.387861003384	0.0529051030751	0.0104707792208	-1.07611832112	0.179545994509	0.178799735124	0.0316739566892	0.174582686512	0.173879263633	0.00594918570833	-0.20475943233	-5.53257141783
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.160703116483	0.054078390493	0.278511993228	0.00893934124372	0.00528696630929	0.0111196277965	-0.258217937917	-3.21646138698	0.30613401459	0.316067127835	0.0374106712956	0.388672640109	0.397409685752	0.0469260030094	0.0707597004356	-161.793602891	0.740182526988	0.733854667082	0.0771583343202	0.733269070763	0.732529805429	0.0582243031703	-0.0952380952381	-0.777128356506	0.581104473581	0.583899108971	0.0726539444347	0.567674770345	0.562674409113	0.0186080946755	-0.20200845666	-1.93826485851
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.147288377241	0.0166794150859	0.252529312754	0.00992499903412	0.0056972985122	0.0123780506592	-0.169927491216	-3.58421160969	0.563218967408	0.569296894033	0.044630878506	0.423442714212	0.432335479403	0.0274722221216	-0.111516790672	-300.0	0.329199735324	0.321685087895	0.0515304417088	0.318997562328	0.31794055621	0.0344813565205	-0.0264626462646	-0.698316475559	0.56988122428	0.567265933991	0.0485175228057	0.549593739176	0.548351901738	0.0277498253888	-0.443218673219	-7.32783419214
E2F3	-0.9704539	7.6233014444	6.6528475444	0.00986303561681	0.00575476195258	0.0124901555361	0.0917456410842	0.00611333529819	0.199443763731	0.0275151315693	-2.70916846501	0.541394142892	0.545589105929	0.0413324463489	0.411070450654	0.417387438611	0.0311528720156	-0.0559566857542	-300.0	0.545516999176	0.54276459427	0.0402209459778	0.537525562747	0.53341733272	0.0343880723173	-0.0405060769078	-1.82629221723	0.594059600976	0.593140456866	0.0450823222652	0.581589371797	0.583540283794	0.0150424474119	-0.23147369596	-10.4827437051
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.115210927682	0.00610007094498	0.231838062453	0.0105761963587	0.00438098091691	0.0130610547716	-0.00349103735905	-2.27659852872	0.527373492913	0.532726700619	0.0356182935074	0.40937670094	0.415393060187	0.0282414366245	-0.0497799638691	-300.0	0.54698621196	0.540143813214	0.0511036229983	0.556573843323	0.546573744886	0.0647365365886	0.0106080547513	-0.602624498963	0.727252973757	0.728922661992	0.0623393969253	0.718384186902	0.72076940923	0.0212848786526	-0.102461277983	-1.67619002458
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0101398842566	0.00293729280227	0.0123912841984	0.0432932759734	0.0060518950504	0.142462349208	0.0403993456866	-4.14930963498	0.504045302691	0.511871015962	0.0418748776422	0.39433543554	0.402444790184	0.0288068803365	-0.03829356293	-300.0	0.354203919825	0.353052993665	0.0266258135784	0.359847874367	0.35883122565	0.0267869642793	0.0038062283737	-1.94290074465	0.312782468079	0.314827535402	0.0209738852571	0.311879090953	0.312216552546	0.0112118078639	-0.0411183027688	-2.85388417879
GABPA	-0.7648685556	8.661842	7.8969734444	0.333748420159	0.0808569707316	0.407188914057	0.0110276749037	0.00630588460562	0.0148976911615	-0.271125895772	-1.44275620274	0.332870019287	0.33635398639	0.0358164378277	0.439597953665	0.443739817594	0.0416780796684	0.0674090995662	-300.0	0.364404894647	0.361278122561	0.0630542372146	0.332515952405	0.329668620068	0.0574032055732	-0.203526448363	-0.509587457183	0.566615274626	0.5713498099	0.0664263564161	0.564131681844	0.557586041688	0.0230570621423	-0.190619307832	-0.681011418917
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.0105585734098	0.00552879255448	0.012427004112	0.06597461545	0.00633479212504	0.15766900017	0.0593471656331	-4.0595012555	0.577700090153	0.581676226572	0.0391316444339	0.437015477327	0.442951652722	0.0304888751101	-0.0569555182421	-300.0	0.474475631048	0.478041291671	0.0312774375882	0.480485577965	0.478134307563	0.0339207567611	0.125284036203	-0.0883515235766	0.251959135294	0.251656856506	0.0175759869807	0.247268772321	0.247224986908	0.00975414794285	-0.179116592874	-9.16675758386
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.1024687432	0.00703485322844	0.219670943698	0.0114180160192	0.00473006988358	0.0144141295239	-0.0163734304093	-2.37544079086	0.483752605067	0.491188206693	0.0441290406029	0.376314456893	0.383973552664	0.0285770950065	-0.0216427282621	-300.0	0.576095695486	0.575751757758	0.071475590396	0.553618502499	0.550038913907	0.0694209661595	-0.087415480876	-1.60710888448	0.284073735633	0.2886229263	0.0478106829957	0.283352680925	0.284734601286	0.0138957686807	-0.0820017090365	-1.08408585354
REST	-0.6212560778	8.5147308333	7.8934747556	0.0970652873828	0.00928655298417	0.195159359649	0.00952308503101	0.00547685215295	0.0114835820296	-0.117048546669	-6.12013849962	0.345948387903	0.353727260721	0.0335091966201	0.439198696897	0.445336874912	0.0417527279	0.0659815109686	-300.0	0.437934210124	0.434683755471	0.0300982334461	0.442953955507	0.435675211178	0.0330741002867	0.0914298914299	-0.114603983632	0.630653846064	0.629499425234	0.0420528261984	0.620412424786	0.622084194265	0.0184433487487	-0.134799573134	-2.98518671262
ERG	-0.5708799333	3.9203937778	3.3495138444	0.00996702522752	0.0059337045285	0.0124044520587	0.0830072415097	0.00893025186971	0.177224947972	0.000260433903458	-4.80885970689	0.372246639059	0.378100778539	0.0309234335381	0.480335733526	0.485806068334	0.0377389954868	0.00132097711621	-300.0	0.326667948825	0.323415269302	0.0359645150218	0.337320886979	0.331708818169	0.0404460145169	0.0195431855998	-1.24257322218	0.187060897536	0.186660701154	0.0167984798734	0.183929704941	0.184396142877	0.00794254324214	-0.0366001546043	-1.99015921848
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.147504087972	0.0599721132143	0.262603684173	0.0103424705958	0.00664730336834	0.0109770205561	-0.33725910607	-5.98435025378	0.339752771884	0.346589673608	0.0303723430518	0.429122663914	0.436810193147	0.0408079672164	0.0337278998433	-254.795226248	0.408357684549	0.380680647665	0.119119006913	0.371008706277	0.360482598362	0.0833934933885	-0.0321428571429	-0.464685532571	0.563093831116	0.560881327559	0.0380552037995	0.556001821723	0.557215517761	0.0104356893567	-0.138888888889	-0.989182957463
