FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	FLR_99_H1hesc_protection_mean	FLR_99_H1hesc_protection_median	FLR_99_H1hesc_protection_std	FLR_99_GM12878_protection_mean	FLR_99_GM12878_protection_median	FLR_99_GM12878_protection_std	FLR_99_protection_ks_stat	FLR_99_protection_ks_pvalue	FLR_99_H1hesc_tc_mean	FLR_99_H1hesc_tc_median	FLR_99_H1hesc_tc_std	FLR_99_GM12878_tc_mean	FLR_99_GM12878_tc_median	FLR_99_GM12878_tc_std	FLR_99_tc_ks_stat	FLR_99_tc_ks_pvalue	FLR_99_H1hesc_fos_mean	FLR_99_H1hesc_fos_median	FLR_99_H1hesc_fos_std	FLR_99_GM12878_fos_mean	FLR_99_GM12878_fos_median	FLR_99_GM12878_fos_std	FLR_99_fos_ks_stat	FLR_99_fos_ks_pvalue	FLR_99_H1hesc_flr_mean	FLR_99_H1hesc_flr_median	FLR_99_H1hesc_flr_std	FLR_99_GM12878_flr_mean	FLR_99_GM12878_flr_median	FLR_99_GM12878_flr_std	FLR_99_flr_ks_stat	FLR_99_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.38252041983	0.389476653971	0.0592414962765	0.363292857175	0.371321766116	0.0484747417663	-0.0859268044343	-213.385642903	0.425242702281	0.43308273971	0.039185696078	0.338007901346	0.348725125773	0.036359372077	-0.445161290323	-9.48489070083	0.414772360359	0.414663805436	0.0295203525432	0.378125700329	0.378874582737	0.0248052630336	-0.570261269447	-300.0	0.318276085936	0.316889504632	0.0199141342916	0.287236852111	0.28739596592	0.0145040577227	-0.734091897294	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.215577809742	0.214439667304	0.0433373429212	0.237176461507	0.23408568788	0.050680282934	0.0216218906136	-226.41425465	0.419420503217	0.428651863513	0.0312668363488	0.34422013517	0.342537600802	0.0162554346992	-0.418367346939	-15.3472440396	0.601443674803	0.599348584084	0.0343983657106	0.556819741104	0.553383859216	0.0297912881142	-0.582661552315	-300.0	0.335477249175	0.334074067541	0.029247763107	0.307677359127	0.306612631003	0.0202249835236	-0.630050690725	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.272753046657	0.278999020029	0.0649288434851	0.241292167184	0.246759672558	0.0539406294429	-0.141917387829	-300.0	0.378823117877	0.387204553228	0.0341119662675	0.321133857059	0.320993994815	0.013147958634	-0.37280924204	-22.4295830403	0.500700604485	0.500460998253	0.0271235486294	0.467529026628	0.467600207622	0.0208261486185	-0.566365843367	-300.0	0.332579644127	0.33150970422	0.0207521442106	0.310222745065	0.309689760638	0.0175601892845	-0.628754577727	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.26267514184	0.253125473037	0.0651850950196	0.225715030464	0.217285760708	0.0552374174356	-0.064702676035	-300.0	0.347491615802	0.355622754267	0.0327475535968	0.302791302072	0.309191374833	0.0301328156451	-0.243665291691	-31.7006927426	0.494774049693	0.494928732623	0.0281343690164	0.467238091448	0.466706763505	0.022941060587	-0.455517969736	-300.0	0.343749361485	0.343879618459	0.0196788763062	0.323737391453	0.323735362865	0.0150245429556	-0.59973378198	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.385938521845	0.382133956349	0.0515947085198	0.357059938445	0.354831581741	0.033566542244	-0.202090377016	-300.0	0.374591220093	0.383501743011	0.0346205644563	0.320357207119	0.327155327252	0.0321679222655	-0.283858352384	-14.4347265704	0.533295465627	0.535150353825	0.0343918096794	0.511607836004	0.512045255023	0.0279554325881	-0.324616388112	-181.491687081	0.313854327771	0.312528720625	0.0225348885081	0.297461363462	0.297717499793	0.0179841374464	-0.573477796854	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.322902857138	0.311927511086	0.061006310757	0.345773578066	0.329788817861	0.0790244363132	0.13351309085	-231.220455896	0.491575366046	0.499019372213	0.0313452237283	0.395771686284	0.401405547509	0.0269630670687	-0.409244556797	-95.1741693934	0.395892678728	0.395758154624	0.0234979286275	0.379385239467	0.379867042713	0.0200318193992	-0.345802400492	-300.0	0.395225242648	0.396202312282	0.0165132994525	0.378046973434	0.378694856036	0.012849530839	-0.613681577626	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.290001271963	0.278171513701	0.0513562782822	0.314030675651	0.301178607815	0.0632247135063	0.0183582203474	-299.550669487	0.458992510594	0.468080059035	0.0394404723404	0.376588104938	0.385138117275	0.0200886339805	-0.379747102809	-19.0823147138	0.470742544559	0.471463136772	0.0306705199403	0.449142135057	0.451487310478	0.0245421039718	-0.360421760844	-299.999996368	0.321283835263	0.32077052742	0.0158404913265	0.307552224708	0.307620899961	0.0142707417836	-0.595937497136	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.310863323557	0.31227010318	0.0614417338929	0.271961206442	0.272078335398	0.051899176311	-0.00602451061517	-300.0	0.370234987866	0.379192967187	0.0340557022146	0.322181447771	0.331415510691	0.0329360867096	-0.214396236844	-28.1690923924	0.433409942961	0.432855478675	0.0320577721798	0.418595910739	0.417267033929	0.026563929501	-0.222932596366	-300.0	0.308495806981	0.308407934232	0.0263705296276	0.295788431446	0.295687799569	0.019560910753	-0.415538774055	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.346110026391	0.34978114271	0.0662633108956	0.304273645397	0.309068501577	0.053729333436	-0.0557383598383	-300.0	0.417190712591	0.424776751812	0.0301004076587	0.349780498627	0.35852988909	0.0290809769601	-0.338374307592	-25.9142689	0.553924052799	0.553787499542	0.0213334169702	0.534178029342	0.53369559793	0.0170467622652	-0.431261926961	-300.0	0.336608346813	0.335894576023	0.0207274661573	0.323349358018	0.323177892479	0.0191795979831	-0.473323852198	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.378469565809	0.381549334095	0.0646968547156	0.33489539555	0.336828474003	0.0523719767503	-0.0450101577336	-300.0	0.344810257939	0.352067623937	0.0310682989702	0.309841281969	0.313496798716	0.0266988773514	-0.0879297722934	-16.5780934741	0.475613584697	0.476427924832	0.0338948369049	0.461886657049	0.462217898214	0.0297321423917	-0.163329679091	-190.572052392	0.334219366103	0.334108660345	0.0209810456755	0.322813523637	0.32262656996	0.0159544303181	-0.414880826405	-300.0
