FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	HINTBCN_H1hesc_protection_mean	HINTBCN_H1hesc_protection_median	HINTBCN_H1hesc_protection_std	HINTBCN_GM12878_protection_mean	HINTBCN_GM12878_protection_median	HINTBCN_GM12878_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_H1hesc_tc_mean	HINTBCN_H1hesc_tc_median	HINTBCN_H1hesc_tc_std	HINTBCN_GM12878_tc_mean	HINTBCN_GM12878_tc_median	HINTBCN_GM12878_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_H1hesc_fos_mean	HINTBCN_H1hesc_fos_median	HINTBCN_H1hesc_fos_std	HINTBCN_GM12878_fos_mean	HINTBCN_GM12878_fos_median	HINTBCN_GM12878_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_H1hesc_flr_mean	HINTBCN_H1hesc_flr_median	HINTBCN_H1hesc_flr_std	HINTBCN_GM12878_flr_mean	HINTBCN_GM12878_flr_median	HINTBCN_GM12878_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
ZNF354C	-2.0658905111	4.5824435	2.5165529889	0.0931727671392	0.0181462912588	0.179039214474	0.0265938371316	0.0113959505464	0.0264896075326	-0.0580485628145	-4.10985326338	0.602609046483	0.606002433303	0.0243513118029	0.464445041082	0.469550706695	0.0198970013454	-0.0757372805039	-300.0	0.404870902176	0.40507538345	0.020520514831	0.392562438329	0.391753359337	0.0161738612281	-0.334805404785	-300.0	0.313519478301	0.313527954153	0.0135883723874	0.304021887055	0.303592484596	0.0128613758525	-0.518837285627	-300.0
NFIL3	-1.9969227889	5.4661834444	3.4692606556	0.139424432268	0.015798277139	0.258334854708	0.0231983252318	0.00911631613494	0.0228923443199	-0.174748857977	-2.42444471126	0.500800254866	0.50917128648	0.0280270252159	0.390826486751	0.396615668562	0.0215113899073	-0.06084586807	-300.0	0.324893985898	0.323582325042	0.0332112745776	0.316648126661	0.31417548545	0.0228880608043	-0.178473577419	-74.8960140087	0.287999873893	0.287416390029	0.014093686241	0.278490923088	0.278451037597	0.0137116200533	-0.511705668326	-300.0
FOXH1	-1.9547421	7.0327085556	5.0779664556	0.122447515935	0.0177165117909	0.232046312798	0.0253294807547	0.00859965921806	0.0262574839073	-0.0742644203499	-2.36657798561	0.596422385642	0.600978512543	0.023734289349	0.45779668416	0.462191566463	0.0169172718853	-0.0723697793066	-300.0	0.430298535826	0.430975015818	0.0198167998152	0.417501244135	0.417951661942	0.0157301490567	-0.344073801638	-300.0	0.319514528596	0.319253633531	0.0154017867849	0.309691041448	0.309507538433	0.0126674481312	-0.519121353143	-300.0
E2F3	-0.9704539	7.6233014444	6.6528475444	0.0785252700843	0.017759539886	0.18148570213	0.0263243784698	0.00698508158912	0.0274605105849	-0.0113755223922	-3.94380953761	0.572664148178	0.580489038377	0.0304153504963	0.457106824596	0.465538519637	0.0286995437341	-0.0219711152527	-300.0	0.465692881008	0.464118615215	0.0249300308858	0.457100182158	0.454584144917	0.0217947614065	-0.165611969379	-300.0	0.363429844377	0.363057331648	0.0186433042186	0.35690696806	0.356763080548	0.0180987926966	-0.331441140328	-300.0
SOX3	-0.8926029722	7.0991445556	6.2065415833	0.0978153115998	0.0181104571062	0.211800332446	0.0264372875666	0.00634276060231	0.026694704023	-0.0989752569601	-4.52039007549	0.54709658926	0.55125881373	0.0244224948555	0.433726754834	0.438617734453	0.0215665708965	-0.0249211483191	-300.0	0.393220068305	0.393330481603	0.0194691340363	0.385753565861	0.3869725487	0.0173634955577	-0.173696439202	-300.0	0.341754851738	0.341432424446	0.0126792344768	0.335996651003	0.335934506041	0.0106105553452	-0.336475352256	-300.0
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0364089627622	0.0190683345854	0.124990102586	0.0258670126415	0.0043944815904	0.0234593575849	-0.210772418711	-19.2350946659	0.513195374401	0.51916327725	0.0238302521394	0.407172339629	0.411433357819	0.0183859368589	-0.0243162554505	-300.0	0.455921763549	0.456673961149	0.0172763856765	0.447551312807	0.448867801325	0.0140827104265	-0.265578178266	-300.0	0.342375178989	0.343524902726	0.0136629725645	0.337869066928	0.337993147297	0.0116904134599	-0.301778489618	-300.0
GABPA	-0.7648685556	8.661842	7.8969734444	0.209577880092	0.0180159965523	0.359583286891	0.028471822034	0.00401392914695	0.0317260548705	-0.171941277303	-1.40343387655	0.384931963055	0.398950657619	0.035168665633	0.484744202551	0.495110551559	0.0428452202138	0.0795575516906	-300.0	0.460435114372	0.455775396867	0.0278775840369	0.462973430508	0.457572801595	0.0391282548884	0.00959554430057	-53.4017922676	0.306515299207	0.306492941498	0.0251760761955	0.302184133919	0.302052816977	0.0213812966607	-0.179689404604	-300.0
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.0249782334512	0.00706617065608	0.0262287561982	0.0601996238803	0.0163693663818	0.145935356086	0.0151448871592	-5.90988289042	0.615496455221	0.623602228017	0.0298734467586	0.487521991696	0.496368054068	0.0276967691117	-0.0198612793007	-300.0	0.462007851907	0.459497862993	0.0300877966903	0.457561242704	0.452710753423	0.0248498373298	-0.0866814707256	-300.0	0.341780364577	0.341549967926	0.0205641409631	0.336996846882	0.336887638702	0.0193291449456	-0.225145936644	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0262684469836	0.010997518828	0.0246992399995	0.103878725056	0.0189261099888	0.2138693406	0.00106852289287	-1.97541799442	0.344574808471	0.349700865192	0.0200929547944	0.420229887232	0.426193927574	0.0271333851273	0.0212384483082	-300.0	0.532294838518	0.533692132757	0.0277172141136	0.522427459675	0.525177752083	0.0217578425868	-0.18780554713	-199.668247684	0.327961758446	0.327718627157	0.0142897667737	0.322575082177	0.322965793007	0.0125685695199	-0.31942045673	-300.0
REST	-0.6212560778	8.5147308333	7.8934747556	0.0832088531135	0.018423027715	0.179989403343	0.0259866711239	0.0101794358	0.0265477904148	-0.0625886262206	-5.1486599299	0.380796478941	0.387741698828	0.0277393497154	0.455896533299	0.462896307496	0.0301365504699	0.0680903904255	-300.0	0.648853233947	0.648517506907	0.024544809615	0.642034502227	0.640195465468	0.0222859879236	-0.124971666418	-300.0	0.33179466959	0.331897888534	0.0147747574751	0.327821664524	0.32781787857	0.0147331744874	-0.183391681297	-300.0
ERG	-0.5708799333	3.9203937778	3.3495138444	0.0262164727191	0.0114851146426	0.0262943000761	0.0754294419555	0.0185871992203	0.165925699367	0.108942791777	-1.90978045621	0.587570953825	0.591808417407	0.0257306657022	0.460583584187	0.466885694338	0.0214705093235	-0.0168348594244	-300.0	0.505036955175	0.504507060141	0.0239292387223	0.501283830086	0.499263821734	0.0184193176605	-0.0908252571585	-300.0	0.308887017185	0.308825013021	0.0139626168358	0.305134777426	0.305119872405	0.0131107450252	-0.193602755922	-300.0
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.161893589246	0.0621901608565	0.270458441882	0.0243686237396	0.0192337051804	0.019771420675	-0.208647994959	-3.29661227791	0.469590363258	0.477088207306	0.0250879909655	0.376476640897	0.381270339045	0.0177681167035	-0.00458705388702	-300.0	0.46714844996	0.467135655387	0.0382451400415	0.46006133068	0.461668692439	0.0280351073482	-0.0938283212369	-58.1134937112	0.291894167861	0.292108503735	0.011595574214	0.288661317725	0.288689911409	0.0088836398416	-0.227400676468	-300.0
TP53	-0.5304638611	9.9692148611	9.438751	0.133812895561	0.0188678316679	0.237116502969	0.0256689340687	0.0177984690462	0.0249711987642	-0.0789897242991	-2.73545106852	0.404031091507	0.410920114869	0.0246421314689	0.499309294387	0.504033040572	0.0291637847959	0.0128946834179	-300.0	0.549647024526	0.549858859006	0.0305758226294	0.544249405111	0.542984732633	0.0249715972307	-0.0804665611879	-88.0783915341	0.296100795813	0.295984062327	0.0169496809226	0.292841650963	0.292639344332	0.0142732180494	-0.15159951715	-300.0
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0545866698307	0.0184271642962	0.139537554928	0.0262560571053	0.00439085625015	0.0270792273452	-0.0924676238276	-11.2536392527	0.605884406643	0.615343530087	0.0328286383194	0.480431627201	0.490891743759	0.0298755696305	-0.00689041808089	-300.0	0.449244789371	0.444929725566	0.0354152856067	0.447466365285	0.439857187789	0.027745693674	-0.0381738355363	-300.0	0.331477054263	0.331087799031	0.022021404967	0.32796620912	0.327651562217	0.0216474834053	-0.154955859973	-300.0
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0273202388649	0.00909137565594	0.0285189520736	0.0825299040722	0.0182571728961	0.199457926928	0.0184989784871	-2.30325456731	0.606110553234	0.611659097884	0.0262061959163	0.480231459767	0.486711032289	0.0224450152374	-0.014452286594	-300.0	0.479624198199	0.47825791516	0.0308302254485	0.474653819324	0.471686821941	0.0257130927425	-0.0626156322153	-178.416697993	0.310357346043	0.310203727809	0.014808316606	0.306793325491	0.306708299754	0.0141913202154	-0.153966776212	-300.0
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.131669343475	0.0178946950756	0.236314539645	0.0262977669714	0.0128289779837	0.02667933347	-0.0685773409849	-2.77783645914	0.526496944767	0.531096130008	0.0251617626254	0.420941976777	0.425677600436	0.021030147775	-0.00642866525885	-300.0	0.626496882975	0.625744303123	0.021798504852	0.619373484386	0.618745064749	0.0196669654769	-0.132722059657	-131.365864355	0.303624518452	0.303412062974	0.0115644342355	0.30053517314	0.300280553811	0.0112714906154	-0.166172494773	-300.0
MAFB	-0.3975071222	5.0393535	4.6418463778	0.0673625070089	0.0194964434494	0.169586138175	0.0270650380332	0.005901270198	0.0271075651819	-0.0517887283162	-5.89954893981	0.575985317759	0.581186916172	0.0271433073049	0.459978868344	0.466508820732	0.0236916553815	-0.00519725981098	-300.0	0.483282595674	0.481989932474	0.0238162974318	0.485121073828	0.483387920083	0.0284435130575	0.0257365338075	-21.9953651277	0.31509562252	0.315355003502	0.0157177946374	0.312013997726	0.312265967557	0.0152940408551	-0.124554192379	-300.0
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.113972625819	0.0198493753304	0.260151316289	0.0285947150996	0.0100787604648	0.0271130331683	-0.0224389697954	-1.2632202475	0.464834861446	0.475230145494	0.0299575000509	0.576616034588	0.583405045371	0.0344963881514	0.00685926307155	-300.0	0.499469386874	0.497409582753	0.0349320667982	0.495441823465	0.491492020575	0.0273222999001	-0.0325285062476	-131.78822938	0.344396808364	0.344431331203	0.0225974027569	0.341667855463	0.341278851906	0.0183794874278	-0.110961473264	-300.0
GFI1B	-0.3699532556	5.525732	5.1557787444	0.0636459712635	0.0178457263157	0.172671749297	0.0263065737123	0.00240223002028	0.0278923377634	-0.225229470982	-12.9321416583	0.55921253932	0.563740359085	0.0266287688625	0.441513937232	0.447362788683	0.0204732436021	-0.00592072333644	-300.0	0.456436593729	0.456611684903	0.0321694493846	0.455725772495	0.453833778081	0.023036440035	-0.00613825976974	-54.1983280582	0.348658687951	0.348572091775	0.0160289692777	0.344564599394	0.345028727146	0.0120940210578	-0.201087204434	-300.0
INSM1	-0.3575675111	6.7003285	6.3427609889	0.0271392003085	0.0192258118844	0.0264185462848	0.107047307102	0.0193450034826	0.195579802934	0.000359595171434	-3.5435411736	0.637301366665	0.643219335772	0.024603272355	0.503547474527	0.509438856897	0.0222165146852	-0.0108665096858	-300.0	0.490299403481	0.489520873623	0.0284311241911	0.486970492476	0.48434558798	0.0249563078745	-0.0402230517635	-207.070660656	0.29701437008	0.296807485941	0.0160959766357	0.294685180966	0.294490791231	0.0140367283998	-0.0721246888221	-300.0
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.0274499213644	0.0165331105625	0.0265830032737	0.0894011162563	0.019115360403	0.172684745484	0.0128816623429	-3.84987463802	0.594766276571	0.598806026352	0.0239817166152	0.471975906386	0.477498606608	0.0209540997628	-0.00953642225866	-300.0	0.489721148852	0.489988755008	0.0231540388435	0.485621962369	0.48421428523	0.0204935689716	-0.0707927976063	-299.999854858	0.318886325609	0.318708095911	0.0120847260698	0.316111844416	0.315978390944	0.0120779882779	-0.137341325311	-300.0
MECOM	-0.3505778778	2.913285	2.5627071222	0.0679517016476	0.0192896824331	0.208893324638	0.0271863305496	0.00408274060029	0.0273096685992	-0.183652999531	-5.17289431843	0.345085977952	0.349931857964	0.0208684840836	0.416557807814	0.423505685126	0.0281318567545	0.0461870075044	-300.0	0.459904902391	0.461333189975	0.0311903674592	0.456881988076	0.457286264968	0.0267601518322	-0.0355889035835	-48.5006098394	0.298989866548	0.298509464854	0.0147877496112	0.295755087295	0.295815186486	0.0142056560438	-0.177073217267	-300.0
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.0908395244747	0.0201059687804	0.201868153865	0.0282193091184	0.00666346495145	0.0280690818143	-0.0606521364434	-3.80686311761	0.388437445002	0.393821105639	0.0200255943576	0.484613247221	0.490576860788	0.0268442847882	0.00578130698082	-300.0	0.571122278111	0.572233696556	0.0269910474554	0.565467005242	0.567251073373	0.0232387062277	-0.0883026959944	-218.884416244	0.313762890352	0.313709879912	0.0136284330626	0.310982964948	0.310978306903	0.0134391285242	-0.140916311188	-300.0
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.522671659765	0.517266337196	0.424630685209	0.0256231599708	0.011382292931	0.0287768533515	-0.349589780834	-1.06804440509	0.334229414285	0.347169295181	0.0352986217773	0.40121729985	0.4093338872	0.0461355447572	0.293856061672	-300.0	0.445002819601	0.441277099864	0.0395832762624	0.445225470855	0.443066062248	0.0528763424581	0.0532428355958	-0.970214167492	0.308535442528	0.30871474739	0.0279832856307	0.306664851308	0.306516154232	0.0193954406553	-0.0128886411495	-33.2871524094
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.074673574009	0.0184939128369	0.164120994017	0.0267411300569	0.0071145784746	0.0264890237755	-0.00549893003568	-5.02689119271	0.594277690159	0.598484500367	0.0240070689117	0.472574998582	0.478023770683	0.0211612336254	-0.00832224328236	-300.0	0.487524278517	0.488003579431	0.0230277195154	0.483846887184	0.482536073722	0.0205277251423	-0.0603481227012	-299.964264891	0.306608408021	0.306544680572	0.0125007201139	0.304012184354	0.303948792822	0.0118330056645	-0.113903859371	-300.0
MAFK	-0.2310576111	6.9924892222	6.7614316111	0.100260666283	0.0175616535273	0.21346654842	0.026264800931	0.0079363243853	0.0282327259291	-0.000994100064125	-2.6469600077	0.562953289341	0.56761807299	0.0246126976166	0.445502656224	0.450333674641	0.0183936189595	-0.00428862295394	-300.0	0.391054619462	0.391468685662	0.0223707773763	0.390754226856	0.389178934694	0.0186578386421	-0.00519987466113	-48.2184298096	0.270277709892	0.270333568769	0.0133183914984	0.267897560772	0.268174609424	0.0110244620742	-0.0866406872897	-300.0
CTCF	-0.2180552611	8.924475	8.7064197389	0.0237118935909	0.00681840781752	0.0246411292101	0.0552072467611	0.0158825032496	0.139107474608	0.0293629294965	-6.86250792038	0.595643512524	0.600985966173	0.0247445834974	0.473881694305	0.479517536608	0.02263864427	-0.0037951622972	-300.0	0.51170113117	0.511160334402	0.0199943981735	0.507928743424	0.506676838987	0.0179547086132	-0.0609734493805	-300.0	0.328517262578	0.328358042424	0.0170125162806	0.3259078091	0.325988002371	0.0144835830621	-0.0830879059268	-300.0
SREBF1	-0.1923034944	7.1390808056	6.9467773111	0.0776614193872	0.0191798241137	0.178375018213	0.0269521438885	0.00448412790333	0.0272686412122	-0.0543966957253	-6.00352227627	0.631082601869	0.634526292785	0.0239634113127	0.495575947309	0.500972978933	0.0196428121702	-0.00537085917633	-300.0	0.486798814612	0.485111466936	0.0213281200971	0.487173712596	0.487124643673	0.0252911643551	0.0147746678909	-27.353312989	0.308165369771	0.308193613957	0.014751366821	0.306173444211	0.30613056057	0.0127952410992	-0.0823940510643	-300.0
FOSL2	-0.1665596	5.7409766111	5.5744170111	0.0686775093669	0.0203286381638	0.162409619813	0.0274717932277	0.00647838507542	0.0263795232307	-0.0448633590053	-5.73741146209	0.626416167576	0.632441174157	0.0231192270379	0.487442178042	0.492510297356	0.0168640819035	-0.00513545999931	-300.0	0.399505425296	0.40053027687	0.0248496780253	0.402534881644	0.400977856349	0.0305748421557	0.00662637769411	-49.9305969406	0.262865758913	0.263456231875	0.0122392854108	0.261900875245	0.261809613601	0.0116987609134	-0.0298082576045	-300.0
ELF5	-0.1150496167	3.2673951111	3.1523454944	0.0246551353419	0.00790906814193	0.0246868305264	0.091074211582	0.0177093392522	0.205234172918	0.063146054125	-1.96630450555	0.5897140191	0.594564330465	0.0265959426419	0.459798353947	0.466070950118	0.0191458019993	-0.00105311645737	-300.0	0.48391486455	0.482988844173	0.0237126296704	0.483782507875	0.482373100469	0.0167192721869	-0.00162074799947	-55.9279583098	0.290387334379	0.290538021046	0.0164313527955	0.288532816154	0.288659682367	0.0133412138539	-0.0427774924804	-300.0
HOXA9	-0.1122669556	3.0796356111	2.9673686556	0.0235795175908	0.0151255977559	0.0215650128857	0.115505942168	0.0166553458632	0.236360290003	0.0106048517634	-1.67363580871	0.420604718705	0.424905789251	0.0182829027208	0.525407105815	0.531774970637	0.024053397538	0.00445718729853	-300.0	0.419545229386	0.421189665667	0.0234389811075	0.418458727843	0.418871142208	0.0192772320118	-0.00330635506258	-20.3727393213	0.296192797184	0.296167657224	0.0147835411554	0.295580413342	0.295055045759	0.011226594732	-0.0192104517442	-139.339089624
RUNX2	-0.1093715111	4.7753810556	4.6660095444	0.0249662768698	0.00908039298947	0.026312470077	0.0770099689428	0.0161534888221	0.172103421398	0.0552300784663	-3.50189468727	0.601500576416	0.604519292589	0.0249603716737	0.472663911138	0.478569518744	0.0193586455342	-0.000913476223065	-300.0	0.475562485046	0.474166519005	0.0204514081908	0.475881823679	0.475488677299	0.0243841698656	0.0249003051855	-41.288657111	0.301476105165	0.301837651001	0.0151448167822	0.299979576688	0.300038949725	0.0141262122797	-0.0106346847696	-300.0
NR2E3	-0.1069478444	4.0700125556	3.9630647111	0.0586849326894	0.0213911238127	0.0552205597764	0.170883428159	0.0419326890576	0.280510725721	0.0196349407848	-0.738113587213	0.609873449343	0.614174308577	0.0246134300914	0.478474596229	0.483421468076	0.0181201963489	-0.00245839184712	-300.0	0.39762666123	0.397520941639	0.0231642329322	0.39448614201	0.39473755823	0.0150586186502	-0.0852748777433	-36.5978321289	0.314853836601	0.314131680416	0.0137240349911	0.312683184791	0.31252570398	0.0104919351888	-0.0659803314832	-177.479024993
USF1	-0.1057473167	7.4895785833	7.3838312667	0.0263382574316	0.00888236792928	0.0254383727516	0.072204986488	0.0185920124573	0.168944882447	0.0357097124302	-2.60281539034	0.367052421477	0.376004621383	0.0293987518049	0.444426738887	0.450795573439	0.0349219829481	0.0892513217157	-300.0	0.416673491696	0.413246145307	0.0279181053727	0.417311540963	0.414917235764	0.0341773299683	0.0120788563125	-30.8172630782	0.336366820104	0.336079039111	0.0218258643124	0.334554970933	0.3342691183	0.016146277433	-0.0410562067086	-300.0
E2F6	-0.0751500222	5.2749288889	5.1997788667	0.0262247445682	0.0068867988398	0.0265794294216	0.0758968384458	0.0182326312959	0.170827338128	0.0219138305379	-4.67205106363	0.470759989288	0.477823952749	0.0260477406376	0.586476627145	0.593515987938	0.0277312022434	0.00716453024309	-300.0	0.556211769444	0.554595754549	0.0269275740077	0.552529225932	0.550190957136	0.0239078111631	-0.0226127689115	-246.431806864	0.334786175584	0.334599162759	0.0166455566138	0.332919114778	0.332885433776	0.0164926246192	-0.0337500541885	-300.0
FOXD1	-0.0730727611	4.8520043333	4.7789315722	0.127400463859	0.0688730738422	0.23353866129	0.0275586930555	0.0195401416829	0.0275385076928	-0.123706585019	-3.60889820351	0.393058760508	0.398069753637	0.0194235480134	0.487380152998	0.494716238643	0.0263078019509	0.0153523625052	-300.0	0.62019757185	0.622023797919	0.0280142895441	0.615648351309	0.61893465752	0.0233611228167	-0.0414223963213	-62.7281352401	0.285205009427	0.285653836366	0.0144738142554	0.283809833118	0.284059266027	0.013136270248	-0.0541662488727	-264.122996591
ZNF143	-0.0648688222	6.154257	6.0893881778	0.0290835237197	0.0199764368218	0.0297305970103	0.10097833323	0.0234154664946	0.199856548322	0.0376724060441	-1.87746701325	0.61421337233	0.617323635801	0.0235149443254	0.484729171885	0.489730556807	0.0191694874186	-0.000508363101736	-300.0	0.478339608562	0.477739725675	0.0205825674101	0.479237326524	0.480069761406	0.0225825945074	0.00381478512102	-32.5660874014	0.33809546392	0.338214381954	0.0135761602564	0.336419892141	0.336399759187	0.0124967237167	-0.0379171616595	-295.277403749
ATOH1	-0.0642417944	4.6970676111	4.6328258167	0.121866858236	0.0593955555093	0.220591980938	0.0270083686494	0.0192828067777	0.0249199828671	-0.12039043375	-3.68740253958	0.421011387673	0.426977935652	0.0167763583722	0.536942347014	0.544820441501	0.027483323203	0.00246360216759	-300.0	0.536924000009	0.534892167526	0.0335800961086	0.531926032301	0.534101579891	0.0246944201259	-0.0383005533849	-84.3941393862	0.287031622149	0.286496927393	0.0105671369728	0.284892187851	0.28509349656	0.0105583805079	-0.0858847905439	-300.0
