FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	HINTBCN_H1hesc_protection_mean	HINTBCN_H1hesc_protection_median	HINTBCN_H1hesc_protection_std	HINTBCN_GM12878_protection_mean	HINTBCN_GM12878_protection_median	HINTBCN_GM12878_protection_std	HINTBCN_protection_ks_stat	HINTBCN_protection_ks_pvalue	HINTBCN_H1hesc_tc_mean	HINTBCN_H1hesc_tc_median	HINTBCN_H1hesc_tc_std	HINTBCN_GM12878_tc_mean	HINTBCN_GM12878_tc_median	HINTBCN_GM12878_tc_std	HINTBCN_tc_ks_stat	HINTBCN_tc_ks_pvalue	HINTBCN_H1hesc_fos_mean	HINTBCN_H1hesc_fos_median	HINTBCN_H1hesc_fos_std	HINTBCN_GM12878_fos_mean	HINTBCN_GM12878_fos_median	HINTBCN_GM12878_fos_std	HINTBCN_fos_ks_stat	HINTBCN_fos_ks_pvalue	HINTBCN_H1hesc_flr_mean	HINTBCN_H1hesc_flr_median	HINTBCN_H1hesc_flr_std	HINTBCN_GM12878_flr_mean	HINTBCN_GM12878_flr_median	HINTBCN_GM12878_flr_std	HINTBCN_flr_ks_stat	HINTBCN_flr_ks_pvalue
PBX1	-6.6090431889	10.0427314444	3.4336882556	0.192898655985	0.0753193688817	0.302155795632	0.101540790983	0.0162970587318	0.0993450930435	-0.279150326797	-2.00730657747	0.560361744267	0.56441609363	0.025592959831	0.408158721802	0.413658130503	0.0220988378433	-0.148163287862	-300.0	0.414207314304	0.414663805436	0.0224111797195	0.377541435788	0.377205531712	0.0197141532391	-0.663265306122	-300.0	0.316961085037	0.31626082112	0.0143093474567	0.28738196691	0.287373683096	0.0129024676498	-0.76962426283	-300.0
MYCN	-5.9884396833	9.2460594444	3.2576197611	0.0953605131123	0.0200022164056	0.216718252289	0.0287696193274	0.00936983873591	0.0280399752562	-0.147231121281	-1.85793028476	0.431048610452	0.439636726518	0.0368295807757	0.336939835888	0.347065014787	0.0332306960013	-0.0741602148867	-300.0	0.598417247603	0.596569728689	0.0256665637872	0.551263142294	0.547708721271	0.0239497139387	-0.704521464474	-300.0	0.334921177205	0.334047791744	0.0163956197414	0.306803660471	0.306397706004	0.0155468946881	-0.758376471361	-300.0
TCF7L2	-4.6467866111	8.5839345	3.9371478889	0.0922795299695	0.0197887026937	0.204665128695	0.0282885515492	0.0039899155268	0.0285961881413	-0.285157929013	-6.48144483806	0.59318512166	0.598135570557	0.0247246084538	0.437917607474	0.442788486354	0.0191382489207	-0.14900828788	-300.0	0.499547792705	0.499207652402	0.0211100398636	0.466157797698	0.466312375302	0.0170816400458	-0.652428567732	-300.0	0.33195895906	0.33135175009	0.0130125322802	0.309756733296	0.309573665314	0.0121188335656	-0.724189230535	-300.0
TCF7L1	-4.0784858	9.0248868889	4.9464010889	0.067445835964	0.0199998207356	0.151047284168	0.0278197683735	0.00707373274143	0.026762228775	-0.160994321226	-6.51436069392	0.551046915205	0.555889553005	0.0258541313781	0.423153327729	0.429281383864	0.0236575669863	-0.144274365826	-300.0	0.493714916626	0.493685193094	0.0207666110805	0.46513554428	0.46383308446	0.0185905364763	-0.581234794573	-300.0	0.329371460507	0.329545798303	0.0125908263881	0.310278115837	0.310272397496	0.0116805531407	-0.713022062932	-300.0
AR	-2.9986960778	6.4303512778	3.4316552	0.112640120705	0.0191611139415	0.231138201713	0.0273675641139	0.00946645364509	0.0288653676758	-0.0836750736694	-1.82483781019	0.630279923124	0.635464855209	0.0240683552883	0.470769064918	0.476000727129	0.017776980048	-0.111830081337	-300.0	0.534051560751	0.535821599174	0.0276621772972	0.510733249341	0.512045255023	0.0223195619673	-0.437141547154	-300.0	0.31215136049	0.312421510029	0.015745706146	0.298819657825	0.298558236592	0.0119706149242	-0.596287568865	-300.0
FOXP1	-2.8214203	6.9324866111	4.1110663111	0.0345728390818	0.0166886088777	0.114347990758	0.0237920635715	0.00320163118651	0.0242556204387	-0.236543192044	-22.4505431838	0.619103356479	0.623884677669	0.0214521923693	0.466085809964	0.470212027686	0.016662369824	-0.104991286075	-300.0	0.395728935398	0.396404184912	0.019104571936	0.378629442496	0.379743267201	0.0166277032205	-0.437889308939	-300.0	0.394920776647	0.396202312282	0.0165707539974	0.378134906505	0.378766877559	0.0140858535338	-0.598304425611	-300.0
SRY	-2.7415056944	4.77859	2.0370843056	0.0932914277576	0.019631565303	0.22437012819	0.0279451088694	0.00548020083041	0.0278005997094	-0.174733901182	-3.59975280852	0.45831420703	0.464674974598	0.0259934699844	0.36071893889	0.365654160779	0.0198509030727	-0.0847167640028	-300.0	0.47078306811	0.472322216833	0.0245172312659	0.449266546434	0.451816863259	0.0202843972777	-0.449687303993	-300.0	0.321257246846	0.32077052742	0.0148043789211	0.308019316524	0.30772092965	0.011923244171	-0.608440050185	-300.0
TFAP2C	-2.7044155444	5.9932067222	3.2887911778	0.0704963391423	0.0192942054119	0.161454956399	0.027381878722	0.00892849068483	0.0275380448491	-0.0280097946625	-2.96995523637	0.627778316067	0.633753408104	0.0236241037548	0.483385402057	0.488842466478	0.022522668774	-0.0996252190412	-300.0	0.432146476342	0.431688752318	0.0230099795251	0.415976903994	0.414315632956	0.0212788685537	-0.344683950651	-300.0	0.308416825698	0.308335795878	0.0158283426353	0.295825997267	0.295812662753	0.0150923853438	-0.58824754062	-300.0
BCL6	-2.5050076889	5.507985	3.0029773111	0.0704180107219	0.0200949257908	0.185501853647	0.0275358509274	0.00783910198908	0.0263889285224	-0.0590311919459	-2.54782442762	0.576306574595	0.579476597256	0.0236396585158	0.445107715929	0.449733433216	0.0200295703382	-0.0917738131113	-300.0	0.553043571277	0.552596131669	0.0163065692577	0.532394537838	0.531307484461	0.0139366143401	-0.550801354128	-300.0	0.335730746748	0.335885560041	0.0141333783635	0.32323437815	0.323177892479	0.0126774657629	-0.590728205991	-300.0
NR5A2	-2.2446374333	5.4651116667	3.2204742333	0.0836366458424	0.0203570080936	0.178124958637	0.0286472630724	0.0106369732269	0.0289300364544	-0.0600470518268	-3.46619049603	0.585233337833	0.589501842223	0.0234165257262	0.455805028349	0.460765010913	0.0213390446601	-0.0805941698984	-300.0	0.475251387212	0.476007917846	0.0249155015175	0.46054947789	0.459649269941	0.0235392887744	-0.26909516883	-300.0	0.33422388929	0.334108660345	0.0146422787968	0.322676935586	0.322576702364	0.0124659624616	-0.557405559988	-300.0
