FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_GM12878	Dnase2Tf_H1hesc_protection_mean	Dnase2Tf_H1hesc_protection_median	Dnase2Tf_H1hesc_protection_std	Dnase2Tf_GM12878_protection_mean	Dnase2Tf_GM12878_protection_median	Dnase2Tf_GM12878_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_H1hesc_tc_mean	Dnase2Tf_H1hesc_tc_median	Dnase2Tf_H1hesc_tc_std	Dnase2Tf_GM12878_tc_mean	Dnase2Tf_GM12878_tc_median	Dnase2Tf_GM12878_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_H1hesc_fos_mean	Dnase2Tf_H1hesc_fos_median	Dnase2Tf_H1hesc_fos_std	Dnase2Tf_GM12878_fos_mean	Dnase2Tf_GM12878_fos_median	Dnase2Tf_GM12878_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_H1hesc_flr_mean	Dnase2Tf_H1hesc_flr_median	Dnase2Tf_H1hesc_flr_std	Dnase2Tf_GM12878_flr_mean	Dnase2Tf_GM12878_flr_median	Dnase2Tf_GM12878_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
FOXD3	-0.8880820389	6.6675806667	5.7794986278	0.0417911650495	0.0354461380712	0.0422117622098	0.0306019382794	0.0273598758026	0.0182909111993	-0.124905853975	-67.2408032692	0.24947309774	0.255976207207	0.0379808327983	0.297521553248	0.303187729786	0.0408234877325	0.103614036755	-111.23004734	0.386059696889	0.38786854843	0.019166169712	0.377720165759	0.379503445345	0.0122025129254	-0.248475228128	-300.0	0.34236154467	0.343524902726	0.0137466314724	0.337869050058	0.337993147297	0.0118163668383	-0.299608395559	-300.0
GABPA	-0.7648685556	8.661842	7.8969734444	0.0439496235173	0.0401062320704	0.0229189368021	0.0540243796326	0.0507847758032	0.0299465569823	0.0839084454078	-76.0781821689	0.347315648411	0.351423240071	0.0448953254267	0.273019891478	0.277218376664	0.0375486072857	-0.0139252044055	-300.0	0.576500785097	0.572546438087	0.0286056133819	0.573013907103	0.567738410516	0.0188947628246	-0.0693667566599	-300.0	0.306514647806	0.306474869645	0.0253847247156	0.302180370617	0.30205346427	0.0215205065877	-0.174605238564	-300.0
EGR1	-0.7124214333	8.4510034444	7.7385820111	0.0753747466394	0.0669691843269	0.0395618598674	0.0949572200559	0.0857886051346	0.0463909754744	0.0446989352501	-300.0	0.496822656906	0.500376968955	0.0399074213996	0.377537837114	0.383070256346	0.0321473897559	-0.311855863714	-300.0	0.506421151776	0.50356286634	0.0214820128068	0.499665973546	0.49583044014	0.0192884294194	-0.0998113271339	-300.0	0.341780205613	0.341543930215	0.0206466946621	0.336999846942	0.336885279307	0.0194904069728	-0.222268122719	-300.0
SOX5	-0.6926883222	3.8766035556	3.1839152333	0.0444421484718	0.0329015412998	0.065526028021	0.0249382485486	0.0233968927876	0.0128885326958	-0.160305308072	-31.1365319816	0.342556337134	0.347794449184	0.0362834879715	0.278338955457	0.284663945156	0.0334217839295	-0.0978436313187	-135.758269417	0.53981126842	0.541371604576	0.0261138547278	0.529256134277	0.532407063229	0.0154810556775	-0.232208574685	-300.0	0.327963908867	0.327718627157	0.0145633192815	0.32256625002	0.322960806252	0.0126768937733	-0.31573246768	-300.0
REST	-0.6212560778	8.5147308333	7.8934747556	0.114571997261	0.102225871147	0.0554238676335	0.0891978691001	0.0784359633328	0.0537858749291	-0.0128804586935	-87.6568315514	0.34121832968	0.346236943664	0.0425848695982	0.278348307006	0.285857154375	0.0353440627428	-0.00400092431498	-300.0	0.555442943459	0.555531985378	0.0262624683159	0.54900764081	0.548604162834	0.0234180775546	-0.03729879013	-300.0	0.331794964054	0.331885674873	0.0149651966271	0.327815036222	0.327810195788	0.0148874228372	-0.1793904763	-300.0
ERG	-0.5708799333	3.9203937778	3.3495138444	0.115516089025	0.104616553871	0.0539359595758	0.0902073097321	0.081470031546	0.0529699024621	-0.00719784883312	-141.724889313	0.494750391128	0.498288964888	0.0318482108802	0.385377861068	0.389905141451	0.0292988573421	-0.32604455782	-300.0	0.451593339675	0.450907602633	0.0216583627612	0.447505018123	0.445594403384	0.0153061865222	-0.0786162629774	-300.0	0.308888787378	0.308825013021	0.014073620574	0.305134233355	0.30511618653	0.0132168395404	-0.189272116597	-300.0
NKX3-1	-0.5650047333	5.3454291667	4.7804244333	0.125872521119	0.101535003345	0.0885011070916	0.0830956771197	0.074734313349	0.0479005735767	-0.132217089263	-15.1205544286	0.243655911994	0.251008501996	0.0353922839592	0.293293733318	0.299000241822	0.0419459028102	0.0777849092112	-55.7957670135	0.521017421044	0.522040441391	0.0283472732237	0.513024244019	0.51593091899	0.0153071902498	-0.203785721354	-300.0	0.291881960379	0.292108503735	0.0117148297375	0.288691029954	0.288689911409	0.00908087324111	-0.222265333585	-300.0
TP53	-0.5304638611	9.9692148611	9.438751	0.0791713342145	0.0679572880604	0.0534371989504	0.0981722446647	0.0890881354571	0.0591132260001	0.0224801203341	-20.9134422716	0.330894477346	0.336784951376	0.0430169292889	0.266772587573	0.2741785619	0.0387847274592	-0.000728643359318	-188.361012771	0.49433801546	0.495294244004	0.0260914864055	0.488493498429	0.489731289189	0.0195380590378	-0.0546369600246	-300.0	0.296095361107	0.295984062327	0.0171863622433	0.292843080715	0.292635506678	0.0144913629323	-0.146054840968	-300.0
KLF4	-0.5264230167	4.3891591111	3.8627360944	0.0485430487262	0.043824245902	0.0241074448958	0.0601463664896	0.0552823285513	0.0286789909928	0.102252619591	-292.971932839	0.494620221896	0.498161129449	0.0421602975869	0.371881332044	0.376602093296	0.0345873145617	-0.289939318115	-300.0	0.526873953686	0.523294023526	0.0227187705239	0.521777810835	0.517091288755	0.0195106094045	-0.0761733435575	-300.0	0.331466597755	0.331062210458	0.0221692815621	0.327959108309	0.327634511545	0.021738476083	-0.152474826903	-300.0
HLTF	-0.5141725	8.3729281667	7.8587556667	0.0480910356123	0.0424247183124	0.0272893257482	0.0583787773085	0.0530659335492	0.0274393987849	0.0343056390774	-62.8151462215	0.511166293708	0.51624914455	0.0349622113509	0.39255235873	0.397890030811	0.030457537074	-0.331097970367	-300.0	0.570068448014	0.569008214593	0.0232850103275	0.563471719612	0.562743927467	0.0206176449463	-0.050542107019	-300.0	0.310352466518	0.310187965803	0.0149464919834	0.306783035273	0.306705020158	0.014393507082	-0.150609555871	-300.0
CEBPB	-0.5116559222	6.3966905556	5.8850346333	0.0468664442156	0.037594401769	0.0747314355375	0.0311060126863	0.0288032467325	0.0166734853742	-0.0510448619591	-21.4166884313	0.388688085779	0.394404911333	0.0457320237982	0.315656082039	0.3241844334	0.0343734253039	-0.110659987609	-199.446413968	0.519411733079	0.519838438386	0.0210592021111	0.513130049835	0.514133335808	0.0148276821532	-0.152033870345	-300.0	0.3036475404	0.303412062974	0.011780969644	0.300557784197	0.300295116484	0.0115082316351	-0.157066072114	-300.0
MAFB	-0.3975071222	5.0393535	4.6418463778	0.090434894027	0.0799810089628	0.0685363769306	0.119156051339	0.103429453127	0.0831854562086	0.0140806028861	-42.1919834445	0.360396028981	0.36592174115	0.0417107765261	0.286703918069	0.294290607847	0.0363418312575	-0.0754729236927	-300.0	0.410298429369	0.408090366443	0.0189287933906	0.411508727319	0.41196882038	0.0243033630568	0.0277087304305	-300.0	0.315097293714	0.315344385117	0.0159568413281	0.312014992938	0.312260686111	0.0155109369184	-0.120612100377	-300.0
E2F1	-0.3927608556	7.4081001111	7.0153392556	0.0818511675714	0.071206479507	0.0422382635431	0.102494523755	0.0904743321669	0.0512690907936	0.0231052157602	-159.385930642	0.492706636311	0.495761078662	0.0412164263214	0.377280988875	0.382848783819	0.0310011450276	-0.289962455442	-300.0	0.416879477168	0.413911139114	0.0202942367554	0.421647313591	0.419644996857	0.0223447894316	0.0113806516177	-300.0	0.344393271037	0.344426403025	0.0227713294073	0.341672579788	0.341278851906	0.01845198112	-0.108614467327	-300.0
GFI1B	-0.3699532556	5.525732	5.1557787444	0.057077875852	0.0500585313661	0.0324875404264	0.0433898671687	0.0389305796997	0.0266290568079	-0.0435926775708	-48.3657573371	0.35692313659	0.363015381226	0.0433686238096	0.286341830528	0.295136082576	0.0379106980393	-0.0589055977	-300.0	0.453351516727	0.453837160831	0.0150824547468	0.449461424057	0.449735639782	0.00958206746114	-0.143610644569	-300.0	0.348647545878	0.348572091775	0.0158931378885	0.344531778437	0.345023065166	0.0123107786797	-0.193136367961	-300.0
INSM1	-0.3575675111	6.7003285	6.3427609889	0.0444087981676	0.0387395313202	0.0230812106847	0.0596722622574	0.0498414349008	0.0445458196436	0.0414439046422	-94.492543103	0.380463547676	0.38628881099	0.0457320055995	0.29803109504	0.306801174219	0.0362597266102	-0.106499071479	-300.0	0.472351465622	0.472416875324	0.0184212448268	0.468553056182	0.468227523139	0.016895927634	-0.010991989452	-300.0	0.297016209376	0.296799899769	0.0161725735115	0.294692944976	0.29449414713	0.0141700913475	-0.0697949462016	-300.0
TCF12	-0.3528880278	8.6383393611	8.2854513333	0.0977867627257	0.0857981177041	0.0448156979241	0.0761041677704	0.0664985865437	0.0418930257146	-0.0700221401377	-96.9335269173	0.365743249791	0.370562237605	0.0374571395661	0.296405804694	0.30198594249	0.0344541653094	-0.0830487384748	-300.0	0.628763077636	0.627807883287	0.0180117360931	0.622619562884	0.622280749552	0.0149651527751	-0.104014998124	-300.0	0.318891283782	0.318708095911	0.0121729003307	0.316113956783	0.315980321344	0.0121578684283	-0.134939837752	-300.0
MECOM	-0.3505778778	2.913285	2.5627071222	0.0933468399264	0.0735319614222	0.0744296789172	0.0687350439403	0.0565544561251	0.0511112935306	-0.0498733121805	-21.3091474715	0.254984173921	0.259789736941	0.0345222643484	0.30783817174	0.313973033551	0.0385084769235	0.034247681323	-99.7088344083	0.52300784794	0.524105141282	0.0229494859861	0.517942185079	0.519507565714	0.0147582027302	-0.13857555654	-300.0	0.298988437399	0.298509464854	0.0149861180764	0.295768002223	0.295825565928	0.014496875049	-0.172398902042	-300.0
FOXO1	-0.3458356944	8.8310241667	8.4851884722	0.15641982717	0.133701393847	0.0882668536261	0.109804742851	0.0996214070486	0.0535307581738	-0.0739900954716	-52.7407602238	0.341764624362	0.347421731623	0.0376852733215	0.278947875157	0.284462714738	0.0347180991492	-0.0292852307852	-299.999938953	0.518144857815	0.519689086229	0.0256797389712	0.512266266164	0.51497780448	0.0158937426506	-0.131811132397	-300.0	0.313769876211	0.313709879912	0.0137437348124	0.310985238031	0.310978306903	0.0136128115173	-0.138187187038	-300.0
HINFP	-0.3446163778	7.6395064444	7.2948900667	0.134553430397	0.123136715499	0.0547575692182	0.102317872708	0.0924191319711	0.0444533341916	-0.0272142209167	-17.2060868612	0.361150304317	0.363784114239	0.0429800213675	0.277755493525	0.278556594091	0.0381743999084	-0.0781869899182	-94.111028588	0.41677867574	0.411090691268	0.0352911797866	0.41732536417	0.413117113529	0.0464803062436	0.116778031544	-13.1245601539	0.308533003618	0.308732645856	0.0288074390006	0.306679473309	0.306507379701	0.0196393040494	-0.011518256296	-31.3012699018
MEIS1	-0.3283718889	2.8871627778	2.5587908889	0.0468104103645	0.0405009432843	0.0395747945882	0.0363275908211	0.0315078939226	0.0214860904559	-0.0420948357401	-102.176944347	0.364902484013	0.369839180467	0.0383305704114	0.295640625189	0.301659569162	0.0345506697168	-0.0758557008725	-300.0	0.624279485507	0.623694290849	0.0177202936638	0.618490667507	0.618412710473	0.0149402225403	-0.0925475752298	-300.0	0.306609997404	0.306544680572	0.0125841667732	0.304011539761	0.303948792822	0.0119085306443	-0.111674525999	-300.0
