FACTOR	PEARSON	PVALUE	PEARSON_MOTIFLEN	PVALUE_MOTIFLEN
ARID3A	0.54346351481	5.1386977104e-09	0.749431114194	7.98622277749e-07
ATF3	0.521894255686	2.57171887293e-08	0.807339263798	2.69697436516e-09
BHLHE40	0.504818481024	8.51853392484e-08	0.701026552703	4.71377447877e-07
BRCA1	0.289009860721	0.00354248352382	0.300135996346	0.0951161486489
CEBPB	0.929486130643	3.07885399537e-44	0.974816553249	2.2693352576e-26
CTCF	0.792378705934	9.2924518409e-23	0.879460867704	4.74929141186e-19
ELF1	0.651729847642	2.08142714271e-13	0.790277566879	1.77856083342e-10
GABP	0.729380118543	7.59943673531e-18	0.855078912477	2.15606425653e-12
JUN	0.706729392776	2.10834958156e-16	0.841870123428	8.09556528367e-13
JUND	0.904921958628	3.86870775959e-38	0.955912037743	8.04400001515e-22
MAFF	0.860355447208	1.92932957217e-30	0.913699396476	9.00268098848e-23
MAFK	0.770485822946	7.10765680683e-21	0.812823183317	2.27847181309e-12
MAX	0.825657511174	4.2142379287e-26	0.913178185785	2.15674728687e-16
MYC	0.72420370197	1.67177429476e-17	0.8626960364	8.28612661468e-13
NRF1	0.0233082386224	0.817949397606	0.111198599452	0.494541215176
P300	0.764000792461	2.34496723796e-20	0.841490432331	6.91304563683e-14
RAD21	0.789498219489	1.69295800304e-22	0.8797250836	4.49181274028e-19
REST	0.830788949352	1.11194501287e-26	0.873469292932	8.81693942948e-20
RXRA	0.667125543954	3.49898600855e-14	0.767025704976	7.82604065993e-09
SP1	0.683450815281	4.68951869182e-15	0.703162315177	4.20110601955e-07
SP2	0.381391665765	9.0395732674e-05	0.237296155518	0.104378033157
SRF	0.514077314903	4.48617751047e-08	0.54854899753	1.20359485229e-05
TBP	0.386807217924	7.02798695824e-05	0.547030577131	5.74250102977e-05
USF1	0.596099264934	6.02193567038e-11	0.817583141817	1.20795091854e-10
USF2	0.622762228153	4.58058714202e-12	0.870481232615	2.93399230056e-13
YY1	0.439851412715	4.67508162289e-06	0.470151379768	0.00128080278041
