FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
ARID3A	0.804489951189	0.993124048953	0.327511623008	0.470470112324	0.996637516799	0.996926568873	0.996826901095
ATF1	0.572760525111	0.978580609586	0.76283298698	0.715285601817	0.988706682253	0.990074896647	0.989594042052
ATF3	0.708001126681	0.99617255721	0.829817005333	0.935450442276	0.998499641204	0.998733120081	0.998699943686
BACH1	0.550693934733	0.940574078093	0.803810522007	0.653738402297	0.958120415544	0.961354624226	0.960139065624
BHLHE40	0.352206872029	0.931357267605	0.542492282219	0.64557434016	0.948727921825	0.950420842481	0.949495501282
CCNT2	0.37293172437	0.994181181964	0.490724575524	0.74135340872	0.998468485067	0.998830341801	0.998767029329
CEBPB	0.797313303732	0.860190967111	0.536109605197	0.703369221968	0.885739474252	0.895321911685	0.891768204286
CTCF	0.307857401676	0.944827983964	0.800847461704	0.829693489191	0.968578940613	0.970161886205	0.969273873106
CTCFL	0.271118596715	0.945716487811	0.816963545947	0.815073075055	0.969380874114	0.971173387458	0.970151228593
E2F4	0.542605229396	0.974290326276	0.581241432212	0.570974394154	0.99101714669	0.993453806952	0.992712144528
E2F6	0.75974721118	0.969886688541	0.591916144742	0.649808325449	0.984343335409	0.986566047966	0.985842238404
EFOS	0.819449210413	0.973552622635	0.621664228452	0.650662629405	0.98740586166	0.98994828996	0.989131263909
EGATA	0.342886712932	0.981064070193	0.740346307535	0.570144355051	0.989424152616	0.990005743698	0.989790350855
EGR1	0.589907143569	0.91901166223	0.605202704643	0.693521035121	0.944054152698	0.949022810416	0.947040438386
EJUNB	0.79636508823	0.975755923331	0.646609577101	0.686758562061	0.989241567935	0.991596956454	0.990847850415
EJUND	0.790771933707	0.975975480446	0.635827666207	0.677792394698	0.988635482776	0.990882682088	0.990164824389
ELF1	0.451732801329	0.953944740214	0.399917069983	0.682125638076	0.968127416501	0.969932249012	0.969144473387
ELK1	0.833080607504	0.985035775351	0.373313713595	0.618790604857	0.996695464832	0.997392980605	0.997264473509
ETS1	0.741140241619	0.993327456906	0.367120405695	0.592083512729	0.998229358732	0.998718476777	0.998628756972
FOS	0.813434556814	0.98888058278	0.660735758852	0.639535005891	0.996590750849	0.997473011207	0.997282832554
FOSL1	0.820990733128	0.979584499689	0.601782007309	0.676209158065	0.991388393671	0.993339212308	0.992761570885
GABP	0.501515517965	0.959244719927	0.531421344676	0.691677465006	0.973101670259	0.974940223675	0.974313842676
GATA1	0.286378844901	0.993706273271	0.693143526333	0.623493903262	0.996801343368	0.997233094451	0.997146543869
GATA2	0.353671397066	0.982532919087	0.741850477754	0.56575532419	0.989045890109	0.98973288194	0.989471042549
IRF1	0.88351372027	0.911900598495	0.543119783253	0.789901612523	0.932604424624	0.939577025652	0.937121148286
JUN	0.639736811	0.992612057641	0.758328607056	0.639698351009	0.998004224834	0.998439513787	0.998334321595
JUND	0.800851548532	0.973975356987	0.610195950966	0.668382220813	0.987134002181	0.989567992499	0.98879411104
MAFF	0.646558253301	0.769740555868	0.57408584122	0.780620967314	0.798841551505	0.808348251818	0.804508077355
MAFK	0.64867606711	0.788612682458	0.58484583858	0.755792622803	0.815681645258	0.824408515693	0.820896248895
MAX	0.833882366455	0.981491599273	0.514106117409	0.473245268447	0.990210664275	0.991710153505	0.991202318416
MEF2A	0.628077659486	0.982437572238	0.489921689144	0.736526736564	0.988652996889	0.989513908474	0.989185619305
MYC	0.719320467948	0.995234494367	0.549839823866	0.534566000675	0.998610085031	0.998850630538	0.998791817355
