FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN
BRCA1	0.524652670838	0.50635567523	0.0577711471751	0.0	0.830082720811	0.855711617301	0.846068942095
CEBPB	0.780834642694	0.0920800336393	0.0389508161761	0.00726271790452	0.294454731195	0.296412138755	0.29678795175
CTCF	0.208417231085	0.403059984488	0.200466960037	0.390096047638	0.663628120043	0.683176689179	0.690329921167
E2F4	0.589728584283	0.758692223366	0.192250596912	0.159935637476	0.889112856193	0.911427890081	0.926321785997
E2F6	0.703452160018	0.7417925768	0.0826696129002	0.117037702459	0.962230080057	0.96596002198	0.965960824728
ELK1	0.354484864291	0.829550921756	0.177864783225	0.0543389011356	0.961733432596	0.974404485116	0.977162996251
FOS	0.449782798962	0.467323248226	0.20222269502	0.0226695472799	0.845817726339	0.85823393825	0.87568737906
GABP	0.405741792188	0.814034694806	0.172585019077	0.194049984455	0.943611910255	0.952534964229	0.955430506892
JUN	0.54198796637	0.134453064378	0.0945794535306	0.0077304652766	0.56330447626	0.588870690172	0.585491993952
JUND	0.485269302511	0.260942149754	0.116726546339	0.0230786803423	0.627964289891	0.639726361155	0.662557497171
MAFK	0.690486258961	0.0718112497412	0.0259491923927	0.0459387903244	0.219822035036	0.223747072911	0.22305033749
MAX	0.497657931919	0.446380183113	0.0570760466702	0.00140414968719	0.794162689064	0.807651083406	0.803793427623
MYC	0.466348528368	0.533525546666	0.0473526051445	0.00215146975035	0.893602010688	0.905976837021	0.899651007202
NFYA	0.801940692214	0.416345230231	0.0335273851443	0.00186532128344	0.799742850852	0.80915425369	0.809208451403
NFYB	0.876793366748	0.216573986586	0.0221828714819	0.0105176350315	0.54544686256	0.547092489041	0.548956830186
NRF1	-0.0235383217217	0.857040696172	0.644930623628	0.620350888135	0.812744714256	0.948652549812	0.938132545011
RAD21	0.201093133584	0.453712591999	0.232020626375	0.40717737372	0.67612674291	0.708904286162	0.70712316739
REST	0.410442566066	0.167914084578	0.134032763505	0.588481689881	0.346918793407	0.351978542137	0.366914913594
STAT1	0.753382738153	0.111972389461	0.0307259718608	0.00874542456984	0.371477414361	0.376967268159	0.375296055345
USF2	0.305731279981	0.291200921625	0.0963254227967	0.0174903019579	0.605330681607	0.618543249179	0.61805792632
ZNF143	0.693382266987	0.626770238776	0.101563580482	0.114721401445	0.875499942063	0.887424436327	0.892686501751
