FACTOR	PEARSON	TC	FOS	PWM	HMMD	HMMD_BC	HMMD_BCN	BOYLE	NEPH	CUELLAR	PIQUE
ARID3A	0.80716421887	0.17422907787	0.0606332453826	0.0	0.609781476219	0.616706582775	0.620880860564	0.502047222786	0.455952912523	0.0	0.0337987957513
ATF1	0.687256109933	0.175600361461	0.06414259958	0.0236954152364	0.542605182397	0.581161390024	0.57655872796	0.497480031606	0.42747460387	0.0237608973081	0.0579981985154
ATF3	0.612195738469	0.238997456868	0.213768134708	0.00413323734002	0.769895736757	0.873496004019	0.866700506037	0.733898243633	0.738228301799	0.00897088605628	0.0902268101042
BACH1	0.461480034821	0.100093209384	0.0349583659905	0.00677428157765	0.430258490027	0.465391835672	0.464898645095	0.346602946929	0.313347118434	0.00677428157765	0.0303793277776
BHLHE40	0.563904607907	0.139796306506	0.0178947842103	0.00587884352178	0.379815263031	0.399650416545	0.390149937113	0.298031640246	0.288271916607	0.00653289741061	0.063360020015
CCNT2	0.620201438553	0.284660565022	0.0214352682069	0.0218214121637	0.726009469619	0.753987524662	0.756320433166	0.644140265455	0.594067235043	0.0218917417071	0.0673658082897
CEBPB	0.837443979326	0.0254363830688	0.0040215748754	0.00777301195322	0.112456642233	0.114852384159	0.114528868954	0.0839438740127	0.0734462086729	0.00793073861915	0.0139954784589
CTCF	0.226450856972	0.0278491774437	0.0440207887215	0.139235141187	0.472157777599	0.493753538745	0.499191471354	0.307495949422	0.287485996854	0.139293152123	0.0650392715033
CTCFL	0.196114634764	0.506922892084	0.151423063658	0.260443859157	0.789241318792	0.857111426158	0.849809621633	0.697210547377	0.741982989564	0.260681301252	0.352607369297
E2F4	0.518568752189	0.780715552314	0.0697137931873	0.0975020474868	0.799779138828	0.936011726524	0.920203428983	0.899239645931	0.865418988756	0.105678175737	0.416360541773
E2F6	0.625726742361	0.198115301443	0.00427770295274	0.0304936292654	0.699677023565	0.739181379132	0.731860036689	0.568842044662	0.564686732712	0.0310825611868	0.106764985606
EFOS	0.755693271069	0.143323860203	0.00658716542282	0.00162544897911	0.507152199539	0.531902873059	0.525953551928	0.389723167906	0.377666278074	0.00201095255125	0.0399751623955
EGATA	0.796900563532	0.179081250967	0.0126030559163	0.00261439648807	0.553519282132	0.574634289085	0.574277921065	0.465173498107	0.421898182832	0.00271538984039	0.0439957165909
EGR1	0.763513484225	0.36912186057	0.0321956583346	0.105205712723	0.622322390799	0.660553392177	0.706115395827	0.555184262091	0.540004678024	0.105802528491	0.333289875765
EJUNB	0.69021680169	0.120741038384	0.00548618179115	0.00728108075886	0.49052065648	0.518611217208	0.510780690347	0.389070467603	0.351159790495	0.00759396183315	0.0446022035247
