XXXXX	HINTBC	DNase2TF_TC	PIQ_90	Wellington_TC	Neph	Boyle	BinDNase_80	Centipede_90	FLR_90	Centipede_99	Cuellar_90	TC	PWM	FS
HINTBC	XXXXX	3.9295e-16	3.9295e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.356e-16	3.7967e-16
DNase2TF_TC	3.9295e-16	XXXXX	1.7692e-14	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	5.729e-16	3.7967e-16
PIQ_90	3.9295e-16	1.7692e-14	XXXXX	1.5067e-09	7.5887e-09	2.1289e-11	2.3749e-10	1.6941e-13	4.7708e-15	1.6941e-13	5.5365e-16	6.3472e-16	5.5365e-16	3.7967e-16
Wellington_TC	3.7967e-16	3.7967e-16	1.5067e-09	XXXXX	4.6732e-05	8.355e-15	2.5807e-09	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	7.031e-16	3.7967e-16
Neph	3.7967e-16	3.7967e-16	7.5887e-09	4.6732e-05	XXXXX	0.003242	0.0021504	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	7.7873e-16	3.7967e-16
Boyle	3.7967e-16	3.7967e-16	2.1289e-11	8.355e-15	0.003242	XXXXX	0.24149	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	8.0567e-16	3.7967e-16
BinDNase_80	3.7967e-16	3.7967e-16	2.3749e-10	2.5807e-09	0.0021504	0.24149	XXXXX	3.7967e-16	3.9295e-16	3.7967e-16	3.9295e-16	3.7967e-16	1.057e-15	3.7967e-16
Centipede_90	3.7967e-16	3.7967e-16	1.6941e-13	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	XXXXX	2.8675e-10	NaN	1.4328e-15	3.7967e-16	6.0125e-15	4.0669e-16
FLR_90	3.7967e-16	3.7967e-16	4.7708e-15	3.7967e-16	3.7967e-16	3.7967e-16	3.9295e-16	2.8675e-10	XXXXX	2.8675e-10	1.7631e-10	4.0907e-15	1.0857e-14	4.209e-16
Centipede_99	3.7967e-16	3.7967e-16	1.6941e-13	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	NaN	2.8675e-10	XXXXX	1.4328e-15	3.7967e-16	6.0125e-15	4.0669e-16
Cuellar_90	3.7967e-16	3.7967e-16	5.5365e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.9295e-16	1.4328e-15	1.7631e-10	1.4328e-15	XXXXX	0.015213	1.8032e-13	1.17e-15
TC	3.7967e-16	3.7967e-16	6.3472e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.0907e-15	3.7967e-16	0.015213	XXXXX	6.1914e-13	1.2949e-15
PWM	4.356e-16	5.729e-16	5.5365e-16	7.031e-16	7.7873e-16	8.0567e-16	1.057e-15	6.0125e-15	1.0857e-14	6.0125e-15	1.8032e-13	6.1914e-13	XXXXX	0.015363
FS	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	4.0669e-16	4.209e-16	4.0669e-16	1.17e-15	1.2949e-15	0.015363	XXXXX
