XXXXX	HINTBC	DNase2TF_TC	PIQ_90	Wellington_TC	Neph	Boyle	BinDNase_80	Centipede_90	FLR_90	Centipede_99	Cuellar_90	TC	PWM	FS
HINTBC	XXXXX	3.9295e-16	2.4608e-13	3.7967e-16	3.7967e-16	3.7967e-16	4.6653e-16	3.7967e-16	3.7967e-16	3.7967e-16	1.8724e-08	3.7967e-16	4.508e-16	3.7967e-16
DNase2TF_TC	3.9295e-16	XXXXX	9.8116e-12	3.7967e-16	8.9215e-16	3.7967e-16	3.0627e-14	1.159e-14	3.7967e-16	2.8028e-15	3.1279e-06	3.7967e-16	5.1703e-16	3.7967e-16
PIQ_90	2.4608e-13	9.8116e-12	XXXXX	0.020134	0.14133	7.141e-05	3.5303e-06	2.0954e-07	9.2712e-08	1.3357e-07	0.02615	5.9216e-09	5.3503e-16	3.7967e-16
Wellington_TC	3.7967e-16	3.7967e-16	0.020134	XXXXX	0.29343	1.0508e-14	5.3255e-12	5.4464e-14	6.2141e-15	3.4823e-14	5.2004e-05	3.7967e-16	5.5365e-16	3.7967e-16
Neph	3.7967e-16	8.9215e-16	0.14133	0.29343	XXXXX	0.00085322	1.5111e-11	5.4464e-14	1.3205e-14	4.3568e-14	5.3883e-05	3.7967e-16	5.5365e-16	3.7967e-16
Boyle	3.7967e-16	3.7967e-16	7.141e-05	1.0508e-14	0.00085322	XXXXX	1.5813e-10	5.4464e-14	2.2191e-14	3.8337e-14	7.0173e-05	3.7967e-16	5.5365e-16	3.7967e-16
BinDNase_80	4.6653e-16	3.0627e-14	3.5303e-06	5.3255e-12	1.5111e-11	1.5813e-10	XXXXX	3.7967e-16	0.057508	3.7967e-16	0.0051392	7.6075e-07	7.2747e-16	3.7967e-16
Centipede_90	3.7967e-16	1.159e-14	2.0954e-07	5.4464e-14	5.4464e-14	5.4464e-14	3.7967e-16	XXXXX	2.1428e-07	5.556e-16	0.044684	0.00013251	8.0567e-16	3.7967e-16
FLR_90	3.7967e-16	3.7967e-16	9.2712e-08	6.2141e-15	1.3205e-14	2.2191e-14	0.057508	2.1428e-07	XXXXX	8.0721e-10	0.0005242	1.2396e-14	6.3472e-16	3.7967e-16
Centipede_99	3.7967e-16	2.8028e-15	1.3357e-07	3.4823e-14	4.3568e-14	3.8337e-14	3.7967e-16	5.556e-16	8.0721e-10	XXXXX	0.16398	0.013531	8.9215e-16	3.7967e-16
Cuellar_90	1.8724e-08	3.1279e-06	0.02615	5.2004e-05	5.3883e-05	7.0173e-05	0.0051392	0.044684	0.0005242	0.16398	XXXXX	0.47837	3.7967e-16	3.7967e-16
TC	3.7967e-16	3.7967e-16	5.9216e-09	3.7967e-16	3.7967e-16	3.7967e-16	7.6075e-07	0.00013251	1.2396e-14	0.013531	0.47837	XXXXX	8.0567e-16	3.7967e-16
PWM	4.508e-16	5.1703e-16	5.3503e-16	5.5365e-16	5.5365e-16	5.5365e-16	7.2747e-16	8.0567e-16	6.3472e-16	8.9215e-16	3.7967e-16	8.0567e-16	XXXXX	2.6718e-11
FS	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	3.7967e-16	2.6718e-11	XXXXX
