P53_F	P53_R
0.961595273264	1.04800590842
0.663958641064	1.08493353028
0.68611521418	1.15361890694
0.914327917282	1.16765140325
1.19867060561	1.2717872969
1.39143279173	1.25627769572
1.13589364845	1.28803545052
1.09822747415	1.158788774
1.17503692762	0.960856720827
1.63146233383	1.01698670606
1.2341211226	1.04135893648
1.04209748892	1.15509601182
1.10192023634	1.08124076809
1.01107828656	1.02658788774
1.16395864106	1.05908419498
1.18611521418	1.0317577548
1.31757754801	1.01255539143
1.25627769572	0.996307237814
0.983013293944	0.854505169867
0.652141802068	1.17799113737
1.5435745938	1.20531757755
1.43426883309	0.534711964549
0.717872968981	0.80576070901
0.641802067947	1.73042836041
0.957163958641	1.76218611521
1.37223042836	1.41875923191
1.49113737075	1.03988183161
1.47710487445	0.684638109306
0.80059084195	0.855243722304
0.68094534712	1.71491875923
1.20310192024	1.33308714919
1.21713441654	0.65435745938
0.788774002954	0.92023633678
0.992614475628	1.20974889217
1.00369276219	1.29320531758
1.09379615953	1.16617429838
1.05686853767	1.14623338257
1.02880354505	1.10044313146
1.04652880355	1.31831610044
1.07311669129	1.10413589365
1.02289512555	1.43870014771
1.09601181684	1.57016248154
1.13146233383	1.13441654357
0.969719350074	1.09379615953
1.13072378139	1.24446085672
1.28508124077	1.22895125554
1.18316100443	1.18980797637
1.12924667651	1.09822747415
1.37518463811	0.959379615953
1.21713441654	0.909158050222
