BRCA1	0.524652670838	0.003286168547	0.2982	0.2945	0.2156	0.1916	0.5965	0.5927	0.5138	0.4899	0.589	0.5101	0.4862	0.4312	0.4073
CEBPB	0.780834642694	0.031157852667	0.2872	0.2161	0.193	0.3037	0.5744	0.5032	0.4802	0.5909	0.4321	0.4091	0.5198	0.386	0.4968
CTCF	0.208417231085	0.012937194118	0.2366	0.2654	0.2872	0.2108	0.4732	0.502	0.5238	0.4474	0.5308	0.5526	0.4762	0.5744	0.498
E2F4	0.589728584283	0.066789537073	0.1867	0.2721	0.412	0.1291	0.3735	0.4588	0.5988	0.3159	0.5442	0.6841	0.4012	0.824	0.5412
E2F6	0.703452160018	0.002466908719	0.1963	0.2542	0.4291	0.1204	0.3926	0.4505	0.6254	0.3167	0.5085	0.6833	0.3746	0.8582	0.5495
ELK1	0.354484864291	0.009673669734	0.2004	0.3077	0.346	0.1459	0.4009	0.5082	0.5464	0.3463	0.6154	0.6537	0.4536	0.6919	0.4918
FOS	0.449782798962	0.011541825127	0.2643	0.2313	0.2317	0.2727	0.5285	0.4956	0.496	0.537	0.4626	0.463	0.504	0.4634	0.5044
GABP	0.405741792188	0.007234915252	0.1994	0.3002	0.3545	0.1458	0.3989	0.4997	0.554	0.3452	0.6005	0.6548	0.446	0.7091	0.5003
JUN	0.54198796637	0.011502899595	0.2839	0.2073	0.2355	0.2733	0.5678	0.4912	0.5194	0.5572	0.4146	0.4428	0.4806	0.471	0.5088
JUND	0.485269302511	0.017505800946	0.2772	0.2207	0.224	0.2781	0.5543	0.4978	0.5012	0.5553	0.4413	0.4447	0.4988	0.4481	0.5022
MAFK	0.690486258961	0.02161147195	0.3091	0.2054	0.1843	0.3012	0.6182	0.5145	0.4934	0.6103	0.4108	0.3897	0.5066	0.3686	0.4855
MAX	0.497657931919	0.004721382275	0.2423	0.2604	0.282	0.2153	0.4845	0.5027	0.5242	0.4576	0.5209	0.5424	0.4758	0.564	0.4973
MYC	0.466348528368	0.001595318732	0.1889	0.3086	0.293	0.2094	0.3778	0.4975	0.4819	0.3983	0.6172	0.6017	0.5181	0.5861	0.5025
NFYA	0.801940692214	0.005987710605	0.1741	0.295	0.3026	0.2283	0.3482	0.4691	0.4767	0.4024	0.59	0.5976	0.5233	0.6053	0.5309
NFYB	0.876793366748	0.015000963273	0.2582	0.2739	0.2736	0.1944	0.5164	0.532	0.5318	0.4526	0.5477	0.5474	0.4682	0.5472	0.468
NRF1	-0.0235383217217	0.017750337376	0.1399	0.3644	0.3634	0.1323	0.2799	0.5043	0.5033	0.2722	0.7288	0.7278	0.4967	0.7267	0.4957
RAD21	0.201093133584	0.021000606963	0.2476	0.2566	0.2733	0.2225	0.4953	0.5042	0.521	0.4701	0.5132	0.5299	0.479	0.5466	0.4958
REST	0.410442566066	0.0172061921	0.2515	0.2853	0.266	0.1972	0.503	0.5368	0.5175	0.4487	0.5706	0.5513	0.4825	0.5321	0.4632
STAT1	0.753382738153	0.024735983298	0.2608	0.2298	0.2498	0.2596	0.5217	0.4906	0.5106	0.5205	0.4595	0.4795	0.4894	0.4996	0.5094
USF2	0.305731279981	0.005774491331	0.2262	0.2695	0.2721	0.2322	0.4524	0.4957	0.4983	0.4584	0.5389	0.5416	0.5017	0.5442	0.5043
ZNF143	0.693382266987	0.006764042286	0.2085	0.351	0.2516	0.1889	0.417	0.5596	0.4601	0.3974	0.7021	0.6026	0.5399	0.5031	0.4404
