METHOD_NAME,METHOD_PVALUE_THRESHOLD,METHOD_RANK_TYPE,FLREXP_GM12878_K562_FLR,FLREXP_GM12878_K562_FS,FLREXP_GM12878_K562_TC,FLREXP_H1hesc_GM12878_FLR,FLREXP_H1hesc_GM12878_FS,FLREXP_H1hesc_GM12878_TC,FLREXP_H1hesc_K562_FLR,FLREXP_H1hesc_K562_FS,FLREXP_H1hesc_K562_TC,FLREXP_JOINT_FLR,FLREXP_JOINT_FS,FLREXP_JOINT_TC,MEDIAN_AUC_1,MEDIAN_AUC_10,MEDIAN_AUC_100,MEDIAN_AUPR_100
FS,NA,FS,0.4055451591,0.1213024065,0.1788223514,0.4685766112,0.1807963164,-0.1600840474,0.6596982829,-0.5397091172,0.018771135,0.4586979419,0.0490653446,0.0105413387,0.040469085,0.1669119927,0.5847465949,0.0190108869
HINT,NA,TC,0.8887315736,0.7615606225,0.5299254736,0.8696321284,0.7927870252,0.4006410256,0.9381053219,0.9047941495,0.3732353327,0.840117305,0.7776831732,0.393975162,0.7328200049,0.8881918799,0.9803441033,0.6164844698
HINTBC,NA,TC,0.8930242293,0.8728413605,0.7005195509,0.9021717719,0.8528226468,0.8528226468,0.9764673172,0.934288716,0.3998725536,0.8638487249,0.8640582847,0.8191858565,0.7660788863,0.9081445362,0.9838315649,0.6519343903
HINTBCN,NA,TC,0.8920146755,0.839300371,0.6113053613,0.8842173085,0.8505573065,0.5588331856,0.9431777143,0.9326061263,0.3998530812,0.8462394159,0.8519716754,0.459283099,0.7601843612,0.9021286153,0.9831820426,0.6468913456
Neph,NA,TC,0.8818534752,0.7817229719,0.5145646607,0.8416149578,0.7943711218,0.3727633868,0.930775797,0.9139622115,0.3300953741,0.8329978433,0.8075758842,0.398228418,0.6294428631,0.8593597217,0.9773286915,0.5127665731
PIQ,NA,PIQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5201789326,0.8496337385,0.1422104411
PIQ_80,80,TC,0.6460036442,0.6581757444,0.4821070948,0.8092189501,0.725475229,0.2831757444,0.832775206,0.7474022456,0.2968334482,0.7352156646,0.6935983816,0.3055427294,0.4669587624,0.8245331893,0.9697653972,0.3213402287
PIQ_85,85,TC,0.7233576283,0.7065071079,0.5202115959,0.8264224039,0.739292984,0.366065859,0.8788986835,0.8075322565,0.3299394268,0.7727380639,0.7005202578,0.4019293465,0.5715855984,0.8360381571,0.9707632912,0.4416781124
PIQ_90,90,TC,0.7783249614,0.7256927345,0.5380224236,0.8524861289,0.7671418957,0.4325856069,0.9151769592,0.8762968252,0.347462983,0.8042961168,0.7933257136,0.3872650062,0.6364942814,0.8545019209,0.9728634109,0.5650518179
PIQ_95,95,TC,0.7410863784,0.7654100594,0.4948250107,0.8482016809,0.7798680193,0.4282519124,0.9150374274,0.8845661381,0.3416190617,0.8188644001,0.7933082349,0.3534310723,0.6141615849,0.8413208121,0.9711317411,0.5512265848
PIQ_99,99,TC,0.662739256,0.6937809843,0.4865885288,0.8218917233,0.7370974096,0.2907761253,0.8909887061,0.7634360944,0.3066088841,0.731038403,0.7152300427,0.3260252028,0.5715804418,0.822467444,0.9692818748,0.5232687967
PWM,NA,PWM,0.4521528941,0.2395145934,0.1927919498,0.6891230835,0.1302652746,0.0069889031,0.8148823008,0.2798598116,-0.0050149381,0.6735069755,0.2532944343,0.0624815524,0.0509599356,0.2457965911,0.7056540375,0.0288658638
Protection,NA,Protection,0.465404314,0.3752544404,0.203860107,0.7097245478,0.326886142,0.0669875899,0.824780853,0.6747430973,0.0886847894,0.6457211339,0.439094572,0.128108514,0.321522981,0.6769717007,0.8563715264,0.2219872441
TC,NA,TC,0.5755031354,0.6268385371,0.6268385371,0.7763509964,0.6122369415,0.2116041236,0.8288395876,0.6857332808,0.2350249516,0.7013856823,0.6220547981,0.2894427025,0.3510720589,0.7663058251,0.9669050061,0.2286737341
Wellington_TC,NA,TC,0.7582570012,0.7044797925,0.4548614531,0.8410239995,0.767063922,0.281017105,0.9148085488,0.8716717555,0.279609475,0.8064942862,0.7780202844,0.3235201226,0.6364933499,0.857722194,0.9768719618,0.5295828821
Wellington_rank,NA,Wellington,0.7582570012,0.7044797925,0.4548614531,0.8410239995,0.767063922,0.281017105,0.9148085488,0.8716717555,0.279609475,0.8064942862,0.7780202844,0.3235201226,0.4806860684,0.8156018046,0.9729278806,0.3412622844
