FACTOR	SPEARMAN	PVALUE
ARID3A	0.65254674678047	1.89840789924528e-13
ATF1	0.564178110347905	9.79741692351485e-10
ATF3	0.674689541187317	1.40102465399143e-14
BACH1	0.585806095456664	1.53019046190634e-10
BHLHE40	0.522136479323282	2.52718923451972e-08
CCNT2	0.503906390639064	1.38964108589122e-07
CEBPB	0.765003090341348	1.95480288506138e-20
CTCF	0.419042418503905	1.43007586518028e-05
CTCFL	0.389234923492349	7.14738349828143e-05
E2F4	0.524292002078574	2.16207797255158e-08
E2F6	0.62298003589502	4.48066323050541e-12
EFOS	0.693537353735374	0
EGATA	0.540457667142148	6.47563809580675e-09
EGR1	0.462274227422742	1.71658853922108e-06
EJUNB	0.77957395739574	0
EJUND	0.653801380138014	0
ELF1	0.721716171617162	0
ELK1	0.686638723791641	3.11925833845299e-15
ETS1	0.773666650720591	3.9012679241601e-21
FOS	0.710675067506751	0
FOSL1	0.671587158715872	0
GABP	0.72960096009601	0
GATA1	0.539345934593459	1.19903202589297e-08
GATA2	0.552307230723072	4.24840739546823e-09
IRF1	0.845352287813248	1.95965786202921e-28
JUN	0.62146560419242	5.22145012770483e-12
JUND	0.658445844584458	0
MAFF	0.727296729672967	0
MAFK	0.613781060803494	1.12078192637111e-11
MAX	0.716520100720001	5.21618245023294e-17
MEF2A	0.493190798654481	1.85619206779918e-07
MYC	0.60596768635211	2.38638543134805e-11
NFE2	0.604596459645965	0
NFYA	0.682088208820882	0
NFYB	0.793497730269789	7.34195924745579e-23
NR2F2	0.864208198728666	5.39722983335281e-31
NRF1	0.310723072307231	0.00173003621054099
PU1	0.658737826221438	9.36355053146294e-14
RAD21	0.432991299129913	8.43491328761163e-06
REST	0.841135683823606	6.57765289039574e-28
RFX5	0.858259849631074	3.7968904990603e-30
SIX5	0.840398561055571	8.09899894684879e-28
SMC3	0.432595259525953	8.6105624358632e-06
SP1	0.646216621662166	0
SP2	0.574361159201983	4.15669279888603e-10
SRF	0.754778006482275	1.20081581662429e-19
STAT1	0.817714037206282	3.04895937231746e-25
STAT2	0.780119713854867	1.12059056749951e-21
STAT5A	0.868754875487549	0
TAL1	0.508202820282028	1.05183823635906e-07
TBP	0.832281700079315	7.48349754709696e-27
THAP1	0.666288622165367	3.8655840868815e-14
TR4	0.641273365826168	6.59849112568105e-13
USF1	0.559937353369537	1.38833616677683e-09
USF2	0.398275412036044	4.06401626748445e-05
YY1	0.807414430474354	3.45323530925512e-24
ZBTB33	0.391887188718872	6.32821811857121e-05
ZBTB7A	0.681148288657378	6.27535360906692e-15
ZNF143	0.854037965914333	1.43784789137669e-29
ZNF263	0.924253516460397	9.04281320229933e-43
