UW_Motif_0458_F	UW_Motif_0458_R	UW_Motif_0500_F	UW_Motif_0500_R
-0.0537075535656	-0.0821504256106	-0.0420216139233	-0.0472527306259
-0.0782617254927	-0.0402823949498	-0.0357921316672	-0.0461138043272
-0.0686382104745	-0.0628719908466	-0.0428802947046	-0.0486491283429
-0.0895233042668	-0.0625630218391	-0.0424436088802	-0.0525828899578
-0.06643764302	-0.0291707019309	-0.0329253345709	-0.0486466657676
-0.0659287045104	-0.0322555276731	-0.0341987191851	-0.0484331486964
-0.0509677635308	-0.0221227181699	-0.0353057657952	-0.042481796252
-0.0306177716655	-0.0330190133618	-0.03895867611	-0.0480910368211
-0.028887286692	-0.0314808100781	-0.0350452124165	-0.0406769679775
-0.0300559704639	-0.0273239195342	-0.038035093657	-0.0473442553138
-0.0469218482105	-0.0516812931516	-0.0431033675913	-0.0483452893618
-0.0564131566038	-0.0612221981705	-0.0342225041942	-0.0355470205062
-0.0267232984051	-0.0311039008811	-0.0343889043504	-0.0438373717831
-0.0251877576576	-0.0401890530106	-0.0248634973806	-0.0278167492788
-0.0237499505166	-0.0528144736042	-0.0227195860472	-0.0703014175514
-0.0046955734918	-0.0087265681796	-0.00460116478331	-0.0912250604185
0.00263554512293	-0.0658206142445	-0.0531147403367	-0.00566896845754
0.00416992021469	-0.165991101449	-0.0354718699326	-0.0497185633659
-0.059708901043	-0.0521365973071	-0.0862738357419	-0.0468769945444
-0.0351785510753	-0.111265042694	-0.0770376904357	-0.0484292916335
-0.117475901318	-0.134457588145	-0.107148738396	-0.0649754900974
-0.0553010527624	-0.128319583828	-0.12704169275	-0.0819068261715
-0.0807839718256	-0.12798908848	-0.101855562846	-0.071634687267
-0.120576667444	-0.183160665043	-0.0353356701231	-0.0628294367195
-0.166255146995	-0.179072038492	-0.0146279955955	-0.0574821123939
-0.198786606597	-0.114065303803	-0.050945434204	-0.0171406347375
-0.167452073811	-0.121281150776	-0.058789786581	-0.0341547251511
-0.0982509111329	-0.144124718869	-0.0769228583579	-0.100298775461
-0.094339956973	-0.0511364118744	-0.0772594299583	-0.156157105385
-0.121043615806	-0.108950828711	-0.0707045231824	-0.106430967996
-0.175168487952	-0.0316562579666	-0.0532875842435	-0.0736967432121
-0.0629144232367	-0.0885572156916	-0.0556668184309	-0.0879091166257
-0.142964404291	-0.0362682417201	-0.0409055072295	-0.0414784625361
-0.0541744280238	-0.00266367132284	-0.0289181789529	-0.0514901371509
-0.0221957275512	-0.017439723834	-0.0803420224885	-0.00735984957519
-0.0837471773226	-0.0375643810972	-0.0763284680613	-0.0153334622285
-0.0490510435981	-0.055462821988	-0.0469585132389	-0.0197452693836
-0.0646441306471	-0.0788213244628	-0.0399278777412	-0.0321760696244
-0.033016735569	-0.0636015594795	-0.0402114294358	-0.0388264265452
-0.0673603865244	-0.0603757612854	-0.0448656876402	-0.0383185804001
-0.044585450513	-0.0671608901245	-0.051159457149	-0.0439336398458
-0.0573809223053	-0.0488708361455	-0.0447583145091	-0.0366016673549
-0.0332508666846	-0.0312327070721	-0.0411129096933	-0.0355054599007
-0.0390483715161	-0.0669823311443	-0.044747568956	-0.036039435146
-0.0330637789916	-0.0371547727292	-0.0441138621468	-0.0369997469415
-0.0429554525523	-0.0631844809343	-0.0484448568303	-0.0401993801044
-0.0406620124853	-0.0339478450841	-0.046254311247	-0.0304949310991
-0.0480748149657	-0.055006299325	-0.042978999839	-0.0430272572459
-0.0549065646167	-0.0640738950029	-0.0497142622385	-0.0428193625692
-0.0448280215548	-0.0867832726839	-0.0515603508827	-0.0424182380949
