FACTOR	SPEARMAN	PVALUE
ATF3	0.587766539956261	1.28440124038744e-10
BACH1	0.595062996449516	6.62460418906619e-11
BRCA1	0.482916248812613	3.60798770745044e-07
CEBPB	0.647424338487731	3.36539377034598e-13
CTCF	0.437563756375638	6.63714298443364e-06
EGR1	0.271667611780688	0.00625429632570826
FOSL1	0.63917755506838	8.27134893761964e-13
GABP	0.385942909955403	7.31822665498002e-05
JUN	0.673359416303113	1.64889166481907e-14
JUND	0.623249283090621	4.36004474478448e-12
MAFK	0.705908828833056	2.36403085240134e-16
MAX	0.465860778843763	1.03775806848082e-06
MYC	0.526850490800918	1.79399618699549e-08
NRF1	0.182766276627663	0.0688271846618448
P300	0.515006676489611	4.20207156995692e-08
POU5F1	0.741730200005796	1.07438864466582e-18
RAD21	0.427098709870987	1.14337496969455e-05
REST	0.630490940569716	2.07212687578783e-12
RFX5	0.542870944807892	5.37934982125507e-09
RXRA	0.636988899452415	1.04533686202313e-12
SIX5	0.602787895527777	3.2268172529786e-11
SP1	0.131617161716172	0.19146622017878
SP2	0.130400996129227	0.195961031414573
SP4	0.102898907286025	0.308317219941461
SRF	0.559997840125715	1.38149835369686e-09
TBP	0.73664913470775	2.43481267547534e-18
TCF12	0.627312140966792	2.8791666794973e-12
USF1	0.638321747142829	9.06633808443669e-13
USF2	0.611240957821407	1.43618739171255e-11
YY1	0.432303824213149	7.07331796975534e-06
ZNF143	0.564337512811755	9.66895799933169e-10
