LAB	CELL	FACTOR	BIAS_PEARSON	PWM_AUC_ALL	TC_AUC_ALL	FOS_AUC_ALL	HINT_AUC_ALL	HINT_BC_AUC_ALL	HINT_BCN_AUC_ALL	PWM_AUC_10	TC_AUC_10	FOS_AUC_10	HINT_AUC_10	HINT_BC_AUC_10	HINT_BCN_AUC_10	NUMBER_MOTIFS	NUMBER_PEAKS	NUMBER_PEAKS_with_MOTIFS	PERC_PEAKS_MOTIFS	TC_AVG_CHIP_UNCORRECTED	FOS_AVG_CHIP_UNCORRECTED	PROTECT_AVG_CHIP_UNCORRECTED	TC_AVG_CHIP_CORRECTED	FOS_AVG_CHIP_CORRECTED	PROTECT_AVG_CHIP_CORRECTED	TC_AVG_DNASE_UNCORRECTED	FOS_AVG_DNASE_UNCORRECTED	PROTECT_AVG_DNASE_UNCORRECTED	TC_AVG_DNASE_CORRECTED	FOS_AVG_DNASE_CORRECTED	PROTECT_AVG_DNASE_CORRECTED	MDC_UNCORRECTED	MDC_CORRECTED	NORM_TC_AVG_CHIP_UNCORRECTED	NORM_TC_AVG_CHIP_CORRECTED	NORM_TC_AVG_DNASE_UNCORRECTED	NORM_TC_AVG_DNASE_CORRECTED	FOS_AVG_CHIP_UNCORRECTED_GAP5	FOS_AVG_CHIP_CORRECTED_GAP5	FOS_AVG_DNASE_UNCORRECTED_GAP5	FOS_AVG_DNASE_CORRECTED_GAP5	FOS_AVG_CHIP_UNCORRECTED_GAP10	FOS_AVG_CHIP_CORRECTED_GAP10	FOS_AVG_DNASE_UNCORRECTED_GAP10	FOS_AVG_DNASE_CORRECTED_GAP10	TC_AVG_FP_UNCORRECTED	FOS_AVG_FP_UNCORRECTED	PROTECT_AVG_FP_UNCORRECTED	NORM_TC_AVG_FP_UNCORRECTED	FOS_AVG_FP_UNCORRECTED_GAP5	FOS_AVG_FP_UNCORRECTED_GAP10	TC_AVG_FP_CORRECTED	FOS_AVG_FP_CORRECTED	PROTECT_AVG_FP_CORRECTED	NORM_TC_AVG_FP_CORRECTED	FOS_AVG_FP_CORRECTED_GAP5	FOS_AVG_FP_CORRECTED_GAP10
DU	H1hesc	ATF3	0.60464540015	0.823504818594	0.984417785261	0.676745234147	0.99318933304	0.994279135985	0.993873895491	0.325755995758	0.874601949564	0.42924579525	0.951932226522	0.959993071368	0.957025613314	691899	4804	1777	36.990008	362.562725306	-1.24671966152	0.428459211859	-53.6138471896	-1.13942438383	0.469535753283	130.381717943	-1.55640666205	0.104888791174	-28.7850468868	-1.13719161319	0.0868396593625	-0.660552133801	-0.5254900597	3.28696834105	-0.486059393461	1.18203154714	-0.260963224315	-1.2796314119	-1.13878156605	-1.57613413281	-1.13575433077	-1.35763556031	-1.15329150712	-1.59839828844	-1.1373147658	264.658863805	-1.43803778194	0.163585005222	2.39937877168	-1.4712572023	-1.53582753813	-46.4815089389	-1.12960352918	0.225587340181	-0.421398113105	-1.12061015947	-1.12589969486
DU	H1hesc	BACH1	0.786930672381	0.646285282028	0.820402985442	0.510686529662	0.848677787973	0.859413995005	0.855432965555	0.124420305891	0.396851765777	0.16484263429	0.530486186619	0.571701960646	0.556981059381	614421	11457	2941	25.669896	52.3739105171	-1.92173294583	0.128188344227	-10.9331442457	-1.74102339018	0.00205130790304	95.5419406256	-1.84997073999	0.0776746499069	-24.7513788834	-1.536372361	-0.120883741627	-0.35115133541	0.299912626028	0.474818214204	-0.0991191220039	0.866176559693	-0.224394271966	-1.9091379635	-1.73732687192	-1.86242656442	-1.5301168751	-1.93815315467	-1.73867363366	-1.8788770722	-1.52605464955	172.886860221	-1.91097695809	-0.0288829442884	1.56738019787	-1.94587672544	-2.00911941948	-36.7211517243	-1.575272482	-0.212945627558	-0.332911396401	-1.55489253659	-1.54712340086
DU	H1hesc	BRCA1	0.494134260188	0.526369204901	0.998299103211	0.576266714711	0.999786812395	0.999758187205	0.999843662423	0.00994875490432	0.982991032108	0.345391944912	0.997868123949	0.997581872047	0.998436624229	333055	2025	15	0.740741	356.733333333	-1.13747637805	-0.228543613046	-60.5935667323	-0.784218921447	-0.722359175742	91.777509798	-1.48857869165	0.0637425760342	-23.8160163107	-0.828096535444	-0.173826676076	-0.0857077450444	0.340043392389	3.23411948063	-0.549337043271	0.832048492772	-0.215914340221	-1.19923930469	-0.803411190486	-1.48192313549	-0.82921633341	-1.28960096664	-0.820850302228	-1.48042146518	-0.8281562504	179.989795918	-1.37390516105	-0.00222779282216	1.63177491673	-1.38011624338	-1.41014866857	-36.850661283	-0.843792719175	-0.222052747672	-0.334085521013	-0.839775149189	-0.838443010446
DU	H1hesc	CEBPB	0.770830153102	0.635231299018	0.792196853326	0.50236678683	0.817934722064	0.827879971571	0.824180024711	0.161614789851	0.398383743401	0.190717079663	0.499563423939	0.530333458247	0.518984348834	1342548	15557	9720	62.479913	30.1354282536	-1.87455445728	0.0928865947798	-6.34686765094	-1.65527700549	-0.0113719919373	84.2069345749	-1.65830643083	0.237948082437	-22.2713592326	-1.17903126666	-0.100415884305	-0.124602299215	0.271209880948	0.273205687457	-0.0575402587672	0.763414186636	-0.201910587052	-1.85763680014	-1.65179283663	-1.61806038696	-1.17383895615	-1.85822476306	-1.65014591981	-1.59800824726	-1.17136318013	174.334014718	-1.60744086064	0.252366684875	1.58049999945	-1.57873691773	-1.58743600817	-36.0993969791	-1.22273460656	-0.0977880931385	-0.327274611313	-1.20095426763	-1.19194031342
DU	H1hesc	CTCF	0.32251716358	0.82872253679	0.906876000978	0.598157917407	0.938362832407	0.942119460366	0.940690935089	0.467364276718	0.421560310528	0.250668181009	0.625195786521	0.650949121578	0.643680831703	565933	54070	41994	77.665989	147.876085088	-1.9026380825	0.37406590922	-27.1337409598	-1.74636189515	0.678378374896	157.77815598	-2.04380096013	0.141184832443	-33.2330046392	-1.74359217138	0.468384625337	-0.515087178093	-0.733647351146	1.34063425762	-0.245992600132	1.43040574062	-0.30128809859	-1.86933310813	-1.74376589757	-2.05068020484	-1.74509895502	-1.86956493349	-1.75257185744	-2.06626510893	-1.7505925886	236.30287468	-2.05014414401	0.131873854482	2.14230535507	-2.05531290598	-2.08894081643	-43.8755884768	-1.72276595745	0.59931149315	-0.397773020231	-1.71658378487	-1.72236719368
DU	H1hesc	EGR1	0.749282409459	0.719318737545	0.939749553627	0.483153350518	0.96611120276	0.974260259025	0.971360268472	0.225317535968	0.561880711769	0.109333800276	0.770541771823	0.836674474469	0.813570968021	1060314	8743	5225	59.762095	403.980152672	-1.9359862952	-0.112610687389	-60.4679797719	-1.39783228867	0.582415822399	196.078607769	-2.0806080571	-0.2018957867	-38.0816510266	-1.43747422933	0.321371861402	0.443537040114	-0.836052743911	3.66245584436	-0.548198480661	1.77763496109	-0.345245588039	-1.94667877627	-1.38988517773	-2.08532528752	-1.42800322019	-1.95115289792	-1.38725634396	-2.08464962956	-1.42248200719	305.75830413	-2.06561916333	-0.261466499451	2.7719834267	-2.07517459303	-2.09842307679	-52.4676114111	-1.42702373208	0.442908987408	-0.475667699963	-1.40980486341	-1.40403499902
DU	H1hesc	FOSL1	0.682479958608	0.651422336193	0.990947584492	0.539650154797	0.999166298839	0.999135020967	0.999140292138	0.151191897001	0.909475844917	0.220895486279	0.991662988391	0.991350209666	0.991402921385	699220	1111	61	5.490549	280.834645669	-1.33436454023	0.450103898359	-48.8203535147	-1.20991906991	0.163025455696	99.1572826824	-1.59077946902	0.113112147298	-25.4355284651	-1.18923079812	-0.122433331876	-0.350679052132	0.433786692506	2.54602728012	-0.442601914651	0.898952998233	-0.230596724283	-1.31687252283	-1.18778695511	-1.59427762401	-1.18513886538	-1.3526833386	-1.19960820934	-1.60426958343	-1.18126349887	171.963473934	-1.57088895989	0.0627088515886	1.55900884229	-1.58544608426	-1.63344273266	-36.682515372	-1.22414100704	-0.152436326795	-0.33256112193	-1.20877446197	-1.20248882912
DU	H1hesc	GABP	0.534467733279	0.743307350436	0.976407171135	0.623741877508	0.994880631776	0.996193170752	0.995969946569	0.321238541167	0.77542216442	0.228502100465	0.956544977497	0.969115807605	0.967111227652	181503	5652	2165	38.305025	451.336423841	-1.17520921034	0.409323862154	-65.6873985179	-1.0050792145	0.637377508527	200.177836294	-1.43716033894	0.135954326923	-38.199416285	-1.07382887422	0.263550533114	-0.514201024828	-0.536260118748	4.09178449074	-0.595517366414	1.81479828055	-0.346313239645	-1.20423547893	-1.00565187275	-1.4624067141	-1.07528503044	-1.25232442732	-1.01602631557	-1.48156775742	-1.08006802986	321.090727987	-1.35830714783	0.141084743422	2.91098611035	-1.39501400496	-1.43848950712	-53.6689018587	-1.06106775359	0.37006668865	-0.486558515245	-1.05875097057	-1.06439816439
DU	H1hesc	JUN	0.761913346455	0.668420520673	0.985152190176	0.639091946727	0.993894707865	0.99534459387	0.994867954775	0.135065199416	0.873342511832	0.444310284791	0.952290425632	0.964002638305	0.960244972022	832374	2148	646	30.074488	288.15885947	-1.38347127003	0.785875857548	-47.1972189552	-1.31817946836	0.661086644754	117.897466828	-1.68579607463	0.256619441891	-27.0526372663	-1.35262234088	-0.0256225914434	-0.616820630432	-0.558506003681	2.61242809081	-0.427886690117	1.06885019861	-0.245257319712	-1.34728355977	-1.3021157965	-1.66047129417	-1.34506365416	-1.36972275478	-1.30905133489	-1.65794068913	-1.34057932114	245.661667147	-1.60828468276	0.369740645123	2.22715151383	-1.59313781815	-1.63127319263	-44.4960533341	-1.35979036405	0.0939882422745	-0.403398111285	-1.33839969745	-1.33271111911
DU	H1hesc	JUND	0.807218901808	0.703095949861	0.935296279524	0.48091538854	0.957527252379	0.963864131703	0.961628041501	0.156471967356	0.61195304613	0.211145230062	0.773233035939	0.812647285149	0.799089818476	717223	9550	3784	39.623037	85.5983984799	-1.69897699159	0.0626291178888	-17.7563923415	-1.45457089471	-0.0626898005053	99.2063317137	-1.59078780175	0.117449188375	-25.4456656742	-1.19107243647	-0.12393407484	-0.238637804415	0.779804578571	0.7760291012	-0.160978212607	0.899397673324	-0.230688627512	-1.7024630889	-1.44788498774	-1.59337653727	-1.18671704408	-1.7266763989	-1.44509979707	-1.60252379197	-1.18261814806	171.991752817	-1.56403749284	0.0759524370945	1.55926521667	-1.57752222765	-1.62441961279	-36.7040044517	-1.2254155729	-0.147565564476	-0.332755940425	-1.2096454125	-1.20339508343
