LAB	CELL	FACTOR	BIAS_PEARSON	PWM_AUC_ALL	TC_AUC_ALL	FOS_AUC_ALL	HINT_AUC_ALL	HINT_BC_AUC_ALL	HINT_BCN_AUC_ALL	PWM_AUC_10	TC_AUC_10	FOS_AUC_10	HINT_AUC_10	HINT_BC_AUC_10	HINT_BCN_AUC_10	NUMBER_MOTIFS	NUMBER_PEAKS	NUMBER_PEAKS_with_MOTIFS	PERC_PEAKS_MOTIFS	TC_AVG_CHIP_UNCORRECTED	FOS_AVG_CHIP_UNCORRECTED	PROTECT_AVG_CHIP_UNCORRECTED	TC_AVG_CHIP_CORRECTED	FOS_AVG_CHIP_CORRECTED	PROTECT_AVG_CHIP_CORRECTED	TC_AVG_DNASE_UNCORRECTED	FOS_AVG_DNASE_UNCORRECTED	PROTECT_AVG_DNASE_UNCORRECTED	TC_AVG_DNASE_CORRECTED	FOS_AVG_DNASE_CORRECTED	PROTECT_AVG_DNASE_CORRECTED	MDC_UNCORRECTED	MDC_CORRECTED	NORM_TC_AVG_CHIP_UNCORRECTED	NORM_TC_AVG_CHIP_CORRECTED	NORM_TC_AVG_DNASE_UNCORRECTED	NORM_TC_AVG_DNASE_CORRECTED	FOS_AVG_CHIP_UNCORRECTED_GAP5	FOS_AVG_CHIP_CORRECTED_GAP5	FOS_AVG_DNASE_UNCORRECTED_GAP5	FOS_AVG_DNASE_CORRECTED_GAP5	FOS_AVG_CHIP_UNCORRECTED_GAP10	FOS_AVG_CHIP_CORRECTED_GAP10	FOS_AVG_DNASE_UNCORRECTED_GAP10	FOS_AVG_DNASE_CORRECTED_GAP10	TC_AVG_FP_UNCORRECTED	FOS_AVG_FP_UNCORRECTED	PROTECT_AVG_FP_UNCORRECTED	NORM_TC_AVG_FP_UNCORRECTED	FOS_AVG_FP_UNCORRECTED_GAP5	FOS_AVG_FP_UNCORRECTED_GAP10	TC_AVG_FP_CORRECTED	FOS_AVG_FP_CORRECTED	PROTECT_AVG_FP_CORRECTED	NORM_TC_AVG_FP_CORRECTED	FOS_AVG_FP_CORRECTED_GAP5	FOS_AVG_FP_CORRECTED_GAP10
DU	K562	ARID3A	0.80716421887	0.470470112324	0.991480509416	0.723806728012	0.995871231178	0.996375584245	0.996218798174	0.0131558916663	0.940107062557	0.423043649485	0.978733325365	0.981213293802	0.980638825118	2112327	9026	606	6.713938	353.378461538	-1.03603231958	0.389450562398	-43.16412062	-0.87064730342	-0.533160980216	217.060039678	-1.2470395757	0.348302813328	-34.3946974656	-0.781196986418	-0.419647332753	-0.863496012913	0.503437335258	0.96598829081	-0.117992576346	0.593350980756	-0.0940206567006	-1.02027410196	-0.877301635969	-1.21546690914	-0.786371767538	-1.02228537528	-0.878366202668	-1.19538436115	-0.787606353656	428.95508982	-0.974884117089	0.512066881147	1.17258304948	-0.962544657827	-0.981615212735	-51.7886299957	-0.802932860029	-0.330624572632	-0.141568362585	-0.800851904824	-0.800154481957
DU	K562	ATF1	0.687256109933	0.715285601817	0.96874320802	0.709966556651	0.981259538702	0.983717761088	0.982816102372	0.267371509538	0.796353696194	0.255555111037	0.894169523933	0.909614952193	0.904130604788	246442	14864	2609	17.552476	847.654925489	-1.30874581699	0.827141768236	-63.566306135	-1.33856567359	1.25633848291	667.937707987	-1.39507713107	0.648476441288	-58.5958217483	-1.35900845621	0.786371226051	-0.643340582119	-0.655981842573	2.31713254142	-0.17376358239	1.82586115208	-0.160176365738	-1.34495939595	-1.34158190806	-1.42646025777	-1.36174455372	-1.40186694256	-1.35796258899	-1.47859995469	-1.37451232292	931.138744558	-1.34866730973	0.743764860746	2.54534223859	-1.39147421202	-1.46320554588	-73.7044827645	-1.33208380143	1.03774879548	-0.201477099144	-1.32959082671	-1.34481242406
DU	K562	ATF3	0.612195738469	0.935450442276	0.997565863928	0.891851421292	0.999109563028	0.999307791986	0.999276136176	0.629131975356	0.97919353321	0.679670792382	0.993186550729	0.99464209229	0.994546564645	496476	1233	165	13.381995	2127.90613718	-0.855477609977	1.59058327222	-125.244997858	-0.698481780891	2.74167091751	619.878640777	-1.20854938735	0.493134036256	-55.2037430505	-0.863681543819	0.723329448418	-0.46967067519	-0.530689177048	5.8168016339	-0.342367219798	1.69448784769	-0.15090384729	-0.780988904372	-0.662763745563	-1.19676418598	-0.85673169288	-0.807093348723	-0.675204883558	-1.22732479819	-0.861270798379	956.268328991	-1.08977319719	0.692615050492	2.61403596772	-1.07676809718	-1.13019989705	-74.2758670459	-0.828524625198	1.22037075983	-0.203039023781	-0.81336016762	-0.820307943875
DU	K562	BACH1	0.461480034821	0.653738402297	0.921043735755	0.695245495879	0.93958178718	0.942294926284	0.94110589703	0.12592811154	0.666215674082	0.211975460996	0.780649534325	0.792243200671	0.787629204155	614421	3806	1980	52.023121	411.276916451	-1.37131011915	0.898753946822	-43.3504695838	-1.37881241417	1.06833111612	348.570337841	-1.59312171939	0.271855812977	-45.3315099167	-1.44547052639	0.217434279245	-0.617397476482	-0.635199640724	1.12425834852	-0.118501976144	0.952844900089	-0.123917308354	-1.36510476101	-1.38253627815	-1.63466676272	-1.44596511636	-1.45994076308	-1.40477127164	-1.70281697314	-1.45545056112	468.025877771	-1.58111166891	0.266528249693	1.27938617355	-1.63394442469	-1.72460183319	-54.2944598221	-1.44501207051	0.289090320775	-0.148418248853	-1.43937591791	-1.45011527676
DU	K562	BHLHE40	0.563904607907	0.64557434016	0.937809048608	0.59462401698	0.955282628172	0.958785312346	0.957331235788	0.190189279535	0.681375762472	0.152050523276	0.794425451252	0.812427446228	0.805076325416	572185	22497	5958	26.483531	447.84088066	-1.35709985635	0.325150809431	-42.1058430238	-1.15925526234	0.408752829004	386.433567334	-1.3919724358	0.197567256125	-45.3372383167	-1.11202001734	0.100806130233	-0.648696708013	-0.470446452905	1.22420886938	-0.115099689887	1.05634706653	-0.123932967394	-1.37036441131	-1.15427174863	-1.4093055057	-1.1109521792	-1.4132706308	-1.16282859457	-1.44129827199	-1.11501999685	657.690657022	-1.31614196486	0.253424930244	1.79785001862	-1.3501394113	-1.41697406521	-63.4809339145	-1.09890296414	0.331894343581	-0.173530210597	-1.09007878939	-1.09738490164
DU	K562	CCNT2	0.620201438553	0.74135340872	0.991000158746	0.715345648686	0.996592542296	0.9970590946	0.996913802653	0.269249662205	0.926619295846	0.199458333099	0.979353121665	0.983210199915	0.982075167399	708983	20057	2284	11.387545	760.024832479	-1.46936186188	1.16488315426	-70.6510521501	-1.56702680304	1.58222704093	374.976849031	-1.70194206529	0.667775472256	-48.0976443467	-1.7268060753	0.609441495889	-0.268700956229	-0.464610370352	2.07758867279	-0.19313030232	1.02502921064	-0.131478758077	-1.50720200381	-1.57951898339	-1.74490710395	-1.73650023579	-1.56464772011	-1.60759813627	-1.80026692328	-1.74940682204	507.658720394	-1.68083803569	0.74418759302	1.38772571903	-1.7397989689	-1.82447046597	-58.4565582888	-1.69627726394	0.806290703722	-0.159795677932	-1.70124557679	-1.71731423885
DU	K562	CEBPB	0.837443979326	0.703369221968	0.855350912874	0.527209285182	0.882773494865	0.894251002989	0.890027430296	0.208028837782	0.424859322908	0.145032226101	0.545947675158	0.588097850663	0.572937598374	1342548	38715	24789	64.029446	82.434116902	-1.58934864901	0.185943021543	-12.3665710754	-1.44637131204	0.00857796249622	269.377394393	-1.38983076222	0.373509333765	-38.6314106303	-1.13149485633	-0.0680743568256	-0.430982989212	-0.101801581892	0.225340252329	-0.0338050112173	0.736364654653	-0.105602051024	-1.59016889151	-1.44430746444	-1.38238214057	-1.12972505947	-1.61424500166	-1.44431837293	-1.38701092383	-1.12889781294	467.880857143	-1.26415611885	0.469972007507	1.27898974806	-1.27277743961	-1.30886470367	-53.9989298235	-1.13662381301	0.10611160825	-0.147610393963	-1.12546655634	-1.12391259392
DU	K562	CTCF	0.226450856972	0.829693489191	0.94853020659	0.597941604919	0.970102007994	0.970868317465	0.970306427739	0.469390373967	0.6586517187	0.156582556054	0.83083434084	0.836451960319	0.832882707848	565933	54387	41122	75.60998	374.329488599	-1.99496677394	0.288411695282	-43.021376719	-1.62030812404	1.45962500292	433.464471375	-2.0081162243	0.179532528055	-50.0732640622	-1.65109094269	1.12611434036	-0.230030576043	-0.704688991852	1.02325959912	-0.117602374474	1.18490980465	-0.136879272597	-2.00969834469	-1.60958376643	-2.02285396193	-1.64342685121	-2.02988599019	-1.60840776013	-2.03101095631	-1.63907089701	554.265442706	-2.03227238263	0.144316830798	1.51512892247	-2.0539638797	-2.07348930859	-58.2863102186	-1.63039308205	1.28070574707	-0.159330291214	-1.61524432027	-1.60843886168
DU	K562	CTCFL	0.196114634764	0.815073075055	0.972096979744	0.661928576336	0.987737305827	0.990513284441	0.989818136293	0.411951393452	0.752795256501	0.227268389126	0.897677439556	0.925160548396	0.918627120579	565933	11533	8878	76.979103	744.297627252	-1.76978805478	0.653567694886	-68.28476858	-1.50944828504	2.10499499996	433.464471375	-2.0081162243	0.179532528055	-50.0732640622	-1.65109094269	1.12611434036	-0.30296835486	-0.681035351261	2.03459709931	-0.186661876906	1.18490980465	-0.136879272597	-1.77764685656	-1.49434284147	-2.02285396193	-1.64342685121	-1.80608837806	-1.49978046436	-2.03101095631	-1.63907089701	554.265442706	-2.03227238263	0.144316830798	1.51512892247	-2.0539638797	-2.07348930859	-58.2863102186	-1.63039308205	1.28070574707	-0.159330291214	-1.61524432027	-1.60843886168
DU	K562	E2F4	0.518568752189	0.570974394154	0.974259293708	0.531863074091	0.976699576102	0.993626591538	0.989669076103	0.0862835323004	0.753895676792	0.0594161347396	0.773916703552	0.942619846339	0.90325272357	173646	8181	2809	34.335656	1639.17009848	-1.41284706994	-0.0213648483503	-97.7436487041	-1.01511966461	0.479181179416	665.442495755	-1.50736900767	-0.127491477647	-58.4996633529	-1.00360716813	0.626097793813	0.115365675785	-0.774740938314	4.48080257886	-0.267190082095	1.81904028986	-0.159913509073	-1.45062586191	-1.02437973714	-1.54219074685	-1.00387695344	-1.48089121198	-1.03143271807	-1.56319310862	-1.00692241353	891.116645461	-1.48049074263	-0.165556093424	2.4359386294	-1.52709956746	-1.56393110649	-70.5430306955	-0.994407948637	0.747384737425	-0.192835017034	-0.992101062872	-0.995440249448
