XXXXX	UWDGF_Hepg2	UWDGF_K562	DUHS_Mcf7	DUHS_Gm12878	DUHS_Helas3Ifna4h	UWHS_Hepg2	DUHS_Mcf7Ctcfshrna	DUHS_A549	DUHS_Imr90	DUHS_Mcf7Hypoxlac	DUHS_K562Saha1u72hr	UWDGF_H7hesc	DUHS_NakedMcf7	DUHS_Huvec	DUHS_H7hesc	DUHS_K562G1phase	UWDGF_Lhcnm2Diff4d	DUHS_K562Nabut	DUHS_K562G2mphase	UWHS_Cd20ro01778	UWHS_Monocd14	DUHS_Helas3	UWHS_Monocd14ro1746	UWDGF_K562Znfp5	DUHS_Mcf7Randshrna	UWDGF_Cd20ro01778	DUHS_LNCaP	DUHS_K562	UWDGF_K562Znfa41c6	UWDGF_Lhcnm2	DUHS_Hepg2	DUHS_K562Sahactrl	DUHS_Cd20ro01794	DUHS_NakedK562	UWHS_Lhcnm2Diff4d	UWHS_Lhcnm2	DUHS_Sknsh	UWDGF_Huvec	UWDGF_m3134	DUHS_H1hesc	DUHS_Monocd14	UWHS_K562Znfp5	UWDGF_A549	UWHS_Mcf7	UWHS_Gm12878	UWHS_K562Znfa41c6	UWDGF_NakedIMR90	UWHS_K562Znfe103c6	UWHS_Mcf7Est100nm1h	UWHS_Mcf7Estctrl0h	UWHS_H1hesc	UWHS_K562Znf4c50c4	UWHS_Huvec	UWHS_Helas3	UWHS_K562	UWHS_A549	UWHS_K562Znff41b2	UWHS_K562Znfb34a8	UWHS_K562Znf4g7d3	UWHS_K562Znfg54a11	UWHS_K562Znf2c10c5
DUHS_NakedK562	3.9361e-297	0	0	0	0	0	0	1.6867e-252	0	1.8684e-289	0	0	0	0	6.1197e-18	3.8061e-170	0	6.9575e-242	1.0718e-146	1.1577e-307	0	4.2026e-198	0	0	7.0207e-150	8.1757e-256	1.2418e-29	5.1606e-279	0	5.569e-251	6.0537e-63	8.6235e-60	1.0661e-137	XXXXX	1.2503e-22	3.4563e-21	0	0.78723	0.016174	0	0	0	5.2929e-09	0	6.1608e-238	0	2.1378e-125	0	2.0554e-247	3.4264e-246	0	0	0	0	0	0	0	0	0	0	0
UWHS_Lhcnm2Diff4d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00062938	6.2366e-139	0	0	2.8865e-106	0	0	7.923e-254	0	0	1.1029e-209	0	0.040036	0	0	0	1.1072e-30	1.783e-52	4.3471e-57	1.2503e-22	XXXXX	2.4879e-30	1.6256e-114	1.087e-16	0.090869	4.1292e-260	4.1052e-287	0	6.786e-56	2.4865e-287	1.7616e-183	0	7.8526e-149	0	6.6344e-233	6.0252e-233	0	0	4.8376e-299	0	0	0	0	0	0	0	0
UWHS_Lhcnm2	7.8867e-296	0	0	0	0	0	0	1.1019e-227	0	1.8187e-279	0	0	0	0	3.382e-05	2.4685e-94	0	5.4406e-164	2.7294e-61	0	0	2.5269e-148	0	0	4.52e-58	0	0.0028537	1.4284e-304	0	0	3.2022e-09	3.7594e-07	2.3913e-31	3.4563e-21	2.4879e-30	XXXXX	2.0197e-129	8.5406e-11	0.56059	3.0664e-258	0	0	1.4241e-59	0	2.6483e-205	0	6.709e-164	0	4.628e-258	8.3131e-257	0	0	0	0	0	0	0	0	0	0	0
DUHS_Sknsh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.5436e-97	0	0	0	0	0	0	0	0	0	0	0	4.3426e-248	0	0	0	0	0	1.1234e-249	0	1.6256e-114	2.0197e-129	XXXXX	7.6697e-41	2.352e-34	3.5219e-216	0	0	1.3647e-09	9.2945e-108	5.6892e-25	0	4.557e-29	0	1.4588e-61	2.1688e-67	0	7.2955e-224	2.9469e-157	6.7702e-257	0	0	0	0	0	0	0
UWDGF_Huvec	6.5077e-184	1.3355e-278	2.7655e-167	6.1909e-168	9.4721e-174	1.5451e-235	1.0856e-146	1.366e-113	1.273e-153	1.1583e-106	5.2147e-118	0	1.342e-236	7.3733e-60	1.4612e-08	1.2587e-44	1.3896e-260	1.5476e-45	2.0375e-32	8.5634e-270	0	4.0014e-35	0	1.1218e-251	4.5515e-14	2.8352e-276	2.1232e-08	2.3233e-31	3.3247e-226	1.0349e-219	1.9047e-12	3.991e-09	0.006476	0.78723	1.087e-16	8.5406e-11	7.6697e-41	XXXXX	2.3227e-14	4.772e-114	6.0861e-152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UWDGF_m3134	5.7963e-149	6.9155e-214	2.7526e-127	9.856e-127	4.3016e-127	1.2691e-172	1.0188e-98	7.7442e-65	6.1829e-101	1.2095e-56	2.9507e-62	0	5.5778e-155	1.9976e-36	0.00014462	3.3808e-23	2.7521e-182	2.4282e-24	7.4214e-15	8.7293e-182	2.7321e-219	4.3423e-17	5.9556e-242	4.3911e-164	5.2756e-06	4.463e-178	0.0024532	6.3333e-14	2.4211e-132	1.3045e-143	0.0006808	0.029207	0.00016498	0.016174	0.090869	0.56059	2.352e-34	2.3227e-14	XXXXX	4.0281e-94	8.9812e-114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DUHS_H1hesc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8856e-104	0	0	0	0	0	0	0	0	0	0	0	5.5572e-215	0	0	0	0	0	4.7709e-235	0	4.1292e-260	3.0664e-258	3.5219e-216	4.772e-114	4.0281e-94	XXXXX	5.9766e-148	3.7975e-306	1.4264e-28	1.0407e-82	3.3151e-08	0	1.7849e-17	0	2.3239e-39	4.9362e-43	0	6.2269e-255	7.2543e-164	7.5336e-281	0	0	0	0	0	0	0
DUHS_Monocd14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7897e-105	0	0	0	0	0	0	0	0	0	0	0	8.8029e-289	0	0	0	0	0	0	0	4.1052e-287	0	0	6.0861e-152	8.9812e-114	5.9766e-148	XXXXX	0	2.8233e-37	5.8123e-57	5.9579e-12	0	5.8886e-22	0	1.911e-41	1.3736e-44	0	1.8728e-217	2.9469e-157	5.6648e-249	0	0	0	0	0	0	0
UWHS_K562Znfp5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7329e-132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7975e-306	0	XXXXX	1.6637e-42	3.4652e-46	1.896e-32	0	1.641e-15	0	4.6927e-26	6.8906e-34	1.3252e-244	4.6309e-158	2.1603e-123	1.8191e-202	0	1.209e-300	7.753e-280	0	0	0	0
UWDGF_A549	3.5633e-198	7.5378e-287	9.0473e-187	3.3453e-187	2.7392e-193	7.357e-246	1.3448e-170	7.9083e-135	1.5299e-179	3.5267e-129	2.6079e-147	0	3.569e-250	1.9671e-84	2.9738e-13	1.2541e-69	1.8726e-275	1.144e-79	2.0826e-56	5.6272e-307	0	5.5166e-58	0	4.7977e-272	5.8746e-45	0	1.5838e-14	2.5342e-69	5.4436e-248	1.2479e-244	1.2168e-23	8.8216e-23	0.0096586	5.2929e-09	6.786e-56	1.4241e-59	1.3647e-09	0	0	1.4264e-28	2.8233e-37	1.6637e-42	XXXXX	1.1689e-88	3.7803e-134	1.3646e-185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UWHS_Mcf7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.4319e-101	0	0	0	0	0	0	0	0	0	0	0	1.721e-195	0	0	0	0	0	3.0931e-206	0	2.4865e-287	0	9.2945e-108	0	0	1.0407e-82	5.8123e-57	3.4652e-46	1.1689e-88	XXXXX	7.5141e-22	0	1.6635e-08	0	2.0704e-36	5.3346e-42	0	0	4.9954e-183	0	0	0	0	0	0	0	0
UWHS_Gm12878	7.9111e-287	0	4.9424e-295	1.3459e-304	0	0	0	3.4869e-246	0	2.3338e-269	0	0	0	2.4093e-297	1.1924e-58	2.3224e-188	0	1.9844e-229	9.9088e-180	0	0	1.2487e-217	0	0	1.8168e-188	0	1.704e-102	1.2812e-267	0	0	1.3202e-131	5.1414e-152	3.583e-94	6.1608e-238	1.7616e-183	2.6483e-205	5.6892e-25	0	0	3.3151e-08	5.9579e-12	1.896e-32	3.7803e-134	7.5141e-22	XXXXX	0	6.9745e-35	0	4.22e-262	1.6995e-261	0	0	0	0	0	0	0	0	0	0	0
UWHS_K562Znfa41c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0189e-283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3646e-185	0	0	XXXXX	3.1382e-45	6.1888e-105	6.8548e-11	2.2672e-06	1.303e-167	3.0533e-23	5.4702e-13	1.6197e-64	5.6404e-181	3.8747e-200	8.2301e-187	1.1141e-214	0	0	0
UWDGF_NakedIMR90	3.925e-240	0	2.042e-235	1.8997e-237	8.3416e-249	1.566e-294	2.1513e-231	7.5039e-195	1.9173e-247	4.9125e-196	5.5366e-232	0	0	4.3921e-180	1.2248e-53	1.9514e-142	0	5.5522e-167	1.2648e-130	0	0	1.7533e-129	0	0	4.3345e-132	0	2.3665e-73	5.9132e-176	0	0	5.6952e-96	9.1051e-108	1.0722e-74	2.1378e-125	7.8526e-149	6.709e-164	4.557e-29	0	0	1.7849e-17	5.8886e-22	1.641e-15	0	1.6635e-08	6.9745e-35	3.1382e-45	XXXXX	1.0565e-260	0	0	0	0	0	0	0	0	0	0	0	0	0
UWHS_K562Znfe103c6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7481e-226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.1888e-105	1.0565e-260	XXXXX	1.1371e-98	1.4247e-61	8.3202e-48	3.5833e-07	0.19336	4.1229e-55	1.812e-226	5.6333e-249	8.3549e-224	1.1213e-289	0	0	0
UWHS_Mcf7Est100nm1h	7.1612e-280	0	1.3289e-284	2.8867e-290	0	0	6.9604e-297	2.5386e-249	0	4.44e-265	3.7513e-305	0	0	2.282e-279	6.759e-80	8.9581e-208	0	9.0203e-241	1.3472e-201	0	0	3.0192e-227	0	0	2.5722e-211	0	3.0457e-124	1.0487e-266	0	0	4.5092e-165	3.4197e-187	3.8833e-124	2.0554e-247	6.6344e-233	4.628e-258	1.4588e-61	0	0	2.3239e-39	1.911e-41	4.6927e-26	0	2.0704e-36	4.22e-262	6.8548e-11	0	1.1371e-98	XXXXX	1.112e-255	2.7877e-178	0	0	0	0	0	0	0	0	0	0
UWHS_Mcf7Estctrl0h	3.2215e-280	0	2.2235e-285	4.2144e-291	0	0	8.6771e-300	2.2005e-249	0	3.035e-264	0	0	0	2.7241e-281	2.6192e-82	1.3372e-206	0	1.2609e-240	2.6251e-201	0	0	6.6263e-228	0	0	8.7136e-211	0	6.7644e-128	9.2678e-265	0	0	1.2295e-168	2.3229e-188	1.2721e-127	3.4264e-246	6.0252e-233	8.3131e-257	2.1688e-67	0	0	4.9362e-43	1.3736e-44	6.8906e-34	0	5.3346e-42	1.6995e-261	2.2672e-06	0	1.4247e-61	1.112e-255	XXXXX	6.6373e-145	0	0	0	0	0	0	0	0	0	0
UWHS_H1hesc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1015e-217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3252e-244	0	0	0	1.303e-167	0	8.3202e-48	2.7877e-178	6.6373e-145	XXXXX	1.4779e-25	1.7861e-45	2.1628e-20	0	1.2023e-303	0	0	0	0	0
UWHS_K562Znf4c50c4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0337e-150	0	0	0	0	0	0	0	0	0	0	0	8.4544e-232	0	0	0	0	0	7.002e-250	0	0	0	7.2955e-224	0	0	6.2269e-255	1.8728e-217	4.6309e-158	0	0	0	3.0533e-23	0	3.5833e-07	0	0	1.4779e-25	XXXXX	1.9478e-164	0	0	0	0	0	0	0	0
UWHS_Huvec	0	0	0	0	0	0	0	1.6438e-296	0	0	0	0	0	0	1.2625e-122	8.5618e-274	0	1.2791e-302	9.6601e-267	0	0	0	0	0	5.3023e-287	0	4.1408e-191	0	0	0	5.4615e-250	4.4679e-269	7.5421e-194	0	4.8376e-299	0	2.9469e-157	0	0	7.2543e-164	2.9469e-157	2.1603e-123	0	4.9954e-183	0	5.4702e-13	0	0.19336	0	0	1.7861e-45	1.9478e-164	XXXXX	0	0	0	0	0	0	0	0
UWHS_Helas3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2983e-171	0	0	0	0	0	0	0	0	0	0	0	1.1669e-253	0	0	0	0	0	1.221e-287	0	0	0	6.7702e-257	0	0	7.5336e-281	5.6648e-249	1.8191e-202	0	0	0	1.6197e-64	0	4.1229e-55	0	0	2.1628e-20	0	0	XXXXX	0	0	0	0	0	0	0
UWHS_K562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3666e-225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6404e-181	0	1.812e-226	0	0	0	0	0	0	XXXXX	7.0085e-292	2.0763e-219	0	0	0	0
UWHS_A549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.702e-238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.209e-300	0	0	0	3.8747e-200	0	5.6333e-249	0	0	1.2023e-303	0	0	0	7.0085e-292	XXXXX	1.782e-17	3.1432e-131	0	0	0
UWHS_K562Znff41b2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.5434e-226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.753e-280	0	0	0	8.2301e-187	0	8.3549e-224	0	0	0	0	0	0	2.0763e-219	1.782e-17	XXXXX	1.2132e-48	0	0	0
UWHS_K562Znfb34a8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.9441e-251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1141e-214	0	1.1213e-289	0	0	0	0	0	0	0	3.1432e-131	1.2132e-48	XXXXX	0	0	0
UWHS_K562Znf4g7d3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6355e-302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XXXXX	1.1632e-142	0
UWHS_K562Znfg54a11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1632e-142	XXXXX	0
UWHS_K562Znf2c10c5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	XXXXX
