	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	0.93002	0.932488	0.889568	0.796019	0.677674	0.135245	0.317251	0.083557	0.065178	0.842507	0.362638
DU_HeLaS3	0.93002	1	0.987524	0.964537	0.76825	0.798275	0.117052	0.42499	0.1758	0.060585	0.843648	0.465354
DU_HepG2	0.932488	0.987524	1	0.961371	0.828917	0.823757	0.058201	0.440701	0.172581	-0.000571	0.888788	0.481424
DU_Huvec	0.889568	0.964537	0.961371	1	0.698256	0.808366	0.003018	0.520431	0.231484	-0.04287	0.789171	0.562124
DU_K562	0.796019	0.76825	0.828917	0.698256	1	0.77222	0.1118	0.308789	0.052229	0.04072	0.966409	0.370954
DU_Mcf7	0.677674	0.798275	0.823757	0.808366	0.77222	1	0.018277	0.500237	0.21207	-0.014832	0.831422	0.580295
UW_HepG2	0.135245	0.117052	0.058201	0.003018	0.1118	0.018277	1	-0.144565	-0.12673	0.941044	0.110515	-0.101181
UW_Huvec	0.317251	0.42499	0.440701	0.520431	0.308789	0.500237	-0.144565	1	0.45173	-0.155622	0.379807	0.951967
UW_IMR90	0.083557	0.1758	0.172581	0.231484	0.052229	0.21207	-0.12673	0.45173	1	-0.122496	0.115089	0.410626
UW_K562	0.065178	0.060585	-0.000571	-0.04287	0.04072	-0.014832	0.941044	-0.155622	-0.122496	1	0.038517	-0.121393
UW_LnCaP	0.842507	0.843648	0.888788	0.789171	0.966409	0.831422	0.110515	0.379807	0.115089	0.038517	1	0.444243
UW_m3134	0.362638	0.465354	0.481424	0.562124	0.370954	0.580295	-0.101181	0.951967	0.410626	-0.121393	0.444243	1
