	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	0.938913	0.962704	0.929054	0.880412	0.758315	0.435795	0.262678	0.006289	0.146006	0.902603	0.458251
DU_HeLaS3	0.938913	1	0.983041	0.97745	0.829491	0.870573	0.428437	0.376249	0.062029	0.182179	0.890118	0.581324
DU_HepG2	0.962704	0.983041	1	0.967612	0.89888	0.872941	0.392879	0.343038	0.043423	0.129087	0.943618	0.551893
DU_Huvec	0.929054	0.97745	0.967612	1	0.787776	0.841678	0.350112	0.43292	0.085453	0.116085	0.848867	0.640353
DU_K562	0.880412	0.829491	0.89888	0.787776	1	0.814186	0.367611	0.226053	0.000267	0.110424	0.974966	0.393305
DU_Mcf7	0.758315	0.870573	0.872941	0.841678	0.814186	1	0.324705	0.446446	0.101312	0.149022	0.883373	0.641201
UW_HepG2	0.435795	0.428437	0.392879	0.350112	0.367611	0.324705	1	-0.002182	-0.068784	0.831608	0.384741	0.090597
UW_Huvec	0.262678	0.376249	0.343038	0.43292	0.226053	0.446446	-0.002182	1	0.293958	-0.030197	0.265925	0.892034
UW_IMR90	0.006289	0.062029	0.043423	0.085453	0.000267	0.101312	-0.068784	0.293958	1	-0.036798	0.010818	0.218565
UW_K562	0.146006	0.182179	0.129087	0.116085	0.110424	0.149022	0.831608	-0.030197	-0.036798	1	0.118514	0.000145
UW_LnCaP	0.902603	0.890118	0.943618	0.848867	0.974966	0.883373	0.384741	0.265925	0.010818	0.118514	1	0.457429
UW_m3134	0.458251	0.581324	0.551893	0.640353	0.393305	0.641201	0.090597	0.892034	0.218565	0.000145	0.457429	1
