	DU_H1hesc	DU_HeLaS3	DU_HepG2	DU_Huvec	DU_K562	DU_Mcf7	UW_HepG2	UW_Huvec	UW_IMR90	UW_K562	UW_LnCaP	UW_m3134
DU_H1hesc	1	0.937889	0.962664	0.929054	0.881556	0.754396	0.424642	0.258396	0.016565	0.156866	0.901404	0.442538
DU_HeLaS3	0.937889	1	0.983518	0.976561	0.82951	0.870136	0.420001	0.371044	0.067875	0.189916	0.889801	0.564985
DU_HepG2	0.962664	0.983518	1	0.96825	0.897967	0.87066	0.385048	0.338972	0.049603	0.137539	0.942384	0.537048
DU_Huvec	0.929054	0.976561	0.96825	1	0.788365	0.839932	0.340768	0.425828	0.092967	0.121899	0.848506	0.622319
DU_K562	0.881556	0.82951	0.897967	0.788365	1	0.810707	0.361351	0.222688	0.008368	0.118409	0.974887	0.381764
DU_Mcf7	0.754396	0.870136	0.87066	0.839932	0.810707	1	0.317814	0.441396	0.103071	0.15128	0.880942	0.627373
UW_HepG2	0.424642	0.420001	0.385048	0.340768	0.361351	0.317814	1	-0.005742	-0.062779	0.845294	0.376718	0.081086
UW_Huvec	0.258396	0.371044	0.338972	0.425828	0.222688	0.441396	-0.005742	1	0.287762	-0.029871	0.26089	0.893761
UW_IMR90	0.016565	0.067875	0.049603	0.092967	0.008368	0.103071	-0.062779	0.287762	1	-0.03016	0.014933	0.215375
UW_K562	0.156866	0.189916	0.137539	0.121899	0.118409	0.15128	0.845294	-0.029871	-0.03016	1	0.124853	0.000785
UW_LnCaP	0.901404	0.889801	0.942384	0.848506	0.974887	0.880942	0.376718	0.26089	0.014933	0.124853	1	0.443068
UW_m3134	0.442538	0.564985	0.537048	0.622319	0.381764	0.627373	0.081086	0.893761	0.215375	0.000785	0.443068	1
