MINSUM_TC_AVG_CHIP_CORRECTED	MINSUM_FOS_AVG_CHIP_CORRECTED	MINSUM_PROT_AVG_CHIP_CORRECTED	MINSUM_TC_AVG_DNASE_CORRECTED	MINSUM_FOS_AVG_DNASE_CORRECTED	MINSUM_PROT_AVG_DNASE_CORRECTED	MINSUM_TC_AVG_FP_CORRECTED	MINSUM_FOS_AVG_FP_CORRECTED	MINSUM_PROT_AVG_FP_CORRECTED
35.5637058199	-0.609858821728	-0.155573027813	35.5520598026	-0.609766399174	-0.220508438509	35.4849983186	-0.612045795802	-0.10340940124
34.9856755093	-0.785829343387	5.09389113475	35.4216193983	-0.801587334045	1.22756030768	35.2769089152	-0.797857653715	2.54105395059
35.2941229835	-0.997801575136	1.42002084801	35.4925011529	-1.00438868779	0.294005103442	35.3673912315	-1.00364110385	0.826713164163
35.1303347259	-0.616992582552	-1.24139667813	35.5199345911	-0.609373131604	-0.191577803402	35.4424163962	-0.611018369466	-0.025109867318
35.5928151812	-1.00361914251	0.57043722371	35.5090618322	-1.00444444592	0.57569298428	35.4350537029	-1.00429529319	1.12460801795
35.4922169392	-1.78297629872	1.82946314654	35.4453720399	-1.78676721328	1.44619753596	35.3661570297	-1.78185047076	1.97690693357
35.3342505452	-1.19608822617	0.840818047354	35.4640228006	-1.201104227	0.353077212933	35.3383182831	-1.19925653514	0.749066135076
35.1320973321	-0.984931638918	1.78286596524	35.3558003098	-0.994619591909	0.897138918652	35.2298708382	-0.990274677749	1.57311459034
35.6266932748	-1.20039515412	0.590371830624	35.4815725938	-1.20111987979	0.652327881853	35.3653237636	-1.19867202125	1.33652828644
35.542259796	-1.00441628097	0.430498520805	35.5064418842	-1.00469104236	0.374018517562	35.4399433658	-1.00569466668	0.625399860745
35.696863764	-1.80081725871	0.0267630716514	35.5348634383	-1.80158789959	-0.0235282654562	35.4643954307	-1.80321741567	-0.116502644193
35.7040031698	-1.40318193915	0.0180013741822	35.5351340265	-1.4042589045	-0.0504269528774	35.4652640103	-1.40628892057	-0.114703536725
35.3997041128	-1.00363873426	0.389770636193	35.5216183546	-1.00555664081	0.0564197210879	35.4303905101	-1.00632662931	0.30737276299
35.2954042761	-1.00148492787	0.557999566809	35.512333563	-1.00447462787	0.105057786338	35.4124349224	-1.00462220109	0.367962664731
34.8210941534	-0.943596826873	9.02369983273	35.2996849962	-0.991496124474	2.00181615146	35.1829319345	-0.987708267363	2.81718946191
35.4216952919	-1.40209977179	0.0206670175306	35.5019116778	-1.40326448179	0.0240333267901	35.3981313353	-1.40386761577	0.145787643648
35.4858644752	-1.78198669921	1.92760634395	35.4453720399	-1.78676721328	1.44619753596	35.3661570297	-1.78185047076	1.97690693357
35.5501663077	-1.98848861319	1.06426349388	35.5075282086	-2.00018201246	0.00043602140402	35.4025912918	-2.00242712911	-0.189224358146
35.4623014536	-1.00349410858	0.423763604262	35.5095291982	-1.00488149753	0.182193024124	35.4286316056	-1.00523952594	0.4859649187
35.1160473276	-0.978972442556	3.7363878198	35.4201869921	-0.998340104188	1.05320708706	35.292287128	-0.994915286215	1.87601605436
35.1054865357	-1.37354360756	2.98496662564	35.4125162192	-1.39375670024	0.995491818099	35.2817806536	-1.38920057406	1.63087652546
35.58859512	-1.80159903636	-0.0510367660335	35.5299254173	-1.80199318939	-0.0810909466185	35.4347804855	-1.8033574917	-0.168014677709
35.2988528965	-1.39539097949	1.18018710725	35.5156353196	-1.40355493562	0.0767287541604	35.3871823533	-1.40207191583	0.482816278093
35.5558170935	-1.00286664142	0.483688004221	35.4668770271	-1.00268386103	0.568709400908	35.3420545035	-1.00100534778	1.24771819641
35.4557895709	-0.998374138613	1.16764154255	35.4747161572	-1.00284641512	0.529739274598	35.3537520888	-1.00137378246	1.16403890422
35.353863847	-1.19975808106	0.831542163819	35.4724813424	-1.20314359635	0.286411277359	35.3512666362	-1.20133930126	0.887219129763
