FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Cuellar_99_H1hesc_protection_mean	Cuellar_99_H1hesc_protection_median	Cuellar_99_H1hesc_protection_std	Cuellar_99_K562_protection_mean	Cuellar_99_K562_protection_median	Cuellar_99_K562_protection_std	Cuellar_99_protection_ks_stat	Cuellar_99_protection_ks_pvalue	Cuellar_99_H1hesc_tc_mean	Cuellar_99_H1hesc_tc_median	Cuellar_99_H1hesc_tc_std	Cuellar_99_K562_tc_mean	Cuellar_99_K562_tc_median	Cuellar_99_K562_tc_std	Cuellar_99_tc_ks_stat	Cuellar_99_tc_ks_pvalue	Cuellar_99_H1hesc_fos_mean	Cuellar_99_H1hesc_fos_median	Cuellar_99_H1hesc_fos_std	Cuellar_99_K562_fos_mean	Cuellar_99_K562_fos_median	Cuellar_99_K562_fos_std	Cuellar_99_fos_ks_stat	Cuellar_99_fos_ks_pvalue	Cuellar_99_H1hesc_flr_mean	Cuellar_99_H1hesc_flr_median	Cuellar_99_H1hesc_flr_std	Cuellar_99_K562_flr_mean	Cuellar_99_K562_flr_median	Cuellar_99_K562_flr_std	Cuellar_99_flr_ks_stat	Cuellar_99_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.114970585092	0.0840636375893	0.071062734088	0.0566172913706	0.0422306862613	0.0368027191237	-0.127975839877	-300.0	0.652505319059	0.658728778015	0.0730484261708	0.588486451312	0.605990733184	0.0371083027402	-0.0234510377419	-258.109973684	0.617153661384	0.617283523579	0.0766220597505	0.574319999018	0.571025020178	0.0472541274088	-0.165924914205	-44.8195666326	0.367790448637	0.37227414429	0.128130539424	0.321581940887	0.304072335232	0.0599601086126	-0.316342912927	-94.8956583654
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.00990746991761	0.0087059201811	0.00805710068602	0.0162700299898	0.0143747188955	0.0126481853755	0.0846395559229	-300.0	0.716424477688	0.72469263896	0.0537932305426	0.616758883676	0.628926268483	0.0299141712993	-0.485360179246	-300.0	0.435340954005	0.432361775067	0.0715614806541	0.392310881982	0.395595783103	0.0534444676511	-0.14793040293	-14.7050730797	0.349236554769	0.355924104479	0.0984825050796	0.331007150626	0.328977916904	0.0534504252022	-0.276122433158	-21.5920489329
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0166875201695	0.0148206971134	0.00722902845034	0.023596583303	0.0203587179699	0.0106447300047	0.029916180238	-300.0	0.722738475141	0.728012766494	0.0528850438968	0.618503197089	0.630433084674	0.0287520568515	-0.48282346315	-300.0	0.500614337432	0.499954941703	0.0685598996616	0.46711865552	0.466607625274	0.0422783068606	-0.144971306773	-125.727669272	0.324116852181	0.333033928892	0.12289361277	0.319707904056	0.326493928722	0.0631929677911	-0.0511528752734	-45.6166591961
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0478588017304	0.0394246187512	0.0240986174224	0.0287640509558	0.0260000090929	0.0166923036762	-0.0455924062618	-300.0	0.671749019533	0.679350874399	0.0636282183835	0.612138906968	0.628576024187	0.0322554165881	-0.0972769067786	-300.0	0.572074106531	0.572675411681	0.119601219954	0.538660594193	0.537195713685	0.0598193272663	-0.0944794188862	-14.4226679218	0.321516354228	0.319923611108	0.138319846814	0.308840527368	0.306531018494	0.0657982495122	-0.0811846312704	-9.52399268388
ETS1	-3.5009108624	6.8488314444	3.347920582	0.00500025597498	0.0039713385756	0.00538829190021	0.00694240827576	0.0055407587116	0.00706206616178	0.18558773371	-300.0	0.679097591734	0.685130346383	0.0612819192668	0.604018655603	0.61847760046	0.0314547007699	-0.198155743578	-300.0	0.53899365544	0.538577874472	0.077223663462	0.515924134389	0.512835245115	0.044116473132	-0.066547502894	-115.422812201	0.340791350365	0.353549363983	0.114630906759	0.324589632153	0.306378199204	0.0575532962131	-0.107103846324	-108.807563019
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0168630993152	0.0136783393842	0.0158602354039	0.00971880304984	0.00794230142441	0.0113616869359	-0.0249661213636	-300.0	0.72672698406	0.73407347622	0.0496671890499	0.640338170288	0.651772207108	0.0281379358159	-0.407701801653	-300.0	0.502648873287	0.500613465917	0.0625695621905	0.470241950388	0.470315478987	0.042188575277	-0.162893825375	-29.3667982992	0.369686086348	0.369301502991	0.09760781108	0.353592011012	0.350237931979	0.0863052449663	-0.215390555391	-28.8530116298
AR	-2.8208135212	6.4303512778	3.6095377566	0.025853000932	0.0218625393382	0.0160213656282	0.0461052701643	0.0349967069955	0.029111662344	0.0107292542104	-300.0	0.680965798556	0.689672540567	0.0544694070792	0.627228393714	0.640250057753	0.0292138069998	-0.0943086023544	-269.677549955	0.53185425511	0.533839327569	0.0839331615211	0.513315874291	0.510799215949	0.0504741317792	-0.00170068027211	-5.1914205627	0.301969713078	0.316004622886	0.118218453438	0.296652663061	0.302859494041	0.0849923796941	-0.0640148930039	-5.68618506482
SRY	-2.631585418	4.77859	2.147004582	0.00610660110949	0.00483746192873	0.00733180817391	0.0117927982601	0.00864835872297	0.012046548007	0.104697712615	-300.0	0.637996300781	0.651864817475	0.0294869955758	0.648190106419	0.657676514022	0.0552840861698	0.285104414162	-24.6492807715	0.471322208886	0.466927278198	0.076802079369	0.442551629908	0.438859255068	0.0456504435985	-0.109021732752	-14.6554970797	0.351879756081	0.356174824892	0.104557574503	0.322095600148	0.338375381789	0.0885294923202	-0.152404027941	-13.975523086
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0258793890673	0.0234882091301	0.00762791920617	0.0337295350731	0.0297525547123	0.0127907186203	0.132044509693	-300.0	0.739270356176	0.744047865277	0.0582434232089	0.627068497215	0.6412223132	0.0285549042962	-0.444191326129	-300.0	0.427450742371	0.424698515302	0.0487843020154	0.442921031824	0.439868099243	0.0804446426197	0.0149355811941	-56.1377603045	0.32383891792	0.329851226637	0.0704258895213	0.330609565434	0.336342841136	0.138352353473	0.0346410640166	-22.7696759787
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0092240740527	0.00840595941203	0.00754832503384	0.0143755366019	0.0119512039494	0.0137980796973	0.27884874471	-300.0	0.71161971034	0.717705521652	0.0558269123714	0.641422828262	0.654448563689	0.027670434537	-0.228779525562	-300.0	0.408215832368	0.407851001586	0.0722276258082	0.395765356353	0.394566208111	0.0399048868435	-0.0143961421176	-12.1303253642	0.359975729694	0.3511622195	0.130787403776	0.343542512604	0.343383963853	0.0650190468735	-0.0359341798393	-9.11801977016
