FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Cuellar_95_H1hesc_protection_mean	Cuellar_95_H1hesc_protection_median	Cuellar_95_H1hesc_protection_std	Cuellar_95_K562_protection_mean	Cuellar_95_K562_protection_median	Cuellar_95_K562_protection_std	Cuellar_95_protection_ks_stat	Cuellar_95_protection_ks_pvalue	Cuellar_95_H1hesc_tc_mean	Cuellar_95_H1hesc_tc_median	Cuellar_95_H1hesc_tc_std	Cuellar_95_K562_tc_mean	Cuellar_95_K562_tc_median	Cuellar_95_K562_tc_std	Cuellar_95_tc_ks_stat	Cuellar_95_tc_ks_pvalue	Cuellar_95_H1hesc_fos_mean	Cuellar_95_H1hesc_fos_median	Cuellar_95_H1hesc_fos_std	Cuellar_95_K562_fos_mean	Cuellar_95_K562_fos_median	Cuellar_95_K562_fos_std	Cuellar_95_fos_ks_stat	Cuellar_95_fos_ks_pvalue	Cuellar_95_H1hesc_flr_mean	Cuellar_95_H1hesc_flr_median	Cuellar_95_H1hesc_flr_std	Cuellar_95_K562_flr_mean	Cuellar_95_K562_flr_median	Cuellar_95_K562_flr_std	Cuellar_95_flr_ks_stat	Cuellar_95_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.176468611517	0.16424970344	0.048608216321	0.217346540037	0.192319098458	0.0841083221993	0.107277622185	-44.0332412359	0.563359469612	0.571132849751	0.0431596179879	0.595984357595	0.613256237546	0.0705324732066	0.0743262598539	-218.287980495	0.318132107174	0.309425043411	0.0238394096416	0.322148115379	0.318348446845	0.0478176980611	0.0732071071106	-119.424328469	0.283912058441	0.281723013311	0.0687313171975	0.258022825628	0.254003032351	0.0301078775981	-0.438281247737	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.195792315558	0.167580968472	0.0822581042979	0.130960364633	0.116530457712	0.0472661655358	-0.0609523809524	-34.6447155659	0.71462831592	0.724079818306	0.0493837648393	0.627314869922	0.639048171703	0.0307557850325	-0.342962811963	-300.0	0.230130782425	0.226645387833	0.0269620458711	0.234714230087	0.228897344372	0.0487981195281	0.181623161759	-25.9258998874	0.317585615959	0.316215965212	0.0418926333126	0.290087240243	0.288354743136	0.0248914519727	-0.46608494511	-295.932000771
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.136912919341	0.123635178894	0.0415924097092	0.190051688054	0.159045202663	0.0859940161507	0.0191774638476	-215.154438896	0.696583727069	0.703489828152	0.0457883685293	0.631616684423	0.641985155681	0.028953752656	-0.174663059159	-300.0	0.197836954454	0.195444264643	0.0161167452997	0.202620411346	0.196523403093	0.0365320836023	0.177099847354	-204.617424713	0.310110834797	0.310232218173	0.0458828467629	0.289259024166	0.28856494928	0.0208173840233	-0.433658173111	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.352547704636	0.311170369688	0.141683652816	0.218848806087	0.205778142496	0.0725383717463	-0.169240821476	-69.4568917171	0.613435182882	0.628745137857	0.0644395439692	0.554375671398	0.564589357029	0.0370757869496	-0.177695824187	-300.0	0.282417401204	0.278324585589	0.0290731426674	0.296676140088	0.284422445762	0.0714742685774	0.18523202244	-34.369498799	0.304274380891	0.303845507811	0.0623947108729	0.28909354702	0.285479417889	0.0253217606911	-0.324453959919	-284.276830503
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0820082280148	0.0750697539535	0.0316356485502	0.114363510582	0.098333026594	0.0506448404006	0.105129005616	-239.361974441	0.617467121276	0.6306506843	0.0332327771484	0.671548539483	0.678813560537	0.0564925405949	0.0681397962102	-300.0	0.328730329101	0.324117062287	0.0205347087384	0.331454609427	0.325466927885	0.0445969903275	0.149198890778	-300.0	0.325145769015	0.325061295068	0.0610325423635	0.308148574427	0.306121750186	0.0254635956871	-0.325889752349	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.213112205486	0.182544766828	0.0955302947616	0.146381888315	0.129422365684	0.0597461645229	-0.0724335745569	-71.6266209632	0.630583383861	0.642342483478	0.0288923598036	0.67059769707	0.679543394009	0.0513741658725	0.0928636082063	-245.338569773	0.398793946883	0.393812697935	0.0190225252201	0.401552328872	0.399199941868	0.0385258509818	0.0875648395748	-109.488276012	0.316557756061	0.315750960738	0.0505185051937	0.298103315099	0.297161286959	0.0246702334478	-0.328715649135	-296.873443032
AR	-2.8208135212	6.4303512778	3.6095377566	0.142519032353	0.12131116044	0.0672317776715	0.0933213349838	0.082705762635	0.034323477176	-0.0946027859566	-49.7407216365	0.61950417663	0.634052647739	0.0580342986005	0.561317531232	0.57260513891	0.0354655713841	-0.150749845715	-300.0	0.351211102488	0.348625410683	0.017954143995	0.354812641112	0.35065634367	0.0353663900259	0.171347275203	-25.4168334745	0.305351268475	0.305110380181	0.0598566873972	0.292486441913	0.290087924639	0.0277997082807	-0.241366132811	-99.8300499187
SRY	-2.631585418	4.77859	2.147004582	0.0795891097471	0.0658025634869	0.05538907313	0.120526637978	0.0987846460757	0.0805311747956	0.199754935726	-15.8938750283	0.636953270727	0.649389004538	0.031614898645	0.640943235228	0.651885428471	0.0532566900663	0.338989189051	-25.6756486452	0.18464111963	0.181781401509	0.023648110317	0.203928611656	0.197392306349	0.0546367791865	0.0729124400797	-51.156733017	0.324294973292	0.321584517837	0.0618592114727	0.309760992216	0.307831345639	0.0432158097812	-0.217064280569	-77.0070309265
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.146076975913	0.133619187777	0.0495034196092	0.213352278554	0.187657721503	0.0912329041259	0.0124790941239	-300.0	0.701406777865	0.706852343074	0.0505526765705	0.6381698064	0.649502158838	0.0298751377992	-0.0783468583605	-300.0	0.285854185057	0.283485793571	0.0151149330156	0.290140578609	0.28437084178	0.0342132714204	0.175328550366	-300.0	0.307599600484	0.307334602322	0.0576549253116	0.300144187288	0.296703909711	0.0243342398588	-0.201449838547	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.101747591091	0.0867679265467	0.0572129936647	0.158932857612	0.132616369261	0.0984235107867	0.207899807592	-28.932929244	0.632608540455	0.644051327683	0.0490874737055	0.580333721623	0.58879861494	0.0313004814423	-0.130483941374	-300.0	0.362859278884	0.360794495185	0.0176725562495	0.368664403197	0.364073966968	0.0381491780793	0.188861479283	-49.6476650889	0.302753474119	0.302995035316	0.0338365251209	0.293180112997	0.292199305929	0.0213121903292	-0.249969295575	-279.410916652
