FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PIQ_85_H1hesc_protection_mean	PIQ_85_H1hesc_protection_median	PIQ_85_H1hesc_protection_std	PIQ_85_K562_protection_mean	PIQ_85_K562_protection_median	PIQ_85_K562_protection_std	PIQ_85_protection_ks_stat	PIQ_85_protection_ks_pvalue	PIQ_85_H1hesc_tc_mean	PIQ_85_H1hesc_tc_median	PIQ_85_H1hesc_tc_std	PIQ_85_K562_tc_mean	PIQ_85_K562_tc_median	PIQ_85_K562_tc_std	PIQ_85_tc_ks_stat	PIQ_85_tc_ks_pvalue	PIQ_85_H1hesc_fos_mean	PIQ_85_H1hesc_fos_median	PIQ_85_H1hesc_fos_std	PIQ_85_K562_fos_mean	PIQ_85_K562_fos_median	PIQ_85_K562_fos_std	PIQ_85_fos_ks_stat	PIQ_85_fos_ks_pvalue	PIQ_85_H1hesc_flr_mean	PIQ_85_H1hesc_flr_median	PIQ_85_H1hesc_flr_std	PIQ_85_K562_flr_mean	PIQ_85_K562_flr_median	PIQ_85_K562_flr_std	PIQ_85_flr_ks_stat	PIQ_85_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0957226293108	0.0746541302888	0.0520247894247	0.0680198025746	0.0526581598388	0.0397948077564	-0.150605143158	-300.0	0.664660825531	0.675740841876	0.0693391322265	0.613422513054	0.634103845087	0.0334033667269	-0.0348175994652	-300.0	0.518018435784	0.511867940921	0.0593588535364	0.481218188987	0.473588184188	0.0358273413453	-0.342898764982	-292.781590084	0.337956226125	0.335771367319	0.0796440260735	0.304923945071	0.30052917928	0.0275475277978	-0.509209030051	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.0716431546735	0.0604776558118	0.0275533204464	0.0541681774534	0.0468024217697	0.0198771248959	-0.134338662001	-300.0	0.704662632013	0.710916201354	0.0505852527901	0.630856963423	0.641917396546	0.0248156490788	-0.411238208587	-300.0	0.539781064544	0.535668123263	0.0537488758466	0.4939880453	0.487685533499	0.0267902113902	-0.488330503146	-300.0	0.319182284497	0.316662953706	0.0441611394698	0.285098407987	0.285375192311	0.0200831561458	-0.644102192369	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.097002733086	0.0806911823822	0.0470577846666	0.0704256437823	0.0560838809174	0.0363915988873	-0.140195877706	-300.0	0.71390450128	0.721381465747	0.0518487143945	0.641425992667	0.656047844058	0.0251074097488	-0.380968714381	-300.0	0.493333575632	0.489651271378	0.055009467571	0.465604389663	0.459220160128	0.0279100348966	-0.32450096562	-300.0	0.344881484083	0.345125157081	0.0554601030182	0.315081706986	0.317094001182	0.0208173615556	-0.545611370482	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0637885273145	0.0534317062614	0.0271157006769	0.0461423890862	0.0374706711774	0.0210518661871	-0.183720767018	-300.0	0.635866626212	0.652104619607	0.0266334098169	0.666488558105	0.674436296239	0.0593030714047	0.0808794303106	-245.4433069	0.301732141771	0.296208561942	0.0741929363214	0.287017488376	0.279296672663	0.0398540678456	-0.125541449036	-91.6172024216	0.291150579381	0.290091757886	0.0588569993414	0.268473715372	0.268054817564	0.0237600419657	-0.45793292409	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0739895477479	0.0607151437623	0.0354724268163	0.0583154666614	0.0475732327955	0.0303482168206	-0.0343255288459	-300.0	0.677158968932	0.685719235273	0.0584242166959	0.635943531437	0.651607780266	0.027746423135	-0.00401871143319	-300.0	0.423744868666	0.419429668903	0.0451657772114	0.401432527078	0.39606253264	0.0252951217118	-0.310631325154	-300.0	0.33459766834	0.334313450569	0.063218996765	0.317242441496	0.314836003986	0.0217759707959	-0.387586568442	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.104972256647	0.0835291758581	0.0532063551055	0.0735209019188	0.059343841812	0.040236272326	-0.179835612291	-300.0	0.728318263021	0.73385431041	0.0471908960099	0.649001064337	0.658981864977	0.0225015537591	-0.429968221813	-300.0	0.644008160286	0.640744526576	0.0447547305763	0.607057024207	0.605281351428	0.0224118715217	-0.4675693192	-300.0	0.33164481406	0.329673034416	0.0457600224264	0.318014491032	0.314000563127	0.0260034328816	-0.386701068411	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.0563326256709	0.0436320399193	0.0276822312048	0.0398894271743	0.0314136959561	0.0211886810446	-0.14441105154	-300.0	0.698490311019	0.704569722171	0.0502971392982	0.643666319415	0.653454684438	0.0235543360275	-0.209840797402	-300.0	0.416435045892	0.411067501028	0.0697028711763	0.402225510683	0.395278192936	0.037229898426	-0.148152976169	-59.6309068873	0.315063975407	0.31307588881	0.0496431403124	0.304904303358	0.300929441509	0.0213281838764	-0.342059009522	-247.523733143
SRY	-2.631585418	4.77859	2.147004582	0.1120926394	0.0960453984128	0.0672446515362	0.0729759480694	0.0598825589804	0.047961918752	-0.0141272829635	-300.0	0.650102894856	0.659394048502	0.0218541031332	0.670529737211	0.675871956915	0.0480128066998	0.143626133998	-240.596862098	0.367200463716	0.362934858011	0.0644110519333	0.345078052551	0.343208919942	0.032080905693	-0.202062806222	-71.1183530811	0.321701626836	0.320959551694	0.040116394367	0.306910574414	0.306842247559	0.0211580992114	-0.511236185077	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.112062535364	0.0999356355624	0.0310890289789	0.0938481620555	0.0854909165641	0.0229551225828	-0.0555555383816	-300.0	0.758807403987	0.766328906938	0.050869545524	0.653368058454	0.669043735312	0.0247245534612	-0.476095252778	-300.0	0.45390538587	0.44987586887	0.0488929850616	0.437168879206	0.432434847065	0.0273842688551	-0.2100202252	-300.0	0.30832333053	0.308193580404	0.0765973600922	0.305350729154	0.298375195651	0.0248809977769	-0.161490390017	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0328928516449	0.0242772212132	0.0319814088832	0.0482902912265	0.0364092949042	0.0409454487375	0.0590694022557	-300.0	0.708854786939	0.715085874936	0.0518373343174	0.652217652436	0.665099728354	0.0223934638616	-0.227271209275	-300.0	0.51243781874	0.50921739454	0.0535779925879	0.49472840053	0.492302049374	0.0293685321093	-0.174308972969	-181.805493818	0.313987419913	0.314006035032	0.0560333273822	0.3113007272	0.305758009966	0.0216313074553	-0.193001099735	-268.880139787
