FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Protection_H1hesc_protection_mean	Protection_H1hesc_protection_median	Protection_H1hesc_protection_std	Protection_K562_protection_mean	Protection_K562_protection_median	Protection_K562_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_H1hesc_tc_mean	Protection_H1hesc_tc_median	Protection_H1hesc_tc_std	Protection_K562_tc_mean	Protection_K562_tc_median	Protection_K562_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_H1hesc_fos_mean	Protection_H1hesc_fos_median	Protection_H1hesc_fos_std	Protection_K562_fos_mean	Protection_K562_fos_median	Protection_K562_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_H1hesc_flr_mean	Protection_H1hesc_flr_median	Protection_H1hesc_flr_std	Protection_K562_flr_mean	Protection_K562_flr_median	Protection_K562_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
FLII	-1.1177311693	8.8445722222	7.7268410529	0.02626660144	0.0215115067984	0.0149865782291	0.0135010649755	0.011783762773	0.00747802927588	-0.0288363442987	-300.0	0.662235009399	0.669869115956	0.019904081142	0.668561476941	0.678978875409	0.0544017471342	0.190322646424	-300.0	0.36908110184	0.361782982841	0.0902636029696	0.334806681839	0.3269031462	0.0630892838869	-0.153064303625	-11.164881338	0.578283883401	0.575409853683	0.0712929607849	0.568006613558	0.568465731601	0.0342863391786	-0.0476422661263	-5.01838191542
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0518194495367	0.0394067801035	0.0295110378884	0.0930286221528	0.0734718019873	0.0564997953719	0.0298435276645	-300.0	0.746964488764	0.749857253085	0.041458107391	0.689153261189	0.697272099809	0.0181895918487	-0.179399662848	-300.0	0.257753475455	0.246920404957	0.0691179799037	0.249817148309	0.24465325625	0.0376277028949	-0.000137549670714	-2.77295889449	0.565463719154	0.562868701613	0.0481414331988	0.556846119068	0.555076449701	0.0477480817999	-0.154207616708	-14.7741616135
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.00912369721695	0.00670407431929	0.0115207741031	0.0151895229428	0.011336739153	0.0187052198038	0.277452441337	-299.999999999	0.657273247485	0.678796530627	0.0690628851454	0.573319340683	0.582902116587	0.0327929258967	-0.0932853322875	-300.0	0.422188950981	0.39389705223	0.150537697048	0.39803404856	0.381871993208	0.0901237284855	-0.0410545382472	-4.17179936914	0.667730914852	0.667852603883	0.0671871691763	0.677692076283	0.676897409255	0.0769721505307	0.00241301907969	-1.38802808074
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.00772025661343	0.00669947359522	0.00457711205367	0.0111538255241	0.0094923119647	0.00734054747096	0.242061606239	-300.0	0.775265490584	0.783422729469	0.0563441293784	0.672075779607	0.69013472897	0.0269293841043	-0.218056043679	-300.0	0.356254739347	0.340619871382	0.085902757021	0.340372883582	0.333262390957	0.0482616095743	-0.0132431447151	-76.5393372075	0.221722129491	0.22135229135	0.0244685357409	0.218830519989	0.218431434433	0.0197936055334	-0.105734285537	-64.9201195109
REST	-0.9317503519	8.5147308333	7.5829804815	0.045004955084	0.0397864907044	0.0189546729208	0.065683051621	0.0580041000141	0.0302213694748	0.243528374954	-300.0	0.66884073214	0.683494574303	0.0554883825896	0.611721773867	0.619274644426	0.0281539779504	-0.0502094733062	-300.0	0.45675196625	0.440850577754	0.0868170720654	0.447786003369	0.439003074106	0.051775100471	-0.000940438871473	-16.8659765946	0.630539436928	0.629385225525	0.0562890630813	0.617525154422	0.621763383329	0.042045197247	-0.0852208536763	-21.1474882804
RFX5	-0.9070030291	7.3384705	6.4314674709	0.0401065887072	0.0337714066051	0.0193301083183	0.0631196613795	0.0533141053439	0.0325327782425	0.189344595223	-300.0	0.742429899186	0.748433537551	0.049537943754	0.680803687821	0.69386600513	0.0237415488417	-0.0766363299439	-300.0	0.246695192008	0.232202618693	0.0807760348556	0.235167378005	0.226767178144	0.054415361724	-0.0151015642859	-16.9259013073	0.165279251933	0.165498757621	0.0407785664355	0.16508595031	0.163921048519	0.0203573184328	-0.00366896616897	-6.43500724168
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.0123373091811	0.0100858071781	0.010053696942	0.018954423519	0.0152097939573	0.0148644262735	0.162492848989	-300.0	0.687758345834	0.696645365455	0.0230415896876	0.698856390522	0.703472541797	0.0433548096398	0.485194752364	-300.0	0.317286324946	0.312289876207	0.0752997239625	0.310901345092	0.303116444917	0.0521478847813	-0.0215845973083	-9.11439858619	0.725440939465	0.72710646748	0.0621840711597	0.71429988166	0.718185842109	0.0608181771704	-0.0780449102595	-8.55716710305
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.0100875376368	0.00743306543297	0.00847898390603	0.0184383696546	0.014047222786	0.0136237953678	0.189476911029	-300.0	0.666177662245	0.670512843549	0.0195570806515	0.692155965163	0.70098187832	0.0421371338141	0.0245284264086	-300.0	0.227799688419	0.218663444434	0.0594800786155	0.232682044382	0.223119680001	0.0755485061362	0.0643680410665	-1.78653779996	0.311345511442	0.312953874101	0.0208775289498	0.313390801176	0.313381183503	0.0309149334649	0.0282972606603	-9.28606528745
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.0145922234319	0.011866513353	0.0100029072753	0.0246143148637	0.0195958760754	0.0155716929868	0.0268122493218	-300.0	0.680569143607	0.684498943551	0.0209341129799	0.690346861148	0.699950807554	0.0456347880263	0.207407168055	-300.0	0.224068312275	0.212082003184	0.0766422319734	0.209012539845	0.200530915964	0.053448050873	-0.00895953757225	-2.80368459819	0.560074318082	0.55897416724	0.0763708471571	0.548321150601	0.550168614301	0.0643639598017	-0.0772530015912	-5.09332729627
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.017620917748	0.0112706459265	0.0185819458473	0.0340928141511	0.0234386280615	0.0286852690645	0.140784658934	-300.0	0.690224851702	0.699324392247	0.0226861079244	0.699304069403	0.703556124404	0.0447386752011	0.477138088628	-268.376055855	0.257622351517	0.244152672764	0.113896624591	0.252433338432	0.239464668017	0.0687201585391	-0.0151964185416	-2.88914264595	0.437937169277	0.431718641534	0.0826400452308	0.438552612971	0.438266015264	0.0836596406504	0.0234724572288	-0.969953143035
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.0134650642165	0.00782520696141	0.0145367504196	0.0276756516004	0.0189775654988	0.0251500119572	0.181275744446	-300.0	0.689100983103	0.698425589097	0.0461070739277	0.621781100415	0.626329334738	0.020022092335	-0.158641929823	-300.0	0.372291589557	0.362607713986	0.0422178024779	0.372513200602	0.363756892046	0.0668609601525	0.00521821631879	-1.00437131858	0.561232174473	0.55810140768	0.0379435367925	0.561441520881	0.559235509567	0.0742025247182	0.0452380952381	-0.548059770278
INSM1	-0.5296980979	6.7003285	6.1706304021	0.0199104814047	0.0168595963666	0.0116055287185	0.0299654176137	0.0250496637856	0.0186224720866	0.244839533783	-300.0	0.79287198729	0.798991267103	0.0438803262635	0.68682171825	0.698260600141	0.022308243195	-0.246762755943	-300.0	0.304583037733	0.286270124099	0.0878821918537	0.290073216504	0.281671151861	0.0489231005573	-0.000411541367027	-21.8847940544	0.14697565818	0.144446960269	0.0219897183353	0.147201675371	0.145299031642	0.0360565391194	0.0312384169282	-6.43226450073
ERG	-0.4811139683	3.9203937778	3.4392798095	0.00541947428788	0.00414631169375	0.00471674785495	0.00869438047738	0.00677377427438	0.00757872513251	0.21827200597	-300.0	0.740519436577	0.74506115606	0.0455599238266	0.687991661038	0.698698477717	0.0219149255414	-0.027121480371	-300.0	0.33319789092	0.324034277175	0.0517627786604	0.339373621626	0.32681218083	0.0797568922449	0.0155120976502	-19.1699122347	0.186331244201	0.185550448157	0.0167329553997	0.187177194772	0.185932608833	0.0433099714446	0.0434084307235	-4.54319207211
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.010846387278	0.00873671409298	0.00768800988805	0.0188122708645	0.0149490332101	0.012871593981	0.104585378825	-300.0	0.763629488212	0.767495915516	0.0445334115702	0.684554090889	0.694845314152	0.0204900108572	-0.202561931016	-300.0	0.288360660316	0.28160462309	0.0379049517913	0.293707854923	0.28768509524	0.0594712276052	0.0303011643529	-4.97767373078	0.122473363442	0.119964981815	0.0431294998812	0.119611146001	0.118585442665	0.018792358067	-0.000214667102539	-4.45041139646
USF1	-0.4081315146	7.4895785833	7.0814470688	0.0138386947761	0.0112304090807	0.00854367997702	0.0221855689764	0.0181298173822	0.0144216219137	0.136386180099	-300.0	0.665075830071	0.684441742822	0.0675004614675	0.596631915747	0.604208442584	0.0308797926683	-0.0793312581805	-300.0	0.491848029571	0.479225808773	0.107599263243	0.461103950273	0.45380232639	0.0576755453062	-0.0758819880452	-20.7520828881	0.532376512176	0.531657360392	0.0441017655129	0.53799070964	0.53395064375	0.0505590642052	0.00633872898882	-5.3349244557
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.00849553524278	0.00754738074877	0.0042437710051	0.0119578787008	0.0103939191349	0.00700618051566	0.27844610128	-300.0	0.768261476305	0.776265122197	0.0586181848317	0.671943759201	0.691502505986	0.0275539042058	-0.153675919707	-300.0	0.362981793106	0.349165956633	0.0831465369848	0.344530816992	0.338066129119	0.0459580727425	-0.0340063000034	-168.331717335	0.248986297056	0.249562732604	0.0174754820352	0.250518354803	0.250217804538	0.0269109310977	0.0235837111976	-16.0854829413
CTCF	-0.3682107037	8.924475	8.5562642963	0.00685225223121	0.00578217771064	0.00477592488303	0.00992803505416	0.00818869785976	0.00759706539575	0.349359839616	-300.0	0.755734306553	0.761503676051	0.0456414784671	0.682175533939	0.693382602949	0.0227137213086	-0.151488418683	-300.0	0.332761413346	0.324877178079	0.0524340084015	0.340100069111	0.326078684563	0.0828389480806	0.0277690784369	-26.7542149034	0.264847596848	0.263670630313	0.0203588473596	0.264868396809	0.264039747684	0.0310562657473	0.0414206158133	-15.3364361983
MAFB	-0.3502367328	5.0393535	4.6891167672	0.0116552961107	0.00947205017904	0.00889636170971	0.0195293782774	0.0159397398882	0.0144760966577	0.219204154661	-300.0	0.680963618298	0.693949227425	0.0241742136529	0.728793601204	0.734746496637	0.0508312152736	0.123037147116	-300.0	0.350309129554	0.337305285286	0.0979324863464	0.307758028329	0.294049176764	0.0711227422274	-0.144921535985	-30.345998948	0.624813737874	0.630020392914	0.0405561744959	0.630717177742	0.63165865374	0.0550605068504	0.0272793444925	-3.57975417094
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.0231169924532	0.0201368883044	0.0115771162779	0.0328786928624	0.027947179852	0.01912075882	0.345953738859	-300.0	0.659622606214	0.680254813817	0.0297663636702	0.730193446394	0.736574037756	0.0666037782979	0.134874299757	-300.0	0.365938525223	0.352644388194	0.0835685013922	0.350206994849	0.342650100329	0.050492957584	-0.0317508980395	-49.4356349375	0.425497117658	0.426641321976	0.0371103243003	0.428272274616	0.427203469451	0.049434380216	0.0286668197298	-3.00475453269
STAT4	-0.3171848783	2.786079	2.4688941217	0.0161870123493	0.0139743301604	0.00860881582386	0.0267181646541	0.0214460172561	0.0147616208691	0.0372339383222	-300.0	0.763321245867	0.766334937369	0.0400665567932	0.696675410366	0.70471272791	0.0186156490508	-0.194557130534	-300.0	0.256845041478	0.244146841535	0.079315091508	0.261643880355	0.249000100591	0.0834845984274	0.0349922373642	-2.62487490131	0.365429689194	0.363073086022	0.0621181659257	0.362574959058	0.360925641564	0.0459753288411	-0.00341680029604	-4.26600751578
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.00839825158885	0.00677510352326	0.00828140690565	0.0185060964919	0.0144992752853	0.0137084980923	0.0321390815873	-300.0	0.689379689542	0.699076371164	0.0194900472915	0.715548653354	0.718657465152	0.0458090855802	0.361520180839	-300.0	0.213462091317	0.201747446363	0.0706908481598	0.198127402571	0.187323666113	0.0470594029381	-0.0301697935227	-5.65851624515	0.457504879518	0.459127856497	0.0427067594328	0.4611643854	0.459637751795	0.0555492462414	0.0027919538089	-3.1877173649
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.127345740576	0.113189270927	0.0553702204195	0.212714071522	0.186543085617	0.0956768316388	0.157095616795	-300.0	0.795626814085	0.807437526266	0.0793768834142	0.657189715431	0.685820085281	0.033262488218	-0.192067704862	-300.0	0.392135379546	0.376870738801	0.115725781841	0.343731774845	0.337786955971	0.0590984720804	-0.140449704201	-77.9545012452	0.666049598495	0.671587723353	0.0792469622131	0.658948339043	0.670127207662	0.0788796301545	-0.0124725463735	-1.96886837998
GABPA	-0.261986254	8.661842	8.399855746	0.0411925112455	0.0355481372498	0.0156355571118	0.0596014758524	0.0514023163444	0.0266441595377	0.199265238206	-300.0	0.635050286108	0.645173353595	0.0352478036565	0.651496656609	0.67916696212	0.0790122709747	0.211451501244	-300.0	0.329239183663	0.317812375224	0.0943279555168	0.308459527267	0.301807786452	0.0509186623833	-0.0613502322211	-40.2487628676	0.561054640007	0.567236534604	0.0584945986978	0.56253608431	0.567269895269	0.0659481381931	0.0607379701841	-0.881763576079
YY1	-0.2405441005	9.2155432222	8.9749991217	0.0125164719202	0.0100525212214	0.0104151897622	0.0199465737794	0.0159241009476	0.0156848935916	0.127381658408	-300.0	0.764004924365	0.770325113648	0.0502493948436	0.685318796461	0.698981160044	0.0244179505402	-0.141081791563	-300.0	0.238597726455	0.23334613616	0.0425699760881	0.24764675154	0.239993861213	0.068966683724	0.00186196519874	-12.2545777253	0.543291744008	0.54396510167	0.0412331892725	0.543759850438	0.544038768066	0.050218514022	0.0705259458727	-1.60113009535
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.025096717268	0.0223567572476	0.0103694977683	0.034981523114	0.030623474407	0.0172530465232	0.330492119652	-300.0	0.757693678722	0.767311307959	0.0656462865463	0.666115050682	0.689655088252	0.0297903347561	-0.0810403930175	-300.0	0.329908225945	0.315211462446	0.0914460387264	0.304483731608	0.299229786665	0.0474932018132	-0.0639790161365	-183.909765271	0.215881254267	0.215935494263	0.0202604835725	0.216718039138	0.216237817709	0.0237112142923	0.0588980915899	-7.25439667019
SRF	-0.2054848492	8.3513662778	8.1458814286	0.0103864097962	0.00894766313524	0.00951965281632	0.0201291372751	0.0166252609936	0.0147020089866	0.0868496341616	-300.0	0.770467081583	0.773988001646	0.0416067951834	0.694676074107	0.703541948162	0.0194066651934	-0.205950375508	-300.0	0.247526459185	0.236900966649	0.0673890979907	0.235172934474	0.229741858968	0.0469907485786	-0.00749951941561	-4.75028438197	0.629293323298	0.633494129793	0.0701069532213	0.639949677532	0.63448976918	0.0722297113728	0.0127885875592	-2.18377850892
STAT3	-0.2035441402	10.0107785	9.8072343598	0.0664991789421	0.0611359558082	0.0372442666002	0.14978568416	0.130562201639	0.0831883328396	0.0457463045754	-300.0	0.66244514913	0.674754355925	0.0198014636329	0.676348748564	0.681662139849	0.0609167184913	0.38559221736	-300.0	0.361900548055	0.350911876589	0.086195726226	0.323018260821	0.310686817822	0.0476099611076	-0.166277451152	-12.795223306	0.55871247849	0.557844403336	0.0677718975337	0.555095175873	0.55550560475	0.0522126128591	-0.0106060606061	-1.74553851236
HOXA5	-0.2024921587	3.5496091111	3.3471169524	0.0207509318693	0.0174176403417	0.0129069597514	0.0314719096597	0.026510029837	0.0204667988843	0.22736779371	-300.0	0.744697042897	0.749621676569	0.0431961148265	0.687317836125	0.697240707121	0.0214710673351	-0.0560984306427	-300.0	0.291466597182	0.277459861277	0.084667506389	0.296850573139	0.278368413295	0.109456035147	0.0153259367787	-5.69150940449	0.147444391718	0.146820934052	0.0411707249683	0.148755299405	0.146918194651	0.0438221684246	0.0386811242966	-2.61916885811
SREBF2	-0.1732940608	9.1103612778	8.9370672169	0.0317846880465	0.0267146348005	0.016829576049	0.0520269514751	0.0432991983601	0.0297021760651	0.18479153666	-300.0	0.783952290799	0.787563749196	0.0418151890011	0.692308517026	0.701581398392	0.0193835883211	-0.229930274931	-300.0	0.427557727648	0.418852096034	0.0616952480228	0.443753998971	0.424570694251	0.109649252053	0.0129159248523	-3.65539066465	0.550170189212	0.549093103608	0.045474945013	0.550895315948	0.550730714867	0.0500292935675	0.0166847223657	-4.37405326317
HOXA9	-0.1727359074	3.0796356111	2.9068997037	0.0143158033358	0.0117369318978	0.00911056985649	0.0243526394087	0.019572265492	0.0148180953189	0.0484319932042	-300.0	0.676641940668	0.680501430359	0.0201180072747	0.692536679568	0.702029116404	0.0458562306864	0.15608502664	-300.0	0.335911904491	0.321816627745	0.0818543164626	0.314878164376	0.306859355683	0.0517644922787	-0.0441341991342	-3.74178121386	0.674292820042	0.677509804938	0.0674054774876	0.680270037379	0.678510081565	0.0681673516777	0.0245180000648	-1.43727234575
FOSL2	-0.1563748122	5.7409766111	5.5846017989	0.0128847926637	0.0110675821153	0.00755192381945	0.024598249271	0.0199253806465	0.0145899112902	0.0447327481126	-300.0	0.77928189249	0.784189482275	0.0443545162333	0.687192845088	0.696461118684	0.0179167076486	-0.227254885865	-300.0	0.41143226204	0.404944561278	0.0724898104836	0.393009132645	0.383129824736	0.071994321989	-0.0911104819584	-11.7236471905	0.442628102881	0.438764775906	0.0561594911051	0.433960899085	0.435041804587	0.0553309671817	-0.0363447350771	-11.4382761731
TCF12	-0.1484424405	8.6383393611	8.4898969206	0.0579190502133	0.0516468736735	0.0173660223099	0.0800868236976	0.0688176087819	0.0294198448709	0.147715618407	-300.0	0.746885459877	0.751425362321	0.0424557351917	0.690699078247	0.70069267691	0.0210520169866	-0.0713984161412	-300.0	0.297928883668	0.279375565195	0.0962192698825	0.286033355675	0.27625363115	0.0688796839012	-0.0132584951456	-15.8585699371	0.157285148354	0.156412378534	0.0170003178354	0.157595157733	0.156497494261	0.0351392553781	0.0555157317998	-3.92424804033
SOX10	-0.1468324868	5.24596	5.0991275132	0.0173102577876	0.0143867266229	0.0091564352828	0.0274822224683	0.0227312028112	0.0154397695551	0.199805448527	-300.0	0.682696351911	0.696027881766	0.0247133165995	0.711923083573	0.718724694834	0.0498064171999	0.351621838453	-300.0	0.423145897022	0.414085309861	0.0504455300456	0.433727637745	0.42025386073	0.0821556100432	0.00855800653595	-12.7848537051	0.220515521949	0.219986063215	0.0163447936406	0.221909296815	0.220865041477	0.0400023806281	0.0249681122449	-4.407821397
FOXP2	-0.1347974762	2.351259	2.2164615238	0.00936229976117	0.00765688197065	0.00819900354075	0.018087931968	0.0140334903849	0.0136916138155	0.0862045148138	-300.0	0.692127583206	0.70194170243	0.0467699882199	0.639671805215	0.644217636619	0.0203924038281	-0.0950561458236	-300.0	0.273597271557	0.268210287906	0.0454986125326	0.279698439429	0.2707243259	0.067768900164	0.0259142090136	-3.95710021759	0.371356721088	0.369997188432	0.0462740812009	0.371578235801	0.369997745832	0.050617773416	0.0497178652575	-2.2955248144
ATOH1	-0.1075542619	4.6970676111	4.5895133492	0.0132759273349	0.0117822047975	0.00741454369244	0.0254567686536	0.0204487008556	0.0147116246223	0.0149625568077	-300.0	0.684721823683	0.695686789165	0.0184358260054	0.689904110264	0.69691305328	0.0508430327139	0.30945312551	-300.0	0.237378260187	0.229410948419	0.0822909367674	0.207001209017	0.196826517938	0.0657067286715	-0.144370387682	-10.7872216069	0.62040169798	0.620017064867	0.0733511540989	0.615090964837	0.618551448577	0.0440458087826	-0.0205508474576	-3.11820876362
PPARG	-0.1072274577	2.7755172778	2.6682898201	0.0112545082237	0.00932398756914	0.00783466125169	0.0202663300571	0.0175791519284	0.012988091359	0.187558106364	-300.0	0.769283728369	0.773083074208	0.0397650366726	0.69192544872	0.70046147844	0.0197354569629	-0.201075633704	-300.0	0.31602853201	0.304869931608	0.0741035498097	0.323771297141	0.310624306797	0.0813928531392	0.0164032500417	-3.750383094	0.176744689894	0.175224547558	0.0179868630286	0.176769996299	0.175464493649	0.0451168873417	0.00830544569516	-4.00129477014
GATA3	-0.0812258624	4.4545267778	4.3733009153	0.00743794425692	0.0057054136788	0.00882461279214	0.018858690698	0.0153379499483	0.015524881881	0.063565012255	-300.0	0.657345736304	0.669536997072	0.0664399794727	0.573078923044	0.579187134098	0.0202007746502	-0.112599056789	-300.0	0.353088008839	0.340844934079	0.100647822535	0.296926922475	0.288435161571	0.0517437068984	-0.200342691446	-13.5900469304	0.226926628553	0.222552918487	0.0619666113189	0.22313100395	0.221785260877	0.0213213865123	-0.0350540363517	-3.04646809141
