FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Protection_H1hesc_protection_mean	Protection_H1hesc_protection_median	Protection_H1hesc_protection_std	Protection_K562_protection_mean	Protection_K562_protection_median	Protection_K562_protection_std	Protection_protection_ks_stat	Protection_protection_ks_pvalue	Protection_H1hesc_tc_mean	Protection_H1hesc_tc_median	Protection_H1hesc_tc_std	Protection_K562_tc_mean	Protection_K562_tc_median	Protection_K562_tc_std	Protection_tc_ks_stat	Protection_tc_ks_pvalue	Protection_H1hesc_fos_mean	Protection_H1hesc_fos_median	Protection_H1hesc_fos_std	Protection_K562_fos_mean	Protection_K562_fos_median	Protection_K562_fos_std	Protection_fos_ks_stat	Protection_fos_ks_pvalue	Protection_H1hesc_flr_mean	Protection_H1hesc_flr_median	Protection_H1hesc_flr_std	Protection_K562_flr_mean	Protection_K562_flr_median	Protection_K562_flr_std	Protection_flr_ks_stat	Protection_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0786352073861	0.0571640682999	0.0453674489047	0.120870735013	0.0902449888641	0.0718331219377	0.0472057848469	-300.0	0.630410279648	0.651976773184	0.0694509819328	0.593491795802	0.603111202588	0.0341029993934	-0.0505026717716	-300.0	0.460194527036	0.452773316862	0.0958281118308	0.438473050557	0.427300802965	0.0618862175614	-0.1080374328	-20.3084217766	0.591951951292	0.589582315552	0.0538946594828	0.534433294519	0.53631874597	0.0518712612308	-0.626952894028	-122.523405607
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.00940595916083	0.00777587862667	0.00948461570952	0.0164127721226	0.0133086601126	0.0133494932485	0.0936818961571	-300.0	0.71388149101	0.717924523833	0.0443781333859	0.655474292241	0.66430504872	0.0239113351427	-0.221182458681	-300.0	0.300503250144	0.277532059112	0.0936374349203	0.267404285331	0.254804688999	0.0729032381388	-0.13475981247	-7.73715889609	0.212895748939	0.207968717309	0.0734701656919	0.194897946418	0.188891382365	0.0572021518133	-0.274782629815	-15.8136887496
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0184661215672	0.0157371038543	0.00811153814688	0.0261762109724	0.0215871734107	0.0128796928087	0.0999973144327	-300.0	0.713556515264	0.719047906309	0.0453813119128	0.662532342399	0.673540271847	0.024040035465	-0.104936928143	-300.0	0.313097680191	0.305296043227	0.0715142490284	0.308088545181	0.295026562961	0.0477826782928	-0.0860681969872	-52.4299286543	0.296504039522	0.297018557257	0.0269814909965	0.277113693913	0.277546731331	0.016481091784	-0.722335655653	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.029385155139	0.0237362340016	0.0167820783825	0.0455198097941	0.0369048813603	0.0255093112204	0.0560359864842	-300.0	0.659688972598	0.671588424583	0.0259635475666	0.67560864713	0.681419405502	0.0503364744875	0.39947162741	-217.233916539	0.368823017898	0.349406504448	0.132760987956	0.353923364776	0.327250422268	0.0918208597765	-0.079069396916	-9.0198440797	0.340216130661	0.340026888774	0.059386589948	0.327504382454	0.319769236546	0.0546491135006	-0.292485910547	-29.2584591597
ETS1	-3.5009108624	6.8488314444	3.347920582	0.00565669371858	0.00430298852172	0.00500791400462	0.00860348169046	0.00679187436616	0.00762804846866	0.124325972783	-300.0	0.662000425526	0.674574752244	0.0256709253316	0.693021023673	0.698626152015	0.0509014374293	0.219096640248	-300.0	0.360037868213	0.351223848196	0.0839465783633	0.35022511147	0.337073532789	0.0554092228879	-0.0807281938077	-60.5115199587	0.439466095062	0.438833233082	0.050814849675	0.41367073815	0.413598544936	0.0449102835163	-0.369709989259	-108.082848814
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0172056867633	0.012435087077	0.0150542213481	0.00986203215071	0.00721817838527	0.0103439819316	-0.00779060225163	-300.0	0.747609114974	0.750793940698	0.0407873383886	0.670924546834	0.679341268646	0.0209737216991	-0.331406837719	-300.0	0.411206797946	0.401357533324	0.0742768879702	0.38960295583	0.380894639561	0.054289156653	-0.109732836812	-15.0361111591	0.206436378334	0.205095276944	0.0501185978017	0.195206224843	0.19375087582	0.0499763563349	-0.521429934841	-67.1890045123
AR	-2.8208135212	6.4303512778	3.6095377566	0.0315422468747	0.0234394600832	0.0207040423691	0.0548539109662	0.0432474745657	0.0346044950906	0.0126682776267	-300.0	0.729446017089	0.733803279072	0.0439168972533	0.675346412229	0.684728154758	0.0207209461573	-0.172855827392	-300.0	0.375371300444	0.370601738576	0.0663897966122	0.369305838281	0.362619346735	0.0440281833151	-0.0372328852281	-4.01939284116	0.40199538709	0.398401346032	0.0607208986388	0.374354714177	0.378574035668	0.0481566792534	-0.312288310615	-28.8744900754
SRY	-2.631585418	4.77859	2.147004582	0.00807088807273	0.00611430292823	0.00874693058848	0.0148744111269	0.0118902755931	0.013036658646	0.158237126966	-300.0	0.676014969274	0.685392445721	0.0456346275502	0.616160194627	0.620226192148	0.0210142542184	-0.213194925202	-300.0	0.228155771314	0.222497580626	0.0743552734198	0.224473997731	0.21452775248	0.0437023226366	-0.0199486812269	-4.33090471941	0.418474498284	0.426744003959	0.0811894284029	0.402043074305	0.408553282751	0.0621534879791	-0.159502498695	-11.6360209077
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0278189627192	0.0249776915839	0.00919814185501	0.0369255529652	0.0325744074508	0.0145774938854	0.163429401949	-300.0	0.787113995079	0.793265896473	0.0430628736121	0.672936905836	0.684244924527	0.0225562499043	-0.326166869202	-300.0	0.324671681115	0.315162891127	0.0758262907932	0.31867713374	0.305664759703	0.0477565648229	-0.054314988775	-54.4096524385	0.283971280499	0.283914778391	0.0400044930366	0.274749927979	0.272925058821	0.0207800767335	-0.525976823652	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0104198566081	0.00845179343282	0.00883568999819	0.0160681087075	0.0128623616155	0.0134188816474	0.276895022556	-300.0	0.761805689046	0.765713313963	0.0418790752188	0.673921226202	0.682755276825	0.0203203995322	-0.294439404866	-300.0	0.328153156947	0.31971884386	0.0712717783207	0.322452396075	0.310678497141	0.0487075988729	-0.0369518016536	-10.0856179354	0.179819773946	0.179072376633	0.0317222544975	0.172097304524	0.172554446154	0.0135800798083	-0.355279110887	-110.953609166
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.0115083206435	0.0094002735814	0.00908698252389	0.0211487001997	0.0166134776077	0.0150517960609	0.0321887094737	-300.0	0.676155465233	0.685845017949	0.0469325806631	0.649104588925	0.652842927126	0.0217850442506	-0.00967916368468	-300.0	0.282487122397	0.275647776711	0.0667208178455	0.277648685848	0.269895095517	0.0460817029082	-0.0197383354351	-7.80610670864	0.264657183291	0.265098020354	0.0389355239095	0.25770904288	0.255950983552	0.0193974244111	-0.435031946392	-75.8600559502
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0150598087126	0.0122222606353	0.00913575394089	0.0245090146314	0.0206108203829	0.0146958417706	0.119624988257	-300.0	0.742936047455	0.747731564641	0.0417784963721	0.67683051602	0.686247027096	0.0215991887232	-0.200023488335	-300.0	0.293276447064	0.276124029139	0.0598953615424	0.293935079065	0.281281353905	0.0843342291928	0.0122304904599	-6.67080150815	0.311249286555	0.311790847477	0.0324418038937	0.302692739194	0.30174949261	0.0209124941223	-0.53909386263	-139.149788289
