FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	PIQ_90_H1hesc_protection_mean	PIQ_90_H1hesc_protection_median	PIQ_90_H1hesc_protection_std	PIQ_90_K562_protection_mean	PIQ_90_K562_protection_median	PIQ_90_K562_protection_std	PIQ_90_protection_ks_stat	PIQ_90_protection_ks_pvalue	PIQ_90_H1hesc_tc_mean	PIQ_90_H1hesc_tc_median	PIQ_90_H1hesc_tc_std	PIQ_90_K562_tc_mean	PIQ_90_K562_tc_median	PIQ_90_K562_tc_std	PIQ_90_tc_ks_stat	PIQ_90_tc_ks_pvalue	PIQ_90_H1hesc_fos_mean	PIQ_90_H1hesc_fos_median	PIQ_90_H1hesc_fos_std	PIQ_90_K562_fos_mean	PIQ_90_K562_fos_median	PIQ_90_K562_fos_std	PIQ_90_fos_ks_stat	PIQ_90_fos_ks_pvalue	PIQ_90_H1hesc_flr_mean	PIQ_90_H1hesc_flr_median	PIQ_90_H1hesc_flr_std	PIQ_90_K562_flr_mean	PIQ_90_K562_flr_median	PIQ_90_K562_flr_std	PIQ_90_flr_ks_stat	PIQ_90_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.370869332672	0.363433983648	0.184403855541	0.260139321224	0.232947462155	0.14961118542	-0.122328548067	-35.1895231939	0.659956043221	0.664485460136	0.0705191481917	0.589650977328	0.610117795984	0.0369929460371	-0.117895413915	-300.0	0.588652995229	0.584657534247	0.0462325971662	0.545056507103	0.533279613215	0.0234005492593	-0.49039619131	-300.0	0.336289934834	0.335408487255	0.0542193334321	0.307319712068	0.304610504376	0.0156290576586	-0.683810829313	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.350893980137	0.337259184701	0.196117635021	0.24369237745	0.227980281694	0.149092506219	-0.124218854437	-10.6099389288	0.71696514608	0.72211817845	0.0489519118171	0.625761779664	0.637392357097	0.0260759163989	-0.486102396339	-300.0	0.630013973476	0.632647678028	0.0509987360083	0.574021273138	0.575530935368	0.0234911057367	-0.520845258538	-300.0	0.316950434547	0.316156982856	0.0315315699966	0.289049978268	0.287914651203	0.0138329108008	-0.693317789415	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.301559000289	0.300477580446	0.144478062367	0.207862301354	0.193237536335	0.112692317732	-0.149691051786	-139.780725509	0.721290233307	0.725083800067	0.0517174809686	0.628314617219	0.641734150014	0.0275183551495	-0.464821912627	-300.0	0.442500655298	0.44084958508	0.045384782198	0.414599522663	0.411958822914	0.0214938493541	-0.362869283691	-300.0	0.330469172225	0.330642868018	0.0344855562888	0.308636444902	0.308641529351	0.0151129856126	-0.668064036193	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.360680223285	0.341633899849	0.18554896193	0.260044935838	0.232151773781	0.158782419484	-0.08376523798	-15.0409802601	0.666689373808	0.672736533185	0.0571127050535	0.624463788733	0.639604126498	0.0285423049135	-0.0440473776155	-300.0	0.566006861146	0.56632378916	0.0501567256919	0.529903108979	0.529596828259	0.0186089964212	-0.465096481271	-300.0	0.304265050749	0.304185313241	0.0438340874117	0.28661236703	0.284677224356	0.0157789707605	-0.596423291333	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.353018083964	0.337934711058	0.173363803721	0.253499828593	0.229783483726	0.137095107981	-0.0797263356822	-119.073404252	0.681854896738	0.685280821307	0.0583774800852	0.622067454837	0.637775988719	0.0314780914564	-0.143380936731	-300.0	0.461191973162	0.457470564888	0.0416498348385	0.442870374692	0.431335967775	0.0181671579235	-0.381808369313	-300.0	0.334398111691	0.334313450569	0.0402286077589	0.316244664058	0.315188161181	0.0162673234362	-0.601002657889	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.347642610293	0.325052764527	0.187083397816	0.255754506462	0.238046031531	0.148793029284	-0.0432889514572	-10.7394280788	0.729949430537	0.734197887407	0.0452535093408	0.64348940091	0.653258532168	0.0232820396491	-0.464366816557	-300.0	0.40005128407	0.400491842957	0.0506822809962	0.377469765181	0.378325891032	0.0200897939099	-0.379861751152	-300.0	0.330201590948	0.329554437898	0.0322807763363	0.311276192536	0.311027908138	0.0163939822251	-0.594787188029	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.375701440611	0.351448359927	0.17639822073	0.266270382019	0.256282193457	0.142586480281	-0.116677807984	-14.6639359676	0.70120056718	0.706772825687	0.0485981495095	0.640996419831	0.651937817088	0.0240976994846	-0.276080459762	-300.0	0.545640662783	0.54862706615	0.0455853521238	0.519488209556	0.523713359381	0.0201556043741	-0.410224197913	-300.0	0.312430692382	0.312587325708	0.0329631493024	0.298687132684	0.298392420913	0.0133029344328	-0.54377594022	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.416258939744	0.407155626808	0.21278490289	0.274802177896	0.259169503925	0.162264979867	-0.119984648307	-12.1480395665	0.653915452627	0.662402089736	0.0213087812213	0.658654274731	0.662511120379	0.0468253886934	0.194493314146	-239.688101721	0.624189153614	0.625782547256	0.0357476156249	0.590685653679	0.599421083183	0.0159407684456	-0.511787743818	-300.0	0.321496052043	0.320959551694	0.0297581845867	0.30798332519	0.3075184751	0.01594976429	-0.55980714055	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.349610692613	0.32991002709	0.160725412594	0.25511644447	0.233884830967	0.124891101245	-0.0344957921204	-132.333307825	0.753497194665	0.756864749632	0.0529277037756	0.641314305049	0.655606753583	0.0271135035737	-0.470592279272	-300.0	0.460660114891	0.457611948324	0.0523874102458	0.449893761481	0.439711347367	0.0260851966634	-0.158932413384	-300.0	0.308207521912	0.308115799382	0.0444444933482	0.298945387029	0.296556435152	0.0166866609414	-0.464850592263	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.338546871084	0.323258592235	0.171001332979	0.23206832079	0.218357611235	0.13105233312	-0.0669012691306	-31.8275918353	0.708298972359	0.713621013556	0.0503863116502	0.642598212539	0.655490971579	0.0241717465943	-0.290936856871	-300.0	0.359851049775	0.360254108862	0.0375020618225	0.349493700065	0.347654054402	0.0158919130564	-0.216269218701	-300.0	0.313917215919	0.314006035032	0.0383075058419	0.303982594062	0.302803928038	0.0126570199733	-0.486144860021	-300.0
