FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FLR_90_H1hesc_protection_mean	FLR_90_H1hesc_protection_median	FLR_90_H1hesc_protection_std	FLR_90_K562_protection_mean	FLR_90_K562_protection_median	FLR_90_K562_protection_std	FLR_90_protection_ks_stat	FLR_90_protection_ks_pvalue	FLR_90_H1hesc_tc_mean	FLR_90_H1hesc_tc_median	FLR_90_H1hesc_tc_std	FLR_90_K562_tc_mean	FLR_90_K562_tc_median	FLR_90_K562_tc_std	FLR_90_tc_ks_stat	FLR_90_tc_ks_pvalue	FLR_90_H1hesc_fos_mean	FLR_90_H1hesc_fos_median	FLR_90_H1hesc_fos_std	FLR_90_K562_fos_mean	FLR_90_K562_fos_median	FLR_90_K562_fos_std	FLR_90_fos_ks_stat	FLR_90_fos_ks_pvalue	FLR_90_H1hesc_flr_mean	FLR_90_H1hesc_flr_median	FLR_90_H1hesc_flr_std	FLR_90_K562_flr_mean	FLR_90_K562_flr_median	FLR_90_K562_flr_std	FLR_90_flr_ks_stat	FLR_90_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0130004321569	0.00785125567873	0.0171384906389	0.00938169954449	0.00429502933483	0.0151885115568	-0.148044280443	-10.0701813092	0.629845530319	0.634594855415	0.0756501592294	0.531702299567	0.543664359101	0.0374376474967	-0.17654917672	-300.0	0.482897568976	0.477823789805	0.0700609851672	0.456067813106	0.44809367414	0.0350647365243	-0.259892572659	-300.0	0.336407393262	0.335564061374	0.0461914201529	0.306677239198	0.304738348286	0.0165066293311	-0.707313135729	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.0547127259613	0.0329869555071	0.0627388441839	0.0313668698322	0.020393237561	0.0364537584408	-0.147510628248	-7.06806658699	0.7065118951	0.714864415301	0.0685206437068	0.590012668935	0.604098245016	0.0330882849048	-0.429233033938	-300.0	0.440266225702	0.442314148503	0.0376157467332	0.400306744362	0.400445552566	0.0174048552771	-0.555517128397	-300.0	0.316993262885	0.316156982856	0.0314022968512	0.288913925984	0.287874938209	0.0142540934561	-0.700582873788	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0123996904425	0.00772095233834	0.0139165294972	0.00772682481316	0.00444653703092	0.0102255237119	-0.15236172967	-45.4203259013	0.680618697847	0.683744584987	0.0670154660931	0.552382043338	0.561528449187	0.0370075002346	-0.398838684763	-300.0	0.471293864792	0.470225947688	0.0414552439015	0.442133607084	0.440340980062	0.0203189825252	-0.386934583635	-300.0	0.330542076188	0.330680079936	0.0325243474168	0.308640253501	0.308639304582	0.0132138845362	-0.693058775006	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0142149173964	0.00893276184268	0.0184655420105	0.0079679230336	0.00471129361476	0.0115046030119	-0.19232959889	-12.9401544305	0.64606184831	0.653707643779	0.0713037778029	0.574786779868	0.589189371042	0.0345186568375	-0.0826812751073	-300.0	0.563169993288	0.56394913095	0.0701245270088	0.526767554787	0.526398038254	0.0300757469541	-0.327660760125	-300.0	0.30430864389	0.304185313241	0.0400766661485	0.286320537267	0.284636019806	0.0157051042493	-0.615008596432	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0130529346183	0.00797646110183	0.0145126499532	0.00808642800106	0.00490172646453	0.0100604364394	-0.121982994878	-29.194148937	0.637570754762	0.638902908904	0.0727740728759	0.530228432039	0.538984167672	0.0370947875732	-0.258241111844	-300.0	0.567236493557	0.565981353398	0.0509585890399	0.541204532265	0.537793957357	0.0235744582523	-0.325282673455	-300.0	0.334390110762	0.334313450569	0.0394129076877	0.31622543585	0.31519912816	0.0145677671515	-0.621457739072	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0148646778767	0.00881107098784	0.0197183507936	0.00922991417569	0.00603836232113	0.0119565947262	-0.104294955462	-10.2375290967	0.720084369842	0.726976688824	0.0650340152025	0.593767579241	0.605767438415	0.0340268641383	-0.439590277448	-300.0	0.581819579126	0.583038581751	0.0385569514734	0.546010991175	0.546749980323	0.0183902392495	-0.480021334241	-300.0	0.330377665261	0.329628196794	0.0286107643874	0.311395715875	0.311140185276	0.0145805763659	-0.62157449005	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.0136152938831	0.00771600779353	0.0175495629938	0.00772067821882	0.00418813691181	0.0104483039229	-0.0883688506925	-8.9366047322	0.771659828869	0.778390560595	0.057772228742	0.624175789081	0.636154751111	0.0277924778118	-0.461341025133	-300.0	0.472656776907	0.474678680169	0.0471425817678	0.450101023029	0.449491744313	0.0220557461893	-0.310907535896	-300.0	0.312192469391	0.312587325708	0.0311103201492	0.298697338593	0.298392420913	0.0131622140836	-0.542262446434	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.0155687675408	0.00826319302536	0.0229719187954	0.00796952891448	0.00418231702571	0.0105362534752	-0.145211337016	-12.7865330189	0.60373098906	0.616590894432	0.0312360716773	0.65653154158	0.66449869535	0.0685547054915	0.0399433868484	-300.0	0.482748704043	0.485400360844	0.0398520474978	0.454232888351	0.457861449126	0.0172346725027	-0.428046320954	-300.0	0.321533819448	0.320959551694	0.0299629373608	0.308017234853	0.307502134899	0.01605174927	-0.560819435558	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0124572150693	0.00821638116199	0.0127092683422	0.00792389081124	0.00470180618239	0.0101239994504	-0.089201395028	-48.9202570771	0.743737386424	0.746329743687	0.07087129953	0.564810602841	0.575168945162	0.0359028165369	-0.43799784625	-300.0	0.641559677795	0.641214312086	0.0421070728664	0.619857666118	0.618570175281	0.0204732578946	-0.287989570044	-300.0	0.308207270778	0.308100717217	0.0407789890362	0.298548954732	0.29653213842	0.0161006437047	-0.492103398241	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0136303610279	0.00827655106146	0.0180270213902	0.00770597985153	0.00468595361044	0.00944505183238	-0.0740735848675	-28.2330715031	0.68868993244	0.695795131952	0.0711931198911	0.591576642363	0.605013132362	0.0319418210397	-0.207305458577	-300.0	0.461907303361	0.462913290618	0.033687507864	0.446420531434	0.446302040858	0.0156539218824	-0.291933845519	-300.0	0.314002134203	0.314006035032	0.0331344542319	0.303561290324	0.302811317187	0.0135819076608	-0.510985678207	-300.0
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.0140840261727	0.0075383462767	0.0206755734632	0.00779726358742	0.00460349082094	0.010271839432	-0.0757585015627	-17.1480841898	0.65831113493	0.665585590141	0.0657203451784	0.591166795674	0.602938872647	0.032405229045	-0.0432254447952	-300.0	0.643530320126	0.645691076357	0.0407858590219	0.616360748929	0.618198613109	0.0183872252469	-0.390117701204	-300.0	0.317923347922	0.317845506557	0.0306745481967	0.306651949268	0.306596333893	0.0148359865916	-0.484316480201	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0123322272315	0.00786457362383	0.0143938197227	0.00746419443323	0.00417236895606	0.0103803625882	-0.0647070009466	-20.7534555976	0.709832356562	0.715553756214	0.0613114557984	0.591265315874	0.602761276369	0.0319324612943	-0.354802951402	-300.0	0.579987737683	0.583284507931	0.0556825882185	0.561401717391	0.562261154755	0.0273844971451	-0.176459922618	-300.0	0.333910180689	0.333778839639	0.0330250454128	0.323519068869	0.322807117044	0.0152502614311	-0.479420481914	-300.0
