FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FLR_95_H1hesc_protection_mean	FLR_95_H1hesc_protection_median	FLR_95_H1hesc_protection_std	FLR_95_K562_protection_mean	FLR_95_K562_protection_median	FLR_95_K562_protection_std	FLR_95_protection_ks_stat	FLR_95_protection_ks_pvalue	FLR_95_H1hesc_tc_mean	FLR_95_H1hesc_tc_median	FLR_95_H1hesc_tc_std	FLR_95_K562_tc_mean	FLR_95_K562_tc_median	FLR_95_K562_tc_std	FLR_95_tc_ks_stat	FLR_95_tc_ks_pvalue	FLR_95_H1hesc_fos_mean	FLR_95_H1hesc_fos_median	FLR_95_H1hesc_fos_std	FLR_95_K562_fos_mean	FLR_95_K562_fos_median	FLR_95_K562_fos_std	FLR_95_fos_ks_stat	FLR_95_fos_ks_pvalue	FLR_95_H1hesc_flr_mean	FLR_95_H1hesc_flr_median	FLR_95_H1hesc_flr_std	FLR_95_K562_flr_mean	FLR_95_K562_flr_median	FLR_95_K562_flr_std	FLR_95_flr_ks_stat	FLR_95_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.536448655709	0.582271618325	0.224674841197	0.371720962058	0.389055299539	0.104928845715	-0.0395894428152	-14.9640042333	0.662944450248	0.668139028002	0.0705758687821	0.59660802864	0.616604934464	0.0362772321098	-0.0959424791861	-300.0	0.477930984008	0.474457831326	0.0449628266932	0.440417422931	0.431467044649	0.0232999741219	-0.442986961196	-300.0	0.341317258382	0.339971074761	0.0562841018208	0.308417128158	0.305376913045	0.0205172639901	-0.670858493198	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.475325512972	0.493429205178	0.181092132793	0.334831341446	0.365132679373	0.10502232245	-0.0524952919021	-8.72255304223	0.718274518666	0.723210542493	0.0485184982479	0.629484495143	0.640549259095	0.0249026774701	-0.479285368961	-300.0	0.554301821378	0.555636680091	0.034883005599	0.504080363778	0.505472649823	0.019091071481	-0.562495656729	-300.0	0.322045569936	0.321573766011	0.0382814727149	0.297166618789	0.293084903103	0.0158809291864	-0.630279155977	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.532511724165	0.575485185499	0.196356766167	0.369992081297	0.395631206732	0.0981926881744	-0.131267161368	-70.0266564409	0.723291259083	0.727696083996	0.0511230310472	0.634260669181	0.647718437428	0.0266848892497	-0.45388898405	-300.0	0.524223705084	0.522894169079	0.0291462580607	0.489409195102	0.488626673798	0.0166147289214	-0.500336917313	-300.0	0.320357249517	0.322141628305	0.0444130588717	0.301475543555	0.301430218327	0.0168659544257	-0.561488819087	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.522014192077	0.566182232052	0.22985938635	0.303738755107	0.338843554226	0.121958028969	-0.0680388264698	-12.7475166109	0.668812089676	0.674997866274	0.0562503829839	0.629192042459	0.644170657785	0.0274675311991	-0.0294239864468	-300.0	0.507859295045	0.509018065278	0.0402301758911	0.473950683614	0.476007467915	0.0207906668687	-0.42420751993	-300.0	0.285973361375	0.286298360019	0.0553225108876	0.275187548221	0.268672908832	0.0182086067605	-0.444249240811	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.526656062502	0.562272021235	0.191894871872	0.363290565671	0.392740060076	0.102012335213	-0.0916542926798	-84.1939417428	0.682571713402	0.686771230992	0.0578770045945	0.625247684036	0.640613901608	0.0304947370952	-0.135724299952	-300.0	0.462278179856	0.461431440976	0.0326636140661	0.437634599498	0.435070565041	0.0168881453449	-0.400858133414	-300.0	0.335442081208	0.336560167192	0.0475783874083	0.316998005441	0.314751275848	0.0177674591439	-0.516490367195	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.406202927258	0.454648611092	0.146963245606	0.534089283143	0.536945011748	0.264906574626	0.0634788952291	-9.19358345788	0.731116157494	0.735398886756	0.0449844737648	0.646680597343	0.656094495733	0.022398795773	-0.457297917251	-300.0	0.404359649769	0.405253300858	0.0333654230402	0.37896256031	0.382823817356	0.0170519692405	-0.39790781187	-300.0	0.33599076239	0.335040516177	0.0388493692799	0.320483629521	0.316642522006	0.0215472394752	-0.4995169383	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.548691674731	0.60396042446	0.263009874853	0.366739850454	0.395980573702	0.123775950306	-0.00900731758661	-9.28749689901	0.702692696684	0.707810941248	0.0483772504899	0.64353128275	0.654486484087	0.0231053509799	-0.27929774133	-300.0	0.526516752376	0.528122719392	0.0388141193604	0.502040483984	0.504140135629	0.017436428464	-0.38885067343	-300.0	0.282774115504	0.283610843339	0.0479068055755	0.272940413462	0.270965041132	0.0224491202697	-0.298668256328	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.576729291238	0.661117853257	0.238225025112	0.386946730077	0.412673922743	0.135006852982	-0.0339287203734	-8.28178085035	0.655747427423	0.662814110835	0.0208784595688	0.659324402436	0.664400281652	0.046494211853	0.172942484899	-299.991838945	0.548926931233	0.550986317277	0.0321058151618	0.521258400928	0.527775689126	0.0151011722625	-0.475696189621	-300.0	0.32562196413	0.325645176894	0.0392875391503	0.310353753977	0.311058160638	0.0214132213595	-0.418234133405	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.52784454673	0.551086332694	0.170326466727	0.380798928177	0.40220562946	0.0828147647452	-0.0341694603478	-99.6333757766	0.755046133291	0.758713139731	0.0519767807927	0.647292863809	0.661740795928	0.0266608444374	-0.459150957462	-300.0	0.591768274338	0.591177769587	0.0267537183352	0.570522642363	0.568052417665	0.015834949716	-0.353997706001	-300.0	0.31090468229	0.311950007353	0.0525168788132	0.302565490767	0.300015985641	0.0202303018747	-0.330219743631	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.482953224495	0.534155618382	0.211695307395	0.314964705806	0.339061954642	0.0893878497855	-0.0637578872724	-25.9216787006	0.710146808782	0.715552944656	0.0497218230041	0.646819026963	0.659268637675	0.0231821447938	-0.285782064357	-300.0	0.610275385583	0.61132168525	0.0285154540338	0.588118317581	0.589940425919	0.0147709790593	-0.376003393004	-300.0	0.319505981473	0.319187277458	0.047735033412	0.313947633608	0.308279324237	0.0164465712749	-0.376748892385	-300.0
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.580777075642	0.640896293899	0.224073267166	0.406081855505	0.435914243787	0.104286705344	-0.0807318387915	-21.9497160719	0.649845756604	0.659335415781	0.0218666157966	0.67005093836	0.674275313075	0.0493673098717	0.18232799995	-300.0	0.524886271803	0.526540129725	0.037115277538	0.50332829962	0.508312942404	0.0167867242546	-0.358394606193	-300.0	0.321494804857	0.322081386489	0.040120817337	0.311875168507	0.310819786394	0.0191909830402	-0.328046682304	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.45670068897	0.491915166709	0.199549608619	0.289616293388	0.322492231952	0.0960455273958	-0.0718862446409	-36.1199703435	0.691423479588	0.695877894115	0.0505831420365	0.645742395793	0.657979465414	0.0259335370963	-0.0597347070944	-300.0	0.535586027823	0.537760597075	0.0343902086283	0.518299505739	0.5204688159	0.0195790932116	-0.228077802673	-300.0	0.337947348793	0.338264202974	0.0440980380898	0.331656877003	0.327528873696	0.0183127013209	-0.343627743258	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.446216878782	0.489207873748	0.180338980821	0.278234435308	0.316207083957	0.0987514445668	-0.064642191576	-22.0372411802	0.635560131834	0.646519533554	0.056967586467	0.60864001168	0.612574848758	0.0244929290085	-0.0605158299601	-300.0	0.559799552506	0.560847995693	0.0451807616636	0.557985779589	0.552189184412	0.01435857354	-0.186827842033	-300.0	0.2796903807	0.280265736258	0.0396581645736	0.279109746687	0.27927369941	0.0151865450062	-0.0133645986826	-168.240783597
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.578072150265	0.643779345355	0.256918545939	0.379809931673	0.424525781952	0.136217546751	-0.0111994277199	-11.8993297523	0.738442775142	0.742770039116	0.0476207342284	0.663370726648	0.673333034969	0.0206128655147	-0.335982979711	-300.0	0.421946124991	0.423371023938	0.0298250653653	0.413907127982	0.416975749146	0.0128410333332	-0.221682792432	-300.0	0.321689540523	0.321576442887	0.0474510023972	0.321420934907	0.317066240129	0.0180509996735	-0.156918701768	-211.58355502
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.336585526169	0.341802408607	0.122673357791	0.516081778765	0.513357574026	0.222414703851	0.111652435515	-5.08765900858	0.612103678022	0.636117089131	0.0827505930993	0.494949375876	0.50319190909	0.0360450050208	-0.308096780786	-300.0	0.401494939171	0.401379400276	0.0281293329616	0.406544418245	0.406970148636	0.0492115235192	0.0545887915725	-84.9023682857	0.256473184016	0.251007466063	0.0684515229914	0.251141386437	0.247537647271	0.0241959697278	-0.126010709337	-99.9560936098
