FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Boyle_H1hesc_protection_mean	Boyle_H1hesc_protection_median	Boyle_H1hesc_protection_std	Boyle_K562_protection_mean	Boyle_K562_protection_median	Boyle_K562_protection_std	Boyle_protection_ks_stat	Boyle_protection_ks_pvalue	Boyle_H1hesc_tc_mean	Boyle_H1hesc_tc_median	Boyle_H1hesc_tc_std	Boyle_K562_tc_mean	Boyle_K562_tc_median	Boyle_K562_tc_std	Boyle_tc_ks_stat	Boyle_tc_ks_pvalue	Boyle_H1hesc_fos_mean	Boyle_H1hesc_fos_median	Boyle_H1hesc_fos_std	Boyle_K562_fos_mean	Boyle_K562_fos_median	Boyle_K562_fos_std	Boyle_fos_ks_stat	Boyle_fos_ks_pvalue	Boyle_H1hesc_flr_mean	Boyle_H1hesc_flr_median	Boyle_H1hesc_flr_std	Boyle_K562_flr_mean	Boyle_K562_flr_median	Boyle_K562_flr_std	Boyle_flr_ks_stat	Boyle_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.372007104364	0.350528481901	0.217273410047	0.254919272118	0.236030305865	0.133106803012	-0.158974034297	-77.1474249481	0.696143138027	0.705412413166	0.0576773960878	0.552953484866	0.561216211527	0.0313952548221	-0.586394557823	-180.566706726	0.602045036438	0.600034590108	0.0479345660971	0.556357771204	0.550559206734	0.0261621303102	-0.481013695356	-300.0	0.336855114069	0.335446169318	0.0612223850473	0.304708345947	0.302687471403	0.020308051138	-0.642773893117	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.375006840993	0.288654985767	0.24805649853	0.300510700965	0.273159447501	0.152345649046	-0.0973190038591	-44.3592384999	0.700012790823	0.707850254124	0.0868501071017	0.551034805124	0.564362345082	0.0363474341643	-0.574193548387	-107.927962578	0.414350894567	0.414527658412	0.039808298932	0.375335227544	0.377103242875	0.0213434988327	-0.456386934855	-300.0	0.318171585999	0.316785459953	0.0345004652367	0.286026779683	0.286615237229	0.0144992955895	-0.714600372114	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.360174099164	0.317057926731	0.238168275638	0.25535317778	0.236762462609	0.137947933233	-0.1701830214	-300.0	0.620143002508	0.628303592114	0.0488046564661	0.558664775294	0.568416891041	0.0328661658687	-0.376208884212	-300.0	0.495954310415	0.496040622972	0.037030362263	0.463064508853	0.461942609253	0.0201772855082	-0.411143894374	-300.0	0.344994428314	0.345125157081	0.0398134206739	0.318175173416	0.32025632827	0.0150789621405	-0.671547493612	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.324243848488	0.235668487143	0.233760966198	0.258884052298	0.2310817538	0.148607105984	-0.0678887120796	-44.1524957976	0.727789207007	0.734709681068	0.0477908604823	0.565081412482	0.573384899548	0.0308814458643	-0.595718083982	-155.873546276	0.565068422645	0.565659109636	0.0627921671275	0.527921390634	0.526863576555	0.0283098884934	-0.338591577729	-300.0	0.290592312598	0.290091757886	0.044494997195	0.269560771064	0.269784489681	0.0158632195322	-0.589313141744	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.320237373905	0.245543384519	0.211593823792	0.255226438926	0.230336852167	0.133867865617	-0.0482107675786	-261.486832448	0.686101219683	0.693587962583	0.0562166241636	0.565398982432	0.575154410329	0.0305261802079	-0.551923190155	-300.0	0.530039980852	0.529281363406	0.0454122991586	0.503384891154	0.500680535569	0.0221124526808	-0.315871920547	-300.0	0.33445194223	0.334313450569	0.0480793883725	0.316369550788	0.315069189962	0.0165208535711	-0.542484406785	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.331295545728	0.26349931471	0.243125407187	0.278247008644	0.251607654955	0.150729675502	-0.0483513758006	-65.5129737625	0.646739331722	0.655075304644	0.0668215045704	0.564270214748	0.576879834134	0.0339269367547	-0.461015680708	-152.209349911	0.497373514828	0.497060805614	0.0366713467473	0.465645283862	0.467548224667	0.0182292761318	-0.409010873876	-300.0	0.330775671614	0.329711535257	0.0364419338805	0.315558665853	0.312593938774	0.0174649396222	-0.526354873968	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.337516643271	0.27007962062	0.22243065185	0.268067054825	0.265935759662	0.132938516734	-0.0920479640739	-57.7729113909	0.643388699744	0.652303951863	0.0713293494589	0.561054823486	0.574150124174	0.0346389390952	-0.410791168026	-128.640793255	0.534070734967	0.535938082592	0.0501037854999	0.509219522873	0.509597146881	0.0245262828218	-0.25310268057	-291.449974469	0.314020903909	0.312694593206	0.0405676293315	0.302701087316	0.299822590954	0.0179936824101	-0.459142980798	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.346807307939	0.297184134101	0.233990419894	0.289756367338	0.285408880431	0.141750859612	-0.0637842164753	-46.004684728	0.727410932891	0.73650383646	0.108053922314	0.562304670812	0.583215505489	0.0394637138979	-0.52813650797	-156.410486228	0.471079907244	0.472256713258	0.0428112408818	0.443183368204	0.445610935915	0.0216898278513	-0.331991363852	-300.0	0.321473162021	0.320959551694	0.0334240512632	0.307034518806	0.307088198021	0.0158498258419	-0.567516322189	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.363649222259	0.299052065996	0.206907015117	0.280162908472	0.252345764564	0.11779397094	-0.0525908456465	-296.451941344	0.637714244985	0.646665998211	0.0508982909815	0.567279868137	0.577504870987	0.032913195028	-0.363136973728	-300.0	0.432351167822	0.431918675764	0.0427814696654	0.419252481758	0.417467437464	0.0231438627223	-0.112895049105	-300.0	0.308281392078	0.308193580404	0.0526795239284	0.300765215266	0.29704727118	0.0195473152659	-0.365346582598	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.389997137542	0.351567677636	0.230550944705	0.300379963039	0.29535861454	0.132406137686	-0.0972091238859	-126.888940662	0.755351134893	0.763193974195	0.0526003087518	0.576345831757	0.585190486742	0.0292919592868	-0.529064160882	-300.0	0.405651902031	0.405819997532	0.0380395328188	0.392002881706	0.391258760853	0.0175273182611	-0.172062620176	-300.0	0.313989212946	0.314006035032	0.042907222666	0.307911798609	0.304346892327	0.0156870890834	-0.363340863146	-300.0
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.299806933231	0.246012160461	0.210957367931	0.24759075442	0.236594398813	0.129607926075	-0.036990074895	-92.6406832925	0.724429739342	0.732031716817	0.0682609080709	0.574194552318	0.583493017377	0.0319459199648	-0.516383204274	-282.217521286	0.578721317496	0.579777433857	0.0510188717593	0.552489983863	0.555362041733	0.025541610816	-0.234610419911	-300.0	0.317983415991	0.317845506557	0.0350437572068	0.307724153132	0.306911037131	0.0137702787519	-0.447766257388	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.299938968534	0.213347794369	0.229049012764	0.22505718575	0.200139478697	0.138151100283	-0.00880026672636	-117.859778425	0.611295654093	0.618545855867	0.0460124176234	0.571434684731	0.579246535548	0.0310376294022	-0.116809119198	-120.608017116	0.474787148702	0.475538019019	0.0479179635182	0.460296684633	0.460254497934	0.0255282088555	-0.0941320633886	-300.0	0.333889436112	0.333778839639	0.0426780355749	0.325935906443	0.323500633845	0.0159386806471	-0.369971774933	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.338591589345	0.310215991771	0.220330197932	0.218111315625	0.203497756463	0.126690842928	-0.0649307092484	-134.618733035	0.577564031816	0.584426442762	0.0322129418595	0.607104505964	0.613966051988	0.0666674036865	0.0528430052195	-25.2578023777	0.466167901959	0.460410577773	0.0652775916895	0.455007033743	0.456193173542	0.0246769235452	-0.0515875084887	-208.993300772	0.279048621116	0.279417858712	0.0348629408745	0.275838290094	0.27518228176	0.0124461298281	-0.141732674085	-300.0
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.343217170898	0.268070434471	0.255061000129	0.276857500891	0.260161775443	0.149115502798	-0.00351201142428	-48.5257115864	0.568492303265	0.582669342208	0.0296008097926	0.586080808266	0.592115067668	0.0882748322801	0.31552294053	-7.31323069055	0.427048238626	0.427634259428	0.037809588205	0.417521585974	0.419036643832	0.0168284953633	-0.084048451231	-141.871602579	0.317952228993	0.316778899319	0.0444272354082	0.316283587855	0.313022948277	0.0153836961878	-0.168039637598	-299.999987353
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.373264312161	0.29801120038	0.276871229609	0.276904985259	0.266728658811	0.16118811009	-0.0230038503623	-28.1183443241	0.575630087193	0.583953405807	0.0292572040974	0.599254254519	0.605767219317	0.045167965082	0.0772236207796	-14.6674153364	0.460511808573	0.459965026782	0.0310636759211	0.465295998169	0.465491193388	0.0592486371725	0.0723337872359	-12.5033718977	0.245955017558	0.244873671822	0.0177634783657	0.252036771331	0.245876500057	0.064882528009	0.0573196539005	-10.9705281731
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.402108657688	0.407429288416	0.187680839029	0.242035973559	0.219690045646	0.107891039436	-0.146954609806	-300.0	0.62191163097	0.63034958159	0.0517825555398	0.573711993257	0.583980415353	0.0312981320425	-0.138223721733	-300.0	0.419553220611	0.416210000439	0.028523449395	0.428649080734	0.417863031549	0.0633358382494	0.064225695039	-300.0	0.330921289083	0.331247813126	0.0677553261731	0.329139634365	0.326081986628	0.0225744449143	-0.128797177161	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.206927233221	0.179326561234	0.121680249728	0.288260004612	0.206051878668	0.211467381958	0.0156886021437	-177.159667638	0.57272742426	0.583147759804	0.0324866696114	0.600645439813	0.608743183115	0.0549806526925	0.0334238407837	-109.147313796	0.643727286281	0.641486451488	0.0241938096376	0.649214067073	0.648993738593	0.0482713268607	0.00067314975443	-259.367234963	0.33170820635	0.331897370529	0.0469993530578	0.325863016337	0.326348361615	0.0171849301734	-0.163331420958	-300.0
RFX5	-0.9070030291	7.3384705	6.4314674709	0.350202619725	0.296497811934	0.221038665423	0.256022172671	0.233123468158	0.127001276386	-0.0249700610119	-198.966574993	0.57514807256	0.582671737258	0.0297218831371	0.602767657629	0.610524744607	0.0441080310522	0.0221858702621	-81.6781613697	0.473437118274	0.47111331794	0.0201203353716	0.475892084157	0.475421661629	0.0420389883245	0.0307423589028	-150.511801946	0.307513535452	0.307407972537	0.0523243653732	0.303549646043	0.302776525752	0.0190448372975	-0.118313185464	-300.0
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.422679283595	0.372338094837	0.220355356817	0.328174025421	0.318825895229	0.127714099036	-0.0300497640718	-125.820538966	0.571585191409	0.586587522349	0.0352148232242	0.606570596638	0.615171821544	0.0848175928244	0.0423439410575	-50.2399583915	0.392517438924	0.392604402056	0.037325109093	0.383031223536	0.385190454854	0.0186238355781	-0.046419597571	-200.357058247	0.340957524185	0.340581706355	0.0338622886452	0.339439113527	0.337513077106	0.0146654207643	-0.133824334696	-300.0
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.385837556968	0.345492436134	0.213190203697	0.307636022342	0.311652613534	0.126720298559	-0.028786456101	-101.871679895	0.76098213611	0.767880465936	0.0683028932846	0.583232104012	0.595395868524	0.0294268688836	-0.468228226576	-300.0	0.453783841807	0.454232702468	0.031331988338	0.445308658881	0.446646082177	0.0151745135422	-0.0861352263308	-300.0	0.364977355034	0.366006099874	0.0292054202351	0.362924941627	0.36303682247	0.0105278629023	-0.138972386512	-300.0
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.309599130825	0.240737623309	0.2182999598	0.230975966627	0.215402431118	0.123945761367	-0.00100164252644	-46.953056542	0.57567660827	0.587786641803	0.0743799473637	0.541578210061	0.547101477839	0.0290089688139	-0.113712850138	-56.6400373339	0.339515196264	0.339504961991	0.0187836694054	0.341201641366	0.342843037623	0.0444844328029	0.0303546822282	-41.9348055111	0.323923241341	0.323662599642	0.0345523853709	0.319910565182	0.321049307864	0.0134341038551	-0.0810804458562	-134.982165683
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.41089302067	0.358878293637	0.279561765107	0.274356454544	0.26399631176	0.154856059943	-0.0409813553718	-52.5610468366	0.579074178333	0.590461257203	0.0293797125702	0.587060864905	0.592976166552	0.082947787974	0.291646402281	-5.66770697255	0.528318488241	0.52775727551	0.0423179795946	0.518198133467	0.521084695327	0.0215120986367	-0.0389162465615	-76.6571839401	0.319769180636	0.318458590196	0.0328067727834	0.313679982736	0.315123406751	0.018584442318	-0.153484513459	-205.413782946
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.34314366248	0.294442170887	0.148580042462	0.385497414786	0.349574016025	0.25707908842	0.0432501008757	-26.9552073769	0.574901967433	0.581944695011	0.0323139339172	0.574929078299	0.587931765571	0.0943096707271	0.225782770886	-10.0245950978	0.466015725821	0.465764919318	0.0672114086586	0.45748620321	0.460059069401	0.0298630933314	-0.031647862642	-56.0250608202	0.291108120936	0.291251357299	0.0106385825039	0.295428104162	0.291541345504	0.0390957031189	0.0178477337657	-33.2957935526
INSM1	-0.5296980979	6.7003285	6.1706304021	0.384251985353	0.361837547686	0.221861985362	0.254536982626	0.23207408257	0.119888674334	-0.0742455775124	-300.0	0.579200209032	0.588486960042	0.030962026647	0.602425544667	0.610223049118	0.0524522986725	0.108483373531	-90.6829409933	0.490090866211	0.489261328413	0.0272117703129	0.494159232734	0.489742025683	0.0559605922483	0.0789967834604	-129.91167164	0.296546348613	0.295793296209	0.0186513283197	0.299312135839	0.296327525881	0.0487905003526	0.100252521147	-38.7596696572
ERG	-0.4811139683	3.9203937778	3.4392798095	0.259916216588	0.242183890306	0.129319434726	0.342221686661	0.274697226712	0.21895741557	0.0233356843389	-300.0	0.668042320583	0.67495903245	0.0563919664494	0.583547444261	0.592200744488	0.030189551971	-0.374719167214	-300.0	0.503637492082	0.502525717119	0.0198466055535	0.504658808074	0.503128451589	0.0431303646115	0.0671575039272	-245.330438995	0.307976690951	0.307620404235	0.0461549751106	0.307754618727	0.306271524562	0.0155001582094	-0.00193980249816	-300.0
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.279048453755	0.235616752644	0.121131338181	0.319667701289	0.271689330544	0.213247116405	0.0511589010092	-99.8680211122	0.57315129219	0.587466792486	0.0333057715558	0.602393039569	0.610445857031	0.0816410631689	0.117210990607	-37.8892816637	0.386799328526	0.386067914848	0.0194202277727	0.391894198012	0.387382397556	0.0424226317455	0.0323415454264	-90.9230538829	0.336160500636	0.336431720171	0.0384515100361	0.333622436437	0.334101136238	0.0155233192352	-0.0347116001779	-227.142736737
USF1	-0.4081315146	7.4895785833	7.0814470688	0.344306720632	0.307570135773	0.222420631651	0.233299052222	0.21419137235	0.121341086054	-0.0170035825163	-136.294405655	0.667002510387	0.673725409885	0.06057221775	0.579658980434	0.589766822157	0.02928331724	-0.364106529667	-246.47746374	0.417092240535	0.415215694313	0.0305662499577	0.424501017886	0.416626280414	0.0664961039289	0.0392710036397	-81.3246319107	0.336242266994	0.33562845342	0.0213111247112	0.343684431725	0.335682460561	0.085789110193	0.00883170361999	-109.773231135
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.430344516252	0.433665259999	0.179045951527	0.27322374176	0.251230033854	0.102081574171	-0.127238493942	-300.0	0.618051637426	0.62672728276	0.0521416386222	0.576602718638	0.586506442783	0.0313492787951	-0.0672149521277	-300.0	0.460469028577	0.457850089315	0.0263482444291	0.472158485708	0.463449022163	0.0583573265507	0.031952134234	-300.0	0.339945143442	0.33906148656	0.022183766515	0.344732515401	0.33969812973	0.0705386606534	0.0901323383596	-178.363639617
CTCF	-0.3682107037	8.924475	8.5562642963	0.238072305872	0.213482728365	0.119122425888	0.335841093295	0.272786191202	0.209347187553	0.0135059368982	-300.0	0.684035163054	0.691257780189	0.0621981913479	0.582297334736	0.592663322447	0.0291079847971	-0.413629602221	-300.0	0.511002986137	0.510605461568	0.0193477812651	0.513268732335	0.510950551543	0.0392772553661	0.0716336915991	-300.0	0.328132249108	0.327469549173	0.0171719910674	0.330228120861	0.327604615327	0.0476661614254	0.089608795265	-159.724021373
MAFB	-0.3502367328	5.0393535	4.6891167672	0.466055074713	0.532508245337	0.250641507613	0.224408212878	0.200756836988	0.133122823997	-0.270911721568	-300.0	0.579316061148	0.590267069873	0.0291514930175	0.591293813433	0.598299630222	0.060184683365	0.378372990063	-6.6987602464	0.507821605008	0.494040632209	0.0701141140684	0.481941539449	0.482165253274	0.0258606534297	-0.088454155026	-260.87930603	0.32341217552	0.323721069024	0.0176003184657	0.327882365557	0.324434192851	0.0535817137616	0.00225107907754	-132.062881032
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.439227376277	0.429916820761	0.223385158444	0.289386117855	0.263567750577	0.122715094868	-0.0851302104204	-300.0	0.576932613394	0.587797954812	0.0334487218955	0.589638511583	0.599074704116	0.057943494206	0.295977787046	-13.7786152983	0.498523655788	0.496684111676	0.0287620417958	0.510336766643	0.503837032145	0.0645993707006	0.00991932025667	-257.123582115	0.340971992039	0.341030273433	0.0201071912509	0.350652002461	0.342608494037	0.077153405707	0.0239665571276	-143.354869307
STAT4	-0.3171848783	2.786079	2.4688941217	0.306479204348	0.254562550307	0.137657321473	0.344945991337	0.302285024083	0.23353074028	0.0655035658263	-65.4620174368	0.578735831175	0.586537306757	0.0326992606832	0.579980120655	0.589598701546	0.0657525087805	0.343974641556	-7.79539279919	0.611591675479	0.609488249442	0.0219709215969	0.611669050628	0.611012282863	0.0487451524037	0.0500881170557	-55.9801805164	0.302234925593	0.30234884354	0.0198745034025	0.304625515255	0.302924715408	0.0369292958163	0.0307086922035	-71.0881620106
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.409910395215	0.345404981191	0.268302326139	0.298040879234	0.276276060744	0.154471008413	-0.0117439491934	-116.029501125	0.744511061883	0.752715098179	0.0769087017955	0.583230443678	0.59686568483	0.033479546371	-0.452204352927	-215.78820055	0.400929746765	0.394729168697	0.0519927100497	0.390054322462	0.390211985517	0.0202571158966	-0.0401838389968	-179.96557889	0.269995988537	0.269468612864	0.0438822175592	0.26851138573	0.267791463395	0.0152595996938	-0.0216324197245	-131.117334837
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.22707144641	0.194833194255	0.12388060586	0.30809332077	0.218399517658	0.214687302659	0.057297160804	-149.693548495	0.582598644454	0.590894860888	0.0360273583274	0.601576229563	0.61239938196	0.0507343370599	0.185790829225	-12.9360976158	0.501551539057	0.483206189146	0.0886215017765	0.467901539331	0.465675630238	0.0315401311973	-0.0895486610082	-274.967882358	0.339345374967	0.338597545841	0.0384224465115	0.358620408807	0.338699903899	0.131730408804	0.0221262382374	-78.6705218253
GABPA	-0.261986254	8.661842	8.399855746	0.224318011833	0.197581495013	0.122406093663	0.316553802206	0.241762931603	0.214377807405	0.0364729094276	-169.981676216	0.576777774348	0.589693635322	0.0331266560168	0.595727775452	0.604860060323	0.0554725026449	0.210560300904	-17.4828540208	0.478538647409	0.468658998386	0.0680545062802	0.458314560348	0.455395405949	0.029412594739	-0.0368900267514	-287.446425968	0.304361096373	0.30422373507	0.0233463912884	0.310271377015	0.304358043855	0.0831119422098	0.0394779843238	-83.8025103016
