FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	FLR_99_H1hesc_protection_mean	FLR_99_H1hesc_protection_median	FLR_99_H1hesc_protection_std	FLR_99_K562_protection_mean	FLR_99_K562_protection_median	FLR_99_K562_protection_std	FLR_99_protection_ks_stat	FLR_99_protection_ks_pvalue	FLR_99_H1hesc_tc_mean	FLR_99_H1hesc_tc_median	FLR_99_H1hesc_tc_std	FLR_99_K562_tc_mean	FLR_99_K562_tc_median	FLR_99_K562_tc_std	FLR_99_tc_ks_stat	FLR_99_tc_ks_pvalue	FLR_99_H1hesc_fos_mean	FLR_99_H1hesc_fos_median	FLR_99_H1hesc_fos_std	FLR_99_K562_fos_mean	FLR_99_K562_fos_median	FLR_99_K562_fos_std	FLR_99_fos_ks_stat	FLR_99_fos_ks_pvalue	FLR_99_H1hesc_flr_mean	FLR_99_H1hesc_flr_median	FLR_99_H1hesc_flr_std	FLR_99_K562_flr_mean	FLR_99_K562_flr_median	FLR_99_K562_flr_std	FLR_99_flr_ks_stat	FLR_99_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0966443040954	0.0755940110665	0.0529143749339	0.0682420029805	0.0531680590213	0.0395500098929	-0.150414776796	-300.0	0.659578789429	0.670894085591	0.0775354984574	0.549996036239	0.561971442765	0.0362186465262	-0.526199261993	-93.4577710099	0.363067512125	0.360890114219	0.0617802475748	0.328880136537	0.328081922017	0.03650524308	-0.380217302173	-30.4253201259	0.337146697727	0.335463612445	0.0679146966971	0.304860138284	0.302019587023	0.0223726794853	-0.60013386589	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.071565560305	0.0604852860989	0.0273962205328	0.0537517390419	0.0468024217697	0.0194955396948	-0.132891673147	-300.0	0.700217370728	0.709456326272	0.0996480444195	0.547208412214	0.566043238361	0.0356616611896	-0.577168949772	-74.1093126758	0.598653243351	0.600805178451	0.0952546821758	0.544350015931	0.546563242602	0.0803285805572	-0.295788064872	-15.185383868	0.31847077286	0.316835219603	0.0375891049865	0.285739257177	0.286303611221	0.0159387255764	-0.694438620782	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0967635218854	0.0805126620672	0.0474163229609	0.0700921639145	0.0560020066387	0.0360764057203	-0.137187194816	-300.0	0.653052724365	0.662261455585	0.0538268726098	0.558674606649	0.569914271519	0.0339522037634	-0.50669369953	-300.0	0.406890268502	0.403290257145	0.0556420052193	0.382816552721	0.376860918666	0.0487711120961	-0.19774510226	-56.2820426733	0.344984385103	0.345125157081	0.0453645785125	0.317121482195	0.319295222438	0.0166344208438	-0.631090950226	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0634845069651	0.0534238968919	0.0268900321234	0.0457187364683	0.0373955127106	0.0206374803837	-0.186202031589	-300.0	0.712779373352	0.720468464127	0.0536209193355	0.567747271904	0.574760348994	0.0330549313098	-0.580080795062	-101.515456907	0.402472368266	0.399576283824	0.100549983559	0.388159000914	0.373663152796	0.0794665247658	-0.202535885167	-12.8258836859	0.29070893353	0.290091757886	0.0491836742644	0.269210224186	0.269226682761	0.0177216307743	-0.547840325978	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.0740002519955	0.0609106207222	0.0353517228109	0.0579084547475	0.0472553407692	0.0300144812065	-0.0417479469221	-300.0	0.693972331583	0.702605803935	0.0701931783405	0.563894479628	0.577408007407	0.0320920102347	-0.548304180897	-299.9999921	0.621429608738	0.620167772087	0.0498929311532	0.585153309688	0.584738531149	0.0297185306161	-0.534151925562	-152.38265888	0.334512247555	0.334313450569	0.0531712257546	0.316632776829	0.315016698866	0.0178294373327	-0.491900770518	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.105085257086	0.0835291758581	0.0534907801464	0.0727237537774	0.0593175018911	0.0386516087998	-0.187356519785	-300.0	0.64768225427	0.656043970879	0.0494512225417	0.565181513874	0.575898584336	0.0350288569857	-0.469737764174	-101.644034447	0.554990769916	0.550895032774	0.083605150565	0.516497214496	0.520404741831	0.0729781644449	-0.28254539544	-23.6518585852	0.330986366307	0.32974140995	0.0394107848936	0.316306078469	0.312985135113	0.0192818377791	-0.484603963766	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.0562078793063	0.0436083782924	0.027670252607	0.0395542152838	0.0314963200906	0.0211030932458	-0.146551652239	-300.0	0.609414753816	0.619327231669	0.0915637358608	0.553788635539	0.570975923859	0.0361460188988	-0.164063077453	-39.6251251155	0.845116177739	0.845432859719	0.0710917184022	0.804493257159	0.807699891617	0.0302670775185	-0.396559162371	-31.9334822359	0.314462018681	0.312929486433	0.0435364039916	0.303369687648	0.300125246147	0.020283107927	-0.419135171645	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.111515642736	0.0958055419059	0.0668320368968	0.071456113469	0.0595963818766	0.0466425144978	-0.0294201087682	-300.0	0.725665088799	0.736021792903	0.118803729184	0.559401036212	0.582367861838	0.040101185842	-0.531383415113	-99.1284604384	0.413855988727	0.41413479268	0.0853371666422	0.408911055193	0.396689116851	0.0530115000992	-0.170777381358	-10.2934999926	0.321496336468	0.320959551694	0.034916020188	0.307041474494	0.307049780161	0.0168665201307	-0.551771956865	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.114735991108	0.102335532594	0.0321318779551	0.095782057519	0.08743736089	0.0228640087946	-0.0553637414212	-300.0	0.62823320716	0.638477224678	0.0573033904329	0.563688087641	0.576875445172	0.0351426678328	-0.283160709388	-286.430831159	0.490043665231	0.489025557465	0.0439027670308	0.470201571019	0.469896137015	0.035371493895	-0.245510363186	-81.3968444467	0.308301630973	0.308193580404	0.0608627126251	0.302164949613	0.297375159878	0.0210989356298	-0.288590763914	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0343551946283	0.0258699480961	0.0332795388393	0.0504136133146	0.0379171155104	0.0428860561504	0.0691485183993	-300.0	0.646652491629	0.655749086958	0.0698156345369	0.568063767021	0.580458870203	0.0319235766024	-0.384491616349	-228.249714633	0.388081285012	0.386709993607	0.0526669643759	0.372269808689	0.373184632314	0.0352913772784	-0.227542776988	-44.6649305094	0.314052148369	0.314006035032	0.047449150085	0.308983280447	0.30478882526	0.0176435102317	-0.304128970855	-300.0
