FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Cuellar_80_H1hesc_protection_mean	Cuellar_80_H1hesc_protection_median	Cuellar_80_H1hesc_protection_std	Cuellar_80_K562_protection_mean	Cuellar_80_K562_protection_median	Cuellar_80_K562_protection_std	Cuellar_80_protection_ks_stat	Cuellar_80_protection_ks_pvalue	Cuellar_80_H1hesc_tc_mean	Cuellar_80_H1hesc_tc_median	Cuellar_80_H1hesc_tc_std	Cuellar_80_K562_tc_mean	Cuellar_80_K562_tc_median	Cuellar_80_K562_tc_std	Cuellar_80_tc_ks_stat	Cuellar_80_tc_ks_pvalue	Cuellar_80_H1hesc_fos_mean	Cuellar_80_H1hesc_fos_median	Cuellar_80_H1hesc_fos_std	Cuellar_80_K562_fos_mean	Cuellar_80_K562_fos_median	Cuellar_80_K562_fos_std	Cuellar_80_fos_ks_stat	Cuellar_80_fos_ks_pvalue	Cuellar_80_H1hesc_flr_mean	Cuellar_80_H1hesc_flr_median	Cuellar_80_H1hesc_flr_std	Cuellar_80_K562_flr_mean	Cuellar_80_K562_flr_median	Cuellar_80_K562_flr_std	Cuellar_80_flr_ks_stat	Cuellar_80_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.110442612236	0.081550494594	0.0714106714549	0.0680209630824	0.0449792960662	0.0454352076119	-0.0885127846681	-300.0	0.634827068529	0.65548192413	0.0676313323807	0.598678985656	0.607058013785	0.0332074131592	-0.0824687718642	-300.0	0.404611651676	0.397174385555	0.0596550494079	0.416244640354	0.397625815081	0.136562526694	0.0363178844207	-21.5495403343	0.343649005667	0.342096536129	0.139312711063	0.324144807521	0.305828329095	0.0616987826037	-0.202642535149	-35.6098257696
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.0159640287595	0.0132058851353	0.0128323188752	0.00916074258454	0.00740461136383	0.00812511093405	-0.0265013525697	-300.0	0.726309067347	0.73084574903	0.0428514281079	0.658770145001	0.667213118434	0.021654625999	-0.311059802802	-300.0	0.47750014028	0.475374672485	0.142261560586	0.440586952299	0.413132099317	0.0454735009016	-0.213480873279	-30.8686488499	0.320961097368	0.315801397661	0.104844788734	0.297155517007	0.289767468194	0.0578107310709	-0.183448440105	-7.44199984809
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.0246467829465	0.0201990550061	0.0135517907429	0.016535448154	0.0134625991218	0.0084355404777	-0.0249073498473	-300.0	0.716547498987	0.721234558013	0.0447461656292	0.66397470761	0.674605954928	0.0236497945197	-0.144748899937	-300.0	0.397683361539	0.385170707864	0.133110366103	0.387660005315	0.36470731935	0.0444682870202	-0.0402847773176	-130.923964354	0.34577079759	0.345610281876	0.123428677313	0.330351616511	0.319730058497	0.0537466466807	-0.160576446194	-68.0194413825
TP53	-3.9536696865	9.9692148611	6.0155451746	0.0465883602411	0.0384566405399	0.0263601745514	0.0296910511451	0.0242464135861	0.0166151939874	-0.0675891985467	-300.0	0.661907758651	0.673474273127	0.0250850138647	0.676970044878	0.681619951884	0.0494319567677	0.409094327369	-239.020106032	0.370782318287	0.347571956637	0.157801087174	0.351377771525	0.330981616805	0.0441118839234	-0.0495224778819	-24.5159885292	0.30683372641	0.307266904075	0.146437041676	0.304907073227	0.289344911494	0.0634513571311	-0.054520988431	-4.36577753645
ETS1	-3.5009108624	6.8488314444	3.347920582	0.00883927517408	0.00718861125822	0.00755028543092	0.0057923654635	0.0045211682214	0.00475959523704	-0.00557419893303	-300.0	0.664377699264	0.676518572437	0.0250038871743	0.696588453439	0.70179404066	0.0499900843048	0.196832687794	-300.0	0.436338789038	0.433265736563	0.122991479063	0.430264832996	0.409377590256	0.0424876430575	-0.0752825314422	-204.335023478	0.335962254247	0.33621985576	0.127856870866	0.325910224228	0.313867114791	0.0562940947362	-0.10946536339	-50.8369039104
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.0198175182887	0.0154704429133	0.0143021727678	0.0128297400608	0.00996372289418	0.00841720989449	-0.10778840315	-300.0	0.752831433135	0.758567421799	0.0398480349175	0.673228238148	0.681403472421	0.0185816721276	-0.34807798871	-300.0	0.412371338212	0.410203749375	0.144624510213	0.373472502415	0.356310096595	0.0547106873534	-0.150205855554	-37.6338557538	0.338268586842	0.332153815221	0.0990268232782	0.318473045792	0.312816777225	0.0811087468924	-0.110216205813	-9.66974873509
AR	-2.8208135212	6.4303512778	3.6095377566	0.057341876086	0.0452353244643	0.0359418318976	0.0328941512178	0.0250873549684	0.0203260790754	-0.0993680039636	-300.0	0.792629680996	0.798490737339	0.0390386499342	0.680513074024	0.689160894231	0.0173342954642	-0.349249475552	-300.0	0.357483723454	0.354137012779	0.148940820896	0.350320161787	0.334899586208	0.049249171567	-0.0518302525019	-13.8037840219	0.311470390963	0.308300449293	0.111434387321	0.309599957102	0.301445918697	0.08544411713	-0.021502115093	-1.50947298736
SRY	-2.631585418	4.77859	2.147004582	0.00834603923781	0.00646825229668	0.00782090596459	0.0150491213495	0.0116802112146	0.0127874551837	0.0499352319359	-300.0	0.678083722459	0.687583790945	0.0449895496866	0.620201971917	0.627287351971	0.0195447675431	-0.2212939252	-300.0	0.484059581671	0.483179694118	0.161728388028	0.449467191662	0.430198818943	0.0432940791551	-0.189622060183	-23.0052988184	0.330627176747	0.323214313271	0.101340941512	0.313922614187	0.307756678399	0.0842941911395	-0.0669350404524	-4.2252887242
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.0281779475796	0.0255673038543	0.00957761692597	0.0374714337678	0.0334164997593	0.0149477408952	0.0433137287029	-300.0	0.788307055914	0.794191525908	0.042485506673	0.674188483734	0.685125142072	0.0224810031466	-0.327160383849	-300.0	0.396028914234	0.380972142679	0.118558137383	0.384415668984	0.370516949753	0.039387986362	-0.0163805676735	-160.022822986	0.323667308305	0.308625079175	0.156754263384	0.312165746767	0.301056744255	0.0730230329468	-0.0294269484268	-22.8891047678
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0106988445266	0.00856882306449	0.0082250767372	0.0158501403735	0.0126838175682	0.01292918027	0.166583302982	-300.0	0.764368522911	0.767632779483	0.0409367926728	0.676171822896	0.684653650335	0.0197898895428	-0.300990418184	-300.0	0.385216563457	0.381160336174	0.125882678744	0.384038946992	0.357052280334	0.0381855321485	-0.0931862237867	-46.7540173361	0.321012906809	0.313447993757	0.128750949182	0.313706353025	0.30383824389	0.0639599643709	-0.0351974173268	-5.17667534066
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.0220143265393	0.0171675237706	0.0152533510592	0.0123247970714	0.0098782618802	0.00867870353651	-0.0592478367688	-300.0	0.673964635691	0.683517637129	0.0459529984523	0.651809299554	0.658422464576	0.0200343073027	-0.00744387014908	-300.0	0.496167855296	0.494761867111	0.126095220857	0.462704780711	0.454678125021	0.0405932531489	-0.149844507187	-51.5970573191	0.320147459174	0.316786247591	0.107644734594	0.31295089977	0.30750364406	0.0658783806205	-0.0208704588925	-3.84090261056
