FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Dnase2Tf_H1hesc_protection_mean	Dnase2Tf_H1hesc_protection_median	Dnase2Tf_H1hesc_protection_std	Dnase2Tf_K562_protection_mean	Dnase2Tf_K562_protection_median	Dnase2Tf_K562_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_H1hesc_tc_mean	Dnase2Tf_H1hesc_tc_median	Dnase2Tf_H1hesc_tc_std	Dnase2Tf_K562_tc_mean	Dnase2Tf_K562_tc_median	Dnase2Tf_K562_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_H1hesc_fos_mean	Dnase2Tf_H1hesc_fos_median	Dnase2Tf_H1hesc_fos_std	Dnase2Tf_K562_fos_mean	Dnase2Tf_K562_fos_median	Dnase2Tf_K562_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_H1hesc_flr_mean	Dnase2Tf_H1hesc_flr_median	Dnase2Tf_H1hesc_flr_std	Dnase2Tf_K562_flr_mean	Dnase2Tf_K562_flr_median	Dnase2Tf_K562_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.23692898019	0.195773509113	0.118010191072	0.11125229503	0.100934712659	0.0542364523328	-0.111398712274	-129.370999553	0.607590998542	0.614199054149	0.0335800425411	0.609528251714	0.621388957684	0.066406085318	0.205775290482	-98.0012713138	0.643916619749	0.646147502659	0.0378230303906	0.617347739272	0.619961118065	0.016914159251	-0.410684428868	-300.0	0.317899215832	0.317845506557	0.0300004418604	0.306640972837	0.306629702349	0.0136162960971	-0.50312331539	-300.0
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.0891565052358	0.0739183747382	0.0499084723821	0.0461355217805	0.040251240587	0.0256666899125	-0.0701572949725	-151.229876981	0.732830632955	0.737892047693	0.0581985489759	0.615116171988	0.62429432998	0.0280350405592	-0.416394629209	-300.0	0.580787283934	0.583284507931	0.0485017184373	0.56180611211	0.563467400193	0.0238283126079	-0.219918340264	-300.0	0.333893954834	0.333778839639	0.0322267641009	0.323494535879	0.3228078629	0.0146278244371	-0.492593371863	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.117243797478	0.10510597382	0.0660793454459	0.0562582848577	0.0523949810498	0.046426232478	-0.0436935749752	-52.7311250608	0.582159793479	0.58833332567	0.0309077275117	0.602685823581	0.608307876721	0.0614364222397	0.135426237459	-179.27605925	0.528977903234	0.524571023003	0.0617247187425	0.521532138706	0.520744887359	0.0216714014497	-0.0618854920585	-300.0	0.279169117404	0.279417858712	0.0329599269369	0.275758798442	0.275187338192	0.009835134591	-0.219426515579	-300.0
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.0816098061333	0.0661118217023	0.0518783069088	0.0357893118444	0.0324677071212	0.0246781616717	-0.147461118543	-77.6907865372	0.714892307271	0.719467701887	0.0609658747066	0.630822427787	0.642170159034	0.0272189999337	-0.223000116216	-300.0	0.424110883432	0.425561813794	0.0316109678777	0.416184343177	0.417453327765	0.0125473484408	-0.180681840311	-300.0	0.317037772023	0.316778899319	0.0324381337213	0.312694422207	0.311867814621	0.0125692548329	-0.26905326672	-300.0
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.238959180534	0.210744378167	0.129839303784	0.110738901767	0.0888185461225	0.0715791166368	-0.0400537428437	-51.743044578	0.545162458344	0.551169026521	0.0364313415883	0.553974116643	0.56363736839	0.0923378728883	0.179124516472	-38.4808791283	0.477691683484	0.475152501947	0.0260530663521	0.47989104797	0.479889574615	0.0563031109654	0.0321138857299	-20.3899685614	0.257811724426	0.257511383788	0.0475721296514	0.255750666108	0.253863851225	0.015885902781	-0.137273324552	-217.332532746
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.0454800834719	0.0399886091949	0.0238454292673	0.0884140038961	0.0790470824581	0.0516886872827	0.0509756168051	-300.0	0.764031729555	0.768574476848	0.0674577184187	0.58260280574	0.590242182885	0.0295282508629	-0.448358779558	-300.0	0.461582534971	0.457716563278	0.027879911502	0.470629062963	0.459579426783	0.0611564501974	0.0300872542754	-300.0	0.331258006248	0.331392377137	0.052107717231	0.328892006257	0.326796096824	0.0190737563026	-0.184515545305	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.188252106629	0.162250351458	0.0940019629906	0.0891816874004	0.0784217339883	0.053776117444	-0.0513460718431	-300.0	0.572422885202	0.584193967766	0.0327455069284	0.590181938584	0.595479620181	0.0793632831579	0.298603800537	-133.404270581	0.533384827538	0.53354789366	0.0482839973916	0.529226626469	0.527086639591	0.0235415346657	-0.0219209632106	-300.0	0.331734477549	0.331837677769	0.0372262885519	0.329111073214	0.32796010619	0.0147305016903	-0.125987967545	-300.0
RFX5	-0.9070030291	7.3384705	6.4314674709	0.126044644936	0.109525626347	0.0702595981844	0.0580910265399	0.051403868941	0.0371485369188	-0.0644320969523	-292.288665781	0.714402067386	0.718787961656	0.0741106897573	0.593241435288	0.60277523689	0.029795797142	-0.279308656081	-300.0	0.506399793406	0.501714970778	0.0258462902025	0.506906128152	0.505529620108	0.0566290803677	0.0287069350197	-151.510806717	0.307526274232	0.307427230438	0.0434363700223	0.306105000084	0.304178182381	0.0159081912891	-0.0978985544823	-300.0
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.234924996269	0.194940339123	0.112580236045	0.111987522367	0.104844502	0.0520573824949	-0.0642090307536	-148.07764454	0.623164126282	0.636697004859	0.0291787266297	0.66598109605	0.670345430701	0.0665630597734	0.13583768916	-207.375629598	0.391647514423	0.392883048375	0.0313970383702	0.383582173304	0.385648752152	0.0144751962564	-0.157306119607	-300.0	0.340903330282	0.340581706355	0.0260373795139	0.33682722424	0.336667626393	0.0126476427082	-0.222886313494	-300.0
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.064852352538	0.0533934513319	0.0307077035338	0.0304613496505	0.0272341815609	0.0182068807662	-0.104580898458	-151.580398333	0.730082085357	0.736653869461	0.0565567283665	0.647909522503	0.658845805242	0.0362460193491	-0.238142311987	-300.0	0.474559647086	0.476277821274	0.0227868586924	0.467305805671	0.469365136017	0.00937850044664	-0.175113712017	-300.0	0.340802270223	0.341946712005	0.0293775734063	0.339889172847	0.339485271942	0.0116367064305	-0.111095890688	-300.0
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.191505548815	0.162373174073	0.102433650519	0.0895820724277	0.0823776519802	0.0359991611531	-0.0734649195831	-60.0548782927	0.625427798492	0.636632529821	0.0357266047369	0.630952253201	0.638124818565	0.0653859177076	0.327247723567	-24.1231197892	0.333000144308	0.334823270116	0.0358943395476	0.329723060968	0.33044127523	0.0136336653464	-0.0427333031066	-116.443838885	0.32415008204	0.323662599642	0.0288269991379	0.319627894701	0.320867483968	0.0113745289872	-0.165107082137	-300.0
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.294059228394	0.246729738133	0.143004160824	0.126038316205	0.120110807747	0.0769045589942	-0.109514102559	-63.2420058513	0.627055670857	0.639845740198	0.0312710985611	0.66444706304	0.669095474391	0.0661042564491	0.190652683369	-58.8284579282	0.523053505859	0.522977084603	0.047977011492	0.513357568912	0.5162422149	0.0214137758044	-0.103489993653	-169.608375669	0.31946628109	0.318458590196	0.0272434660788	0.315941252527	0.316168917603	0.0156966955253	-0.116985529895	-255.901972949
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.192718958504	0.155492516386	0.10317626576	0.0828518459317	0.0745150172671	0.0477600168815	-0.0535804522728	-28.6371352334	0.653926546438	0.665507772525	0.0285894012472	0.676583175589	0.680995808107	0.0534020670284	0.287136483427	-28.3926960989	0.366490730645	0.368946073118	0.0572928798836	0.362322114521	0.364014170661	0.0218978540278	-0.0518326317878	-95.2722429899	0.291106662343	0.291251357299	0.0293984154813	0.29103765036	0.289791916849	0.00885757219846	-0.0524163828175	-139.70484928
INSM1	-0.5296980979	6.7003285	6.1706304021	0.0942433298809	0.0864319924499	0.0530242895601	0.0443199320502	0.0386620099307	0.0230350230448	-0.033560247485	-300.0	0.761789909576	0.766439040702	0.0697968424853	0.593790375935	0.602905654128	0.0272075622066	-0.419915360067	-300.0	0.607595894999	0.604795939139	0.0218105635062	0.608553221164	0.607759059326	0.0419709320785	0.0630618065384	-179.005070044	0.296420016821	0.295096230122	0.0160637670959	0.296753775399	0.296213546677	0.0395726787243	0.052186718497	-225.436360541
ERG	-0.4811139683	3.9203937778	3.4392798095	0.0898554453647	0.081152247974	0.0527632870417	0.182871001179	0.156297545409	0.0928385591163	0.00344353284876	-300.0	0.701486143841	0.705522493612	0.0655740134493	0.615628993533	0.624951021823	0.0281904785535	-0.141562496488	-300.0	0.551697528553	0.550719593661	0.0192901141576	0.553687752762	0.550915724284	0.0424106804321	0.0208813195318	-300.0	0.307553262538	0.306400346078	0.013059605001	0.307682166545	0.307620404235	0.035880969526	0.0271413997446	-300.0
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.0647632971691	0.0550686336355	0.0312187746409	0.0304491620418	0.0282041984344	0.015679033256	-0.0617222218157	-177.131219979	0.726358185628	0.73095635232	0.0601197591443	0.628944967971	0.637643530768	0.0282405696771	-0.262569852502	-300.0	0.456859101931	0.455435280971	0.0140726848493	0.459162850414	0.455696726636	0.0321817991921	0.0102905229743	-139.321607005	0.336331720171	0.336431720171	0.0327826123774	0.335464060256	0.335042590474	0.0119778022454	-0.0155353651082	-300.0
USF1	-0.4081315146	7.4895785833	7.0814470688	0.095334102043	0.087370494792	0.0494963195248	0.201373330545	0.174345728889	0.112008804558	0.0173537698225	-156.953722089	0.551507319777	0.558145593109	0.0391276209666	0.559754106438	0.572352512532	0.0918777588631	0.209194070899	-158.697862367	0.541250414908	0.533299582935	0.0604247307163	0.533058903385	0.530794565312	0.0258438676028	-0.020786442897	-174.893388548	0.335905798807	0.334870877976	0.0161241474924	0.339273349872	0.335618412245	0.0629025901027	0.0682142720019	-67.2828413389
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.0749437304574	0.0665862337576	0.0393356328808	0.149278800488	0.134400510665	0.0854951453748	0.0556091329268	-300.0	0.758896382996	0.762890881759	0.0670713155743	0.577119971284	0.585033222615	0.0287631594957	-0.427152351586	-300.0	0.551266198717	0.548352938214	0.0236379390686	0.56125255133	0.552796352437	0.0509928633995	0.00957877411971	-300.0	0.339825958434	0.338692644599	0.0204465488262	0.34166648322	0.339596879263	0.0578217701557	0.0775567534958	-300.0
CTCF	-0.3682107037	8.924475	8.5562642963	0.0322928092627	0.0288568034431	0.0201111892548	0.0662391328976	0.05574812859	0.0390666806692	0.01715275824	-300.0	0.722545792141	0.72690790098	0.0671516466707	0.606257706194	0.615058023718	0.0277185750352	-0.291839279603	-300.0	0.533762258059	0.532748941148	0.0195065876897	0.5367563694	0.533209495364	0.0406148088007	0.027003626566	-300.0	0.327694892522	0.326840110546	0.0169699292219	0.327835006136	0.32753607094	0.0372825610914	0.0737158423577	-300.0
MAFB	-0.3502367328	5.0393535	4.6891167672	0.174724985841	0.15255854131	0.0839628352657	0.0900825806672	0.0796694215131	0.0682693751114	-0.0195855603733	-151.537131442	0.719059612083	0.724296145701	0.0704593355933	0.616759155112	0.630229204489	0.0301784435158	-0.224782948389	-300.0	0.522966881399	0.508015149779	0.0699303954768	0.495505708372	0.496969331774	0.0235730922812	-0.138215759295	-300.0	0.313868083099	0.313371980929	0.0156565617572	0.314530654822	0.314126453593	0.0420762958459	0.0775055813679	-46.1491613323
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.164697436175	0.149053847377	0.0840493560771	0.0815221702266	0.0709202680407	0.0420684886093	-0.0263072039044	-300.0	0.709688285696	0.713504441094	0.0757408045077	0.557218710015	0.568640913086	0.0298953331713	-0.366106004021	-300.0	0.506064903258	0.498921830982	0.059900781569	0.495146764732	0.492862573861	0.0268249397139	-0.00995313214251	-291.27931425	0.343012519796	0.3426131471	0.0183056118468	0.345493576703	0.343046903872	0.0595207462523	0.101836274817	-35.5836661033
STAT4	-0.3171848783	2.786079	2.4688941217	0.136767107349	0.112305222444	0.071601546897	0.0662972840563	0.0567984434863	0.0589655355613	-0.0970505481683	-119.253226934	0.731325699004	0.736110987636	0.0581501797723	0.642760444096	0.65355156564	0.030061422259	-0.255975566427	-300.0	0.566867152555	0.566611744302	0.0164622182068	0.566936224789	0.567196084879	0.0379246013807	0.00367934964907	-119.314117081	0.307889085496	0.307897974868	0.0153064037194	0.308563302417	0.308429392772	0.029120488154	0.0454354572371	-100.964474155
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.0644588004209	0.0544832870052	0.0398700108961	0.0310187881774	0.0283972305908	0.0202197364178	-0.0288129857376	-81.5151137713	0.630859751979	0.638770037762	0.0319993854745	0.68303310905	0.688794266851	0.0595448506013	0.045978351415	-300.0	0.428503511084	0.422724840706	0.0425000289623	0.421398210833	0.422647538873	0.0147119976543	-0.0604066644764	-240.355344197	0.269410059299	0.269460596353	0.0109890711385	0.270730158965	0.269465738858	0.0358374756609	0.0666335065941	-52.4725602632
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.0674240741431	0.0646548573823	0.0405872144973	0.142988428221	0.124697959567	0.0825392322738	0.071289034095	-299.143665119	0.760227079396	0.762128567526	0.082402366773	0.543746893804	0.541041601822	0.0334672642402	-0.412766510793	-300.0	0.51124941896	0.494272367665	0.0812629307881	0.475824369152	0.472178372682	0.030203624938	-0.144215190105	-300.0	0.33922662996	0.338597545841	0.0323887806307	0.354168271762	0.338716086751	0.116390881786	0.0352309758529	-86.5260511855
GABPA	-0.261986254	8.661842	8.399855746	0.0436332203304	0.0398174983197	0.022753938241	0.0895187007751	0.081305132806	0.0511048690345	0.0339698877792	-300.0	0.551389033928	0.555167245968	0.0337605144757	0.606462378233	0.610544304797	0.0766181509903	0.0912011326046	-300.0	0.522635099302	0.511243930194	0.0730819082214	0.499632927776	0.495242068463	0.0310583038055	-0.077190975067	-300.0	0.304308626892	0.304177637377	0.0212273679154	0.308077486116	0.304286430141	0.0694765321491	0.0807425178093	-45.6480907403
YY1	-0.2405441005	9.2155432222	8.9749991217	0.130326952157	0.116818044684	0.0666375590071	0.0598154979416	0.0541361350308	0.0314556600346	-0.0581292424727	-279.335668583	0.728916075614	0.732015844817	0.0661747797005	0.611465081816	0.619238234375	0.0284606294342	-0.296537947589	-300.0	0.585043297345	0.585545531043	0.0258736501287	0.587740123356	0.585756424948	0.0580914906678	0.0234167108817	-92.8330932508	0.347579152008	0.347753640889	0.0162027124419	0.349317782413	0.347878890112	0.0486864669446	0.0756881392825	-44.3704306529
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.0482581247723	0.0435670190128	0.0239659459851	0.0955491471267	0.0874394004885	0.05598673357	0.0719440976555	-300.0	0.729820107636	0.734058236674	0.0724014460335	0.566540000083	0.574250147252	0.032180926048	-0.362683294822	-300.0	0.483200409356	0.469440645954	0.0663171089316	0.466924728582	0.4617063574	0.0292020031494	-0.00420886861988	-300.0	0.329531446078	0.32878926821	0.0215204232654	0.332122325887	0.329144475584	0.0699277956223	0.0907062681439	-184.638238348
SRF	-0.2054848492	8.3513662778	8.1458814286	0.0677801491344	0.0569762054011	0.0370014621539	0.0303532781817	0.0298710087897	0.0162294871565	-0.090849184344	-109.151023116	0.735227647827	0.74140541383	0.0592021823792	0.638450648699	0.648969876718	0.0287826258074	-0.25110328345	-300.0	0.559990569586	0.561223304719	0.0161114341372	0.562163109767	0.561274357095	0.0423758515945	0.00378568382288	-111.329812643	0.312847451178	0.31216331417	0.0171912420412	0.313278944822	0.312423466775	0.0373224260077	0.0716252831154	-37.9579781569
STAT3	-0.2035441402	10.0107785	9.8072343598	0.027375197896	0.0264045039431	0.0146481394135	0.0533677452596	0.0491852805274	0.0284208391774	0.0593077306529	-44.2067728142	0.62146610839	0.630826265456	0.030246139478	0.659848060832	0.665576991142	0.0642625529054	0.193793013905	-128.637566769	0.458828975212	0.446025999	0.0713513245837	0.428131218554	0.428513212615	0.0171657023334	-0.244509373851	-300.0	0.284714801747	0.282333599068	0.052602970191	0.281708981894	0.281962004661	0.0118232701726	-0.0544036331955	-287.538153071
HOXA5	-0.2024921587	3.5496091111	3.3471169524	0.214811373591	0.182592719354	0.113584447446	0.105486701763	0.0899398824587	0.0785598834056	-0.0311683043261	-149.603478758	0.714596724749	0.719326770224	0.066658813764	0.61390929637	0.624018475925	0.0287484433054	-0.224961448906	-300.0	0.512022056092	0.513053005392	0.0258210239989	0.515416725652	0.513592332816	0.0545833189356	0.0179093875038	-150.316635905	0.309898304109	0.30994457087	0.015041868623	0.310910355859	0.310191639182	0.0353395067159	0.115327849274	-12.6295949022
SREBF2	-0.1732940608	9.1103612778	8.9370672169	0.142904291162	0.123114944784	0.0816519684679	0.263880663452	0.231935756543	0.123028549878	0.00944142914309	-84.3416139421	0.756060286541	0.761244210592	0.0664791633017	0.620372852225	0.630185198833	0.0278929942571	-0.368561614584	-300.0	0.520963454225	0.522307980754	0.0200655414546	0.522699962498	0.523394817158	0.0424271441437	0.026656256034	-90.9810229735	0.305046510834	0.304895582095	0.0115920613122	0.306272521779	0.30537786292	0.0313538949265	0.0762290282144	-47.065720698
HOXA9	-0.1727359074	3.0796356111	2.9068997037	0.190166632674	0.159668970257	0.103772779787	0.0886550027278	0.0805607903078	0.0429691409049	-0.0346594147093	-49.0358462676	0.625030434711	0.636453159972	0.0339564297448	0.630115110849	0.638901069052	0.0698505593684	0.314485080124	-28.7706564321	0.470066397424	0.47083317268	0.0188770689526	0.470255062584	0.472826846656	0.047671928585	0.00488629579267	-62.4020025883	0.295142646668	0.295117595841	0.01118679088	0.296820495279	0.295761495611	0.0292353842894	0.0345586093325	-51.4933242726
FOSL2	-0.1563748122	5.7409766111	5.5846017989	0.0702768337999	0.0597766530144	0.067710171578	0.125776551249	0.111995578706	0.0712975307145	0.0274581993165	-78.3596679369	0.747893381338	0.75266688723	0.0498446634305	0.634947953972	0.639309570851	0.0267830782506	-0.358860394413	-300.0	0.532795959279	0.525150678212	0.0620014267553	0.517119379405	0.520030388649	0.0227895238159	-0.11821695091	-300.0	0.262984822102	0.26268010332	0.0337902232237	0.26179697935	0.262385051523	0.0121895219948	-0.00718717210847	-300.0
TCF12	-0.1484424405	8.6383393611	8.4898969206	0.154457045041	0.134990451527	0.0739040957408	0.0756921983846	0.0661386143811	0.0416662491191	-0.041175410289	-284.690410753	0.727217219158	0.731621892469	0.0614544958845	0.611268259486	0.619575774922	0.0282029749998	-0.309052789	-300.0	0.430680565854	0.429560309872	0.0243415977716	0.431611954655	0.430433866865	0.0507707531028	0.0376765205242	-195.579590279	0.317160120493	0.316982855594	0.0120126073459	0.318078902175	0.317550594093	0.0294740111951	0.094037740108	-81.5359312129
SOX10	-0.1468324868	5.24596	5.0991275132	0.154460997311	0.135564904204	0.0810737170075	0.0713331430525	0.0625552038467	0.0395631405943	-0.038020701321	-299.999982603	0.69311257062	0.697325484265	0.0691747179609	0.59296437625	0.599706777426	0.0287370811691	-0.185817725964	-300.0	0.473394756137	0.471199019248	0.0226042064294	0.474065994182	0.472046497768	0.0442862988833	0.0648914297241	-102.965602647	0.330916951189	0.330896160998	0.0144778103536	0.333006348389	0.331665712716	0.0395206651623	0.0754037011833	-93.5287178539
FOXP2	-0.1347974762	2.351259	2.2164615238	0.259413733383	0.214707500658	0.128603101518	0.118465553857	0.105898471521	0.0578443347318	-0.0476640808066	-132.362427678	0.596292771339	0.602670702644	0.0336371286982	0.624553689167	0.636636209637	0.0675768848844	0.0925337721149	-259.221444723	0.459845665201	0.462554068978	0.0382276889808	0.454661314229	0.458542739274	0.0164293410531	-0.0338773976896	-300.0	0.325808961521	0.325489727406	0.0121668452095	0.326053168226	0.326049463147	0.0301955953492	0.0520473168866	-95.3460721788
ATOH1	-0.1075542619	4.6970676111	4.5895133492	0.034678570169	0.0300375494368	0.0349327088231	0.0710531487494	0.0618192336758	0.0489199130023	0.00156351880299	-52.8351346777	0.626320250477	0.632724283099	0.0312448636292	0.668901709254	0.675161331905	0.0560981400991	0.112453793861	-214.489068569	0.495934610383	0.488795138951	0.0565307517424	0.481984851168	0.484793863592	0.0192500823331	-0.131919617289	-300.0	0.285939212695	0.285406552926	0.0105181965219	0.286497579635	0.286111970568	0.0340650784951	0.000717284052917	-210.123415154
PPARG	-0.1072274577	2.7755172778	2.6682898201	0.0669406189897	0.0549166505116	0.0614418895517	0.139184830549	0.1154769801	0.0823804079086	0.00105159541277	-94.1129626998	0.746422421681	0.751298108917	0.0611966166994	0.624932625935	0.634212038907	0.0273105498646	-0.360310993345	-300.0	0.467903592372	0.466992930723	0.0468667570783	0.462683896022	0.465407471825	0.0212520914151	-0.0220177253655	-204.464386354	0.258286082639	0.258468515656	0.013258119064	0.259672857613	0.259244464687	0.0305880067597	0.0755800660556	-46.797921887
