FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Dnase2Tf_H1hesc_protection_mean	Dnase2Tf_H1hesc_protection_median	Dnase2Tf_H1hesc_protection_std	Dnase2Tf_K562_protection_mean	Dnase2Tf_K562_protection_median	Dnase2Tf_K562_protection_std	Dnase2Tf_protection_ks_stat	Dnase2Tf_protection_ks_pvalue	Dnase2Tf_H1hesc_tc_mean	Dnase2Tf_H1hesc_tc_median	Dnase2Tf_H1hesc_tc_std	Dnase2Tf_K562_tc_mean	Dnase2Tf_K562_tc_median	Dnase2Tf_K562_tc_std	Dnase2Tf_tc_ks_stat	Dnase2Tf_tc_ks_pvalue	Dnase2Tf_H1hesc_fos_mean	Dnase2Tf_H1hesc_fos_median	Dnase2Tf_H1hesc_fos_std	Dnase2Tf_K562_fos_mean	Dnase2Tf_K562_fos_median	Dnase2Tf_K562_fos_std	Dnase2Tf_fos_ks_stat	Dnase2Tf_fos_ks_pvalue	Dnase2Tf_H1hesc_flr_mean	Dnase2Tf_H1hesc_flr_median	Dnase2Tf_H1hesc_flr_std	Dnase2Tf_K562_flr_mean	Dnase2Tf_K562_flr_median	Dnase2Tf_K562_flr_std	Dnase2Tf_flr_ks_stat	Dnase2Tf_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.0675082421381	0.0600041326742	0.0374036612173	0.0335437693198	0.0297254067623	0.0186829142366	-0.063443286653	-97.964552255	0.511420513211	0.525114653197	0.0401759725781	0.545141631499	0.551191040298	0.0883421704135	0.134126455205	-57.0470712091	0.481169235554	0.47703841211	0.0614110276404	0.451186843704	0.4425246323	0.0304972829005	-0.347026140941	-300.0	0.336296758212	0.335419785602	0.0441255727781	0.306507950572	0.304753612888	0.0156107485574	-0.720596566121	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.063888919524	0.0530070633703	0.041883289077	0.0408414132833	0.0310413102507	0.0413466713613	-0.117659049215	-37.5169587461	0.697255573137	0.703285075346	0.0611000719001	0.59790505068	0.608387358628	0.03267265419	-0.401071347497	-300.0	0.440577086837	0.442195945898	0.0339692049881	0.400493560839	0.4013058008	0.0152695407011	-0.595751242293	-300.0	0.316857016854	0.316156982856	0.0304754528019	0.288868304075	0.287870376032	0.0128982313684	-0.713582812927	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.147375340654	0.130570707951	0.0693268176913	0.0784857198356	0.0691300764443	0.040109360828	-0.126769688156	-300.0	0.693925684017	0.698931292909	0.0654691725835	0.576475015645	0.585815275949	0.0304560366322	-0.428560511251	-300.0	0.471425958226	0.470336641179	0.035218225134	0.441363677461	0.439410026616	0.0179025474947	-0.458780140824	-300.0	0.330564450301	0.330739419551	0.0317857572203	0.308641291246	0.30865597885	0.0126364306046	-0.701573440885	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.165379717042	0.13521484739	0.0900137388459	0.0813650468488	0.0698402771864	0.060751160134	-0.118766268508	-68.0918960055	0.651092253724	0.657350922024	0.0808435073997	0.585288943837	0.602239960201	0.0345287882468	-0.061311221205	-197.301037152	0.56338258756	0.56394913095	0.0607636967063	0.526832438027	0.527376170254	0.0256029379963	-0.38781355725	-300.0	0.304305281227	0.304185313241	0.0394982502008	0.286283178761	0.28463755052	0.0146687063796	-0.629482977769	-300.0
ETS1	-3.5009108624	6.8488314444	3.347920582	0.177582995911	0.152480860235	0.092192711496	0.0921023004661	0.0837545201323	0.0523471848321	-0.0695574918054	-300.0	0.653691735284	0.658468282598	0.0712477633686	0.579429545971	0.588074995934	0.032284361306	-0.125582865824	-300.0	0.567104640873	0.565981353398	0.0443665012242	0.539563699723	0.53596472621	0.0211542880049	-0.391214335979	-300.0	0.334385728755	0.334313450569	0.0383908324448	0.316163881781	0.315194211815	0.0140224698532	-0.633603937438	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.210345513126	0.176777627244	0.104173661709	0.112994229604	0.0974735450195	0.0798123512795	-0.0914674669879	-85.4307785897	0.721979320637	0.728528166712	0.0597471183413	0.617911086216	0.628277952682	0.0352679464883	-0.439616142438	-300.0	0.557099756149	0.558275229551	0.0336312151961	0.523411833741	0.524893528092	0.0157402180282	-0.509505070513	-300.0	0.330158353256	0.329554437898	0.0277825897766	0.311385996307	0.311167955375	0.0129419499371	-0.640079067371	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.183884333392	0.151078663601	0.10101927096	0.0896456817168	0.0784521474082	0.0467773302208	-0.0797139906102	-47.676576605	0.739350528462	0.744953707882	0.058639584112	0.625260374051	0.637294110862	0.0322644229199	-0.450503112938	-300.0	0.472925077596	0.475009466705	0.0434752118513	0.450749194432	0.451544218033	0.0190930663097	-0.337633254622	-300.0	0.31231703279	0.312587325708	0.0322418640208	0.298866527559	0.298381076052	0.01197696825	-0.564497824725	-300.0
SRY	-2.631585418	4.77859	2.147004582	0.0620380228783	0.0501415139085	0.0316434415723	0.0262061431592	0.0244734366676	0.012213129386	-0.182423562854	-86.0385971104	0.622245066796	0.631851615092	0.0333899721197	0.642724695284	0.649104450332	0.057900807016	0.24836898607	-26.83706159	0.482795379547	0.485568610535	0.0376637584785	0.455249995273	0.459392488818	0.0162428366116	-0.442547737036	-300.0	0.321446557935	0.320959551694	0.029454995393	0.308025839824	0.307523036477	0.0148131028741	-0.57150041309	-300.0
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.129972742833	0.117438384	0.0677868842432	0.0649080713113	0.0565447584835	0.0361129469488	-0.0680855145966	-300.0	0.75945698064	0.764258761019	0.0664970434366	0.582881673765	0.591421670627	0.0279719758106	-0.506924847707	-300.0	0.641482995854	0.641214312086	0.0345001825094	0.619311381945	0.61739607508	0.0183418722735	-0.357572128909	-300.0	0.30820246569	0.308121492188	0.0398726045026	0.298461858119	0.296527423142	0.0158173414079	-0.501309461184	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.0730996437483	0.0616233664576	0.040960909454	0.0393584459813	0.032889503403	0.026144345657	-0.075666846691	-122.316085709	0.713205956176	0.718580222507	0.0672773638982	0.607879174426	0.619348869219	0.0293956054908	-0.338589053795	-300.0	0.46208420608	0.462913290618	0.0293902850181	0.446483390069	0.446722683687	0.0133976826502	-0.331751374094	-300.0	0.313997546256	0.314006035032	0.0318850805762	0.303485137836	0.302818497427	0.0128809874303	-0.527470401634	-300.0
