FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Wellington_H1hesc_protection_mean	Wellington_H1hesc_protection_median	Wellington_H1hesc_protection_std	Wellington_K562_protection_mean	Wellington_K562_protection_median	Wellington_K562_protection_std	Wellington_protection_ks_stat	Wellington_protection_ks_pvalue	Wellington_H1hesc_tc_mean	Wellington_H1hesc_tc_median	Wellington_H1hesc_tc_std	Wellington_K562_tc_mean	Wellington_K562_tc_median	Wellington_K562_tc_std	Wellington_tc_ks_stat	Wellington_tc_ks_pvalue	Wellington_H1hesc_fos_mean	Wellington_H1hesc_fos_median	Wellington_H1hesc_fos_std	Wellington_K562_fos_mean	Wellington_K562_fos_median	Wellington_K562_fos_std	Wellington_fos_ks_stat	Wellington_fos_ks_pvalue	Wellington_H1hesc_flr_mean	Wellington_H1hesc_flr_median	Wellington_H1hesc_flr_std	Wellington_K562_flr_mean	Wellington_K562_flr_median	Wellington_K562_flr_std	Wellington_flr_ks_stat	Wellington_flr_ks_pvalue
MYCN	-5.5083089259	9.2460594444	3.7377505185	0.253829199078	0.256156156156	0.075084449019	0.128328564702	0.131471471472	0.0461203050871	-0.220907489185	-300.0	0.645930162755	0.649243212455	0.0707518380984	0.56837784261	0.586775449051	0.0379114722815	-0.150588714132	-300.0	0.478189600959	0.47508150248	0.0459837203578	0.440691057646	0.431750531538	0.0245096247492	-0.429152805143	-300.0	0.33818886509	0.336463985455	0.0874704009832	0.311593379643	0.303640607078	0.0290095256916	-0.423935435296	-300.0
PBX1	-5.4704016931	10.0427314444	4.5723297513	0.383749787791	0.389682713555	0.0979442105794	0.197902923833	0.203951263279	0.0589326676439	-0.245490348718	-300.0	0.710656431994	0.714003492789	0.0511868565192	0.613708741511	0.626818117453	0.0316921929749	-0.484529924834	-300.0	0.554066703594	0.555636680091	0.0356708765746	0.503959311323	0.505472649823	0.0206786918405	-0.547346113682	-300.0	0.318010341312	0.316898961015	0.0558381023437	0.291044995339	0.288775278521	0.0242376768559	-0.430725981868	-300.0
TCF7L1	-3.9938700212	9.0248868889	5.0310168677	0.346807712548	0.318189449332	0.0961120090023	0.187745443456	0.172307429443	0.0565189561205	-0.245043870466	-300.0	0.711638334006	0.713558047114	0.0529368358691	0.610117222331	0.62307767834	0.0305350536498	-0.485070839659	-300.0	0.524155276231	0.522894169079	0.029429723296	0.48929894147	0.488626673798	0.0171222120574	-0.492004453202	-300.0	0.330238161595	0.330396323791	0.0680272423954	0.309250600252	0.307016768393	0.022228195157	-0.388098843772	-300.0
TP53	-3.9536696865	9.9692148611	6.0155451746	0.412301617457	0.440284847702	0.100625167902	0.204246318107	0.223280721803	0.0631202172222	-0.258973066175	-300.0	0.608495559931	0.624889888648	0.0335525863915	0.654434110568	0.657547781065	0.0600654602829	0.00198737164741	-193.944758124	0.507648301685	0.509018065278	0.0406951201149	0.473659854178	0.476007467915	0.0218562527103	-0.411348071141	-300.0	0.304657344302	0.304225532886	0.0824062978918	0.291801091497	0.28574142939	0.0260795598115	-0.275443771058	-240.437257796
ETS1	-3.5009108624	6.8488314444	3.347920582	0.353915943145	0.333954422752	0.131226257803	0.179468546342	0.165459157782	0.0778888649627	-0.00375587770634	-300.0	0.672808366131	0.672959096415	0.0596645684373	0.604567700703	0.620108631943	0.0348997086708	-0.157836344127	-300.0	0.462329782898	0.461431440976	0.033398076004	0.437735920156	0.435070565041	0.0175627035577	-0.385761562885	-300.0	0.334521572207	0.334408545813	0.0747113567354	0.31857524646	0.315037694184	0.02496309772	-0.292784029131	-300.0
TCF7L2	-3.3969730503	8.5839345	5.1869614497	0.340636822761	0.349414213882	0.0931700234709	0.163688723556	0.173033260882	0.0611807944955	-0.229777257092	-300.0	0.722509521115	0.725626217628	0.0465421081335	0.632767262927	0.643443883803	0.0284764482593	-0.462652013598	-300.0	0.40433155257	0.405253300858	0.0339615639128	0.378818181542	0.382823817356	0.0186478450777	-0.374281719903	-300.0	0.331507296956	0.330322247537	0.0604761383333	0.312934859238	0.310726576469	0.0311214401298	-0.30972431857	-300.0
AR	-2.8208135212	6.4303512778	3.6095377566	0.302226806823	0.286871275593	0.0735296364468	0.151070989908	0.141939624705	0.040934801221	-0.265544328044	-300.0	0.692228235123	0.697055477847	0.0498041498787	0.63129584696	0.644156239999	0.0291862686863	-0.224133948532	-300.0	0.526424951176	0.528122719392	0.0393545185359	0.501867635338	0.504140135629	0.0188812994936	-0.370553141659	-300.0	0.312975716914	0.312485022394	0.0640380280042	0.300712051899	0.298421866643	0.0317788622001	-0.207472160643	-118.21283659
SRY	-2.631585418	4.77859	2.147004582	0.2398167173	0.206865477193	0.110004437857	0.0974456039956	0.0768650649057	0.0692096522919	-0.0901442765548	-300.0	0.643812486426	0.653300202611	0.0245358999621	0.65451974299	0.659615062671	0.0481400044852	0.285689057941	-64.4879971248	0.54873029049	0.550986317277	0.032317553257	0.521202976071	0.527775689126	0.0159551134004	-0.462237150729	-300.0	0.32274888935	0.321665448512	0.0674193557162	0.309606090815	0.307790979209	0.0349471956484	-0.190246686041	-104.724139998
TFAP2C	-2.4588811349	5.9932067222	3.5343255873	0.344704905774	0.356815309461	0.0974064317551	0.165915594157	0.175229833314	0.0564974238794	-0.139938987668	-300.0	0.745450773469	0.748472998838	0.0549103663524	0.620209579449	0.634815960534	0.0280772816831	-0.493310267761	-300.0	0.591699471891	0.591177769587	0.0270206739662	0.570438853529	0.568052417665	0.0160524115383	-0.347178602148	-300.0	0.308407660876	0.308060432584	0.0845776170845	0.305477208004	0.297924463632	0.026400874034	-0.155487331054	-300.0
ZNF354C	-2.2219494577	4.5824435	2.3604940423	0.124918011208	0.101120616864	0.0866842634777	0.256790021587	0.218168458531	0.141655660035	0.149485206716	-300.0	0.698295349063	0.701567738536	0.0529823555033	0.62879190976	0.642049680287	0.0286060130203	-0.253861059451	-300.0	0.610161503926	0.61132168525	0.0290185846172	0.588028084212	0.589940425919	0.0151563290394	-0.365468581936	-300.0	0.299510886161	0.29930645742	0.0653587156682	0.29272035836	0.288039727749	0.0254335511417	-0.191843314133	-219.419341146
