FACTOR	EXPR_FOLDCHANGE	EXPR_H1hesc	EXPR_K562	Wellington_H1hesc_protection_mean	Wellington_H1hesc_protection_median	Wellington_H1hesc_protection_std	Wellington_K562_protection_mean	Wellington_K562_protection_median	Wellington_K562_protection_std	Wellington_protection_ks_stat	Wellington_protection_ks_pvalue	Wellington_H1hesc_tc_mean	Wellington_H1hesc_tc_median	Wellington_H1hesc_tc_std	Wellington_K562_tc_mean	Wellington_K562_tc_median	Wellington_K562_tc_std	Wellington_tc_ks_stat	Wellington_tc_ks_pvalue	Wellington_H1hesc_fos_mean	Wellington_H1hesc_fos_median	Wellington_H1hesc_fos_std	Wellington_K562_fos_mean	Wellington_K562_fos_median	Wellington_K562_fos_std	Wellington_fos_ks_stat	Wellington_fos_ks_pvalue	Wellington_H1hesc_flr_mean	Wellington_H1hesc_flr_median	Wellington_H1hesc_flr_std	Wellington_K562_flr_mean	Wellington_K562_flr_median	Wellington_K562_flr_std	Wellington_flr_ks_stat	Wellington_flr_ks_pvalue
FOXO1	-2.201485627	8.8310241667	6.6295385397	0.287118004725	0.272232859197	0.106873235272	0.128694338136	0.121197696169	0.0623050357044	-0.0419030741552	-300.0	0.63362737697	0.643857367595	0.0266194835129	0.662251259261	0.667525980932	0.0513909361319	0.149809032531	-300.0	0.524795900217	0.526540129725	0.0375439968319	0.503216267986	0.508312942404	0.0178861659801	-0.339910260886	-300.0	0.318312296644	0.317692430661	0.064301319995	0.307225215015	0.30548064649	0.0298127764531	-0.176350836748	-213.699121369
NR5A2	-2.0764958254	5.4651116667	3.3886158413	0.393812144389	0.418096582746	0.108714482484	0.195224502474	0.213008156585	0.0627824154331	-0.160356251553	-300.0	0.680981874311	0.681725793096	0.0528325713226	0.624996103262	0.638131786032	0.0313212166756	-0.0974149982507	-300.0	0.535323631378	0.537461758176	0.0348514396083	0.518173863934	0.5204688159	0.0201678821376	-0.214826995335	-300.0	0.334335588529	0.333952627228	0.0667379715469	0.325906857032	0.322018775835	0.0264411356718	-0.183515103125	-300.0
FLII	-1.1177311693	8.8445722222	7.7268410529	0.374978905337	0.335468323736	0.105066709273	0.139560217213	0.119879246411	0.0493078773611	-0.213919215249	-300.0	0.598930779218	0.601765756575	0.029230468815	0.614565107046	0.626207104722	0.0537253279564	0.107176815938	-300.0	0.559534860461	0.560847995693	0.0457707324454	0.558084681531	0.552189184412	0.0153262787181	-0.16255479944	-300.0	0.278541698016	0.27850178101	0.0461654729684	0.276239616204	0.275432102304	0.0226329304471	-0.00951336247592	-75.9845706042
FOXH1	-1.0990882063	7.0327085556	5.9336203492	0.301389781776	0.288477097689	0.094476778512	0.14304043044	0.135224290178	0.0525244702007	-0.132991457943	-300.0	0.730796474249	0.735779732758	0.0502407596212	0.649487493004	0.660840003118	0.0257473511771	-0.336832955001	-300.0	0.421739960566	0.423371023938	0.0308120681886	0.413817508421	0.416975749146	0.0139824781822	-0.190838893519	-300.0	0.317988353175	0.316819925342	0.0692530464341	0.315703806978	0.311062452148	0.0284353772577	-0.0762635800429	-52.9583845805
CREB1	-1.0226017196	9.2302054444	8.2076037249	0.21647242136	0.188106773363	0.0859985726692	0.0905055892948	0.0698279529048	0.0529320123102	-0.182290996696	-300.0	0.597231267221	0.620285048833	0.0868592498448	0.478074717239	0.484441522219	0.0386474546868	-0.267135443273	-300.0	0.406413221022	0.406221116753	0.0284556169558	0.411426450332	0.411879304594	0.0504676007813	0.0631691649055	-72.7159962561	0.260412918693	0.256072604599	0.097321067552	0.256270780679	0.252563939988	0.0313648500956	-0.0420937599764	-23.5072709966
EGR2	-0.9853411587	4.5985511111	3.6132099524	0.180513912515	0.176079512323	0.0787060053724	0.391488609699	0.370330528277	0.147902077345	0.0200229116246	-300.0	0.766240369792	0.771420733834	0.061826436232	0.619803661656	0.635931061289	0.0286519575989	-0.450991137639	-300.0	0.478685672391	0.47062981521	0.0201689452483	0.478922844585	0.475984005465	0.0398497865129	0.00701408151277	-300.0	0.336060502778	0.331130446	0.104680679433	0.331078514495	0.325745554368	0.0329497031638	-0.0317911388472	-300.0
REST	-0.9317503519	8.5147308333	7.5829804815	0.214369442815	0.199298530538	0.0961928398148	0.451310416157	0.428196720398	0.169861174655	0.0663978954087	-300.0	0.61134008039	0.612696062061	0.0332847829681	0.615696905533	0.631657503295	0.0627677701581	0.219037340548	-300.0	0.550039589953	0.548704943849	0.024641200554	0.555129637114	0.555431204363	0.0434837171943	0.00917114746717	-300.0	0.332790335852	0.331466548856	0.0754477656158	0.331624154284	0.32813663581	0.0233011612213	-0.0371819468074	-160.624032598
RFX5	-0.9070030291	7.3384705	6.4314674709	0.427641259767	0.427347088967	0.129640782199	0.198571908878	0.203175045416	0.0719748370234	-0.0386820253995	-300.0	0.722977942217	0.726792987472	0.0599187866962	0.627470963241	0.643847349313	0.0291016537436	-0.3159016534	-300.0	0.425161852071	0.424720937707	0.0315903717258	0.421371529975	0.419766060882	0.0167571126437	-0.0229900090879	-300.0	0.311381388488	0.3070868864	0.0829732081878	0.307714621769	0.305215087754	0.0264327981039	-0.0213513157039	-111.197794226
SOX3	-0.8815224709	7.0991445556	6.2176220847	0.257974483308	0.232905277902	0.111692789009	0.106455008789	0.0910939827608	0.0678164484235	-0.0193602694242	-300.0	0.702551295624	0.702994354573	0.0498372331379	0.649072047032	0.659762271063	0.0301248920111	-0.0337412231162	-300.0	0.500989428034	0.502180170068	0.0306086958506	0.492378910331	0.496551206241	0.0174643157999	-0.1444916938	-300.0	0.34145525526	0.34094592416	0.0581009693303	0.337559375812	0.33591984804	0.0233580678252	-0.0740981051399	-108.22990071
FOXD3	-0.6445018836	6.6675806667	6.0230787831	0.302569809818	0.275231523133	0.128090285979	0.153634159756	0.139805977874	0.0706567061246	-0.0318267243124	-300.0	0.663577473805	0.66840362712	0.0212242579315	0.663792530704	0.673196309878	0.0459506108611	0.244557519393	-300.0	0.383972655497	0.386086638183	0.0274102140002	0.378115666706	0.383404640888	0.0133588327764	-0.167807715442	-300.0	0.365794665565	0.363104663375	0.0738959662825	0.359841792818	0.362521770934	0.0287764507355	-0.0300231227942	-46.2403726616
HNF4G	-0.6026098016	2.9244216111	2.3218118095	0.363703778367	0.371385709957	0.0740085228608	0.192039534877	0.199622142136	0.0426908032404	-0.210079543558	-300.0	0.64453187202	0.657328417331	0.0265238521469	0.663211683894	0.668240126701	0.0520807281378	0.329765645387	-47.4269316117	0.492551197075	0.494141644275	0.0276068929341	0.488634685612	0.491082236323	0.0134868757143	-0.144813634184	-300.0	0.32619228712	0.324916385391	0.0585279655657	0.315297666889	0.316033144467	0.0263799688219	-0.111490338929	-51.7147297541
SOX9	-0.5931329762	6.5152251667	5.9220921905	0.231016605572	0.212075601086	0.0905023233144	0.0903452638594	0.0776020195638	0.0550320910288	-0.132799638913	-300.0	0.699629557137	0.702179253831	0.0503438741967	0.647866383311	0.660090714335	0.0298384039997	-0.0242829544742	-300.0	0.558743369391	0.559193171277	0.0349734382372	0.552867995722	0.555826591568	0.0172644935373	-0.106453176867	-300.0	0.321752645002	0.320317642362	0.0611242321511	0.314539403391	0.313199997008	0.0300723713608	-0.110117126754	-55.2736116097
NKX3-1	-0.5837772725	5.3454291667	4.7616518942	0.211157629957	0.161445910217	0.114804095315	0.0709020505412	0.0424927472818	0.0636543804576	-0.0780497544851	-300.0	0.64399320567	0.656095062205	0.0499602250741	0.601229656664	0.606153574471	0.0272347093771	-0.147769411048	-300.0	0.523280132105	0.52489314481	0.0426259641037	0.517751242089	0.521821656634	0.0185985149329	-0.155966376001	-300.0	0.290177182436	0.290437203316	0.0218106286257	0.295222981834	0.291599974959	0.0633399055634	0.0129869027566	-11.8506585598
INSM1	-0.5296980979	6.7003285	6.1706304021	0.404384071293	0.377419390081	0.136438564403	0.199407832039	0.185324384595	0.074623014148	-0.0435386329818	-300.0	0.776949372516	0.779640189126	0.0555668208337	0.638162161127	0.653501788149	0.0266576169083	-0.444606625414	-300.0	0.471220263629	0.469172873053	0.0173060543026	0.47175064452	0.47147152541	0.0307930849179	0.120110540448	-300.0	0.296967157102	0.295963092545	0.0254701471856	0.302987463599	0.296159806912	0.081913500559	0.0210065595962	-82.5440618552
ERG	-0.4811139683	3.9203937778	3.4392798095	0.174323781823	0.159707842985	0.080135631248	0.363190040293	0.336733478493	0.140758863844	0.118373292836	-300.0	0.625888987218	0.640954796307	0.0333386445704	0.656956147678	0.656348878536	0.0586472552037	0.298459649753	-300.0	0.449594411134	0.447353222252	0.016342309881	0.449900040294	0.449148783765	0.0322204458038	0.00818948940377	-300.0	0.307891218286	0.306763833591	0.0240046290146	0.311549288497	0.307527333273	0.0737678868755	0.00804725472547	-145.008048193
STAT1	-0.4733130873	8.6787737222	8.2054606349	0.325855030137	0.303735362256	0.0927746907756	0.157840763747	0.143913212611	0.0534433451877	-0.1050377624	-300.0	0.742405236944	0.744755955077	0.0482345942949	0.645777212656	0.658301865447	0.0265387168194	-0.364978669645	-300.0	0.503441416266	0.500535814448	0.018792578762	0.504527884284	0.502473697481	0.0386750002715	0.0147721552923	-300.0	0.337079825162	0.336171053898	0.0646535012473	0.336131441467	0.334492201656	0.0254717390652	-0.0226027651232	-80.5616253239
USF1	-0.4081315146	7.4895785833	7.0814470688	0.299214459492	0.28809184232	0.0811527940506	0.141169235251	0.134648512828	0.0452983364785	-0.0911284229694	-300.0	0.573732278317	0.575112614054	0.0423799226662	0.591379873194	0.613885727659	0.0787858282935	0.181792860839	-300.0	0.474619791815	0.472346560157	0.018471125471	0.47716303871	0.473614733157	0.0404346197795	0.0496553896194	-300.0	0.348742681807	0.336582883991	0.110572319515	0.337254917877	0.335311987503	0.0300370684746	-0.00156176908418	-65.1275454569
EGR1	-0.3866965344	8.4510034444	8.0643069101	0.197250025779	0.191445721667	0.074935897445	0.406658964693	0.386339991254	0.141293264864	0.0188336081152	-300.0	0.760715220839	0.765636976153	0.0625370000182	0.619752474598	0.634881521683	0.0281243006531	-0.420187578955	-300.0	0.503542327361	0.500868604399	0.0196600396746	0.507940479616	0.500923284521	0.0388879338514	0.151034910307	-300.0	0.340207303688	0.33856123108	0.0298527672092	0.349064892169	0.339468442964	0.101597643547	0.0140883184301	-300.0
CTCF	-0.3682107037	8.924475	8.5562642963	0.221264238089	0.210660590997	0.0980201228863	0.44288083282	0.421795394189	0.174106451187	0.166758486358	-300.0	0.736077787889	0.739045299875	0.0545625908372	0.639080938442	0.653119503363	0.0274285332255	-0.331126044462	-300.0	0.550008701033	0.547728079725	0.0183092686058	0.55066624592	0.548800903268	0.0329137994724	0.105842718359	-300.0	0.327943567945	0.326606328725	0.0279857252703	0.331418148499	0.327541334363	0.0775197044506	0.00413048859462	-300.0
MAFB	-0.3502367328	5.0393535	4.6891167672	0.42737816481	0.439589266437	0.125884859622	0.189339870914	0.195710829463	0.0587976308556	-0.100686972513	-300.0	0.694608158325	0.697645131108	0.0604025630646	0.626072149901	0.642593821659	0.0319299271168	-0.104221138483	-300.0	0.409660030638	0.409695301362	0.0201539685256	0.419224555551	0.410363885462	0.0482385704524	0.106373077137	-165.055991755	0.327541559478	0.322855984615	0.0763114426465	0.323017229313	0.32283794749	0.0256801698671	-0.018596967328	-81.3030921349
E2F1	-0.3329436296	7.4081001111	7.0751564815	0.316620897421	0.282642076615	0.0975644718367	0.147542698212	0.127220455411	0.0535356711104	-0.0960823420065	-300.0	0.715306316052	0.72016232092	0.0663868859628	0.60582380494	0.619965966345	0.0288525937608	-0.279067258416	-300.0	0.420052761547	0.418054047413	0.0207130020164	0.42459427753	0.419130329689	0.0406673147386	0.144186683369	-164.860146379	0.350620322348	0.342981785338	0.0965808007114	0.342974961031	0.342571113512	0.0235490578837	-0.00947695056571	-149.683653904
STAT4	-0.3171848783	2.786079	2.4688941217	0.389329580773	0.420298402135	0.108477266611	0.186803405346	0.20856205289	0.0669933945454	-0.0916186249813	-300.0	0.747239365217	0.750746161385	0.0448607260286	0.656497878489	0.667698297408	0.0251451431604	-0.366391015194	-300.0	0.635742227855	0.636285884083	0.0325411357572	0.634573526613	0.635630365348	0.0157344605905	-0.01726686959	-300.0	0.30874122295	0.308435374311	0.0631405017745	0.307659588161	0.306196498621	0.0342170335269	-0.0231102353599	-52.1532278648
MAFK	-0.2998918466	6.9924892222	6.6925973757	0.420425345511	0.433053859375	0.117709363846	0.19710752167	0.206216677616	0.0671928495309	-0.124997248994	-300.0	0.640148570343	0.651749107799	0.0284322890296	0.684469092166	0.68843531107	0.0491690935815	0.0617168819801	-300.0	0.384410378247	0.385228588823	0.0157599227063	0.386874721533	0.385504868906	0.0372207012766	0.0313263561817	-300.0	0.269697872914	0.26926212283	0.0260379159992	0.273886681832	0.270536523207	0.0643831486248	0.00482735255905	-36.637558255
NFYA	-0.2796747566	8.3467323333	8.0670575767	0.193995539871	0.20207938615	0.0715564210388	0.407013236431	0.413606844682	0.158859391515	0.102283927093	-300.0	0.711771145318	0.714996397903	0.0906237856639	0.588659823953	0.617099895311	0.037419707283	-0.140695347848	-300.0	0.454975467357	0.45186547028	0.0220318220209	0.472013123996	0.455538776439	0.057379459456	0.0634090425745	-253.98593689	0.371051454352	0.340341804589	0.164988616869	0.339711986042	0.338180944815	0.0467566334423	-0.0280744806399	-99.6912027494
GABPA	-0.261986254	8.661842	8.399855746	0.362153660432	0.35189448589	0.119049218416	0.158708514055	0.153513082692	0.0618036282792	-0.0197971754583	-300.0	0.581959348466	0.594491207887	0.0370332493968	0.609513532549	0.613746114156	0.0763648025591	0.290951826504	-274.719519397	0.572708207285	0.569162214263	0.0196434951421	0.580763161785	0.571780140117	0.0442942036219	0.103549424744	-230.879725864	0.313416597267	0.304013455729	0.107197488964	0.304299644758	0.303819737676	0.0316132382953	-0.011843098334	-102.006167741
YY1	-0.2405441005	9.2155432222	8.9749991217	0.377263144311	0.356878109785	0.103820617058	0.193139201737	0.183442748507	0.056355933122	-0.113416640038	-300.0	0.749389153593	0.753470797697	0.0550882472011	0.641541770345	0.655895037399	0.0296656534257	-0.352778020878	-300.0	0.516123476901	0.516581049764	0.0229829534732	0.517551123956	0.516767104971	0.0434459684641	0.065351568408	-289.01978072	0.353230267372	0.348135310119	0.0902095519222	0.347714084686	0.347532189821	0.0289708561601	-0.0169942316948	-68.543929842
KLF4	-0.2292124233	4.3891591111	4.1599466878	0.337521513888	0.314670856067	0.120461394148	0.150280049057	0.141202140564	0.0636514045536	-0.0160515548741	-300.0	0.739255480997	0.743968258562	0.0709756701167	0.60804015917	0.624559197823	0.0314779309159	-0.34323183091	-300.0	0.523861410153	0.520400580011	0.0200150260955	0.531343363281	0.522654587423	0.0423863592731	0.10560202458	-300.0	0.314462882436	0.311274542688	0.0344896376022	0.333289122897	0.312137142416	0.135869076401	0.0104174059667	-270.02596908
SRF	-0.2054848492	8.3513662778	8.1458814286	0.47601900026	0.516813461769	0.134663959663	0.249519188065	0.28921084989	0.0789205670187	-0.036562655589	-300.0	0.764930382871	0.770020561525	0.049145841282	0.653949183048	0.666765215752	0.0227662113015	-0.404286917741	-300.0	0.457896046185	0.459119720341	0.0159383522903	0.45835107885	0.459577391814	0.0332734603224	0.0136746248694	-300.0	0.316056152396	0.312672689565	0.0725465690625	0.314243029793	0.312629104225	0.0363570982946	-0.0146603797658	-38.2154823523
STAT3	-0.2035441402	10.0107785	9.8072343598	0.193191025229	0.202794650711	0.0719919598968	0.381549970043	0.360982474531	0.140656798422	0.00930787250181	-300.0	0.610956951866	0.624731006684	0.028280350602	0.642949314536	0.646378692741	0.0603290315644	0.239515928466	-193.03919915	0.483280744281	0.470400438557	0.0500617027816	0.469322360923	0.469915438417	0.0137244356015	-0.0912331268382	-300.0	0.287027551915	0.282602652696	0.0725044815705	0.281250363791	0.280813900211	0.0300994081549	-0.0149333148002	-38.2808206701
HOXA5	-0.2024921587	3.5496091111	3.3471169524	0.454209129309	0.485360147788	0.131724009551	0.223321278114	0.240303349721	0.0787470060376	-0.0363314854081	-300.0	0.69834037785	0.700822551621	0.0541044264956	0.635505126972	0.65004920358	0.0288675493459	-0.0931756148194	-300.0	0.627478396384	0.628256348355	0.0184705272404	0.629417210367	0.628916778903	0.0331686250859	0.0768375730176	-300.0	0.326496879801	0.326310827186	0.0258115867269	0.329556811184	0.326315486032	0.0695124962681	0.00698730469349	-56.2968737765
SREBF2	-0.1732940608	9.1103612778	8.9370672169	0.314788105196	0.274718477274	0.111445742581	0.137817321574	0.115231998678	0.0620109147697	-0.115979596971	-300.0	0.707435073208	0.710904973224	0.0556085894991	0.635196552938	0.65039850668	0.028443960558	-0.185319309994	-300.0	0.524092386081	0.525511469415	0.0170778026388	0.525281529164	0.526342718275	0.0330301998408	0.0385183640632	-300.0	0.305150144019	0.30529937959	0.0230324687053	0.310214344695	0.306449615859	0.0616116144091	0.0147352793962	-29.4576268451
HOXA9	-0.1727359074	3.0796356111	2.9068997037	0.36687699741	0.344868662622	0.0696439274376	0.190505403214	0.175594662397	0.0425967462017	-0.2042612212	-300.0	0.645639419732	0.658712646579	0.0265909672513	0.659215456895	0.664095701537	0.0523085459207	0.398246349208	-22.0460562872	0.370068537105	0.372425751413	0.0331648876403	0.369680784932	0.371833815976	0.0146906615077	-0.047624573681	-300.0	0.29523595692	0.295962623856	0.0262913234797	0.300530798878	0.297311354756	0.0613503841982	0.00629063433491	-14.6006382589
FOSL2	-0.1563748122	5.7409766111	5.5846017989	0.374379418624	0.336047255685	0.108138220229	0.136871516086	0.118841583633	0.0508579679497	-0.168281455683	-300.0	0.765135652202	0.767254112295	0.0435740597026	0.645589103336	0.655041890621	0.0245572078314	-0.417770494775	-300.0	0.562116522639	0.557043828617	0.045427283348	0.554577889202	0.555993351488	0.0170161390619	-0.0962580527539	-300.0	0.260729007848	0.260366364311	0.0274004437636	0.263602337808	0.262389460562	0.051199001206	0.0124003453307	-59.6437128552
TCF12	-0.1484424405	8.6383393611	8.4898969206	0.354561971016	0.326900070663	0.0963785156889	0.179338723249	0.165655530887	0.0526050508492	-0.136977757395	-300.0	0.703376295842	0.70398606197	0.053142722709	0.636098067786	0.649549297842	0.0293547089152	-0.120459187313	-300.0	0.625319829597	0.62440941464	0.0156683413348	0.625587308365	0.6256792182	0.0285957347929	0.0932198933566	-300.0	0.317459297643	0.317229387261	0.0217355618315	0.320239240409	0.317539685735	0.0636672013808	0.00957724144174	-102.667758181
SOX10	-0.1468324868	5.24596	5.0991275132	0.3897942953	0.398603257927	0.105686870471	0.179438251207	0.191429697705	0.0609380748487	-0.0921479499126	-300.0	0.624296065973	0.640199513585	0.0306457123178	0.667073502328	0.669377269808	0.0602449222933	0.190420227516	-300.0	0.520891493228	0.519406984999	0.0215152730266	0.521353606577	0.5204784615	0.0370749210684	0.142594574803	-190.232976207	0.336204223599	0.331802495058	0.0768211443362	0.330889004069	0.330885353065	0.0228900292394	-0.00572208533616	-110.520471684
FOXP2	-0.1347974762	2.351259	2.2164615238	0.143316695347	0.135181222708	0.060428442254	0.302726805833	0.285433699525	0.110198393121	0.0343503696669	-300.0	0.643766891031	0.655092576732	0.0584578912039	0.550961464677	0.557203455088	0.0272484810677	-0.335021510509	-300.0	0.513367062473	0.516646485883	0.0318459166259	0.51090873903	0.515470302439	0.013945424802	-0.0490792643874	-300.0	0.326669803386	0.325891022828	0.0673461750561	0.326424511006	0.323628059537	0.0283016979432	-0.0199730878722	-49.9689999813
ATOH1	-0.1075542619	4.6970676111	4.5895133492	0.376598959806	0.337297352322	0.107907628086	0.1380227815	0.1187270939	0.0516618158316	-0.172497404868	-300.0	0.633616137883	0.644458444481	0.02663050468	0.678634480498	0.681183632928	0.0497106647416	0.0729488346674	-300.0	0.668587905032	0.666091056733	0.0342428343956	0.663241106132	0.664246164362	0.0115415753385	-0.166053780993	-300.0	0.286978980274	0.285725703087	0.0251603404312	0.287769968881	0.286999258691	0.0498757215897	0.0170896269883	-35.2458262397
PPARG	-0.1072274577	2.7755172778	2.6682898201	0.267780413325	0.261235853846	0.087284053546	0.509362284431	0.499705101224	0.150181559529	0.00438461376772	-300.0	0.764940785629	0.764096779427	0.0475513745672	0.649665175816	0.661527127808	0.0255925211825	-0.420731441327	-300.0	0.583352151341	0.585622958209	0.0222446550086	0.587011026946	0.587252963561	0.0395374034139	0.0458144138072	-300.0	0.261301809919	0.259726274348	0.0607670603656	0.257936746328	0.258092647526	0.025300966676	-0.022177823524	-62.7797327648
GATA3	-0.0812258624	4.4545267778	4.3733009153	0.319832980841	0.308584680033	0.115754672334	0.123236040726	0.117226780369	0.0563119314433	-0.00786024357678	-300.0	0.617672827205	0.631350517553	0.0226619097167	0.639346694353	0.642540582918	0.0580620290611	0.26920886604	-221.074780786	0.427078306263	0.413132291579	0.0641498043425	0.410215571023	0.411791224636	0.0160602706849	-0.116015667747	-300.0	0.32252372964	0.323212748941	0.023262489814	0.325864942589	0.324391365328	0.055792523773	0.0035916292566	-27.1011554673
NR2F1	0.0013346402	5.3702576667	5.3715923069	0.150886793545	0.146723058724	0.0409663154189	0.328851219046	0.318147556867	0.0776526814579	0.181558227788	300.0	0.64671687056	0.659117658696	0.0258973889304	0.718512394955	0.721836221679	0.0495723185987	0.201061768997	300.0	0.396755312035	0.398208732554	0.0357908340365	0.395108644493	0.396321856675	0.0193833098765	-0.0192282041258	194.421447208	0.326929500087	0.326752210454	0.023340835161	0.331332214373	0.329396532909	0.0614959959679	0.02082590612	27.346018703
